ParlaMint-NL_2015-10-14-tweedekamer-7.u1	The next item is the second government term. I give the floor to the Prime Minister.
ParlaMint-NL_2015-10-14-tweedekamer-7.u2	Mr. Chairman. I can tell Mr Roemer that we will work along the lines he outlined. I can tell Mr Pechtold that D66's public relations policy can still be strengthened, because the action plan had indeed escaped me completely. All the elements of this, such as the language recorder, were already visible in the debate. We had no idea that this would be part of a comprehensive action plan. Much of the action plan fits in with government policy. It's got three lines in it. I have already dealt with all these aspects in the first period. I broadly share with Mr Pechtold the importance of these three tracks, namely the selection of genuine refugees, good reception in the Netherlands and an eye for acceptance, and the direct start of integration. The latter applies as soon as it is established that someone has that status. Below these are several proposals, such as selecting at the external border. That is certainly cabinet policy. I will come back to the language analysis in the Netherlands in a moment on the basis of Mr Pechtold's motion on that point. At least that's what we're talking about. In principle, I also agree with what Mr Pechtold says about the agreements with municipalities. We're investigating the smaller emergency shelters. I agree with the point about big cities. I'll be right back at the barracks on the basis of the motions. The compensation of municipalities for crisis relief is in any case regulated for the GZZA, the Municipal Self-care Packages. I agree with the realistic assessment for the future. We think differently about the third track, but I will come back to the motions in a moment. Part of it is referred to. There are differences of opinion on this point. With regard to the beneficiaries of asylum, the status holders, we are, of course, right away in agreement, both on the first and the second points. Recognition of diplomas is also the policy of the cabinet. We share that very much. Watching for expertise is currently under investigation. The next point raises concerns, but we very much agree with the points that come next, such as more living space and more people in one house. The latter point is already limited, for example by the conversion of offices. When I look at it that way, I think we're about 60% in agreement anyway. On a number of points, however, we do have some differences of opinion. I have to admit that a lot of it came out of D66's hat. Apparently, people were so busy commenting on government policy that this thought was simply lost. At least that's how I understood it. That is a shame and it is good that it is now in the sun. I also agree with Mr Zijlstra of the VVD's comment concerning the combination between the design of hotspots and relocation policy. I'll come to the motions. The motion in part No. 1007 is unnecessary in our view, because we do not create a distinction. There are now also Dutch who receive assistance in kind. A distinction is already being made in this respect. That's not new. It is a more sober arrangement than the normal assistance received by the vast majority of recipients of assistance. Of course, there is also a difference with status holders who are still in the azc or in the Municipal Self-care Package. I have already argued that in the first term. In our view, therefore, this first motion is superfluous. That's how I'm gonna dissuade her. The motion in part No. 1008 by Mr Roemer, on the other hand, clearly supports policy. The motion also encourages us on points. I'll leave the verdict on the motion to the Chamber. Mr Roemer and I have already mentioned the motion on item No. 1009 and Turkey. I think that the motion in this form is superfluous, because there are regular times when we talk to Turkey. It is also addressed in the annual progress report. At the moment, the discussion with Turkey is a much broader one, with this element also playing a role, but not as pregnant as in those more focused discussions with Turkey on this issue. So the motion in part No. 1009 I advise. Then I come to the Roemer motion in part No. 1010. I find it unwise to mention a number. I have already argued this in the first term in my discussions with Mr Klaver. So the motion in part No. 1010 I don't recommend. The Pechtold motion in part No. We consider 1011 to be policy support. I'll leave that judgment to the Chamber. However, we still have to look very closely at the question of language analysis, but that does not change the final judgment. The motion in part No. 1012 we advise against. It is now important that we make a real commitment to the status holders. Minister Asscher of Social Affairs also referred to this. The COA and the azc's are already terribly busy. So I'm deceiving the motion in part no. 1012. I propose that the motion be put to the vote at the next voting time. 1013 to be retained. There's a loan here. We are looking at how we can practically facilitate this further, not so much in money but also otherwise. We will work that out in the near future, so I would suggest that we hold on to that motion until that effect is there. If that motion is not held, I must advise her not to, otherwise too much will be given the impression that money will necessarily be added. For the motion in part No. 1014 applies: if it is useful, possible and necessary, then we do it. From that point of view, the motion as it stands is superfluous. That's how I'm gonna dissuade her. The motion in part No. 1015 I don't recommend. Then I come to the motion on part No. 1016. People are always allowed to return after five years, but that is not enforceable. You'll have to have a stable residence perspective. That is also the EU directive. So the motion in part No. 1016 I don't recommend. I'm coming to the motion Slob c.s. in piece No. 1017. I'm a little concerned that we're demonizing the word "soberness." With that we demonize the whole memory of Drees too. So I'm against that. We receive dignified and just but in a sober way, so the motion in part No. 1017 I advise. Then I come to the motion on part No. 1018. I would like to prevent us building a new bureaucratic path alongside all existing routes. Moreover, the municipalities can do so themselves if they so wish, so the motion in part No. 1018 I don't recommend. The motion in part No. 1019 is policy support. I leave the judgment to the Chamber. The same applies to the motions for resolutions on item Nos. 1020 and 1021. The motion in part No. 1022 I don't recommend. May I refer to my previous reaction towards Mr Bontes?
ParlaMint-NL_2015-10-14-tweedekamer-7.u3	That Prime Minister's on the move! I can't keep up with that.
ParlaMint-NL_2015-10-14-tweedekamer-7.u4	I am so glad that I am back in the Netherlands that I immediately put the pace in to enjoy it fully.
ParlaMint-NL_2015-10-14-tweedekamer-7.u5	I'll start with the motion on part number one. 1020. Of that, the Prime Minister said: support policy. Now we are still such an old-fashioned party that considers the opinion of the cabinet to be important in the consideration. Our thought was that it would be so strange that we would then call Russia on its part in tackling the refugee problem. If it is understood correctly, these are non-EU European countries. Those are countries like Moldova, I know what kind of countries. Is that the point? If it is policy support, that is a reason for us to support it.
ParlaMint-NL_2015-10-14-tweedekamer-7.u6	These include, for example, neighbouring Balkan countries. It could also be about Africa. The Valletta Summit is coming up in Malta... Oh... Yes, it's European countries.
ParlaMint-NL_2015-10-14-tweedekamer-7.u7	Never mind. It's obvious.
ParlaMint-NL_2015-10-14-tweedekamer-7.u8	These are European countries. Israel participates in the Eurovision Song Contest, but here I am going to stretch it very much. But the Western Balkans Summit, which took place in Luxembourg on 8 October, fits into this.
ParlaMint-NL_2015-10-14-tweedekamer-7.u9	Clear. And about the motion in part No. In my opinion, 1021 said the Prime Minister was dissuaded.
ParlaMint-NL_2015-10-14-tweedekamer-7.u10	Support policy.
ParlaMint-NL_2015-10-14-tweedekamer-7.u11	Judgment Room.
