ParlaMint-NL_2015-01-22-tweedekamer-10.u1	I would like to welcome the same Secretary of State as just now.
ParlaMint-NL_2015-01-22-tweedekamer-10.u2	Mr. Chairman. In 2009, more than 19,000 people died, in 2012 about 20,000 people and in 2013 17,000 people died from the effects of smoking. When you hear those numbers, that'll scare you. There seems to be a decrease, but it's going very slowly. A declining trend is a good trend, and we probably agree on that. In the end, we must ensure that these numbers fall significantly. We only do that by ensuring that people do not start smoking. Of course, we have to help people who smoke to stop, but above all we have to make sure that no one starts anymore. According to the SP, all policies will have to be focused on this. Today, it's about more severe punishment when someone breaks the Tobacco Act. That is a relevant point and I will certainly go into it, but it is absolutely not the only thing we can do. I ask the Secretary of State what he intends to do with raising the fine limit. These fines will be filled in later. Does he have the aim of harmonising with drinking and horeca legislation? Would it not be a good thing if the enforcers and those who are maintained knew that the penalty in the event of a violation of alcohol or tobacco is always so high, rising to the maximum that will be set? The present proposal will make it possible to substantially increase fines for infringements of the smoking ban or the age limit for sales of tobacco products: up to €19,000. The exact amount of this fine will be determined later. In the letter from the Secretary of State, it is proposed to double the fines in the event of a recidivism. What other options does the Secretary of State have in mind? Has there been any research on the effects of higher fines? Has it been proven that this measure will reduce the number of smokers? Is the level of the current fines not sufficiently dissuasive? What are the signals about the consequences of increasing fines among the small group of chronic relapsers? Punishment of sellers and banning the purchase of tobacco by minors are good measures, which we have had for years, but it is all at the end of the line. We must prevent young people from getting tobacco. The Secretary of State himself says that he wants to conduct policies with an effective mix. It's about effectiveness and not about the stage. From this I can conclude that raising the fines is far from the end of what the Secretary of State is going to do. Did I get that correctly? In a year and a half, only 44 fines have been imposed. It makes me feel a little weird. How does the Secretary of State feel about that? Does he think it's gonna help you fine 44 times? We would like to spread our attention from the end of the line to the whole line, to prevent smoking, to promote the cessation of smoking, by punishing the violation of the smoking ban when selling. That is why we are in favour of limiting the number of points of sale, eliminating packaging and a watertight age verification system, which is legally imposed, because the sector is lagging behind with measures. Anyone who wants to give smoking a real blow must ensure that young people do not start smoking. We need to make it as difficult as possible for smokers to get their addictive drugs, but it starts with young people not starting smoking. Don't tempt people. Smoking isn't tough or tasty, but it's sickening and deadly. That is what we need to radiate: smoking is unhealthy and stopping smoking is really very difficult once you are addicted. Does the Secretary of State agree with us that this should be the message? We make it harder on people if we significantly reduce the number of outlets. There are currently between 30,000 and 60,000 tobacco outlets. If we decided to let this lethal substance only be provided by specialty stores, of which there are about 1,150, the temptation to buy tobacco will diminish a lot. At the same time, maintaining, for example, the minimum age of tobacco sales will be much easier. After all, there is a big difference between 1,150 and 60,000; it does make sense that enforcement will be easier. Is the Secretary of State prepared to accept the amendment we have tabled? If we want to discourage smoking, and we want to discourage smoking, we must also ensure that smoking is as unattractive as possible. Despite the ban on tobacco advertising, industry has started to be very innovative. We see that she especially wants to sell very attractive products through the packages. There is talk of the neutral package, plain packaging. Today I have read that the Secretary of State is working on the European directive which states that 65% of the packaging must consist of a warning so that there is less room for advertising on the package. Is the Secretary of State prepared to go further and say: there will be neutral packages and there will be no more advertising via the packaging? We want to go further into that. That is why we have tabled an amendment. Wouldn't it be much better to sell the packages with that cool and hip look that you sometimes have in collection versions out of sight? Packages could just be under the counter. If the smoker wants cigarettes, the package comes out and it's visible. At least it won't be displayed anymore. By thinking that advertising and display shouldn't be allowed, you shouldn't do that in the store either.
ParlaMint-NL_2015-01-22-tweedekamer-10.u3	When you speak of amendments tabled, would you like to mention the number, if you are prepared to do so? That is a lot easier for those who follow the debate.
ParlaMint-NL_2015-01-22-tweedekamer-10.u4	I'm sorry, Mr. Chairman, I'm not ready for that right now.
ParlaMint-NL_2015-01-22-tweedekamer-10.u5	Please continue.
ParlaMint-NL_2015-01-22-tweedekamer-10.u6	I have tabled three amendments, so it is one of those three. Is the Secretary of State prepared to accept our amendment to stop tobacco products from being sold? I come to the essential point of enforcement. The Secretary of State has recently said that he welcomes the fact that entrepreneurs are taking steps to improve society. This was specifically about the enforcement of tobacco. You would almost think that the Secretary of State also thinks that is important, but I find that a bit disappointing, he has been saying for years that it is up to the sector itself to come up with a conclusive age verification system. This puts the effective acquisition of a good system on the long track. There are effective systems. Let's maintain through those effective systems. As all sellers have to use it, there is no distortion of competition and it is very clear. If it becomes a closed system, we can shift enforcement to the places where they smoke. The Age Verification report focuses on downright destructive conclusions on the age control-use of the retail sector. It seems logical to me that we should say: we are on the move. I find it very strange that the government has provided an incentive and a subsidy, albeit through the State lottery, but that is a state participation, to an age verification system that has been proven ineffective. In response to questions I asked together with Mr Voordewind, the Secretary of State says that it is true that the system itself is not effective in achieving better compliance, but he is hurrying to add that it may be a tool for a broader approach. However, it may also be a delay to do nothing else. Does the Secretary of State still have any real confidence in the sector after seeing that the pilot failed in Hoorn, for example? We did not receive this information until after six months, when they were simply available and the Chamber had to ask for this evaluation several times. Why is it so difficult with this openness? Where's the problem? Is that with the Secretary of State or the sector? Or is the problem that nothing is effective? It has been decided to conduct investigations into enforcement systems and the way in which enforcement is maintained. That is of course relevant, because if we want it to be maintained, we also need to look at how many situations that goes well and how many situations that does not. The investigation was finally carried out by Bureau Sochter. That agency, to put it mildly, nevertheless has the appearance of conflict of interest against itself. It has conducted an investigation into enforcement systems, while it itself has put an enforcement system on the market. Does the Secretary of State think that this investigation would have had a different outcome if an independent party, for example a university, had done it? Can he give a reflection on that? In addition, I think it is a bit strange that the same Bureau Sober, which does the enforcement of the age control for the Central Food Trade Office, also does that for VWS. We then read in the newspaper that the age checks it does on behalf of the industry itself have been announced. How can we rely on the fact that the age checks that the agency does for the government have not been announced? If an agency has such close links, if it is so often found in the same companies, if it knows those companies so well and if it lets you know that it will be again in the coming months, how can it be a good research agency for the government? How can the Secretary of State, in reply to parliamentary questions, be so sure that there was no conflict of interest during the tendering procedure? Apparently, having an investigative office and an age verification system is not a grounds for exclusion, but it is crazy to put it with one party, while there are several who could and would have done well with that investigation. Can the Secretary of State guarantee me that in future these investigations will no longer be carried out by an agency which has links with industry and at the same time has interests because it has an age verification system? Wouldn't it just be good to have those studies done by universities? They don't have any ties to the industry anyway. In reply to questions from both myself and Mr Voordewind, the Secretary of State states that he was not aware of the fact that the Central Office for Food Trade has been steering the deployment of these ineffective age verification systems, the so-called ID scanners, since 2012. Hasn't that been known much longer? Didn't a WOB procedure show that VWS already received an email from the same agency in October 2011 that it was going to start using the ID reader or the ID swiper? That all comes down to the same thing. So shouldn't the Secretary of State have answered those questions with "yes"? I come to talk about enforcement at municipal level. The responsibility for the supervision of the Drinking and Horeca Act and thus the enforcement of the ban on sales to minors has for some time been with municipal supervisors. What is the state of play of this by the municipalities? We discussed this in the autumn. 44% of the municipalities had an enforcement plan. The Secretary of State then said that he was confident that this percentage would be 88 by the end of the year. Is that what happened? How does he see his role as municipalities left behind? Which intervention ladder does he intend to use? Enforcement is now with the municipalities. Can the Secretary of State indicate whether enforcement is now more effective? Are there, as far as he is concerned, teaching points and, if so, what are they? Do municipalities have sufficient enforcement resources to enforce properly and effectively on both sales and use, i.e. on the smoking ban? How many times was a fine imposed last year? Wasn't there much more warning? How many times has there been a recidivism? Is this information insightful? I have one more point. We know that there is a ban on tobacco advertising. We all accepted that because we know that smoking is deadly and a bad habit. In fact, we all know it's a serious addiction that's hard to get rid of. However, we often see advertisements for the e-cigarette on television. I know the Secretary of State still needs to think about where he's gonna position the e-cigarette. Is the e-cigarette a medicine, is the e-cigarette a legal product such as soft drinks or do we still include the e-cigarette under smoke policy? Wouldn't it be good to take the advertising off the tube until that decision has been made? We know that the e-cigarette can be helpful for some people to quit smoking, but we don't know if the e-cigarette might be the start of smoking. If that's the case, we'll cut ourselves in the fingers. Because we don't know all that and because we do know that the e-cigarette was developed by the tobacco industry to normalize smoking in the street statue on the tram, in pop stages...................................................................................................................................................... What means does the State Secretary have to do that? I'd rather he said the e-cigarette was a cure. There should be no advertising of medicinal products either. I understand, however, that the Secretary of State is not yet ready to decide. Now, as a precaution, pending that decision, let us at least arrange for those advertisements to go off the tube.
ParlaMint-NL_2015-01-22-tweedekamer-10.u7	I would just like to ask a question about the amendments that have been tabled. Is Mrs Leijten going to file both at the same time? Or does she say, if the ban on display doesn't work out, we limit it to the special shops? I am very curious to see what tobacco shops will look like if they can only sell tobacco and at the same time introduce a ban on display.
ParlaMint-NL_2015-01-22-tweedekamer-10.u8	I'm sure you have the numbers handy.
ParlaMint-NL_2015-01-22-tweedekamer-10.u9	Yeah, that's the numbers nine and ten.
ParlaMint-NL_2015-01-22-tweedekamer-10.u10	We need to see how they relate to each other in the voting list. The advertising ban that exists, and that I'm bringing in when it comes to not showing up, doesn't apply to tobacco specifics cases. They're allowed to show off. That would remain in principle. I'm mostly interested in the powerwalls that you see in the supermarkets right now. It's more of a continence. As long as it has not yet been transferred to the specialist shop, I believe that tobacco should be sold out of sight. After all, we know it's actually advertising.
ParlaMint-NL_2015-01-22-tweedekamer-10.u11	Mr. Chairman. January is a month for many people in which they started with good intentions. They want to live up to this, of course. Stopping smoking is one of the top of the good intentions. Stopping smoking is not easy. I know people who did it. Stop smoking pays off, we know that. You keep more money in your wallet, but it's mostly pure profit for your health. Every year 19,000 people die from smoking in our country. It's getting a little less, but there's still way too many of them. The younger someone stops smoking, the more effect it will have, also in view of health later. We know that the opposite is true: the younger you start smoking, the harder it is to get rid of that addiction. It is therefore a good thing that we are working together to create a healthy environment for young people in particular. A non-smoking catering industry contributes to this, and my group is 100% behind this 100% non-smoking catering industry. The smoke-free catering industry in the Netherlands is now unimaginable. Fortunately, there is less and less smoking in cafes, nightclubs and cafes. However, we also see that not every company complies with this ban. We are therefore talking tonight about raising the current penalty rates. The figures we received show that the fines awarded are repeated in 28% of cases. It is therefore a matter of repeating the offence. The Secretary of State states that this is a persistent group, which, as it were, calculates the fines currently in force in business and refuses to comply with the law. Because the penalty limit is now low, it can be rewarding to keep the ashtrays on the table. I ask the Secretary of State to go into more detail on the new ceiling. How sure is he that this will also reduce the number of repeats? This amendment also concerns the fines to be imposed for infringement of the age limit applicable to the sale of tobacco products. The fine amounts of the Tobacco Act are aligned with the Drinking and Horeca Act. For my group, it is important that a single line can be drawn. I am therefore pleased that a three strikes out measure has also been included in the Tobacco Act. This brings me to the point that it is important that the annex to the Tobacco Act will also soon be amended by a General Measure of Management. I'll ask the Secretary of State what else is needed for this. As far as my group is concerned, we should not wait any longer. I can imagine that the General Measure of Management is already in preparation and will be sent to the Chamber as soon as the law is passed. Will the Secretary of State do this? I'd like a response. With a view to increasing the fine ceiling, I would ask the Secretary of State to go into his enforcement policy. A higher fine may lead to more restaurants complying with the law, but let us not assume that in advance. The Secretary of State would like to stress that the law is well respected in many restaurants. In the meantime, we hardly see any improvement at cafes and nightclubs. Can the Secretary of State give an update on the maintenance of non-smoking restaurants? In October, the Court received a letter on the consequences of the ruling of the Supreme Court, which resulted in a general ban on smoking. The letter sent by the Secretary of State to the Chamber on this subject promises an information campaign. Is it true he's not here yet? When will this start? Despite all efforts, there is still a world to be won. At the request of the Christian Union and other political groups, research has been carried out on reducing the number of tobacco outlets. I thank the Secretary of State for sending me all those reports. In his offer letter he writes that he will respond to these reports in the autumn. Those days are behind us now. In previous debates, the Secretary of State asked the Chamber to wait for statements and to give him a chance to develop a vision based on the investigations that are now there. I am disappointed that the Secretary of State's view has not yet arrived. We're really losing our chances. Doesn't the Secretary of State share my sense of urgency? I'd like a response. In a Trimbo report I read that the visibility of tobacco products affects smoking. Young people are tempted to smoke, it is harder for adults to quit smoking. I would like to repeat my previous pleas. Reducing the visibility of tobacco products contributes to reducing tobacco consumption. Does the Secretary of State want to develop policies to keep tobacco displays out of sight? Iceland, Finland, England, Hungary, Croatia and other countries in Europe have preceded us. Why is the Secretary of State stalling? Does the Secretary of State also want to work on a licensing system for sales outlets? Finland shows that the introduction of a licensing system alone reduces the number of outlets. Will the Secretary of State continue to stop sales via vending machines? 10% of tobacco sales take place via vending machines. That's not much, but the vending machines are often in restaurants. Why is tobacco still sold in the hospitality sector when smoking is no longer allowed? Stopping sales via vending machines also benefits enforcement. The SP and the Christian Union together table an amendment on age control. Unfortunately, we have to note that a conclusive age control system does not come off on its own. On the contrary, it is important that all entrepreneurs participate and that there is no discussion about the effectiveness of the system. That's why we'd like to anchor this in the law. Finally, I started my argument with the remark that quitting smoking pays off. The younger someone stops, the better. Even better is not to start at all. More and more schools opt for a non-smoking schoolyard. For the summer of 2014, an important motion from me was adopted on this point. I would like to hear from the Secretary of State how he wants to make 100% smoke-free schools and schoolyards and in whatever way he is committed to doing so.
ParlaMint-NL_2015-01-22-tweedekamer-10.u12	Mr. Chairman. It has been said here before, but it cannot actually be said often enough. At the moment, lung disease is still the biggest cause of death. 19,000 people die a year from the direct consequences of smoking. So it is also important that we do everything we can to discourage smoking as much as possible. That starts with the youth. Smoking's not tough, smoking's deadly. That is why the CDA also welcomes the fact that the Secretary of State has looked at the fines handed out to those who violate the smoking ban. Of course, it is also a bit harsh that in recent times customers and operators have been saving up to pay for the violations of the smoking ban. That's putting the horse behind the cart. It is necessary to deal with this, and I think that is a very good proposal from the Secretary of State, but I would like to ask a question about his approach. Because in the explanatory statement to our questions, he now writes that he is likely to increase the fines but does not yet know exactly how many. I would like the Secretary of State to clarify this. Is he going to raise the fines now, when is he going to do that, and exactly how high are the fines going to be? Or is he going to see if compliance improves and then decide whether or not the fines go up? I'd like more explanation on that. The second is that the Secretary of State also confirms in answers to our questions that the starting point of this bill is not to generate additional revenue for the government. I agree with the Secretary of State. This is about enforcing a law, not a money machine. So my question is also whether the Secretary of State is prepared to put the money he is taking in imposing these fines into a prevention fund. I think it's a nice thought. We're here at the end of the line. In this way, we can invest that money at the beginning of the line, namely by discouraging young people from starting smoking. One final question is about the smoke monitor youth of the Trimbos Institute. In the House of Representatives we have discussed this on several occasions, including during the budget debate. The starting point for many parties in the Chamber is that young people should not smoke. We can only see whether the measures taken by the Secretary of State are effective when we have an understanding of the figures, and we can see whether more or less young people are going to smoke. The Secretary of State says over and over again: I have a monitor sister and a monitor like that. We had a very good monitor, which will soon be able to give a very good insight into the age at which young people start smoking, if the age at which they are allowed to smoke is increased. We certainly hope that they will not do so. I call once again on the Secretary of State to make sure that this fine smoke monitor youth of the Trimbos Institute is simply restarted and that we can talk about good grades here in the Chamber.
ParlaMint-NL_2015-01-22-tweedekamer-10.u13	Mr. Chairman. We all agree: smoking is addictive and extremely dangerous to health. Reducing the number of smokers is a long-term issue, but we are on the right track to offer citizens a healthier future. The aim of the legislative amendment before us is to ensure the highest possible compliance with the measures taken. Appropriate fines and sufficient space to fight recidivists are necessary. The increase in the minimum age to 18 years and the overall smoking ban were two major milestones in combating smoking in the past year. My group was very pleased with that. The amendment we are discussing tonight may be a small step, but it is another one. We must also cherish them. The current two penalty ceilings are supplemented in the new legislative proposal by an intermediate ceiling for the violation of the smoking ban and the age limit for the sale of tobacco products. As I said, I do not need to tell anyone here that smoking and smoking are very harmful to health and that addictions often occur at a young age. Therefore, my party wholeheartedly supports the increase in the penalty ceilings for the violation of the smoking ban and the age limit for the sale of tobacco products. In order to improve compliance, higher fines are necessary, with greater deterrent effect. Higher penalty ceilings also give more opportunity to crack down on recidivists. Unfortunately, there is still a group that systematically ignores bans and takes the current fines for granted. This increase creates that space. The only question is whether this change of law will have a direct effect in practice. The actual fines are currently determined at AMvB. As far as my party is concerned, there is an immediate point of criticism. The government is considering maintaining the actual fine for the first violation of the smoking ban or the age limit for the sale of tobacco products at €600 and triple the fine in the event of a recurring infringement. The odds of getting caught are small. To what extent does the Secretary of State consider it likely that the proposed intermediate ceiling will actually be imposed? To what extent does he expect the municipalities to apply these ceilings? I'd like to get a response to that. At the end of 2013, with the support of the majority of the House of Representatives, I called on the State Secretary to come forward with a ban on the sale of the e-cigarette under 18 years old. E-cigarettes contain addictive and harmful substances and contribute to the standardisation of smoking. Young people in the Netherlands are still far too little protected from this. Young people can still buy e-cigarettes. The EU Tobacco Products Directive allows the Netherlands to have an age limit. The effect has been delayed, while the health gains lie before the picking up. I was therefore somewhat surprised that this morning I was able to read in the Volkskrant that the Secretary of State is going to the Council of Ministers tomorrow, stating that it was his own initiative. I am glad that he has now incorporated it as his own initiative. Of course, I would very much like this to be dealt with as soon as possible. Can the Secretary of State state state, while we are here, why this has not been done in the past year and at what time he expects to be able to arrange this? I really want to point out that we have been waiting for this for some time. I urge him to speed up this and send a timetable for its elaboration to the Chamber. Can the Secretary of State also comment on the possibilities of countering the advance of other cigarette-like products, such as the shisha pen and the bong? I've asked questions before about winning shisha pens on fairgrounds and promoting that product as something innocent. Will the proposal by the Secretary of State to the Council of Ministers tomorrow to prevent the sale of such products succeed? I'd like a response from the Secretary of State. Raising the minimum age is a long-cherished wish of ours. It means not only that young people are no longer allowed to buy tobacco products, but that many schools are also strengthened in their fight against smoking in the schoolyard. Mrs. Dik already referred to her motion. A still too large group of young people under the age of 18 start smoking. In order to protect our young people from the harmful effects of tobacco, it is very important to have a clear view of the size, composition and motivation of the group of young people who choose to smoke. During the budget debate, my party has therefore called for attention to be paid to good monitoring of smoking behaviour in young people. The Secretary of State has chosen a new design for the lifestyle monitor. With this new form, we are losing sight of an important group, namely young people over the age of 16, young people not going to school and young people on the MBO. It is precisely now that the age limit has been raised that we think it is very important to get a look at that group. Mrs Bruins Slot also referred to the smoking monitor youth that was performed until recently and gave a good view of the smoking behaviour of the group of 16- to 18-year-olds. I'd like that monitor restored. I'd like a response from the Secretary of State. On this point, too, my group is considering a motion. We think it is very important that we keep a close eye on this group. Finally, I would like to commend the Secretary of State for the progress on this dossier. This has been different in previous Cabinets. We are not here yet, but I welcome the proposals that the Secretary of State is going to the Council of Ministers tomorrow, as stated in the Volkskrant. I therefore expect that he will be able to inform us quickly about what has been discussed tomorrow and that the cabinet response to the reports sent to the Chamber for the summer will not be too long, so that we can look at an effective and coherent package of smoke discouragement measures. This will enable us to take a further major step in the fight against smoking.
