ParlaMint-NL_2015-12-08-tweedekamer-18.u1	Then I give the floor to Mr Van Meenen of D66.
ParlaMint-NL_2015-12-08-tweedekamer-18.u2	Mr. Chairman. On behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, I would like to make three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas educational renewal and development of the teacher are of great importance for the quality of education;]] [[Whereas teachers in primary and secondary education need sufficient time to shape this at a high level;]] [[calls for a maximum number of teaching hours of 20 hours a week per (full-time) teacher for secondary education and eight days a week for a full-time teacher in primary education;]] [[calls on the government, in consultation with the educational field, to draw up proposals for this purpose, giving teachers time and space to improve, broaden and/or deepen,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there are currently many policy dossiers that have a major impact on the teacher's profession;]] [[Whereas teachers should be involved in the development of this policy and a well-organised professional group should be able to strengthen this process;]] [[calls on the Government to actively promote the teaching cooperative to be the representative body for the profession of teachers, administered by teachers, directing the form and content of the teacher register, and fully involved on behalf of teachers of, inter alia, the government in policy development,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas learning to deal with the digital world and learning to program can help them to think problem-solving and creative;]] [[Whereas digital skills, including learning to program, will undoubtedly become part of the curriculum in the coming years;]] [[noting that there are currently too few teachers who can teach in this field;]] [[calls on the government to come up with a plan to make digital skills and programming part of teacher training,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27923-212]] [[This motion has been proposed by Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27923-213]] [[This motion has been proposed by Members Van Meenen and Ypma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27923-214]]
ParlaMint-NL_2015-12-08-tweedekamer-18.u3	Mr. Chairman. I'm filing two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that a group of teachers in the manifesto Teacher 2032 advocated the establishment of a National Teachers' Council with which teachers would play a central role in, among other things, curriculum development;]] [[Whereas teachers should not only be involved as a sounding board in innovations and developments that directly affect their work;]] [[Whereas it is part of a professional culture that teachers also have direct control over the interpretation and design of their work both at school level and at school level;]] [[calls on the Government to:]] [[consult with at least the initiators of the Teacher 2032 manifesto and the educational cooperative to discuss the possible content and organisation of a National Teachers' Council;]] [[inform the Chamber of the outcome of these consultations by March 2016 at the latest,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the training of new teachers is being developed in cooperation between training institutes and schools contributing to:]] [[a. acquiring knowledge and basic skills;]] [[b. connecting and preparing for educational practice;]] [[c. to respond to individual learning questions and the formation of the professional identity of students;]] [[noting that cooperation and coordination between teacher training and schools is already being encouraged and subsidised in the context of education in the school;]] [[Considering that research on the impact of school education on the professional skills of starting teachers will be completed in 2016 and that the government will discuss with the NRO what additional research is desirable and possible;]] [[noting that the government seems willing to examine whether further elements of teacher training could be developed in the school in addition to the traineeships;]] [[Whereas intensive cooperation and coordination between training institutions and schools will benefit from small scale and tailor-made work, so that institute trainers, school trainers and students can jointly shape and content quality education;]] [[calls on the Government to:]] [[inform the Chamber in 2016 about the (part) outcomes of the school education research carried out by the University of Groningen, once this has been completed;]] [[In the short term, consult with the NRO on additional research into the effects of Training in the school, including the desire to conduct research into the elements that can be developed in addition to the internship in the school;]] [[the Court, on the basis of the results of the studies carried out before the end of 2016, to make a proposal for any substantive adjustments to the Training Schools Grant Scheme,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ypma and Mr Rog. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27923-215]] [[This motion has been proposed by Mr Ypma and Mr Van Meenen. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27923-216]]
ParlaMint-NL_2015-12-08-tweedekamer-18.u4	Mr. Chairman. I'm only filing one motion, but a very good one. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the policy freedom of employers in education is high to place unauthorized teachers in the classroom, as there are numerous exceptions to the competence requirements for teachers, particularly in the MBO.]] [[noting that teachers can be appointed to the MBO while they are unauthorized and have no obligation to undergo training;]] [[considers that the teacher's profession is a subject with corresponding standards, for which a diploma must be obtained;]] [[calls on the government, in the plan of action, to reduce the number of exceptions to the requirements of competence and to pay particular attention to the MBO,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-27923-217]]
ParlaMint-NL_2015-12-08-tweedekamer-18.u5	First, the Minister will speak.
ParlaMint-NL_2015-12-08-tweedekamer-18.u6	Mr. Chairman. I shall deal with the motions for resolutions on items Nos. 214, 216 and 217 and the Secretary of State on the motions on documents No. 212, 213 and 215. In his motion in part No. 214 asks Mr Van Meenen for a digital skills approach and also for programming to be part of teacher training. I ask Mr Van Meenen to hold that motion until I present the plans for the platform's response to teacher training. If Mr Van Meenen does not wish to hold the motion, I advise against the motion. The reason for this is that it is important to think carefully about what teacher training should learn. They have to be responsive, but at the same time there is a lot going on in teacher training. We really want to get away from saying that every time we all think a new part is important, they should do so. The Secretary of State is working on the platform Education2032. I would like to wait and see the results of that. Then I come with the platform responsibility teacher trainings. That is the time to think about what needs to change in teacher training.
ParlaMint-NL_2015-12-08-tweedekamer-18.u7	This is a convincing argument. I'll hold the motion.
ParlaMint-NL_2015-12-08-tweedekamer-18.u8	At the request of Mr Van Meenen, I propose his motion (27923, No. 214), as last amended by Regulation (EC) No 214/1999. That is what is decided.
ParlaMint-NL_2015-12-08-tweedekamer-18.u9	Now I'm going into the Ypma motion on part No. 216, it's about training in the school. We have talked about this extensively. Let it be clear that I am also in favour of much more training in the school outside the internships. I see a lot of development in cooperation. Cooperation between schools and training is getting better and better. I also see the conclusion of sustainable partnerships. On my tour of the teacher training courses I have seen some nice examples of this. Tomorrow and the day after tomorrow I will be in Cambridge and Edinburgh for a work visit on teacher training and on cooperation between schools and teacher training. I am therefore largely in agreement with this motion when it comes to getting a good picture. Mrs Ypma has added a number of requirements. The motion calls for consultation not only with the NRO, it goes without saying that I am doing so, but also to share the results of the research carried out by the University of Groningen with the Chamber. I'm willing to do that. I shall therefore inform the Chamber of the conclusions which I draw from them, including the discussions with the sectoral councils that I will be holding in the near future. If I may interpret the motion in this way, I'll leave the verdict to the Chamber. Finally, I come to the Van Dijk motion for a resolution on item No. 217 on the plan of action on unauthorized teaching in the field of MBO. During an earlier AO, a letter was promised in the first quarter of 2016 about powers in the MBO. Part of this is about the discussion the Secretary of State is having with the Chamber with the plan of action for unauthorized persons. However, there is a specific problem at the MBO, which means that we have to look for tailor-made solutions. In the MBO we have many more people in practice than in the other education. I want those people from the practice there, too. Of course I want them to be competent, but this may require different requirements from those of primary and secondary education. The Chamber has already been promised a letter for the first quarter. We have also discussed specific aspects of the MBO before. So I do not see any added value in this motion, above what has already been promised. In my opinion, she is superfluous and I advise against her.
ParlaMint-NL_2015-12-08-tweedekamer-18.u10	I give the floor to the Secretary of State.
ParlaMint-NL_2015-12-08-tweedekamer-18.u11	Mr. Chairman. The motion in part No. 212 by Mr van Meenen is about space and time for teachers to work on their own professionalization. I would point out that this is also one of the things we agreed on in the National Education Agreement. Time and space have become available. This was then translated into collective agreements. I also think that the new law on teaching time is a huge help for schools to be more flexible in making schedules and to be able to free teachers to participate in such activities. Mr Van Meenen does not think that this is enough, as this motion shows. I understand his point of view, but I still advise against this motion. This means that children in schools end up receiving significantly less lessons, and I do not think they should suffer. Then I come to the motion on part No. 213. I can actually come up with a lot more, but I would like to see if I can agree with Mr Van Meenen on that. If I take the operative part of the motion literally, I have to advise against it. There are a few inconsistencies, for example that the Education Co-operation should direct the form and content of the teacher register. I have just agreed that this will be the responsibility of those who register and not of the organisation. The Education Co-operative may be pulling the cart, but in the end its management and organisation are in the hands of registered teachers. That's one of the reasons why I can't join this motion. I fully agree with the move towards a more representative body, which is representative of the profession. I believe that this development has also been initiated by the Education Co-operation. For example, there are activities around the teacher's manifesto and the Teacher's State, involving teachers to say something about their profession. It is said that precise governance must also be managed by teachers. I do not rule out the possibility that this will be the case in the long term. However, I think that is a very important step in the freedom of association. It is up to the Education Cooperation itself to make decisions about it. In other words, if the motion is more general, I can go a long way with it, but with such a precise operative part I can't get out of my way.
