ParlaMint-NL_2015-04-22-tweedekamer-3.u1	Good morning. I give the floor to the first speaker, Mrs Leijten.
ParlaMint-NL_2015-04-22-tweedekamer-3.u2	Mr. Chairman. On 4 March, we had a general discussion on the Health Insurance Act and the functioning of the healthcare system. We also talked about the fact that the healthcare system slowly but surely comes to a standstill, squeaking and squatting, especially when you look at the administrative burden and the interference of health insurance companies with, among others, general practitioners. I would like to make a motion on that. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that general practitioners suffer heavily from bureaucracy and interference by health insurers;]] [[considers that health insurers should not sit in the chair of general practitioners;]] [[noting that due to the market functioning of the Health Insurance Act, general practitioners are unable to cooperate optimally;]] [[calls on the Government to ensure that market forces do not apply to general practitioners,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29689-601]]
ParlaMint-NL_2015-04-22-tweedekamer-3.u3	I talked to the Minister about the budget policy. That's a policy where you don't get compensation if you go to a health care institution that hasn't got a contract from the health insurance company. I find this policy undesirable, but I know that there is currently no majority in favour of a ban. I do think we should know how people actually get that budget policy. I've heard too many people who didn't know. In their case, a collectivity is simply converted from a natural policy into a budget policy. I've requested an investigation into that. The Minister doesn't want to do that. That's what my next motion is about.
ParlaMint-NL_2015-04-22-tweedekamer-3.u4	Mrs Leijten is right to ask for this. Last Friday we had a round table. The budget policy has been discussed in detail. Some thought he was undesirable, too. The Round Table also showed that no rules at all can be imposed on insurers in the context of competition on the type of policies they offer. I wondered whether Mrs Leijten took this into account when drafting this motion.
ParlaMint-NL_2015-04-22-tweedekamer-3.u5	Oh, yeah. I still have to read the motion. I would prefer that we ban it. If that is not legally possible, we must make it possible. I would now like to put forward a motion to clarify the grounds on which people have entered into a budget policy. Like I said, I've talked to several people who face high bills when they didn't know they had a budget policy. You've been in a collection for years with a health insurance company where you're satisfied. Then suddenly it turns out that the character of your policy has changed. I've asked the Minister to map out how many people that happened. She doesn't want to do that. The request for such an investigation has been included in a motion for a resolution. By the way, during the round table and in the documents we have been sent, I have seen that the health insurance companies are scratching behind the ears about this budget policy and that they have already said that they will arrange for the future that people know what they are saying yes to. It's 600,000 who have a budget policy.
ParlaMint-NL_2015-04-22-tweedekamer-3.u6	My party is also very much in favour of transparency. Perhaps I have been a little premature, but I responded to Mrs Leijten's introductory remarks. I thought: now there will be a motion asking for a ban on the budget policy. It is good to hear that Mrs Leijten does not ask that.
ParlaMint-NL_2015-04-22-tweedekamer-3.u7	I suggest you read the motion now, Mrs Leijten.
ParlaMint-NL_2015-04-22-tweedekamer-3.u8	I would have asked the Minister to amend the law so that it could. Again, I'm not going to table that motion, but the next one is. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that there are people who have a budget policy with all its limitations without their knowledge;]] [[noting that collections have moved from a natural policy to a budget policy;]] [[believes that people should know how they are insured and what the consequences and risks are when a policy changes;]] [[calls on the government to map out how the 600,000 people with a budget policy have closed down,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Leijten. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29689-602]]
ParlaMint-NL_2015-04-22-tweedekamer-3.u9	I would like to make the following point. If you change health insurance and consciously opt for the risks of another policy, that's a very different situation than when your collectivity automatically goes through and you think it's okay.
ParlaMint-NL_2015-04-22-tweedekamer-3.u10	Thank you. Mrs Voortman, who had applied as the second speaker, I do not see. I give the floor to Mrs Bouwmeester. I see he doesn't want the word. I shall then give the floor to Mrs Dijkstra.
ParlaMint-NL_2015-04-22-tweedekamer-3.u11	Mr. Chairman. I'm here and I have a motion, too. In that sense, there was a little confusion, because I looked at Mrs Bouwmeester with the question: are you going to talk? As I said, we held a general consultation on the health system on 4 March. During these consultations, the system was discussed in all its facets. I asked the Minister what she thought of the fact that goodwill is still being demanded from general practitioners. I have prepared a motion for a resolution on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that sometimes goodwill is still sought from general practitioners;]] [[considers that this is undesirable;]] [[calls on the Government to examine the extent to which goodwill is paid in the acquisition of general practitioners' practices and, if so, to take measures to put an end to this right away,]] [[and goes to the order of the day.]] [[This motion has been proposed by Member Pia Dijkstra. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29689-603]]
ParlaMint-NL_2015-04-22-tweedekamer-3.u12	Which keeps coming back, and that's also evident from the motions,...
