ParlaMint-NL_2015-06-11-tweedekamer-3.u1	I would like to welcome the Minister of the Interior.
ParlaMint-NL_2015-06-11-tweedekamer-3.u2	Mr. Chairman. I have four points I would like to make. Let me start with a procedural point that's kind of in my throat. Last week we were also here and it was also covered by the Re-use of Public Sector Information Act: the Minister is in the process of highlighting a number of elements of the Open Government Initiative Act, which Mrs Voortman is working so hard on. In the Re-use of Public Sector Information Act there was still something to be said for the implementation period that applies from the Union, but in this legislative proposal on the penalty payment, that understanding is much less with my group. It is good practice in this Parliament that the government is reluctant to take initiative laws and at least does not cross them. But that's exactly what's happening here. I must quote former Prime Minister Balkenende in this regard. He said that the essence of an own-initiative proposal is that first the Chamber is called upon and that the role of the cabinet is reserved. That's what he said in 2007. Does the Minister agree? Can he explain the relationship between the government and the Chamber in this respect? Why didn't the Minister first try to speed up the progress of the Open Government Act, the Woo, in consultation with the initiators? Isn't that the royal, courteous, parliamentary and chic road? I told you, this is a bone in our throats. My group is not taking this lightly. My second point concerns content. As messy as the trial goes, so messy is the content of the law. There is a lack of coherence. You cannot simply abolish the penalty payment scheme for the WOB without changing the context. Then you solve a problem with the government possibly superficially, but in reality you only create new problems again. I'll give you two. Firstly, the position of citizens vis-à-vis the government will deteriorate if there is no more good and simple means of enforcing rights. This is an obstacle to the citizens, but of course it is also an obstacle to journalism, which seeks to find out the truth. That's her job, too. Secondly, I would say: listen carefully to the ordinary Dutch. They are stuck in reluctant governments, which make abundant use of black tips, Tipp-Ex and improper exceptions and rejections. This is ultimately at the expense of public confidence in the government, and that is precisely a responsibility for which this minister has also been hired. My group would like to see a modernisation of the existing Public Administration Act. Of course, we would prefer to see this happen with Mrs Voortman's own-initiative proposal, to which my group has also contributed. You need to look at things in context. There's got to be a register. Public sector organisations should ensure that they disclose their information at the front. That leads to a culture change and you have to take the time. That's a system approach and not picking one thing out. The third point concerns costs. In the context of access to information, my group asked for the registry rights in the written round. A new means of enforcing a decision is the direct appeal to the administrative judge. For that, if it is up to the government, registry fees must be paid, which are high: about €167 at a time. I would just like to repeat it to the Labour Party, because its spokesman will of course say the same: there are plenty of people who cannot raise or prefinance this amount. Even if they get it back later, this is a bit weird mechanism. We have asked about this in the correspondence. In response to the questions whether you could postpone those costs or, if better for the courts, compensate in advance, came only as an answer that it does not fit into the system. If the citizen is benevolent, he can be compensated afterwards. Period. My group does not think that is an answer. The Minister thus opens up the right to information only to those who can take the risk of losing the registry rights and those who can advance them. The conclusion of this third point is that a new high financial barrier is actually being created for the right to information that every citizen, every journalist in this country has. My group cannot cooperate in raising this threshold. My fourth and final point is actually the most important. You always have to ask yourself, in every legislative proposal, what is the problem to be solved with it? If the Lower House doesn't ask that question, the Upper House will. Yes, Mr. Chairman, I see you're completely... no, of course I can't say that. Let me start again: what problem should this be solved? Then, in correspondence, the Minister refers to three investigations: an investigation by Research for Policy into the extensive and improper WOB requests, the Monitor Law penalty payment and the evaluation of three acceleration instruments from the AWB. This should make it clear that the problem is enormous. I quote from one of the reports: "The questioning of the extent to which improper requests occur is difficult. Indeed, there may be a large difference between administrative bodies in the perception of what is or is not wrong." Thus, the fact is that all these studies are based on perception, opinion and surveys rather than counting and polling. Where's the problem? Where are the numbers? This is nowhere to be found in the report. The report only creates a huge problem on the basis of perceptions, ideas and suggestions. If you look through it, you can see that there's actually no problem at all. Where there is a problem, perhaps Mr Van Raak will say something about it, because I am not talking about my own municipality of Dordrecht, you will see that it has been solved very well. So my main conclusion is that there's no problem. This is a limited legislative proposal, which we cannot deal with separately because you need to see it in a whole context. Moreover, a financial threshold restricts public access to management.
ParlaMint-NL_2015-06-11-tweedekamer-3.u3	I have a question for Mr Schouw. If there is no problem with the Penalty and Appeal Act when not deciding in time, why was it explicitly chosen to separate the Open Government Act from that Penalty Act? The explanatory statement does say something about abuse.
ParlaMint-NL_2015-06-11-tweedekamer-3.u4	Yeah, there's abuse; we know that. But we do not know the nature and extent of that. Like I said, it's all about perception. I want to see the first evidence, based on count and stairs, that we've quantified the abuse. The preparation of this debate will also have significance for Mrs Voortman's and me's legislative proposals. So that's what we have to look at very closely together. If we go this way, I see Mrs. Fokke nodding, we're going the wrong way. We are about to hear it from the Minister, but my proposal would be to suspend after the first period and to speed up the process of the Open Government Act in this Chamber.
ParlaMint-NL_2015-06-11-tweedekamer-3.u5	Mr. Chairman. It is a special figure that we are talking about today's cabinet bill. Last week, when the Re-use of Public Sector Information Act was discussed, it was rightly noted that the Penalty Law, like the Re-use Act, is part of the Open Government Act, i.e. the Initiative Act of Mr Schouw and myself. In the written round, the Minister was asked what made his own amendment to the WOB so urgent that it could not wait until after the examination of the Parliament's own initiative law, as in the traffic between Chamber and government is deemed to be decent. The Minister cannot give a clear answer to that. He insists that tackling abuse of the WOB is so urgent that a few weeks' delay justifies passing the initiative from the Chamber. To underline this, the Minister is scattering figures of what it would achieve in terms of savings. Between 8 million and 14 million, he says. However, this concerns all periodic penalty payments, including the many periodic penalty payments granted because administrative bodies do not overcome WOB requests. But in many cases, the problem is not that a penalty payment should be paid for it. The problem is that governments react so late, sometimes out of unwillingness, and sometimes out of inability because they do not fulfil their legal obligation to archive. This problem must therefore be tackled first. Concrete figures on how many cases of abuse are actually involved are not known, as the Minister admits. So this proposal does not solve an urgent problem. It seems to me that the cabinet is not waiting for more transparency in the public administration, because despite all the fine words of the minister, he is merely trying to take away the tools of WOB applicants, rather than strengthening the position of citizens who are asking for information. By submitting his own separate bill, the Minister breaks the carefully constructed balance between tackling abuse and strengthening the position of real WOB applicants. In doing so, the cabinet seems to side with the old administrative regents, who are not waiting for more transparency obligations for the public administration. Those are drivers who think citizens are asking for information, but they find it difficult. GroenLinks regrets that. Why this choice? Why does the Minister not opt for the harmony and balance sheet of the Open Government Act, which we, as proposers, have discussed extensively with him? Why do WOB applicants take away a means of coercion without simultaneously strengthening their position in other ways? I would like to receive a response to that.
ParlaMint-NL_2015-06-11-tweedekamer-3.u6	Mr. Chairman. When I get answers from the Minister to my written questions, I often think: if only I had made a WOB request. Because the constitutional duty of the government to inform Members of Parliament often runs counter to the right of every citizen to request information. Researchers, journalists and other citizens receive a lot of information through requests, solving many problems and addressing abuses. The citizens are not there for the government, the government is there for the citizens. Information doesn't belong to the government. It belongs to all of us. That information must be easily accessible. Requests for information must be dealt with quickly and effectively. In order to promote that, we have introduced the penalty payment. If administrative bodies do not provide information within a reasonable period of time, they will be fined. The Netherlands would, of course, not be the Netherlands again if there were no people taking advantage of it. Like the dubious cottage milker Mustafa Karasahin, who for many years used the municipality of Dordrecht as a milk cow and made hundreds of impossible requests per month, which the pawnshop boss delivered many tons and cost the municipality many tons. Now the Minister says that for around EUR 8 to 14 million a year the WOB is being abused. At the same time, the Minister cannot indicate how many abusers there are. How many people are we talking about? Are there hundreds of them, are there dozens? I believe that every party in this Chamber wants to prevent abuse, but also that no party unnecessarily wants to complicate the work of researchers and journalists. The Minister wants to abolish the periodic penalty payments, but with this a stick disappears to encourage administrative bodies to provide the information in time. Often these WOB requests are of course politically sensitive. It's often about problems and abuses. Especially when it comes to requests from journalists, it will often occur that administrative bodies and government organisations prefer not to deliver, rather deliver, perhaps not deliver completely, or rather deliver only when the storm has fallen a little bit and citizens' attention has passed a little. In the opinion of the SP, abolishing the penalty payment gives governments and government organisations too many opportunities to keep displeasure information under their hats for too long. I believe that abuse of WOB requests can best be addressed by making WOB requests redundant, by making information public as much as possible, for example by making it available online and by making it searchable digitally. In other European countries this is often much better organised than here. Can the Minister tell us how he's going to promote that? An important reason why administrative bodies do not provide information on time is simply because they do not have the internal archiving in order. I find it very remarkable that some governments sometimes need so much time to provide very simple information. With the bill, the Minister does not tackle the abuse but the use of the WOB. The abolition of the penalty payment affects not only those who want to abuse but all citizens who want to get information. We're dealing with a specific problem, with a relatively small group of people taking advantage. The Minister wants to solve this with a general, generic measure that also affects all other people, researchers and journalists. The Minister's proposal is also somewhat naive. If a public organisation says that it cannot comply with an application within a reasonable period of time, the administrative body must consult the applicant on what is a reasonable period of time. If a journalist wants information about fraud, then he must discuss with the relevant organisation what is a reasonable period of time. In doing so, he must indicate what his intentions are and why he should be given that information. I think there may be a lot of reasons for a government organization not to put it on top of the pile. If they do not come out among themselves, the applicant can still go to court, but that costs money, nowadays a lot of money. The court may also order that the Registry fees and the costs of the proceedings are not reimbursed. This law thus creates barriers for researchers, journalists and citizens, and allows public authorities not to provide information within a reasonable period of time. That's not because the WOB doesn't work well, it works fine, but because some people take advantage. Therefore, the SP cannot agree to this law in this form. We need to find a better way to deal with abuse, take on people who commit abuse. I would like to see the Minister explore the possibilities for this, for example, to abolish the penalty payment specifically for those who commit abuse. Mr Schouw mentioned that an abuser from Dordrecht had been dealt with through the courts, but that was not entirely watertight. Isn't there any way to improve that? Can't we give the judge more opportunities to deal with abusers as individuals? I can also imagine that an administrative body which receives a request which it can never reasonably comply with within the time limit will submit it to the court. That way the fine can disappear. What measures specifically aimed at abusers has the Minister himself considered during this legislative process? What were the reasons for opting for a general measure? The SP wants to tackle abuse of the WOB as quickly as possible, but not at the expense of good citizens and journalists and researchers who simply want to do their job. I therefore ask the Minister to come up with an alternative, specifically aimed at abusers. I would also ask the Minister to do this in conjunction with Mrs Voortman's and Mr Schouw's own-initiative proposal on the open government. That proposal is already in the Lower House. I think it would be much better to settle that in one big law and the Open Government Act would be very good for that. Mrs Keijzer has come up with an alternative on my behalf and on behalf of a number of others. I can see that Mrs Fokke has also come up with an alternative. I think it is right for the Minister to state in his response how we can deal with abuse while maintaining the right to obtain information.
ParlaMint-NL_2015-06-11-tweedekamer-3.u7	Mr. Chairman. This debate is going on for 20 minutes and I think the most important point has been made. The most important question before us is: what is the problem that needs to be addressed with this legislative amendment? I have very little idea how big that problem is. What's the matter with you anyway? This change in the law means that the position of citizens is getting worse. The right to information, the cornerstone of democracy, is being undermined and a threshold is being created to make use of that law. What's the problem? Is that the government or are those the citizens? We don't really know much about the abuse. In the explanatory memorandum we read that a large number of WOB requests are received by fax or e-mail from the same administrative body. I have just conducted a small survey in this Chamber, but only a few have seen a fax machine in the last 15 years. I did not ask Mr Van Raak to do that, but he is now shaking no. There is still a fax machine in the Chamber building, as it turns out, but I do not know if anything will ever come out of it. Most people haven't seen a fax machine in the last 15 years, although I understand that the fax machines are mooing with false WOB requests. Wouldn't the information contained in the explanatory memorandum be a little out of date? I've read it harder. We can establish that everyone is a victim. There are a few abusers, but the position of all citizens is now weakened. Why don't we look at some incremental and practical improvements of the WOB? Why not have a second term or a slightly longer term? Why not set up a register for abusers? After all, the Ministry of the Interior is the coordinating department. If the same people always come up with false requests from different municipalities, whether by fax or not, it must be coordinated in such a way that we know this. Make sure the archiving gets better. Why isn't work on such incremental improvements? There is a nice amendment by Mrs Keijzer. I'm very curious to know what the Minister says about that. In my view, it affects the change in the law quite a bit. You could even say it's destructive. I am very curious to know what the Minister thinks of that.
ParlaMint-NL_2015-06-11-tweedekamer-3.u8	Mr. Chairman. Public disclosure of public sector information is a prerequisite for a well-functioning rule of law. That's why we've had the Public Administration Act for 35 years, the WOB. The disclosure of information from the government is a great asset, but in practice the WOB does not always function well. If the authorities do not provide the requested information or do not deliver it in time, the applicant shall be entitled to a penalty payment. This can give an applicant €1,260 if, for example, the administrative board does not provide its information on time. The introduction of the penalty payment in 2009 seemed like a nice stick behind the door to encourage the government to do its job in time. In practice, however, it appears that this stick is being abused. In recent years, it has become increasingly clear that the WOB makes applications which have nothing to do with the right to public sector information. However, they have everything to do with wanting to earn over taxpayers' backs from a government agency that does not provide information in time. That's not using it. It's taking advantage of the WOB.
ParlaMint-NL_2015-06-11-tweedekamer-3.u9	At the heart of this debate is the question: what is the problem? I hear the spokesperson of the VVD saying that there is massive abuse of the penalty clause. That's the problem we need to solve. I have mentioned, like the Minister, a number of reports, but it is not in them. What information does Mr Veldman have on the massive abuse of the penalty payment?
ParlaMint-NL_2015-06-11-tweedekamer-3.u10	I have just listened carefully to Mr Schouw's contribution and I am surprised where D66 stands. I recall that the motion tabled last year by Mrs Fokke and my colleague, Mr Taverne, was supported by D66. In this motion, the Minister was called upon to deal with the abuse. At that time, Mr Schouw apparently felt that there was abuse. Now I hear him saying he doesn't see this. At the same time, I see that he has included in the initiative proposal he has submitted together with Mrs Voortman the abolition of the penalty payment in the disclosure of information. Is it one or the other now? I do not quite follow Mr Schouw.
ParlaMint-NL_2015-06-11-tweedekamer-3.u11	This is not entirely an answer to my question, but that's okay. It's a second question I'd like to answer. There were suspicions. That's what all the good reports show. At a time like this, you assume that the Minister is looking very closely at the nature and extent of the problem. That didn't happen. I hope and expect the VVD spokesperson to be so fair to acknowledge that. After all, the Minister himself writes that he does not know the nature and extent of the problem. The abolition of the penalty payment is contained in our initiative proposal, because it is embedded in a much wider context of, among other things, an information register. You can't just take out the kitchen door without looking at the whole house. I repeat my question: what quantitative data does the VVD group have to show the nature and extent of the misuse of the penalty payment?
