ParlaMint-NL_2015-11-17-tweedekamer-21.u1	Mr Verhoeven is already ready for his input.
ParlaMint-NL_2015-11-17-tweedekamer-21.u2	Mr. Chairman. This would have been a hammerpiece, had it not been for D66 to have decided to break this law, as it is so fine, because we would like to have a brief debate with the Minister for Economic Affairs on this law. We have an amendment in preparation, which I have not yet tabled. In this debate, I will put a question to the Minister for Economic Affairs and then submit that amendment in a certain form. In recent years, we have seen numerous serious cartels. Philips made price agreements in various cartels about chips in smartphones, bank cards and television parts. Vinegar makers agreed prices for industrial natural vinegar and price agreements were made by producers of food packaging, glass cleaners, vegetable growers, taxi carriers and flour producers. Millions of consumers have therefore paid far too much for products and services. This is detrimental to consumer confidence in the relevant markets and businesses. Moreover, such practices constitute a serious obstacle to competition. This is detrimental to internal competitiveness and thus to the competitiveness of the Netherlands in the rest of the world. Competition is essential for well-functioning markets and forces companies to innovate. Within its own borders, competition helps the Netherlands to compete in the world; this is good for economic growth and employment. In order to avoid this behaviour of cartel formation, a strong supervisory authority is needed which can issue dissuasive fines. Without this incentive, it is, as the Minister himself said, mop up with the tap open. According to SiRM's investigation, the maximum estimated benefit of participating in a cartel is 98% of the parties higher than the expected fine. I conclude from this that the current policy is hardly a deterrent. It is good that this Minister wants to increase the fines. He doesn't go far enough, however, as far as D66 is concerned. First of all, I have a few questions about the maximum fine. Why is €900,000 chosen? In the written reply, the Minister refers to SiRM's investigation, while it has just been commissioned by the Minister to investigate raising it to €900,000. Why was that amount chosen? I'm getting to the relative penalty limit. The Minister sets the ceiling at 10% of turnover times the number of years the cartel was active, with a maximum of four years. I do not read in the Minister's explanatory statement a good basis for the maximisation of this fine. SiRM says that in order to have a deterrent effect, the expected fine must be higher than the benefit of participating in a cartel. In the case of a fine limited to four years, this means that the fine only deters the first four years of a cartel. If the cartel lasts longer, there is hardly any more deterrent effect. You're rewarding long-term price agreements, as it were. With regard to D66, the starting point is that companies pay a fine over the entire duration of a cartel. If a cartel lasts ten years, as far as we're concerned, you'll pay a fine over the ten-year period. That's how the fine becomes really terrifying. Of course, in this case too, the ACM must consider the reasonableness of the fine and the capacity of the parties to determine the fines to be imposed, as it is already doing. It always is. I have an amendment to that effect in preparation, as I have just said. It's just ready. I just haven't filed it yet, because I understand that it would not be legally possible to remove the four-year ceiling. That is why I would like to hear from the Minister first of all how this is done, before I table that amendment. At the beginning of my speech, I said that consumers suffer from price fixing. The European Cartel Damage Directive was therefore adopted in 2014. The consultation on its implementation runs until next Sunday. When does the Minister expect to send the bill to the Chamber?
ParlaMint-NL_2015-11-17-tweedekamer-21.u3	Mr. Chairman. Given the time, overall slackness and more important things, I will drastically shorten my input to its core point, namely my amendment. I also agree with Mr Verhoeven's question as to why the ceiling is four years. Why can't the ACM look at a period of ten years when a cartel has lasted ten years? The ACM weighs on the fine whether a company goes bankrupt, because we have to avoid that with regard to the PvdA. A cartel fine should not be so high that a company goes bankrupt, which then leads to job losses. Let me concentrate on my most important point: the pension sector. I have tabled an amendment to that effect. Maybe now people are thinking: we're talking about the ACM, aren't we? It's weird, isn't it? What does the ACM do with the pension sector? That's not really a market, is it? In fact, for the second pillar pension there is no market at all, because you are obliged and have no choice at all. We should therefore welcome the consolidation of pension funds. There are even people who believe that there should be only one pension fund in the second pillar. The PvdA Group is grateful to the Minister for having carried out the motion I tabled in December 2013. As a result, the merger test for pension funds is limited. We have now tabled an amendment to raise the threshold at which pension funds must report. At the time, we were talking about perhaps the ten largest pension funds. The change made by the Minister is about the largest twenty. Our amendment actually means that only the pension funds listed in the top 15 have a notification obligation. We do this by raising the lower limit of 100 million to 200 million for the smallest pension fund participating in the merger. We want to give impetus to the necessary consolidation process. Cost control and professionalisation in this sector require fewer pension funds. There is also no completely free market. Participants are stuck. We recognise that there are competitive effects for the suppliers of pension funds. The pension funds are given greater purchasing power, but this is in principle in favour of the participants. As pension funds are concerned with them, therefore, they do not suffer any negative consequences. On the other hand, the merger test leads to higher costs, namely €45,000 per test, while it is often known that it is pointless to do that test. Besides, this is gonna take time. In addition, AFM and DNB already supervise pension funds. If we want a strong government that works efficiently, the PvdA Group believes that additional supervision by the ACM is not necessary and only leads to additional administrative burdens. Mr President, I have been brief, especially for you.
ParlaMint-NL_2015-11-17-tweedekamer-21.u4	Thank you very much, Mrs. Vos.
ParlaMint-NL_2015-11-17-tweedekamer-21.u5	Mr. Chairman. We have already stated in the written round that we have some reservations about this law. I shall now go into more detail. The CDA endorses the Government's objective of increasing the effectiveness and impact of the Authority's market surveillance. The government wants to do this by increasing the deterrent effect of the legal penalty ceilings and thereby also increasing the efficiency and effectiveness of the market surveillance of the ACM. Important points on which the CDA has taken into account when reviewing the law are the underlying thoughts of the legislative proposal, namely the principle of proportionality and the possible side effects. These side effects may consist of imposing higher fines on small entrepreneurs who act in breach of the law through clumsy or ignorance. In addition, the CDA has questions about the impact of the law on the ACM's capacity. The Minister said that the principle of the law is that the fine imposed must be proportionate. Higher fines will not automatically lead to higher fines. This is striking, because in the 2012 government agreement of the VVD and the PvdA, the government seems to be moving in a very different direction. Measure 84 of the Government Agreement provides that the fine revenue during this cabinet period is gradually increased on top of the already existing penalty estimate. The additional revenue from fines on the market is estimated in the government agreement at 75 million in 2014 up to 125 million in structural terms. This is, according to the government agreement, because the fines will be increased in terms of market forces, because more cartel fines will be imposed. However, in 2014, the fine imposed by the ACM on companies was only 7.5 million. This shows that an independent supervisor is not being directed. The Minister wrote in a letter to the Chamber in 2013 that the image in the coalition agreement is unrealistic. In the note following the report, the Minister even states that the additional penalty revenues for market operation from 2017 will be structuralally only 10 million. The question remains where the big difference comes from between the now outlined 10 million in 2017 and the previously outlined 125 million in 2017 from the government agreement. As a result, I would like to ask how this gap is covered in the budgets of EZ. The PvdA Group's questions show that it wants to know whether the objective of the government agreement to bring in more fines is still within reach. Well, that surprised us, didn't it? The Minister's statement that the increase in fines is not at all an objective of the legislative proposal is therefore surprising. Where does the government's change of direction come from? Has the Minister perhaps never supported this point in the coalition agreement? What is the real reason for this change of law? Is that increasing the effectiveness and impact of the ACM or filling the treasury? I would like a clear answer to these questions. With this bill, the ACM will have the opportunity and the space to impose a higher fine on offenders if this is at issue. It is striking that the chairman of the ACM, Chris Fonteijn, indicated in NRC Handelsblad of 11 April 2015 that he is not yet convinced of the deterrent effect of higher fines. He prefers companies to voluntarily improve their behavior. That is why he wants to focus on innovative supervision. In this context, he speaks, for example, of normative discussions. This raises the question of the extent to which there are sufficient good normo-treating discussions between the Ministry and the ACM. According to the Minister, does Mr Fonteijn have a point? For the CDA, it is very important that this bill does not result in higher fines being imposed on smaller companies who, perhaps due to clumsy or ignorance, act in violation of the law, while large fraudsters who deliberately break the law escape the dance. The Minister indicated that the draft law does not change the cases where the ACM may impose a fine on offenders or the circumstances under which such a penalty may be applied. Furthermore, in cases where an error is likely to be made out of clumsiness or ignorance, the ACM continues to be able to opt for less far-reaching supervisory tools. However, this does not entirely reassure the CDA.
ParlaMint-NL_2015-11-17-tweedekamer-21.u6	Mrs Mulder is very concerned about clumsyness and resulting high fines for smaller companies. Can she give an example of a cartel formed purely on the basis of clumsiness?
ParlaMint-NL_2015-11-17-tweedekamer-21.u7	It is right that D66 should ask this question. When you talk about the big cartels, I'm thinking about the example of the television screens Philips was involved in. D66 just brought that up himself. For those companies, it's a calculation at some point. If you stop that calculation after four years, it doesn't actually have a deterrent effect. I can follow that line of reasoning. However, we are more concerned with the next point. I'll get back to you on that. There have been 32 of them lately and 24 of them are small. It amounts to EUR 7.5 million. In imposing fines, the ratio is a bit lost. You're not talking about the megacartels. I was just talking to entrepreneurs yesterday. They sometimes gave the impression that the UWV is very consciously looking for mistakes that small companies make. They are then constantly getting in the way and we do not want to achieve that. That's what the CDA's worried about. If the Minister removes those concerns today, we might vote for this bill. However, if that does not become very clear, we will not vote for it.
ParlaMint-NL_2015-11-17-tweedekamer-21.u8	I get that. I'm genuinely looking for the CDA's care. The CDA is normally a party that pleads for heavier penalties in the event of infringements. D66 is totally in line with the CDA on the point that we should not unnecessarily penalise or tax small businesses. However, in the event of an infringement, a supervisor can always say that it happened accidentally. Then the very high fine doesn't apply. So the limit you set in the law doesn't have so much to do with the treatment of a company that accidentally formed a cartel. Is there really any reason to change the law for that, while the judgment remains with the supervisor?
ParlaMint-NL_2015-11-17-tweedekamer-21.u9	You can see that so far it's not working out so well for the smaller companies. It therefore seems more interesting to bring in these additional funds. That is also the CDA's objection, namely that smaller companies are being dealt with because this is easier than dealing with the big boys. This happens when we all agree here that it is precisely the big boys that need to be dealt with, if it turns out that they make a calculation and thereby harm the whole of society. I think that is perfectly clear. In the same NRC article of 11 April 2015, competition lawyers criticised the ACM for failing to address complex cases. The fact that this problem is more common in the Netherlands also proves the fraud approach in social security and in the labour market. The government eventually had to amend the Fraud Act after a court ruling and sharp criticism by the National Ombudsman and the House of Representatives. Can the Minister indicate how it will be possible to prevent a lack of decisiveness in large cases from being compensated by the passing of fines in very small cases? Have complaints from small businesses been received by the government or other bodies about this type of practice? Has the government learned from the problems caused by the Fraud Act? The CDA has read in its reply that in the last five years 32 offenders have been fined the maximum legal penalty in seven different cases. Of these 32 offenders, 24 are small, with an annual turnover of around 10 million or less in the year preceding the fine decision. Then what is the Minister's explanation for the fact that so many smaller companies are involved? The CDA has asked the government many questions about the ACM's capacity. In fact, the Minister has hardly answered this question. The ACM indicates that the increase in legal penalty ceilings requires specialist knowledge and an additional capacity of around €200,000. The Minister states that the government has a more conservative assessment of the impact of the bill on the budget of the ACM. So he expects it to be lower. Can the Minister indicate the cause of the differences in assessment? According to the government, does the ACM have the necessary specialist knowledge? What specialist knowledge is this, according to the Minister? If the bill will lead to a larger capacity attachment to the ACM, the government expects this to be met within its formation, without compromising the existing supervisory capacity. On what basis is this expectation based, the CDA wonders. Can the government indicate how the formation will change if the bill will lead to a larger capacity attachment to the ACM? The government also indicates that an appropriate solution will be sought in consultation with the ACM if bottlenecks in the ACM arise in the performance of its legal tasks. Can the government indicate what solutions are envisaged? To what extent is the Chamber still involved in this? Finally, I have three questions. First of all, I would like to ask whether this bill concerns only administrative fines in the areas of economic affairs and infrastructure and the environment. Or is it also about administrative fines in other areas, such as care? According to the minister, it's not the law's goal to increase the chances of getting caught. It is about increasing the preventive deterrent effect of the penalty ceilings. The Minister is right to say that the streamlining law, which entered into force last year, contains measures to increase the chance of taking parts. According to the Minister, is the chance of getting the best of it or can it be improved further? If so, does this law offer the possibility to do so? Then there's my last question. Why did the government abandon the ACM-wide payment scheme? This has not yet become clear to us in the reply. It may be clear that the CDA supports the D66 questions over the four years, because it is very strange that, if you can still make the calculation and it is convenient to do it in ten years, we would encourage it with this law.
ParlaMint-NL_2015-11-17-tweedekamer-21.u10	Mr. Chairman. Well-functioning markets require a strong market master, one with teeth. Companies that break the rules must be dealt with hard. The approach must be terrifying. Sanctions and opportunities must be such that companies leave it out of their minds to violate the Competition Act. The VVD therefore welcomes the Minister's proposal to increase the fines that the ACM may impose. The proposed maximum fine of €900,000 or 10% of the annual revenue will soon be among the highest fines within the EU. To companies, the government shows that it does not accept fraud and cartel agreements. It also does not accept that the consumer should unknowingly draw the wallet for the profits of a company. In future cartel fines will also involve the number of years a cartel has existed, up to a maximum of four. The fine may thus amount to up to 40% of the annual turnover. If it's a recidivist, the fine will be doubled. Those who do not want to listen must feel, this proposal breathes. The VVD welcomes these proposals. Many fines imposed by the ACM are challenged before the courts by the undertakings concerned. Some of these fines are adjusted lower by the judge. How does the Minister view this? How is an increase in fines and their deterrent effect compatible with a practice whereby those fines are adjusted by the courts? The VVD wonders why the fines for the BES islands, as laid down in this law, are not increased. Why is the preventive deterrent effect not necessary on these islands? Right there, you could say. Can the Minister explain why he is maintaining the current ceiling of $56,000? The ACM also supervises pension funds. Such supervision shall be based on the same standards applicable to all undertakings. Understandable in itself, because pension funds should not restrict competition, not even through mergers. However, the notification thresholds currently applied by the ACM are such that almost all mergers must be reported and assessed, including mergers between very small or between large and very small pension funds. That seems to us to be an unnecessary administrative burden. The Minister agrees. The bill therefore rightly raises the thresholds. This saves small merging pension funds and the ACM a lot of time and costs. Small pension funds can save costs by merging and they are better able to invest in what they are here on earth, namely to pay good pensions to their customers. We also see small pension funds having difficulty finding capable directors. Mergers can partly overcome this problem and thus contribute to the professionalisation of the Chamber. We agree with the Minister's proposal, but Mr Mei Li Vos's amendment sets the threshold for small pension funds slightly higher than in the legislative proposal. In itself, an interesting thought from Mrs. Fox. How does the Minister feel about that? How does he see the balance between reducing administrative burdens and professionalising pension funds on the one hand and sufficient competition on the pension market on the other?
ParlaMint-NL_2015-11-17-tweedekamer-21.u11	Mr. Chairman. The PVV is positive about the scope of this bill. Stricter penalties for companies that dup Dutch consumers with their infringements, of course, the PVV is in favour of that. We think it would have been more logical if this had been dealt with immediately with the streamlining act ACM, but it is good that this is happening now. We're wondering why the cartel fines are limited to four years. Fines must not only be dissuasive, they must also be fined for the entire period during which the company was in breach. Why would we want to limit the ACM in this? Indeed, the investigation shows that the advantage enjoyed by participating in a cartel is almost always higher than the fine received. Why is it that the Minister is not seeking compliance with existing deadlines in the legislation? For example, the Tax Administration already has a recovery period of five years if you have made an incorrect declaration. Companies are also obliged to keep their records for seven years. Evidence for cartels is therefore as easy or difficult for seven years as it is for four years. Can the Minister explain why such a relatively short term was chosen as four years? Can the Minister also explain what happens to the fines imposed if the EU takes over the ACM's investigations? Fines imposed by the ACM go to the Dutch State but if the EU takes over a cartel case and imposes a fine, where does that fine go? Can the Minister explain that system? As far as the PVV is concerned, that fine is returned to the victims. Finally, the PVV considers it particularly important for the responsible directors to be punished for violations detected by the ACM. After all, people in the workplace can do little about it if their employer cons on consumers. Can the Minister indicate to what extent directors are personally liable for, for example, cartel infringements and what sanctions apply to them? Is the Minister satisfied with these sanctions or is it appropriate to tighten them up?
