Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-06-16-tweedekamer-30	ParlaMint-NL_2015-06-16-tweedekamer-30.u1	Report of the meeting of the Dutch Lower House, Meeting 96, Session 30 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 30	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	DucoHoogland	Hoogland, Duco	M	1984	
ParlaMint-NL-en_2015-06-16-tweedekamer-30	ParlaMint-NL_2015-06-16-tweedekamer-30.u2	Report of the meeting of the Dutch Lower House, Meeting 96, Session 30 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 30	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	DucoHoogland	Hoogland, Duco	M	1984	
ParlaMint-NL-en_2015-06-16-tweedekamer-30	ParlaMint-NL_2015-06-16-tweedekamer-30.u3	Report of the meeting of the Dutch Lower House, Meeting 96, Session 30 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 30	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-06-16-tweedekamer-30	ParlaMint-NL_2015-06-16-tweedekamer-30.u4	Report of the meeting of the Dutch Lower House, Meeting 96, Session 30 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 30	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2015-06-16-tweedekamer-30	ParlaMint-NL_2015-06-16-tweedekamer-30.u5	Report of the meeting of the Dutch Lower House, Meeting 96, Session 30 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 30	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2015-06-16-tweedekamer-30	ParlaMint-NL_2015-06-16-tweedekamer-30.u6	Report of the meeting of the Dutch Lower House, Meeting 96, Session 30 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 30	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BarbaraVisser	Visser, Barbara	F	1977	
ParlaMint-NL-en_2015-06-16-tweedekamer-30	ParlaMint-NL_2015-06-16-tweedekamer-30.u7	Report of the meeting of the Dutch Lower House, Meeting 96, Session 30 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 30	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-06-16-tweedekamer-30	ParlaMint-NL_2015-06-16-tweedekamer-30.u8	Report of the meeting of the Dutch Lower House, Meeting 96, Session 30 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 30	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	DucoHoogland	Hoogland, Duco	M	1984	
ParlaMint-NL-en_2015-06-16-tweedekamer-30	ParlaMint-NL_2015-06-16-tweedekamer-30.u9	Report of the meeting of the Dutch Lower House, Meeting 96, Session 30 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 30	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-06-16-tweedekamer-30	ParlaMint-NL_2015-06-16-tweedekamer-30.u10	Report of the meeting of the Dutch Lower House, Meeting 96, Session 30 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 30	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2015-06-16-tweedekamer-30	ParlaMint-NL_2015-06-16-tweedekamer-30.u11	Report of the meeting of the Dutch Lower House, Meeting 96, Session 30 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 30	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	WilmaMansveld	Mansveld, Wilma	F	1962	
ParlaMint-NL-en_2015-06-16-tweedekamer-30	ParlaMint-NL_2015-06-16-tweedekamer-30.u12	Report of the meeting of the Dutch Lower House, Meeting 96, Session 30 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 30	Meeting 96	Sitting 2015-06-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-16-tweedekamer-30	ParlaMint-NL_2015-06-16-tweedekamer-30.u13	Report of the meeting of the Dutch Lower House, Meeting 96, Session 30 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 30	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LiesbethvanTongeren	van Tongeren, Liesbeth	F	1958	
ParlaMint-NL-en_2015-06-16-tweedekamer-30	ParlaMint-NL_2015-06-16-tweedekamer-30.u14	Report of the meeting of the Dutch Lower House, Meeting 96, Session 30 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 30	Meeting 96	Sitting 2015-06-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
