Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-11-03-tweedekamer-3	ParlaMint-NL_2015-11-03-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 19, Session 3 (2015-11-03)	2015-11-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 19	Sitting 2015-11-03	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2015-11-03-tweedekamer-3	ParlaMint-NL_2015-11-03-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 19, Session 3 (2015-11-03)	2015-11-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 19	Sitting 2015-11-03	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-11-03-tweedekamer-3	ParlaMint-NL_2015-11-03-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 19, Session 3 (2015-11-03)	2015-11-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 19	Sitting 2015-11-03	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2015-11-03-tweedekamer-3	ParlaMint-NL_2015-11-03-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 19, Session 3 (2015-11-03)	2015-11-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 19	Sitting 2015-11-03	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-11-03-tweedekamer-3	ParlaMint-NL_2015-11-03-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 19, Session 3 (2015-11-03)	2015-11-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 19	Sitting 2015-11-03	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2015-11-03-tweedekamer-3	ParlaMint-NL_2015-11-03-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 19, Session 3 (2015-11-03)	2015-11-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 19	Sitting 2015-11-03	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-11-03-tweedekamer-3	ParlaMint-NL_2015-11-03-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 19, Session 3 (2015-11-03)	2015-11-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 19	Sitting 2015-11-03	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FoortvanOosten	van Oosten, Foort	M	1977	
ParlaMint-NL-en_2015-11-03-tweedekamer-3	ParlaMint-NL_2015-11-03-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 19, Session 3 (2015-11-03)	2015-11-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 19	Sitting 2015-11-03	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-11-03-tweedekamer-3	ParlaMint-NL_2015-11-03-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 19, Session 3 (2015-11-03)	2015-11-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 19	Sitting 2015-11-03	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PeterOskam	Oskam, Peter	M	1960	
ParlaMint-NL-en_2015-11-03-tweedekamer-3	ParlaMint-NL_2015-11-03-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 19, Session 3 (2015-11-03)	2015-11-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 19	Sitting 2015-11-03	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-11-03-tweedekamer-3	ParlaMint-NL_2015-11-03-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 19, Session 3 (2015-11-03)	2015-11-03	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 19	Sitting 2015-11-03	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenRecourt	Recourt, Jeroen	M	1970	
