ParlaMint-NL_2015-02-12-tweedekamer-8.u1	I would like to welcome all those present in the Chamber.
ParlaMint-NL_2015-02-12-tweedekamer-8.u2	I'm not fully informed, but my estimate is that this was the national anthem of Groningen. Maybe it was good to start with that, too. Eight minutes of speaking time have been agreed for each group. In addition, a total of four interruptions per group are allowed.
ParlaMint-NL_2015-02-12-tweedekamer-8.u3	Mr. Chairman. We are talking here today about the consequences of gas extraction for the Groningers. I look back at the last two years in my contribution to this debate, but I am also, of course, looking forward. I will look at the risk analyses, the level of gas extraction, the damage handling and the future prospects for Groningen. On 16 August 2012, the earthquake at Huizinge, with a force of 3.6 on the Richter scale, occurred. As a result of this earthquake, the State surveillance of the Mines, which I will call SodM, has carried out research. This was explained by Minister Kamp in Loppersum at the beginning of 2013. The possibility of greater and heavier earthquakes appeared to increase in such a way that the Minister considered it necessary to investigate further. The SodM indicated that production should be reduced as much as realistic as possible. To our great bewilderment, gas production in 2013 turned out to be huge: almost 54 billion cubic metres. In the debate at the beginning of 2014, the Minister's statement to this effect was that it was a severe winter, that the heaters had to burn and that people had to cook. And we had to live up to our international obligations. The answers to our written questions now show that this would not only have been possible with the winning of the Groninger gas, but that there could have been excellent mixing. The conversion capacity was barely used in 2013 and 2014. During the hearing it became painfully clear that for the Ministry of Economic Affairs the revenue was still the top priority. To what extent does the Minister now regret that choice? What is the conversion capacity the Minister wants to deploy this year? In early 2014, the House of Representatives discussed the results of the many investigations. On the basis of all these investigations, Minister Kamp decided to reduce gas production compared to the particularly high extraction in 2013 to 42.5 billion cubic metres. Optically that was a very nice, framed reduction of the Minister, but that 42.5 billion cuub was of course just the agreed annual average. The Groningers therefore wondered what reduction it was about. The views flowed in. This debate shall be held in the light of those views. On the basis of the risk analysis of State supervision of the Mines, the Minister advised to reduce production by 80%. At the same time, production was increased in other parts of the field. Last year the CDA asked the Minister to follow the SodM advice several times and not to increase production there until it was clear in the other parts of the field. Then we could all see with our healthy farming understanding that reducing production in Loppersum had a direct effect on the number of quakes and on the severity of the quakes in the area. That wasn't just the case there. Also around Hoogezand was visible that the number of tremors and the heaviness of the tremors increased. These proofs must and can no longer be ignored by the coalition in The Hague. According to the CDA, due to these uncertainties, the Minister has only one choice: to reduce gas extraction as much as realistic as possible. The CDA thinks we should look at what's minimally needed instead of what we can win at maximum. The CDA wants the safety of the Groningers to come first. Therefore, the level of gas extraction should be reduced to the lowest possible level from the point of view of security of supply. That level, according to the Minister in response to written questions from the CDA Group, is around 30 billion cubic metres a year. This is also apparent from GasTerra's reply at the hearing. All investigations and hearings in the Lower House clearly show that there is no certainty about the safety risks of gas extraction in Groningen. Then you have to apply that precautionary principle. I call on my colleagues from the groups of the VVD and the PvdA to shoulder their responsibilities. Minister, that's enough. Why does this government consistently opt for a minimal adjustment, while the security risks are not sufficiently identified? Up until a few minutes ago, the cabinet opted for the first half of this year for a maximum number of tubs of 39.4. Around 11.30 a.m., a letter came in that the gas decision will be amended for the first half of this year. The minister says he has sufficient 16.5 billion cub in the first half of 2015. What will happen in the second half of this year, however, if the Minister holds on to that 39.4 billion cube, as has now been formally committed? Then this increase is enormous in the second half of 2015 compared to the first half. The Minister also received questions about this at the press conference. I think it is right that he should explain again in the Chamber exactly how he sees it.
ParlaMint-NL_2015-02-12-tweedekamer-8.u4	Key questions of this important debate will be: will the gas tap close further and how soon will Groningen be clear? I am less optimistic about the letter to which Mrs Mulder referred. In fact, it says that the Minister initially intended to amend an institution decision, but he is not going to do that anymore. He says it is not necessary, because the NAM says: we do it on our own. So nothing is changed. Did Mrs. Mulder read it that way? I had the impression that Mrs Mulder said: it is now settled, it is being changed. However, the proposed amendment to the assent decision has just been withdrawn with this letter.
ParlaMint-NL_2015-02-12-tweedekamer-8.u5	Thank you for this question from the D66 Group. The letter just came in. I think it would be a good thing if the Minister could comment on the exact way he sees it. Is that 39.4 standing or not? Otherwise, in the first half of this year it will go back to 16.5 and then it will be necessary to take a step in the second half of the year in order to get to that 39.4. Our request to the cabinet is not to look at what can be won to the maximum, but what needs to be won at least to ensure the security of supply, for which the D66 Group also stands.
ParlaMint-NL_2015-02-12-tweedekamer-8.u6	The CDA and I do share the vision of where it should go. However, it seemed important to me, also for the people in the public gallery who were unable to print this letter as quickly as possible, to indicate what is in the letter. In that the Minister says: on 11 February I told the Chamber that I am going to amend the assent decision, but I am not going to do so; I do not have to, because the NAM is doing it on its own. So the 39.4 still stands. I share the questions put to the Minister by Mrs Mulder.
ParlaMint-NL_2015-02-12-tweedekamer-8.u7	Thank you again for this clarification. That's right. That letter really just came in. The Minister will undoubtedly tell us more about it later. It is not until the end of this debate that we can be optimistic whether we can be optimistic. There are still no risk analyses for the rest of the field. They won't be here until May. Surely the Minister could rely on the data that SodM has also used for risk analysis for the Loppersumcluster? This data is there for the rest of the field. Then I'm talking about the data from ARUP and the KNMI. If this data was there in 2013, what is the minister waiting for? For example, what are the consequences of the risk analyses for the Delfzijl Chemiepark and the Eemskanaalcluster? The gas won't run away. In the next decades we can still benefit from warm houses, partly thanks to the Groningen gas. Thus, the long-term sustainability of public finances is much less affected. In the meantime, the inhabitants of Groningen have to do with the effects of gas extraction: soil decline and earthquake damage. We talk to a lot of locals. What they tell us, that affects us. In particular, the damage handling of complex harrowing cases is really not going well. The NAM slows down as the complex becomes and communicates about it badly. It is time for the Minister to make a serious effort to reverse the burden of proof. If the Minister really wants to give the region perspective again, then the gas tap will have to close further. In addition, with residents and companies from Groningen, an area-oriented approach will be needed to make the area habitable and create jobs there. The Empire is responsible for a national approach, but there must be room for regional input. The Vereniging Eigen Huis pleads for a test garden. Expand building rules, give residents and businesses the space and especially ask the Groningers themselves. A lot of Groningers have ideas about that. Our advice to the Minister is: get them involved and look seriously at the plans that lie ahead, for example from farmers Kuipers and Westerdijk. For the CDA it is important that safety is paramount, that people can live safely in their homes, as in the rest of the Netherlands. It's really time to regain that trust. In order to do so, we really need to go further down as a precautionary measure, strengthen houses and see people investing in their future.
ParlaMint-NL_2015-02-12-tweedekamer-8.u8	I have here a piece from the Dagblad van het Noord of December 17, two months ago. Mrs Mulder said: we are pleased that the Minister is reducing gas extraction and following the advice of State surveillance of the Mines; the step responds to the call made by the CDA. She was happy with that decision, but she has a different story now, two months later. Can it explain why this change has taken place?
ParlaMint-NL_2015-02-12-tweedekamer-8.u9	If Mr Bosman had taken the ANP message, he would have seen that I said three things. In particular, it has to do with the third point, namely that maximum or minimum gas extraction. We said at that time that we would like to see what you should at least win. Unfortunately, that third piece is not included in the story in the Dagblad van het Noorden. I've had a lot of reactions to that. I've told a lot of people how I brought it out. It is indeed very unfortunate that it has ended up like this, because it gives a somewhat confusing and diffuse image.
ParlaMint-NL_2015-02-12-tweedekamer-8.u10	But I understand that Mrs Mulder was satisfied with the Minister's decision.
ParlaMint-NL_2015-02-12-tweedekamer-8.u11	We were satisfied with that first step down. Mr Vos, for example, has said this. But that doesn't mean you're there with that. The VVD Group can today show that it agrees with the CDA. We really hope that the VVD Group will want to go further down and of course the PvdA Group will want to go further down. I know by now from the other colleagues that they want to go to the 30 billion cube. We hope they come with us.
