ParlaMint-NL_2015-01-20-eerstekamer-3.u1	I would like to welcome the Minister of Education, Culture and Science to the Upper House.
ParlaMint-NL_2015-01-20-eerstekamer-3.u2	Mr. Chairman. After two extensive written rounds, this Chamber will today take stock of the proposal for a law on higher education. Preliminary draft: the CDA Group is not responsible for borrowing to finance a study. The current system is also partly based on offering students the opportunity to borrow from the government for their studies. In the recent past, my party also supported the introduction of a loan system in the master phase as well as the withdrawal of a long-term scholarship fine. In doing so, it has always kept an eye on the reasonableness and proportionality of the measures to be introduced. In addition, it has always ensured that these measures include sufficient incentives for students to graduate nominally. Unfortunately, the present legislative proposal is completely inadequate in these areas. My group also attaches great importance to combating the culture of six and further improving the quality of higher education. It is of the utmost importance that our higher education can continue to match that in other countries. On these points, too, the legislative proposal falls short. For example, it is completely unclear which improvements in the quality of higher education will be made. It is also unclear what investments will be made in this respect. Warranties are missing. To stay in the spirit of this bill: in our opinion, the Minister should do her homework again. The fact that we are not a priori opposed to borrowing for our own study is without prejudice to the fact that we have always insisted on a system in which the financing of the study is not primarily dependent on debt-taking. Incentives should be created, for example, for parents and grandparents to save tax incentives for the study of their children and grandchildren. The former Silver Fleet regime was a good example of this. Students should not be burdened with high student debts, but should preferably be able to fall back on the resources spared by their parents and grandparents for that purpose during their studies. Parents have their own responsibility in this matter. Student grants should be available as a safety net for students who cannot fall back on their parents or for whom the parents do not want to take responsibility. Finally, the granting of loans to public authorities for the financing of study costs is acceptable provided that such loans are granted on reasonable terms. In the present legislative proposal, taking on a study loan from the government is not the last option, but the point of departure. With the exception of the supplementary scholarship, no link is made with the income situation of the parents. The basic grant will be cancelled completely and the tax deduction of study costs for the students who lose the basic grant will also be abolished.
ParlaMint-NL_2015-01-20-eerstekamer-3.u3	Mr Essers may still be on it, but does he think that the possibility of parents and grandparents to save up for the study of their children and grandchildren will also lapse?
ParlaMint-NL_2015-01-20-eerstekamer-3.u4	No, but I would argue that this possibility should be given more encouragement. In the fiscal sphere, there should be guarantees that, given the low returns at the moment, this debt instrument will ultimately be a very good investment.
ParlaMint-NL_2015-01-20-eerstekamer-3.u5	This would perhaps be a good proposal for the Tax Plan or something, but it does not necessarily have to do with this law, as I understand Mr Essers.
ParlaMint-NL_2015-01-20-eerstekamer-3.u6	No, but I would like to point out that the starting point must be that the study should be financed by its own resources, funds set aside by parents. Tax concessions should be provided for this. Only then will there be an opportunity to borrow. Now we turn it around; now borrowing is the starting point. What, according to the government, are the main arguments for this bill? First of all, the fact that this bill generates an annual revenue of 640 million. According to the government, this return will be invested in improving the quality of higher education by, among other things, increasing the number of contact hours between student and teacher, excellence pathways, increasing student guidance, and offering international study opportunities and other forms of education. Moreover, due to the expiry of the basic grant, students whose parents have sufficient income and ability to contribute to the cost of study will no longer receive a basic grant in the future. If, despite sufficient income or wealth, parents do not want to jump in, students can always borrow. This will save public resources that can be used to improve the quality of higher education. A third argument pro is that for children of parents with an income below modal, the supplementary scholarship is extended by about €100 to a maximum of €365.33 per month. Finally, there are flexible loan conditions. For example, the maximum repayment period is 35 years, the remaining debt is cancelled at the end of the repayment period, the redemption obligation only applies from the statutory minimum wage, and no more than 4% of the additional income above that minimum wage is to be used for redemption. Moreover, it is only two years after graduation that the refund has to be started and there are possibilities for flexible and early repayment. The I.V. card remains in place. In the opinion of the CDA Group, these alleged arguments are subject to the necessary real objections. One of its main objections to this legislative proposal is that its main objective is precisely to jeopardise the improvement of the quality of higher education by means of this bill, namely the expected impact of the introduction of the loan system. The expectation is that students will take more jobs in order to earn extra income in order to avoid additional loans due to the loss of the basic grant. Especially if this extra work has nothing to do with the study, it will be at the expense of that study. At the very least, there is a risk of delay in study. This is further encouraged by the loss of the maximum income to be earned. The distinction between home-staying and expatriating students is also dropped. As a result, more time is wasted on traveling and there is less time left for study-related activities in their own university city. The government leaves the search for a balance between study and work entirely to the individual consideration of each student. This also applies to the choice between additional earning or additional borrowing. The government believes, on the basis of the current situation, that students can handle this choice well. However, we believe that the balance between work and study in the current system is all too often distorted to the detriment of study time. In addition, the current situation is different from the situation following the introduction of the loan system. There is therefore a greater chance that this balance will be disturbed even further if the basic grant falls. My estimate is that this will put the government's intention of achieving contact hours, inter alia, between student and teacher and studying abroad, under heavy pressure. I would like to hear the Minister's views on this. What will it do to prevent costly study time from being lost if students earn more to compensate for the lost basic grant? A related objection is that the legislative proposal does not provide for a reduction of the repayment obligation in nominal graduation and/or in achieving a very good figure average. According to the government, this would be at the expense of the resources available to invest in improving the quality of higher education. However, every month a student studies extra costs the government money. Nominal or nominal study well, stimulates quality in groups and saves money because the student is shorter at the university. In other words, an obvious incentive to improve the use of scarce collective resources and to counter the culture of six is blocked, as this incentive would generate less money to improve the quality of education. The members of the CDA Group strongly support the establishment of such a link. I would like a response from the Minister. Opposite the increase in the additional scholarship by €100, the disappearance of the basic grant, which is €286,15 for residents. As a result, students living out of residence are already declining €186,15 per month. In addition, many children of low middle-income parents are just not eligible for this supplementary grant. DUO looks at the income of both parents and then informs the parents of the amount they are expected to contribute per month to their child's study, if that child grants DUO permission to check whether he or she is eligible for an additional scholarship. Now that the basic grant falls away, this expected contribution of the parents automatically goes up. After all, the child has less income. This means that many parents who first had sufficient income to finance their child's study do not have it anymore, while their child does not receive an additional scholarship. In view of this, the impact of the disappearance of the basic grant is greatest in the case of middle incomes. This will be added to the further income-dependent austerity of care, child care and living facilities. These austerities affect middle incomes more than proportionally, while at the same time this group is faced with increasing collective burdens. I also refer to the opinion of the Council of State on the 2015 Millions Note. The Council of State points out that the effects of technical developments affect employment in the middle groups in particular. All this seems, according to the Council of State, "to indicate in many ways inconsiderable and worrying development, particularly affecting the coming generations of the middle groups." I'd like to get a response from the Minister. In our view, a major shortcoming of this legislative proposal is that no firm (legal) certainty is offered that the planned investments in improving the quality of higher education will actually be made and exactly what these investments will look like. The government does not want to create a separate investment agenda for the income from the loan system, but wants to include it in the strategic agenda to be written later this year. We think it is a major shortcoming of this legislative proposal that this agenda is not currently available. This means that today this Chamber is being asked to vote in favour of this far-reaching bill, which puts many young people in a higher debt position, without any certainty as to what will happen to the revenues. There are already strong rumours that the promises made by the institutions to invest in quality improvement in anticipation of the draft law are already soft. Can the Minister comment on the level of reliability of these commitments? To what extent are these commitments actually included in the budgets of these institutions? It is also unclear how it is ensured that investment in higher education will actually benefit students and, for example, will not be spent on all kinds of management functions or on research support matters. I'd like to get a response from the Minister. In addition, in the reply, the government is very shy about ensuring the measures promised to improve the quality of education. For example, it is not clear whether this aspect is included in future visitation and accreditation procedures. We ask the Minister once again for a clear statement on this matter. In the opinion of the CDA Group, the right of approval proposed in this legislative proposal for students on the main lines of the budget leads to unnecessary bureaucracy and delays in decision-making procedures rather than to a genuine guarantee of additional investment in improving the quality of education. How does the Minister view this? For budgetary reasons, the government also maintains a very low transitional regime. According to the bill, there is a cohort guarantee: students who are already in the bachelor's phase retain the right to the current maximum three-year study funding. However, if they are going to do the master's, they will be covered by the new system of the study advance. This is contrary to the strong link that exists in higher education between the Bachelor's and Master's phase. There is no student who chooses only to do the bachelor's degree when starting his studies at the university. Moreover, this is contrary to current practice that you can already get the basic grant for the master phase in the fourth bachelor year. According to the Minister, in the further reply, "the majority of (emerging) students would be aware of the fact that the study funding is going to change." However, a survey conducted in January 2015 by FNV Jong, LAKS and JOB among 1,365 students, MBO, HBO and WE students shows that current and future generations of students still have a great deal of ignorance about the consequences of the loan system. All the more ignorance about what would happen, of course there was at the time of the submission of this bill and certainly at the start of the study. This also indicates the unreasonableness of the transitional right. We would like to hear the Minister's views on this. We also ask her to comment on the results of the survey mentioned above. Does the Minister agree with us that the fundamental principle of legal certainty, which is so much guaranteed by this Chamber, cannot and cannot be set aside by budgetary arguments even in this case? Another major concern with us is the negative impact this bill will have on the accessibility of higher education. As a result of this proposal, the Central Planning Bureau expects a decrease of 2% in the number of HBO and WE students, or 2,700 students per year. This plays an important role in the fear of many students to have a high student debt after graduation, while there is no guarantee of a job with a good income. The government assumes that this effect will be eliminated after a few years. Nevertheless, it will monitor the influx effects. However, it is not clear when exactly the Minister is going to intervene. Is that in the event of a decline of more than 2%, more than 5% or more than 10%? And what period should this effect have occurred before the Minister intervenes: after one year, after two years, after five years? That is all completely unclear now. I would now like clarification from the Minister. In addition, the Minister repeatedly points out, as an accomplished mortgage consultant, the flexible conditions attached to the loan system. However, it will end up in a gap. Due to the flexible loan conditions, students are tempted to incur as many student debts as possible. However, this is again at odds with the same government's desire that citizens should be cautious about debt-taking; see the recent problems in the housing market, the adjustments in mortgage interest rate deductions and the tightening of the conditions under which banks provide loans. These are all measures aimed at reducing public debt. How does the Minister explain this contradiction in government policy? Since it is not always the case that studying guarantees a job with a high salary, not only are graduates at risk of over-indebtedness, but there is also a serious future recovery risk for the State. What does the Minister think of this and what is she going to do to reduce this risk? In addition, the introduction of the study advance is very expensive for studies with a two-year master's degree. These are all beta and research masters, as well as all university teacher training courses. Medical and mostly theological masters are even three years old. It is clear that in such cases the study debt is likely to be much higher than the average loan debt. Working alongside the study to prevent borrowing will lead to study delay and complicates the education process based on many contact hours and long-term internships. There is a fear that this will reduce the choice of such studies in the future. This brings this bill into conflict with another government objective, namely to promote the influx into technical training and to eliminate the shortage of teachers in science. But also in general, this government wishes to see more university-educated teachers. In doing so, she thought that university teachers are not the best paid academics, so easy reimbursement of the student loan is not an argument either. What is the Minister's view on this? What impact does this proposal have on the objective of the Science and Technology Master Plan, drawn up by the nine top sectors in cooperation with the government, which, by 2025, has received as much as 40% of all graduates in science and technology training and the equally urgent and ambitious objective that, as part of this ambition, at least 40,000 more beta-technological people are to be attracted by training and side-influx per year over a longer period of time? Isn't it obvious for these cases that such masters will be able to forgive the student debts over one or more years? I would like to hear the Minister's response, which hopefully goes beyond the reply in which a higher student debt is somewhat trivialized for this group of students and which states that these students are relatively strongly guided by a substantive motivation. According to the Minister, investments in a multi-annual master's programme would also generally be well reimbursed. Does the Minister really think that this argument will remove the concern of potential students for significantly higher student debts? Here again, the Minister announces that she will monitor. But when exactly will it do so and when will it intervene? Monitoring should be taken seriously and should not be a tissue for bleeding. Another question is how this law relates to the promotion of part-education. To what extent, according to the Minister, does this law promote the government's objective of providing more space for part-education and lifelong learning? Not only the basic grant disappears, but also the tax deduction possibilities for study costs are abolished in cases where there is a right to regular study funding. In fact, students are partly burdened with double taxation: the expenses incurred by them themselves for training or studies for the acquisition of income from work and housing are no longer deductible, while they will soon be "normally" taxed progressively on their gross labour income after their studies. The abolition of tax-deductibility opportunities is particularly hard on private colleges of higher education where there is free education, while the vast majority of the revenue from this bill is for the benefit of funded education. Calculations show that the removal of the tax deduction in these cases can lead to high tax increases. According to calculations by the Dutch Training and Training Council, the removal of the tax deduction results in an average disadvantage of more than €5,000 per year of study, based on a tuition fee of €14,500 and costs for teaching materials of €1,200. A charge increase of €5,000. Maintaining the deduction in one form or another for this category of students would avoid these consequences. In our view, such income effects are too important to seriously suggest solutions to these problems with simplicity arguments. I'd like a clear response from the Minister. The attractive loan terms have another counterproductive effect. Parents with high incomes and abilities could encourage their children to make maximum use of loan opportunities. The return on the money thus held in equity which would otherwise be invested in the children's study is expected to be higher than the cost of the study advance. The disappearance of the basic grant does not necessarily mean that parents who can pay it will always compensate for the lapse of the basic grant with their own resources. On the other hand, children from low-earning families are relatively expected to abandon a study due to their loan version. In short, parents' students who can afford it may be able to borrow more than students with parents who can't afford it. How does the Minister feel about this? Mr. Chairman. We are always talking about improving the quality of education. I'd love to! We can also talk about a loan system. But as far as we are concerned, this bill is wrong. The balance of arguments pro and contra clearly goes in the direction of the arguments counter. That's gonna have to be different. We look forward to the Minister's reply to our questions. We have not yet given up all hope. We are in a positive position in life, and we are happy to be surprised by this minister, but for the time being we believe that she really needs to do her homework again.
ParlaMint-NL_2015-01-20-eerstekamer-3.u7	Mr. Chairman. We're just getting started, and I see they're throwing stuff at us right now. That promises something for this day. In April 2010, former Minister Veerman presented a report on the future of higher education to Demissionary State Secretary Van Bijsterveldt. Not only were both CDA prominents enthusiastic about that report; they were sobbing each other in the arms. It was also widely welcomed in the field and in politics. The report concludes that substantial investment in higher education is absolutely necessary to maintain and strengthen the Dutch position in international competition. The Committee did not exclude a shift between public and private contributions. The latter now happens with this bill. The government thus also gives shape to the agreements in the National Educational Agreement. In this regard, the government and the education sector have committed themselves to the commitment that the investments resulting from the reform of study funding will be used for measures contributing to improving the quality of higher education. My group would like to thank the Minister for his comprehensive answer to the written questions. During the preparation of this debate, she greatly appreciated the cooperation with the fellow spokesmen in this Chamber and also with the school organisations and students. I would also like to mention the expert meeting organised by the SP and the CDA and the presence of colleagues from those parties during the debate on this bill organised by VVD and LSVb. At the start of my speech, I would like to say a few words about the commitment of the two student organisations ISO and LSVb, which are also present here. For more than three decades they have been the "voice" of studying the Netherlands, in word and deed, at the negotiating table, in the corridors of the Second and First Chambers or at the Malieveld, which was sometimes almost full. Apart from the outcome of today's debate, I would like to express my appreciation for the way in which ISO and LSVb feed and drive the social debate on the loan system despite the fact that they strongly disagree with the legislative proposal we are discussing today. Without friction no shine! I assume that all of us, the young people first, share the need for investment in higher education. That's our common starting point. The differences of opinion lie in the answer to the question of how these investments should be paid. For my group, the importance of investing in education according to Veerman and the way in which this bill provides for it is gaining from the alternatives. What are these alternatives? Dismantling investment or even cutting back on education, which some electoral programmes propose as a clear solution? Veerman explicitly betrays it. Raise the tuition fee? No one wants to. Financing the investments from raising the collective burden or increasing the public debt? My group is opposed to such a loan system. It would mean that the most promising, highly educated and later most earning group would be left out of the picture in this respect.
ParlaMint-NL_2015-01-20-eerstekamer-3.u8	I would like to talk to Mr Bruijn about the context he is now setting out, the context that has arisen since the report of the Veerman Committee. The committee has indeed said that more investment is needed in education. What did we see after that? Discounts at the universities. We already have a long history of increasing college and institutional fees. The price of our higher education is certainly up to the mark; that is to say, it is already considerable. If you say that we can also make a shift, actually towards a student's tax, and that an alternative, namely raising public debt, is not acceptable to you, I do protest a bit against that sketch of the situation. This bill will increase public debt by 17 billion. I find it amazing that the VVD is actually being rather light about that now.
ParlaMint-NL_2015-01-20-eerstekamer-3.u9	I take note of that and I think I shall begin by continuing my speech. I will come to the accessibility and the consequences. So I will come back to the answer to your question.
ParlaMint-NL_2015-01-20-eerstekamer-3.u10	I therefore dispute your outline of the situation, and I would also like an explicit answer to the question of how you will be responsible for the increase in public debt of 17 billion. That answer may therefore come in the course of your speech.
ParlaMint-NL_2015-01-20-eerstekamer-3.u11	It's very simple: if you want to invest 1 billion in education structurally, you have to finance it from something. If we agree that that money has to go to education, that is the starting point. Looking at the rich budget, there are only a few buttons you can play and a few jars where you can get the money out of. You can increase taxes; that will slow down the economy and will cost this generation jobs. You can raise the state debt further by an additional 1 billion a year. The public debt that this generation of us will inherit is already EUR 420,000 million and amounts to EUR 50 million a day; we are not in favour of that. You can also spread the burden across all the Dutch. That is what this cabinet does, and that seems to us to be the most reasonable option, especially if the strongest shoulders bear the heavy burden. I'll get back to you on that. My group is therefore opposed to a system of borrowing which increases public debt. This would mean that the most promising, highly educated and later most earning group would not be taken into account in this respect. And that at a time when everyone has to tighten the belt to put things in order. This cabinet is making the strongest shoulders bear the toughest burdens, as shown by the analysis of the economic effects of the financial framework of the government agreement, i.e. of the overall package, of which this is a component from December 2012. For the lovers: I'm talking about figure 5.2, on page 18. Just those most promising among our young people should be proud to be able to contribute to better education and thus to economic growth and future prosperity of their own generation. The OECD report, published a few weeks ago, highlights the dangers of excessive socio-economic differences between the least well-off and the middle layer.
