ParlaMint-NL_2015-03-17-tweedekamer-22.u1	I would like to welcome the Secretary of State for Infrastructure and the Environment.
ParlaMint-NL_2015-03-17-tweedekamer-22.u2	Mr. Chairman. In the Netherlands there are real manure boulevards. The Animal Party does not think this is such a good idea, and that is why I have tabled a number of motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a large-scale manure treatment plant can cause major nuisance to rural residents due to nuisances of smell, health problems, a drop in the value of houses and the supply of tens of tonnes of manure from trucks running on and off;]] [[Whereas it cannot be ruled out that such a manure treatment plant will also provide a draining effect and will lead to further scaling and cattle compaction in this region, where livestock density is already undesirablely high;]] [[points out that the establishment of the largest manure treatment plant in Europe at Landhorst/Venhorst is undesirable;]] [[calls on the Government, in agreement with the Province, to suspend the authorisation of the planned manure plant,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that in Groenlo plans are in place for a manure fermentation plant with a capacity of 450,000 tonnes of fertilizers supplemented by 150,000 tonnes of vermaaisel per year;]] [[points out that the establishment of the manure fermentation plant in Groenlo is undesirable;]] [[calls on the Government, in consultation with the Province, to suspend the authorisation of the planned manure digester in Groenlo,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that in Zenderen there will be a manure treatment plant with a capacity of 250,000 tonnes of manure per year;]] [[points out that the establishment of the manure treatment plant in Zenderen is undesirable;]] [[calls on the Government, in consultation with the Province, to suspend the authorisation of the planned manure treatment plant in Zenderen,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that in Grubbenvorst there are plans for two manure digesters where 450,000 tonnes of manure will be fermented each year and 120,000 tonnes respectively;]] [[declares that the establishment of these manure digesters in Grubbenvorst is undesirable;]] [[calls on the Government, in agreement with the Province, to suspend the authorisation of the planned manure digesters in Grubbenvorst,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30175-207]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30175-208]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30175-209]] [[This motion has been tabled by Mr Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30175-210]]
ParlaMint-NL_2015-03-17-tweedekamer-22.u3	Now that these motions have been tabled, I wonder whether the Animal Party will agree or not, I can imagine that in other places, which are not mentioned but where that is possible under the regulations in the Netherlands, manure digesters can simply be placed?
ParlaMint-NL_2015-03-17-tweedekamer-22.u4	No, the Animal Party has been pointing out in this Chamber for some time now the great dangers to public health and the risks to life. But a motion for a total moratorium on the construction of manure plants does not make it in this Chamber. In fact, we were alone in that. I've made work visits to neighbors of these giga installations. We are now trying, with the support of the Labour Party in Brabant, where these concerns are shared in the college, to persuade the Cabinet to at least shut down the biggest excesses and do whatever the Cabinet has done with shale gas. In view of the high level of social resistance, the cabinet felt that it was wise not to continue the granting of licences. That's why I'm standing here. If it is up to us, there will be an overall moratorium on the construction of all manure fermenters.
ParlaMint-NL_2015-03-17-tweedekamer-22.u5	That Mrs. Ouwehand went to work was in the media. That has not entirely escaped me. But that aside, because that is up to Mrs Ouwehand. The point is that it is simply seeking a moratorium. The motions tabled are therefore simply the introduction of a total moratorium in the Netherlands.
ParlaMint-NL_2015-03-17-tweedekamer-22.u6	Again, as far as the Party for Animals is concerned, they are. Unfortunately, we do not have 76 seats in the Chamber to enforce a moratorium. So I join with parties that are starting to worry about excesses in manure processing and manure fermentation. I would like to make it quite clear that this was the subject of the Labour Party congress. I am therefore doing what I can and hope that the excesses will lead the cabinet to make a pass in the granting of permits.
ParlaMint-NL_2015-03-17-tweedekamer-22.u7	Mr. Chairman. The CDA Group is tabling a motion for a resolution, and I shall speak in favour of it. In June 2010, a motion was adopted that called on the government to set legal standards for vibrations. This involved vibration nuisance at the track. Five years later, RIVM completed the research and that resulted in a report entitled: Living along the track. Health effects vibrations of trains? The Secretary of State writes that RIVM research seems to indicate that serious disturbance due to vibrations is most frequently experienced along routes in the east of the country, where resistance to new railway lines is found, and in areas with a low degree of urbanity. These aren't my words. I will only take it out of the answer given by the Secretary of State. In other words, it simply says: people who are against railroads live in the east and suffer more from vibrations. The possibilities of applying technical measures are outlined. The Secretary of State has already indicated that measures are limited in existing situations, partly because of the high costs. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[read the report of the Rijksinstituut voor Volksgezondheid en Milieu (RIVM) "Living along the track. Health effects of train vibrations';]] [[noting that RIVM will be asked to develop an improved methodology for calculating expected vibration strengths and that ProRail will be asked to draw up a measure catalogue;]] [[Considering that the Secretary of State intends to inform the Chamber at the end of 2015 about the instruments most appropriate, whether a legal standard is possible, in which situations such a standard could be applied and what possible measures could be used to reduce vibration nuisance;]] [[calls on the Government to:]] [[by the end of 2015 also indicate the costs of implementing the measures that may be used;]] [[involve the adapted use of the Betuweroute,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Geurts and Mr Van Helvert. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30175-211]]
ParlaMint-NL_2015-03-17-tweedekamer-22.u8	Mr. Chairman. I have one motion to file today. We have had an extensive debate with the Secretary of State. I appreciate the Secretary of State's commitment to the quality of our living environment. We did not agree on one part during the debate, hence this motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that TNO's research has shown that at local level the contribution of mopeds and scooters to fine dust emissions can be up to 5%;]] [[Whereas the contribution of mopeds and scooters to air pollution in urban or ommelanden is site specific and incomparable;]] [[Whereas this justifies the inclusion of small two-wheeled emissions as a separate source in local air quality calculations and not in background concentration;]] [[calls on the government to include the emissions of small two-wheelers as a separate source in the calculations of local air quality,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Dik-Faber and Mr Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30175-212]]
ParlaMint-NL_2015-03-17-tweedekamer-22.u9	Mr. Chairman. I'll file the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Government intends to introduce a ban on free plastic bags as of 1 January 2016;]] [[Whereas it is envisaged that this ban should be laid down in a ministerial arrangement;]] [[Whereas, in general, the involvement of the Chamber in the drafting of a ministerial arrangement is low and the Council of State does not give an opinion on it;]] [[Considers that the involvement of the Chamber and an opinion of the Council of State in this matter are highly desirable;]] [[calls on the Government to draw up and submit to the Chamber in a pending procedure the intention to regulate a ban on free plastic bags in a General Measure of Management,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Remco Dijkstra. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30175-213]]
ParlaMint-NL_2015-03-17-tweedekamer-22.u10	I should like to make the following comments. A ban on free plastic bags is unnecessary in my view. It is patronizing because it ignores all the efforts already made by retailers to reduce plastics. Moreover, and I find that painful as a liberal, it ignores people's own free choices. Consumers can decide for themselves whether to bring their own bag, whether to pay for a purse or to make a spontaneous purchase and thus appreciate a piece of consumer convenience. They are perfectly capable of assuming their own responsibilities. Finally, it is not possible, because a ban is going to cause real enforcement problems. Why one does and the other doesn't? Whether it's free or not, how do you see the environmental impact? The VVD group doesn't want plastic police. She doesn't want inspectors sneaking into the market with some kind of sloth hat "ma'am, did you pay a nickel for this purse?'. I do not think that is a good thing. Let me give you another example: the Chinese rice table. That is literally called by a minister's spokesman: on Sunday the rice table. The eleven boxes at the Chinese are already packed in plastic. You should put it in some burlap bag: your rice, your croquetry and your chops. What else is this about? There are a lot of questions at the VVD. The VVD therefore wants to be involved and exercise control over such a proposal from the Chamber. That's why I tabled this motion.
ParlaMint-NL_2015-03-17-tweedekamer-22.u11	We see here that the VVD is flawlessly able to distinguish the main issue from the secondary issue in the field of environmental policy. My question to the colleague of the VVD is why, if it is a relatively small measure, he is now trying so hard to make up his mind in a final attempt to be right in the debate in the Chamber. Is it not more democratic to just have this measure implemented and then to look at its results? After all, other European countries import him as well, and that is where they see results. Isn't it a very heavy tool to try to stop something that the VVD thinks is a small thing in this way?
