ParlaMint-NL_2015-02-10-tweedekamer-24.u1	I would like to welcome the Secretary of State for Security and Justice.
ParlaMint-NL_2015-02-10-tweedekamer-24.u2	Mr. Chairman. Today we are talking about strengthening the position of authors in copyright. For the VVD it is important that work should pay. Work has to pay for everyone, including creators. Those cultural entrepreneurs want and must be able to defend their interests. They must be able to just make money from their work. I wish every writer, actor, artist or other creator a good or even excellent income if their work is worth it. A modern copyright is there for the protection of creative performance with its own, original character and a personal stamp of the creator. This is contrary to classical copyright, which was not entirely accidentally referred to by the word "copyright." This right was primarily for the protection against competition from the investment of printers and publishers. That classic copyright was therefore not in balance. This debate, too, is about balancing the interests of creators on the one hand, and the interests of operators on the other. They are unequal parties who have been condemned to one another. Against this background, the VVD is convinced that creators and operators with good will should be able to come out together. This is also apparent from the agreement between PAM and RODAP announced yesterday around the difficult point of video on demand. According to the VVD Group, the agreement illustrates that it is not always up to the legislator to come up with solutions, but that parties can come out together without detailed legislation. Nevertheless, there is a need for a broad legal framework within which the parties covered by this law will have to find each other. The often individual creator depends to a large extent on the efforts of an operator for the successful exploitation of his work. This operator, in turn, is often a professionally organised company for which the conclusion of agreements is daily practice and which has ample financial resources for legal support. The VVD has received positive sounds from both operators and creators about this bill. This suggests that the government has succeeded in achieving a broad framework. However, in view of the various interests and complexity of this law, the VVD is in favour of evaluating, for example, after three or four years, how the present law works out in practice for all stakeholders. I see some concerns for this evaluation. First of all, to what extent can we in practice get rid of both the scope and the definitions of the present law? Secondly, to what extent has the law strengthened the position of authors vis-à-vis producers, CBOs and operators in general? How can the Secretary of State provide for such an evaluation? I would also like to highlight the importance of my colleague Joost Taverne's amendment on open access. The Taverne amendment states that the author has the right to make his scientific manuscript financed by public Dutch funds available free of charge via the Internet in open access after a reasonable period of time. Results of fully or partially publicly funded research should be freely available if the author so wishes. So the ball is with the author. His position is strengthened.
ParlaMint-NL_2015-02-10-tweedekamer-24.u3	Open access, of course, appeals to my group very much. I do have a small question about this. In this context, my colleague from the VVD speaks of a'reasonable period', but its length is zero here. The payback period would then be zero months. That does not sound to me as a reasonable period of time. How does my VVD colleague see that?
ParlaMint-NL_2015-02-10-tweedekamer-24.u4	By a reasonable period of time, we mean a period to be agreed between the parties. We give the author the right to agree that period with the operator. It can vary. We certainly do not want that deadline to be set at zero. We just want to say that if the parties say together that it may appear on the Internet immediately after publication, if the author has the right to share his manuscript publicly with third parties, then they can agree and that is agreed with that. However, they can also agree on something else. It is more a question of emphasising the possibility of variation with that phrase.
ParlaMint-NL_2015-02-10-tweedekamer-24.u5	Finally, Mrs Oosenbrug.
ParlaMint-NL_2015-02-10-tweedekamer-24.u6	I understand that possibility of variation, but wouldn't it be wiser to remove that reasonable period of time from the phrase of zero? Zero doesn't strike me as a reasonable earning period for the publisher. Those publications are very important. We all do. However, it must be possible to reach a reasonable deadline. If you say "zero" in this piece, I think that's a difficult negotiating position.
ParlaMint-NL_2015-02-10-tweedekamer-24.u7	It's a purely theoretical example, and that's all. Only in the event that both parties say that they agree that something should appear immediately after publication, a reasonable period of time is zero. With this clarification I hope to show that it is a purely theoretical example. It's pure theory, and that's all.
ParlaMint-NL_2015-02-10-tweedekamer-24.u8	Please continue.
ParlaMint-NL_2015-02-10-tweedekamer-24.u9	Finally, I would like to talk about open access and why this amendment has been tabled. Open access promotes the exchange of knowledge. This contributes to the innovative capacity of the Netherlands. In order to enable the publisher to recoup his investments, this is only allowed after the reasonable period that has just been discussed, which starts after first publication. Parties must decide together what is reasonable. This may vary according to scientific discipline, as the explanatory statement of the amendment states. The amendment fits in well with the strong educational vision of Secretary of State Dekker, who wants to regulate open access through the Higher Education and Scientific Research Act. In the view of the VVD, this amendment contributes to the Netherlands as a knowledge country and to the promotion of an innovation-oriented economy.
ParlaMint-NL_2015-02-10-tweedekamer-24.u10	The VVD colleague discusses the deal that was concluded yesterday between two organisations. He talks about the VVD's "open access amendment." Furthermore, he has not raised so many issues, while this law is about much more. I would therefore like to ask at least one question about it. What does the VVD think of the fact that in the film article, for example, this law is limited to only the screenwriters, the lead director and through neighbouring law also to the leading players, but that all other contributors to a film artwork are not covered by this law?
ParlaMint-NL_2015-02-10-tweedekamer-24.u11	In itself, that is a legitimate question from D66. I said that is a good point to include in the evaluation. The definitions and scope of this law must be taken into account.
ParlaMint-NL_2015-02-10-tweedekamer-24.u12	Finally, Mr Verhoeven.
ParlaMint-NL_2015-02-10-tweedekamer-24.u13	I understand that, but Mr Van Wijngaarden mentioned an evaluation in three or four years' time. At that time, a lot of contracts are going to be concluded. As a legislator, there's something you can do now. Why has the VVD Group not said anything about this point at all? Indeed, Mr Van Wijngaarden has taken the word 'expansion' in his mouth, but he has not said anything else about this moment. We're dealing with that law right now.
ParlaMint-NL_2015-02-10-tweedekamer-24.u14	I'm talking about my own words. I have made it very clear that I want to see the scope included in the evaluation. I have also pointed out that there has been a largely very positive response from stakeholders. In that sense, I have raised this point.
