ParlaMint-NL_2015-03-25-tweedekamer-10.u1	Ten speakers have come forward. I shall be the first to give the floor to Mrs Ouwehand.
ParlaMint-NL_2015-03-25-tweedekamer-10.u2	Mr. Chairman. Today we are discussing the bill for wind energy at sea. At the moment it is already possible to build wind farms at sea. With the bill presented by the cabinet, this should be easier and faster. In itself, that is a good ambition, but the Animal Party is not yet convinced that this bill actually achieves what is needed for the wider ambitions to keep the Earth viable: dampening climate change, but also protecting vulnerable nature here. The necessity is clear. On 14 April, the climate policy of this cabinet will be in front of the court in The Hague. That's not for nothing. The Netherlands has committed itself internationally to reducing greenhouse gas emissions, so that the dangerous limit of two degrees of global warming is not exceeded. This is of great importance for the quality of life of the earth, but unfortunately it remains with words. The climate and energy policy of this cabinet is moving rapidly towards a much greater global warming: three or even four degrees of global temperature increase is in sight and even seems inevitable. This will have disastrous consequences for nature, because it is heavily influenced by climate change both at sea and on land. Seas acidify, species disappear. It will also have major consequences for us, for our children and grandchildren and, unfortunately, for people around the equator, who have not participated in climate change, but who will be hardest hit by its consequences. The need for a rapid transition from fossil fuels to sustainable renewable energy is therefore of paramount importance. We need to get rid of coal and gas plants. We shouldn't start with shale gas, no more drilling for gas under the mudflats or residential areas. Nuclear energy is simply not a sustainable solution. We should not call energy green that is not demonstrable. The production of biofuels throws people's bread out of the mouth, causes large-scale loss of biodiversity and is therefore not green. Then we also have the manure fermenters, which because of the huge manure surplus in our country dolls everywhere like mushrooms from the ground. The Party for Animals has often indicated on various fronts that it is a fierce opponent of manure fermenters. It is important to look at what is happening here in a broader context. It is a global need to make our energy production more sustainable and to save energy. Manure doesn't just fall out of the sky. In fact, incredibly much energy is used for the production of manure. On the other side of the world large-scale loss of biodiversity is taking place, because we cut down rainforests to make way for monocultures where genetically modified soya and maize are placed. Incredible amounts of fertilizer are used to grow those crops. And let fertilizer be a huge energy waster: in the Netherlands alone, 6% of gas production is devoted to its production. These soy and corn come here and are fed to animals, and we are left with the manure surplus. The energy production that demands this for the import of animal feed in the Netherlands alone is 62 petajoule per year. That is enough to provide energy to 5 million households in the Netherlands every year. We appreciate the fact that the cabinet also sees the need to focus on greener energy. Within this framework, we find it unimaginable that the need for meat reduction recommended to us by climate scientists and anyone who understands nature, energy and biodiversity is not even on the agenda of this cabinet and is not even part of the Paris climate talks. If you are going to make energy more sustainable, we believe that you should also look at this problem. Even if this hurts a little, you have to face it and deal with it. The only option to meet our energy demand in a truly sustainable way is therefore to reduce demand itself. At that point, meat consumption is one of the most obvious things. Energy is never free. There are disadvantages to any form of energy generation. At present, many of these disadvantages for humans, animals and nature are largely outside our field of view. Examples are the mining of coal in Colombia, where human rights are violated on a gross scale, the extraction of tar sand oil, for which people are driven off their land and ecosystems are destroyed, and the barbaric struggle of ISIS, which is financed by oil revenues.
ParlaMint-NL_2015-03-25-tweedekamer-10.u3	Is this the debate on the wind energy at sea Act?
ParlaMint-NL_2015-03-25-tweedekamer-10.u4	As far as I'm concerned, yes.
ParlaMint-NL_2015-03-25-tweedekamer-10.u5	I believe that today we are discussing the plan to provide millions of families in the Netherlands with renewable energy generated by windmills. We have allowed a five-minute speaking time. I therefore propose that we devote that speaking time to that.
ParlaMint-NL_2015-03-25-tweedekamer-10.u6	Sorry to interrupt. This is a legal procedure, and every Member of Parliament has the right to talk about it for as long as he or she wants. Mrs. Ouwehand has told us that she will talk for about 15 minutes. If she had said in advance that she wanted to talk for 45 minutes or five hours, she might have.
ParlaMint-NL_2015-03-25-tweedekamer-10.u7	I wish Mrs Ouwehand every success in dealing with the issues she wishes to discuss, but I would kindly ask her to confine herself to dealing with the legislative proposal.
ParlaMint-NL_2015-03-25-tweedekamer-10.u8	I understand the question, but the point is that the Party for Animals is not just very enthusiastic about placing windmills in the sea, because this will have effects on nature. I would like to dwell on all the other possibilities that I believe we should use as a government before we impose any further burdens on nature at sea. Because that's what we're going to do with this bill. For my group, I shall say to Mr Vos of the Labour Party, that consideration is not easy to make. We see the need to switch to renewable energy, but we also think that it is impossible to leave out all kinds of obvious solutions and to say: in the North Sea nature can bear our failure in other areas for a while. For us, therefore, it is not yet clear whether we support this law. I am therefore very curious to hear the Minister's response to my specific questions on this bill, and to his ambition on behalf of the cabinet to address the other problems as well.
ParlaMint-NL_2015-03-25-tweedekamer-10.u9	Please continue.
ParlaMint-NL_2015-03-25-tweedekamer-10.u10	So I would like to draw attention to the fact that the current way of generating energy has major disadvantages. Closer to home we see this in the gas extraction in Groningen, but also in the emissions of mercury in the Wadden Sea from the coal plants. The large amounts of harmful nitrogen also put heavy pressure on our nature and health. And then what? There is the dilemma, because the production of renewable energy from sun, wind and water also has effects that you cannot just brush away, here and elsewhere. The production of solar panels uses harmful substances: hydrochloric acid, arsenic, phosphorus and cadmium. They are dangerous to the environment and are being won under miserable conditions. In the production of energy in hydroelectric power stations, too often a large part of nature is destroyed and fish are affected on a large scale when they are ground. Windmills, which we are talking about today, also have effects on humans, birds, bats, fish and marine mammals. The Animal Party attaches great importance to the need to take these concerns seriously. For people, these concerns relate to drop shadow, noise nuisance and the effects on health that we need to recognise. The same applies to the effects on nature. Animals are affected by the wicks, their routes are disturbed or they die or get lost by the mooring of windmills under water and the underwater noise that the mills produce when they turn. Let us not do so, for my argument is that there are no disadvantages to the production of renewable energy for humans, animals and the environment, because there are disadvantages. So an inevitable effect of the transition to a decentralised, renewable energy supply, which the Party for Animals supports, is that we will also partly attract the effects of this production on humans, animals and the environment. No more coal from Colombia means energy generation here and to some extent the environmental impact here. But the most important thing that must be done in this need is to save. Saving, saving, saving. All forms of energy generation have disadvantages. Even if we set the criteria very sharply and only use sun, wind and water, we will really have to do our best to make sure that we don't need so much energy, because you don't have to generate what you don't make. Then it is hard to imagine that we would want to damage nature at sea so that the light can continue to burn in office buildings at night, that we produce energy with windmills that are then mainly converted into unusable heat by inefficient hallogen lamps, and that we keep shop doors wide open in winter, making shopkeepers really stick to the streets. And I have already said that the need for meat reduction, the crucial part of climate policy, is not even on the Cabinet's agenda. In this debate, too, we would like to encourage the cabinet to do something about this, because we see that windmills also have disadvantages. Nature under water is vulnerable. The installation of windmills at sea is accompanied by major damage to underwater life. Especially when windmills are found, thousands of fish die and even more vulnerable fish larvae die. Even once the windmills spin, they have an impact on fish and marine mammals that are disturbed by the sound, because the sound under water carries far. As a result of the questions we have asked about this, it became clear that no windmills are being installed in protected Natura 2000 sites themselves. We're happy about that. However, the Party for Animals is concerned about whether the effects on nature are properly assessed and monitored. After all, we read in this bill that the nature protection test is inserted into the procedures for designating the lots. This means that there is no need to issue a separate licence under the Nature Conservation Act. We are not reassured by this, as I say to the Minister, that this does not undermine the quality of the protection of the important natural values at sea. I would like to have a further reaction to that. In replying to the written questions, we read between the rules that compensatory measures will soon be adopted rather than mitigation if the installation of windmills in Natura 2000 sites has significant consequences, in other words that there will not be a choice of locations and techniques to prevent its impact on nature, but that the cabinet will then opt for recouping measures. Is that right? In fact, I would like the government's assurance that this choice does not follow, which is important for our consideration of voting in favour of this bill. The Animal Party has also proposed to include in this bill an upper limit to the level of underwater noise that could occur in the installation and operation of windmills. The cabinet says it does not want to include this in the law and refers to the framework ecology to be developed. In this, the cabinet says, the cumulative ecological effects and the mitigating measures will be discussed in greater depth. That review framework will assess whether it can be excluded that offshore wind farms will have significant negative impacts on ecology. In order to avoid any significant negative effects that may occur, rules will be included in the lot decisions if necessary, according to the Cabinet. The Animal Party wants more clarity about that framework before we vote on this law. Can the Minister indicate which frameworks and rules are being envisaged? Does it include an upper limit for underwater noise, as Germany does? If so, how high will that limit be? If not, how does the Minister intend to ensure innovation and a significant reduction in the current damage caused by windmills to nature? Indeed, the hesitant answers to our written questions are not yet very reassuring. The Empire designates lots where windmills are allowed and then leaves it to market players to come up with proposals to create wind farms there. Another concern. We read that the tendering procedure for these parks is then carried out on the basis of a financial balance. So, under the line, we are only looking at who is the cheapest and then we are allowed to build that lot. The Animal Party has proposed that, when awarding the contract, it should look not only at the cheapest but also at the best plan, the one that is able to reduce the negative impact on animals, nature and the environment most. I do not understand why the cabinet rejects that proposal. By choosing the best plan in the tender, you can drive innovation, which is indeed very hopeful, in terms of reducing the effects of wind energy on nature. I'd like to hear from the Minister why he's rejecting that plan. He merely says that the subsidy scheme is not suitable to steer for purposes other than cost-effectiveness. We're just really disagreeing with him. A good subsidy scheme for renewable energy ensures that energy is really produced as sustainably as possible. This also means keeping the natural effects as small as possible. I'm considering a motion on that point. Then another side of the windmills. Windmills are protected from rust using anodes. This gradually dissolves substances such as aluminium, zinc and other heavy metals into the water, which means that toxic metals enter the sea. Now there are techniques to protect the steel without these harmful substances. This is more expensive, but also in this case the Party for Animals thinks that you should choose the best rather than the cheapest solution. This is also how you ensure that no heavy metals are released into the environment. If the Minister is wondering what he would have to pay for that, I would point out to him the excessive subsidy for the fermenters. I would like to hear from the Minister whether he shares the concern about the pollution of the sea by windmills under the current rules. Is he prepared to actually prescribe the less polluting ways to prevent rust from windmills? As far as we are concerned, that really comes into the rules and the subsidy scheme. With the construction of windmills, nature at sea is even more affected than it already is. That makes the balancing difficult. Industrial fishing, oil drilling, gas drilling: the North Sea is already under severe pressure from all these economic activities. The cabinet stands by and looks at it, which is a major objection of the Party for Animals to the current government policy.. despite the international conventions that serve to protect marine nature. The OSPAR Treaty was recently rejected by the Minister for Infrastructure and the Environment with the words: we are doing our best, but there is no obligation to achieve results. The OSPAR Convention is about protecting our marine ecosystems. I think the cabinet should just respect that, because our signature is underneath it. There are too many areas that should have been protected under the Birds Directive and the Habitats Directive, but they are not yet, and the Cabinet is leaving it at that. I am thinking of the Central Oyster Lands, the Brown Bank, the Zeeuwse Banken, the Borkumse Stones, the Coast Sea and the Voordelta. Other countries know how to do that. Germany has assumed its responsibility and has designated its part of the Borkum Stones as Natura 2000 site, but the Netherlands refuses to do so. In addition to Germany, Great Britain is aware of the urgency of protecting marine ecosystems. That country has recently created the largest marine reserve in the world: 834,000 km. The Animal Party believes that the cabinet should not only focus on green energy, which is important, but also on protecting nature, which we should make possible together in the North Sea. It is significant that we make it easy to set up wind farms at sea, but in the meantime we do not invest in nature reserves. In conclusion, climate change needs to be addressed. For that, the transition to green energy is really necessary. This is also in the interest of nature at sea. I have already mentioned the acidification of the seas and oceans caused by climate change. It is important that we always consider the natural effects of what we do, as well as the other effects that windmills can have in this case. The consequences of wind energy on humans, animals, nature and the environment must not be underestimated because it is necessary to tackle climate change. We must fight on all fronts, so I say to the cabinet. I call on the Minister to do his best to increase energy savings. A law aimed only at speeding up the permit procedure for the construction of wind farms, where it is still unclear how nature is protected, does not simply receive the support of the Party for Animals. We're critical. We're curious about the Minister's answers. We in our group will have to weigh up on the basis of the government's response.
ParlaMint-NL_2015-03-25-tweedekamer-10.u11	Mr. Chairman. I think we don't have to explain it to the people in Groningen, the Noordoostpolder, Boxtel and Rotterdam. They are faced with gas extraction, coal-fired power stations and the possibility of extraction of shale gas. [[Sentence could not be parsed: Als er één ding duidelijk is, is het dat de energievoorziening in Nederland schoner moet.]] We must quickly become independent of fossil fuels, oil sheiks and gas barons. This is in the interests of the environment, our public health and our economy. This requires a strong growth of wind farms at sea. The Netherlands has unfortunately been delayed in this respect compared to other countries, for example Germany, the United Kingdom and Denmark, while the Netherlands has everything to be the frontrunner in the field of wind energy. We really have the best scientists in the Netherlands, we have a long and windy coastal strip and we also have a strong offshore industry. The offshore industry is growing strongly because the construction and maintenance of wind farms are becoming increasingly important. It is good that the Wet wind at sea is now ahead to make that start. It is important that the law is adopted quickly, but also that the corresponding legislation is soon clear. I am thinking here of the SDE+ scheme and the Lot Decision. This legislation should increase investment in wind energy at sea. Last week, the pension fund announced its intention to invest in wind farms at sea. According to ABP, this was not interesting for a long time because the technical and financial risks were too high. The Christian Union sees in this law a choice for long-term security and thus an attractive investment climate. Is the Minister talking to the big investors to get more investors across the line? In this week's letter, the Minister mentions huge cost savings. The subsidy amount amounts to EUR 12 billion. This is much lower than the previous maximum estimates of 18 billion. This is due, among other things, to the substantial reduction in costs. That is, of course, very good news. Perhaps the Minister could explain this further? The first tender for offshore wind energy should take place in December 2015. The first SDE+ decision will not be taken until 2016. The energy agreement states that 450 megawatts will be tendered in 2015. But if I put those data together, it seems to me to be virtually impossible. I would like to hear a response from the Minister. Trust in a good investment climate was undermined last year by the withdrawal of the existing permits for wind farms at sea, which were valid until 2017. This has been a really bad signal. Companies have had to wait for years and have made a lot of pre-investment. They have also done so on the basis of the Energy Agreement, which refers to the inclusion of existing licences. Why did the minister steer a dent in investors' confidence? Why is there no consultation with the licence holders on the possible inclusion of existing licences in the new round? Why at least didn't we wait until the new round of permits came up? It has now been decided to pay a total of EUR 7 million. I am, frankly, very surprised that the damage is paid out of the SDE+. Citizens and SMEs have to deal with a storage in the energy bill, but the proceeds are not meant to compensate for this government's mistakes. Will the Minister simply pay this compensation out of his own budget? The new law contains all kinds of grounds for withdrawing permits. Article 34 (2) also allows existing licences to be cancelled by universally binding measure. This, for example, does not allow an appeal to the administrative judge. Why hasn't this been submitted to the Council of State? Another point is Article 17. For example, paragraph 1 (c) states that authorisations shall expire if the grant is withdrawn. We consider that to be a remarkable argument. Is it not even inappropriate to use the withdrawal of a subsidy as a reason to withdraw the licence? I do not think this will increase confidence among investors. That is why I have also tabled an amendment to delete this section. I'm going to section d of paragraph 1 of Article 17. Here too, there is plenty of room for interpretation. What is a change in the marketing authorisation holder's financial or technical capabilities? Because my group does not think this part is relevant and because it gives more investment uncertainty, I have tabled an amendment to delete this part. It is, of course, desirable to be able to withdraw a permit when the wind farm can no longer be completed. In that respect, we agree with the Minister. However, we believe that the law already offers ample scope for authorisation holders to comply with the agreements. I also refer to Article 15. I'm here to talk about the net at sea. A very important condition for a rapid realization of wind at sea is clarity about the rapid construction of the network at sea. This means that there must also be a legal indication from the system operator TenneT as soon as possible. There is still no insight into the treatment of the comprehensive law streamlining, optimizing and modernising (STROOM), which regulates, inter alia, the designation of the network operator at sea. Why didn't the Minister choose to appoint a network manager in the current law, the law we are discussing today? Is he prepared, if necessary, to legislate in a separate legislative proposal as soon as possible on the management of the network at sea? We are considering a motion on this point. The size of the costs of the network at sea is still unclear. The Minister claims that designation of TenneT as a network operator reduces costs by 10%. The total amount is 3 billion. What is the basis for this saving? If 10% is 3 billion, what are the total cost of the net at sea? 30 billion euros? This amount is not in Monday's letter. There is not even a single amount mentioned. I'd like some clarity. There is still no clarity about the distribution of costs. For example, the Minister is considering charging some of the costs to the producers, but why are the coal plants in the Eemshaven and the Maasvlakte free to connect to the energy grid? In the past, the Christian Union has already proposed increasing the national uniform producer rate, which is now at zero, which will allow producers to contribute to network costs. Does the Minister now also consider applying this on land, since he is proposing it for wind at sea? Within the 12 mile zone, between 10 and 12 miles, so between 18.5 and 22 kilometers, there are also opportunities to build wind farms at sea. I have read that there are concerns about this, but my group does not think that we should rule it out in advance. It can really be a lot cheaper to build windmills in certain places just within the 12 mile zone. We therefore call on the Minister to go ahead with this. When does the structure vision come to the Chamber and which locations are suitable for this?
