ParlaMint-NL_2015-07-01-tweedekamer-3.u1	I would like to welcome Minister Schippers.
ParlaMint-NL_2015-07-01-tweedekamer-3.u2	Mr. Chairman. I propose three motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that device manufacturer Medtronic is going to take over the diabetes clinic Diabler and that the Minister has indicated that he does not object;]] [[noting that such acquisition may have an impact on the care provided within the clinic or on the devices used or recommended within the clinic;]] [[invites the government to examine the benefits and disadvantages of an acquisition by a device manufacturer or supplier of a clinic or other healthcare provider,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Gerven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31765-149]]
ParlaMint-NL_2015-07-01-tweedekamer-3.u3	Mr. Chairman. There should be no injuries here, we cannot have that, even if we are talking about public health. I'm going to move on to my second motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas treating physicians to adequately treat patients deserve discretion because in the event of enormous diversity, randomized trials are not possible for each treatment;]] [[points out that bladderwashes with bladder wall-reinforcers should be compensated for patients with bladder pain syndrome in the basic package,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Gerven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31765-150]]
ParlaMint-NL_2015-07-01-tweedekamer-3.u4	Mr. Chairman. It's going smoothly again. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Minister wishes to make the decision on the quality of care to health insurers if the profession fails to reach a shared quality standard;]] [[considers that this is not the right way to increase and monitor the quality of care;]] [[points out that health insurance is not about determining the quality of care but purely an executive task;]] [[calls on the Government not to make the decision on the quality of care to health insurers but to encourage those who do not come to a shared quality standard or else to use the Quality Institute to formulate these quality standards,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Gerven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31765-151]]
ParlaMint-NL_2015-07-01-tweedekamer-3.u5	Mr. Chairman. During the debate, a wide-ranging discussion was held on the need for professionals and patients to identify quality rather than health insurers. Of course, it is their job to buy in on quality. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the responsibility for determining the quality of care lies first and foremost with the profession and patients;]] [[Whereas quality-based health insurers should buy in, but not have the task of determining the quality of care;]] [[calls on the government to encourage health insurers to buy on quality, but that health insurers do not replace the profession and patients in determining what quality of care is,]] [[and goes to the order of the day.]] [[This motion has been proposed by member Bruins Slot. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31765-152]]
ParlaMint-NL_2015-07-01-tweedekamer-3.u6	I have been hesitant about Mr Van Gerven's motion for a resolution, but I would like to ask him now. Do I understand that Mrs Bruins Slot wants health insurance companies to stop interfering in the definition of quality at all?
ParlaMint-NL_2015-07-01-tweedekamer-3.u7	I mean that health insurers don't determine what the content of quality is. We have first of all laid down the definition of the content of the quality in the profession and the patients.
ParlaMint-NL_2015-07-01-tweedekamer-3.u8	That is true, but we also involved the health insurance companies in determining the quality in the Zorginstituut Nederland. I was wondering if Mrs Bruins Slot really wants to go a completely different direction in that respect.
ParlaMint-NL_2015-07-01-tweedekamer-3.u9	I now understand what Mrs Dijkstra means. I was referring to the fact that health insurers are now very often laying down their own volume standards in addition to the volume standards that the professionals have concluded or, for example, on the basis of foreign research, decide that different requirements will apply to another area. We agreed that the profession, which consists of doctors trained for this purpose and who know what content and quality of care are, should do so together with patients and not the buyers of health insurance companies who have studied economics.
ParlaMint-NL_2015-07-01-tweedekamer-3.u10	Mr. Chairman. Mr Van Gerven's motion for a resolution 149 requests that the advantages and disadvantages of the acquisition by a device manufacturer of a clinic or another healthcare provider be investigated. The question of vertical integration has been raised a great many times in this Chamber. On 10 June I wrote a letter to the Chamber about this. The acquisition of an institution by manufacturers is permitted by law. That's how it is in the system. However, conditions and quality requirements applicable to all, governance requirements and the WTZ requirements of the governance structure must be met. The inspection will see to that. It is also necessary to comply with the protection of patient data, on which the personal data protection board monitors, and with the competition rules, on which the ACM supervises when taking over. As far as I'm concerned, the patient's importance is paramount in all of this. This interest is also secured by all these legal requirements. We have supervisors to oversee that. However, I indicated in the debate that I would like to go into more detail with the inspection, the health insurers and the patient organisations, because I want to remain informed about these developments and trends. I'll inform the Chamber about that. I would, however, advise against this motion because it goes against the system. Mr Van Gerven's motion for a resolution 150 states that bladderwashes with bladder wall-reinforcers should be included in the package and reimbursed. This too goes against the system we have agreed to. We have agreed that the Zorginstituut Nederland, as package advisor, will gather experts in the Netherlands. They shall give an opinion on the package on the basis of the state of the art and on the basis of their interest in it. They consult the field intensively and all involved. I do not want to lose that role, and for that reason I would also like to discourage this motion.
ParlaMint-NL_2015-07-01-tweedekamer-3.u11	The problem is that in certain treatments, such as bladder pain syndrome, randomized trials can take place because they are very small groups. There the doctor often offers the best possible treatment with traps and standing up. Is the Minister not of the opinion that there should be some sort of discretion for that category for the handler to act in the best sense? At least that is the practice, while scientific evidence is very difficult to provide because of the small numbers.
ParlaMint-NL_2015-07-01-tweedekamer-3.u12	That's what the Zorginstituut Nederland is about. That could also advise me to allow it on parole to obtain insufficient evidence at this time. We have built up the system in such a way that we are not here to speak to Mrs Bruins Slot for a moment as economists, politicians and other people decide what is in the package, but that we leave it to the experts, who come from the sector themselves, and all the stakeholders who are consulted. I really think we should stick to that system.
ParlaMint-NL_2015-07-01-tweedekamer-3.u13	In this case, urologists are the experts. On the contrary, they indicate that, for example, bladder pain syndrome is difficult to scientifically validate, that this is not possible because of the numbers and differences between the various patients. There is certainly a scientific discourse between the Zorginstituut Nederland and practicing urologists in this field. I think this is in the interests of the patients. Shouldn't there be a certain discretionary space, because not everything can be expressed entirely in size and number? We get a lot of signals from patients who care that this is possible.
ParlaMint-NL_2015-07-01-tweedekamer-3.u14	That's true. But we have the Dutch Health Institute, which gives advice. It has explicitly advised on this, and that opinion was very clear. We must ensure that those who do not agree with the advice of the Dutch Health Institute do not undermine that advice by means of a detour. In science, everyone doesn't always agree on everything. We'll always keep that, and thank God. That's good, because that keeps science going. However, the debate must be held in its own scientific club. If urologists believe that this is a good way, they should make the directive so prescribed and register it at the Quality Institute. So we have another story. But the Zorginstituut Nederland gave me an explicit advice on this, and I follow that advice. In the motion in part No. 151 states that health insurance is not about determining the quality of care and that they have an executive role. That's true, of course. In the Quality Institute there are three parties and with each other who determine the quality. Mr Van Gerven referred to this in his next paragraph. But if that has not yet happened, I hope that in the meantime there will not only be a price buy-in and nothing else will be looked at. In such a case, insurers often do not define these quality requirements themselves; they then take them from abroad, or derive them from other requirements. So this motion is actually about the rules that are already in force, so it is superfluous. That's why I advise against this motion. The motion in part No. 152 by Mrs Bruins Slot is, in my view, a rather wondrous motion. It calls on the Minister to promote quality shopping for health insurers, while not replacing the profession. No, because he does that together with the patients and the insurers at the Quality Institute. This basically determines what quality is. If that is not done, the insurer will still have to buy on quality. That's what the motion says. The insurer then remains nothing but to see what is common abroad and how it can be applied. So I'd like to discourage this motion.
ParlaMint-NL_2015-07-01-tweedekamer-3.u15	The wonder for the minister lies in the fact that practice often does not follow the theory. In practice, you can now always see that health insurers are going to impose additional requirements on those of the profession and the patients. That won't be necessary at all. The Minister can promote that this is no longer happening. That's the essence of the motion.
ParlaMint-NL_2015-07-01-tweedekamer-3.u16	No, we have agreed with the insurers that they purchase on the basis of what is registered at the Quality Institute. Depending on the type of care, patients as well as scientific associations or nurses have agreed with insurers what good and effective care needs to be found in accordance with the state of science. So this is already settled. Of course, there are many things that haven't been agreed on, and for years. I believe that an insurer has a duty to make demands for his insured person.
ParlaMint-NL_2015-07-01-tweedekamer-3.u17	However, you can ask the scientific associations to at least give direction, rather than let the health insurance companies determine this again. The minister rightly said that economists often work at health insurance companies, not doctors.
