ParlaMint-NL_2015-01-29-tweedekamer-3.u1	I would like to welcome the Minister for Housing and National Service.
ParlaMint-NL_2015-01-29-tweedekamer-3.u2	Mr. Chairman. We know that the cabinet has saddled the Dutch citizen with huge rent increases. Hundreds of thousands of people are getting into major financial problems. They are really squeezed out by the cabinet like lemons, because those terrible rent increases are nothing more and nothing less than flat charges. It is a burden that everyone can spare as a toothache and that is not necessary at all. The transfer of the PVV election programme also proves that. If you remove the money from bottomless wells as development aid, you do not have to strip the public financially at all. I therefore ask the Minister once again to stop doing this. Turn back those terrible rent increases and prevent people from slipping even further into the financial abyss. It gets much worse for tenants than this, unfortunately. Not only do they have to pay absurdly high rents, they also have to wait a lot longer for a suitable rental house. The cabinet prefers to give away social housing to tens of thousands of eligible asylum seekers. As a matter of priority, I understand. Other house-seekers have, of course, checked this out. This is now also admitted by many municipalities. I'm asking the Cabinet to stop doing this too. Stop the admission of all those asylum seekers and stop the priority position they get on the rental market. The Netherlands has long since been unable to cope with continued mass immigration. Also the Dutch house seekers no longer have to pay the price for it. Asylum seekers must be taken care of in their own region and not here. The Minister will say again that he is not about immigration policy, but of course it is not that simple. Immigration problems also affect his housing policy. So I ask him to acknowledge that and to act accordingly. I also ask him to admit that the asylum influx cannot be separated from the affordability of the social housing system. There is a lot of subsidy and therefore tax money in social housing and the tens of thousands of admitted asylum seekers are very often paid rent. With all that money, you could help a lot of tenants who are in financial trouble right now. So I would like a response from the Minister on the point that mass immigration is putting great pressure, including financial pressure, on the rental market. Finally, it must not go unnoticed that many housing corporations are also much to blame. Corporate directors themselves grab tons together, while they lay the bill with the tenants. The corporate sector has been ruined by the misconduct of such directors. That must be dealt with quickly. The PVV will continue to press for this to happen quickly.
ParlaMint-NL_2015-01-29-tweedekamer-3.u3	Thank you very much. I can now give the floor to Mr Van Klaveren of the Bontes/Van Klaveren Group, but I see that he is not here. I inform the Chamber that there are problems on the trail and that there may be for that reason... He is there! In any case, that is why there may have been some changes in the list of speakers.
ParlaMint-NL_2015-01-29-tweedekamer-3.u4	Mr. Chairman. Winston Churchill said there's no such thing as good taxes. And he was right. This also applies to the Netherlands, where citizens are being taxed more and more heavily and many people are finding it increasingly difficult to survive. But what do you want with this burden-aggravating cabinet? Most workers already pay more than 40% income tax. On top of that, this cabinet decided to increase VAT, as well as excise duties, insurance taxes, vehicle taxes and even water supply taxes. However, citizens are not only taxed directly. The tax fetish of this cabinet also indirectly increases the burden. The so-called landlord's tax, nothing but a corporation tax, causes a huge increase in the rents. What the Netherlands needs is a tax cut. It's possible. Of the plans of all the groups in this house, our tax plan, calculated by the Central Planning Bureau, provides the biggest tax reduction and therefore more financial air for the people in the country. What our country needs is lower income tax, lower VAT, lower excise duties and, above all, no landlord tax with bizarre rent increases. Is this cabinet ready to finally make efforts to lower taxes and reconsider the landlord's tax?
ParlaMint-NL_2015-01-29-tweedekamer-3.u5	Mr. Chairman. I can tell you that I have had an excellent train journey and that most of the people who have travelled this route by car have been on the road many times longer than by train. Maybe that's worth considering. As far as I am concerned, I should like to pay tribute to this morning's train journey, especially when I saw all the pictures of all those people stuck in miles of traffic jams.
ParlaMint-NL_2015-01-29-tweedekamer-3.u6	It's been noted.
ParlaMint-NL_2015-01-29-tweedekamer-3.u7	Exactly. We have had this debate about five times over the last two months. It is also an extremely important subject. Unfortunately, that is also what we have been blaming ourselves for in the procedural meeting..... the debates and the documents are getting a little mixed up. We will try to give more account of this in our debate agenda. We ourselves, from the Labour Party, discussed in a debate a week and a half ago that the corporations had 650 million more income in 2013 than the year before. 650 million in extra income. Take 50 million landlord's tax off that and you'll still have 600 million more in income than the year before. So the fact that the crisis would be in the corporations and that revenue would decrease is a myth. We have therefore also asked the Minister if he will pass that on. What does that mean for years to come? We can now add that, after last week, we know that interest rates will be structurally low for the coming years. That also means a huge windfall for the corporations. We would like to look at the concept of earning capacity again. That's an important part of the housing agreement. What does that understanding mean right now? Compare this with two years ago when the housing agreement was concluded, but please indicate what is currently the expected income flow for the coming years. I'd like to hear from the Minister about these calculations. We have announced that we will continue the debate. This may have consequences for how we look further at the policies we have developed in the housing agreement. That seems to me to be the time to continue this debate. Then all I have to say is that it is good to hear that for the coming year the rent increase will be much less than in the past year. After all, it's always hard to ask people for more, especially in times of crisis, because that's what it is.
ParlaMint-NL_2015-01-29-tweedekamer-3.u8	Meanwhile, hundreds of thousands of tenants are in financial trouble, as Mr Monasch says. The PvdA has made those income-dependent rents possible, which means that tenants are squeezed out. Does the PvdA now say that as far as she is concerned, those rent increases may be undone, given the financial position of many corporations?
ParlaMint-NL_2015-01-29-tweedekamer-3.u9	I understand that it is difficult for groups to be present at all the debates. We are trying to be, and that is certainly the duty of the large groups. We have discussed what that means. We have said: make sure that the low incomes of this income-dependent rental policy are compensated as well as possible. Hundreds of millions more are also allocated to the rent allowance. Where people get into trouble, the figures show that this is mainly due to loss of work or to private circumstances, read: divorce. That's what you see in buyers. We believe that much is being done on this point through the rent surcharge. We are still in favour of the higher incomes of those who earn more than €43,000 paying a little more. You can see in all the figures that they have lost much less rent than low incomes. We still think it is a fair choice to ask them for something more, especially in times of crisis, especially when there is a shortage in the housing market.
ParlaMint-NL_2015-01-29-tweedekamer-3.u10	Those rent increases don't just affect the higher incomes. Those rent increases affect everyone, including the lower incomes. Again, the PvdA has made sure that these rent increases are possible. What does the PvdA offer to all these tenants right now? Can Mr Monasch say that he is going to stand up for them and make sure that these weird rent increases disappear, partly in view of the financial position of corporations? Or does he stay vague and offer tenants nothing at all? What is it now?
ParlaMint-NL_2015-01-29-tweedekamer-3.u11	I think I'm very specific. First of all, next year's rent increase will be lower than this year's. That's good news. Secondly, there is a generous budget for the rent supplement, so that low incomes are compensated. Thirdly, the debate is now under way, and we have asked the Minister about the income of corporations. They seem to be much higher than initially expected. After deduction of the landlord levy, there is 600 million more euros than in 2012. So that's a flairy-looking thing. That's not capital in stones, that's just cash in the greenhouse. We have therefore asked the Minister to pass on this picture. We assume that this picture will look even more flourishing now that we know that interest rates will remain structurally low, which will further reduce the interest burden on corporations.
