ParlaMint-NL_2015-12-09-tweedekamer-6.u1	Mr Van Vliet has the floor first for his half-minute speaking time.
ParlaMint-NL_2015-12-09-tweedekamer-6.u2	Mr. Chairman. I'll file my motion right away. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Parliamentary Committee of Inquiry on Housing Corporations concluded that all housing corporations deserve a heavier audit than just the statutory audit and that for this purpose the status of "public interest organisation" (OOB) is necessary;]] [[Whereas the Minister is considering the extension of the number of institutions to be granted the status of PIE, including housing corporations for which a lower level of size is to apply;]] [[Whereas, under a new Directive, additional safeguards will enter into force in the audit of an PIE, including the obligation to send a report to the supervisor on threats to continuity and so on;]] [[Whereas, even without the status of PIE, the auditor often draws up a management letter for the audited institution, which also describes any such threats;]] [[calls on the government, for the housing corporations, which do not receive the status of PIE, to make a management letter mandatory and also to have them sent to the supervisor,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Vliet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33977-8]]
ParlaMint-NL_2015-12-09-tweedekamer-6.u3	I'd like to advise you to make motions a little shorter next time.
ParlaMint-NL_2015-12-09-tweedekamer-6.u4	I'll do my best, Mr. Chairman.
ParlaMint-NL_2015-12-09-tweedekamer-6.u5	You will then remain within the already tight speaking time that you have been given as a very small group.
ParlaMint-NL_2015-12-09-tweedekamer-6.u6	Mr. Chairman. An audit report must always be good, of course, whether it is for an organisation of public interest or otherwise. We have therefore also looked critically at the extension of the PIE status, in particular because it involves additional administrative burdens and costs. I have two motions, first of all on the housing corporations. The Minister indicated that he would consider whether it would be desirable for each corporation to be considered an PIE. As far as we are concerned, that is not desirable. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that:]] [[the Minister proposes to apply the PIE status to housing corporations;]] [[the audit of housing corporations is already mandatory and is classified as statutory audit within the meaning of the Audit Office Supervision Act (Wta);]] [[Whereas:]] [[Care should be taken to avoid disproportionate burdens associated with the legal award of the PIE qualification;]] [[the corporate governance code already refers to office rotation, as it has been agreed that the external auditor will be appointed for a period of up to eight years;]] [[the Minister himself points out that proportionality still needs to be considered;]] [[it is appropriate to limit the PIE status to organisations of a substantial size;]] [[calls on the Government not to classify small housing corporations as PIE and to join the authorised institutions Housing (BTIV) or 2,500 rental units at the border,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Aukje de Vries, Mr Koolmees and Mr Ronnes. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33977-9]]
ParlaMint-NL_2015-12-09-tweedekamer-6.u7	We have a question to the Minister in broad terms and a motion for a resolution. In any case, we ask the Minister to agree with the sector and to do so in consultation with the sector on a proper transitional period for the parties to be covered by the PDB status. Finally, a motion on pension funds. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the audit of pension funds is already compulsory and is classified as statutory audit within the meaning of the Audit Office Act (Wta);]] [[Whereas:]] [[the added value of the PIE status and the additional costs are not clear;]] [[it is not appropriate to align pension funds with and treat them as insurers, because there are very different rules;]] [[calls on the Government not to label pension funds as PIE,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Aukje de Vries. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-33977-10]]
ParlaMint-NL_2015-12-09-tweedekamer-6.u8	Mr. Chairman. In recent years, we have seen too many examples of inadequate controls on financial trade and walks by organisations that play an important role in our society. Major steps have also been taken in recent years to improve the quality of audit. Slowly we see the fruits of this. We're not there yet, but we're on the right track. On today's subject, the D66 Group shares the cabinet's starting point. Preference should be given to measures tailored to the organisation. D66 therefore understands the government's proposed approach to network operators, municipalities, educational institutions, health care institutions and also larger housing corporations and pension funds. However, we are wondering whether the smaller woco's housing corporations should be included. The answers now state that the audit firms with a licence to control PIEs have a market share in the housing corporations sector of 99,6%, but from my other portfolio, namely Wonen and Rijksdienst, I know that there are still a lot of very small housing corporations with a small number of rental units, i.e. housing. The Minister admits that he now wants to look at the proportionality of the wocos. I think that is sensible, but I have co-signed Mrs De Vries' motion because I think it is important to define a clear lower limit now and not to impose additional costs and administrative burdens on those very small organisations.
ParlaMint-NL_2015-12-09-tweedekamer-6.u9	Mr. Chairman. "We're not there yet, but we're on our way," said Mr Koolmees, free to De Dijk, just now about the accounting sector. I'll share that with him. Today a somewhat smaller part of the accounting sector, the PIE statement and who should or should not be included. You can see that all the groups are struggling a bit with the proportionality of what is and is not covered and why is it now or not? Sometimes I ask a question that contains an opinion, but now I have a genuine question for the Minister. It is stated in the Minister's letter that the social interest is to a greater extent applicable to large institutions. I wonder if it is. Is the financial management of a smaller pension fund or a smaller housing corporation of less social importance? One might also think that a very large pension fund has much more knowledge and financial expertise, and that is precisely why the audit report is important for the smaller pension funds. Since the members depend on them for their pension, they must also have sound financial management. So I didn't think the reasoning was so clear. On the other hand, I understand the reasoning of D66 and the VVD. Do you have to have such a heavy instrument for the small organizations now? But I do think I'm asking a sincere question. I am not yet clear, so the vote on Tuesday will show how I judge the motions. That also depends on the Minister's answers. I agree with Mrs De Vries' question on the transitional periods. I think it is right that when an accountant is busy and is allowed to advise, but that will no longer be allowed to do so, things will be settled properly. How is that arranged?
ParlaMint-NL_2015-12-09-tweedekamer-6.u10	Mr. Chairman. I shall begin with Mr Nijboer's sincere question. I thought it was a nice qualification of a question of my own.
ParlaMint-NL_2015-12-09-tweedekamer-6.u11	Outside the microphone, Mr Nijboer just said: 'There are those too'.
ParlaMint-NL_2015-12-09-tweedekamer-6.u12	His question was: is it really the case that a larger institution is also about a greater social interest? Of course, that depends very much on the way you define this. For an individual, of course, it doesn't matter if you are a member of a large pension fund that is in trouble or with a small pension fund. When the government would feel called upon to save the public or semi-public institution and pull away from the abyss, it is more often about larger money at a larger institution. It is therefore highly dependent on the size of the costs involved. Moreover, the number of people affected by it is, of course, greater in a larger institution. He also argued that you can assume that there is more quality at larger institutions, for example in the area of financial management etc. I'm afraid I can't go along with that reasoning. There have really been too many examples of large institutions where the quality and robustness of financial management and accountability have not grown with the size of the institution. We have seen too many examples of this. In order to be able to answer the question of who should be covered by the PDB statement, we have looked precisely at it. We've gotten off to a big start. We have defined a number of large categories of public and semi-public institutions, after which we have looked at what has already been regulated by category with the relevant departments, supervisors and sectors. That process has not yet been fully completed. We've figured out that we didn't find that explanation for some of them any added value. Let me give you an example of the municipalities. For that, I hear understanding and support in the Chamber. In the case of larger institutions, however, we have decided to be even more precise in terms of: when, when. So that's proportionality. The House is already taking a lead here in the motions on a number of points, because the trajectory is still running for pension funds as well as for corporations. For this reason, I would like to suggest to the Chamber that the cabinet, in the context of the adage which governs the government and controls the Chamber, should come up with a proposal for a reasonable limit. I would rather do that than have the House now, by way of a motion, say that it should be a certain number of houses. Let me consider it; it is more of a general preliminary remark. I'm just looking at the exact motions. The first motion is from Mr Van Vliet. He has, of course, a strong track record on this subject as chairman of the parliamentary committee of inquiry on housing companies, which I believe has stressed the importance of the auditor's role in the system. The Committee says that it needs to be better and has recommended that all housing corporations should be regarded as public-interest organisations. At least I thought that was the committee's recommendation. I can see from Mr Van Vliet's face that this is broadly correct. In effect, we are examining exactly where to draw the line. Mr Koolmees is absolutely right: there are very small housing corporations. Then you're talking about dozens of homes or a category of hundreds of homes. There are still quite a few of them, so the question is whether or not it is proportionate to include such institutions under this increased regime, which, moreover, sees the supervisory requirements mainly on the accountant. Mr Van Vliet proposed in his motion that these small housing corporations should be excluded from the PIE status, but that the management letter should be made compulsory. That's actually a search for proportionality. Still, I'd advise against his motion. Perhaps we can continue this debate as soon as the cabinet presents a proposal for a border to the Chamber. This motion actually creates a fourth regime between ordinary audit supervision, statutory audit supervision and PIE supervision. It is not required by law, it is not PIO, but in between we say: you must have a management letter and it must be sent to the supervisor. That's a fourth regime. That's actually why I'm not in favour of it.
ParlaMint-NL_2015-12-09-tweedekamer-6.u13	Mr Van Vliet, unless it becomes a discussion.
ParlaMint-NL_2015-12-09-tweedekamer-6.u14	I am here as a Member of Parliament and I would simply like to speak, Mr President. In response to the Minister, I have asked about the sector and the auditors. Practically all housing corporations already get a management letter from an accountant. Now, however, they are not obliged to send it to the supervisor. That's reactive surveillance, because you can get him. This is not in line with the conclusions of the Committee of Inquiry. As a final piece, I say: let them send that thing, which is actually always there, mandatory. In that sense, the motion must be read.
ParlaMint-NL_2015-12-09-tweedekamer-6.u15	Then I'd like to make another proposal. I'm just gonna keep my reaction to myself. In the meantime, I am going to discuss this with the Minister for Housing, Mr Blok. Because this is much more about whether it would be good for the supervisor to always get the management letter from now on, so that he may be alerted to problems. I do not fully understand that, because that is much more about whether the supervision of corporations is properly regulated and whether this would have additional value. If the Chamber agrees, I am going to discuss this with the Minister for Housing, after which we will respond in writing. I think that is a different discussion than: are we creating a new regime between ordinary statutory audit supervision and the PIE institutions?
ParlaMint-NL_2015-12-09-tweedekamer-6.u16	In that sense, I have a problem which, if Mr Van Vliet were not to hold his motion, I would have to ask you for an explicit judgment so that others can make a judgment on that motion.
ParlaMint-NL_2015-12-09-tweedekamer-6.u17	I can take the government's reaction in the very short term, so for the votes I do not know when they will be planned...
ParlaMint-NL_2015-12-09-tweedekamer-6.u18	It's gonna be Tuesday.
ParlaMint-NL_2015-12-09-tweedekamer-6.u19	If that is possible before the vote, I shall not hold the motion. Minister Blok says every time he has to look at it, with which he leaves it in the fog. Once again, I will not hold the motion and I would like to await the verdict.
ParlaMint-NL_2015-12-09-tweedekamer-6.u20	Perhaps I am now in a wasps' nest of which I do not know depth and extent, but that is what I hear from Mr Blok.
ParlaMint-NL_2015-12-09-tweedekamer-6.u21	This is usually noticed by a hornet's nest at some point!
