Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u1	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u2	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	MP	notMinister	-	-	-	-	FrankWassenberg	Wassenberg, Frank	M	1966	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u3	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RicoBrouwer	Brouwer, Rico	M	-	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u4	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u5	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u6	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	RikGrashoff	Grashoff, Rik	M	1961	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u7	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u8	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u9	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u10	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u11	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u12	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u13	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u14	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	notMP	notMinister	-	-	-	-	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u15	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	RikGrashoff	Grashoff, Rik	M	1961	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u16	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2015-12-17-tweedekamer-13	ParlaMint-NL_2015-12-17-tweedekamer-13.u17	Report of the meeting of the Dutch Lower House, Meeting 39, Session 13 (2015-12-17)	2015-12-17	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 39	Sitting 2015-12-17	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
