ParlaMint-NL_2015-06-16-tweedekamer-31.u1	First of all, Mrs Van Veldhoven of D66 has the floor.
ParlaMint-NL_2015-06-16-tweedekamer-31.u2	Mr. Chairman. The AO was a long time ago. We were just talking about 'warm sweater day' at the time, but we were also talking about asbestos and asbestos inventories in schools and hospitals, because the situation is still not in order everywhere. That is unacceptable as far as D66 is concerned. The Secretary of State supports the public interest in knowing where this asbestos is, specifically in schools and hospitals, as she has said that this data will be included in the national asbestos monitoring system. We think this is so important that we include this in systems, but we seem to accept that this is not in order in hospitals and schools. D66 won't accept that. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that in 2011 the Chamber already asked the government, by way of motion, to address the asbestos problem in hospitals rapidly and thoroughly, starting with an inventory;]] [[noting that, four years later, asbestos inventory in some hospitals is still not in place everywhere and therefore there may still be a risk of asbestos;]] [[calls on the Government to make hastily inventory of the asbestos risk in hospitals through an inventory obligation for hospitals where it is not yet in order, with the aim that every hospital in the Netherlands knows whether asbestos is present,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30196-319]]
ParlaMint-NL_2015-06-16-tweedekamer-31.u3	I can move the second motion more quickly, because the same introduction applies. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that in 2011 the Chamber had already asked the government by way of motion to address the asbestos problem in schools rapidly and thoroughly, starting with an inventory;]] [[noting that, four years later, asbestos inventory in some schools is still not in order and therefore there may still be a risk of asbestos;]] [[calls on the Government to make hastily inventory of the asbestos risk in schools through an inventory obligation for schools where it is not yet in order, with the aim that every school in the Netherlands knows whether asbestos is present,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30196-320]]
ParlaMint-NL_2015-06-16-tweedekamer-31.u4	I move very quickly to my final point and that is the Malaysian wood. In order to allow that wood, the criteria for importing all the wood are now relaxed. That is not the right path for D66. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that under the Dutch government's sustainable procurement policy, wood currently meets only seven of the nine minimum requirements laid down in the Timber Procurement Assessment System;]] [[considers that all nine minimum requirements are equally important;]] [[Considering that this generic amendment was only applied by the government to accept MTCS wood in procurement policy, since a specific change would be contrary to competition law and the General Administrative Law Act;]] [[considers that it is undesirable that wood purchased by the Dutch government may not fully meet the nine purchasing criteria for demonstrably sustainably produced wood;]] [[calls on the Government to ensure that all nine minimum requirements for the purchase of sustainable wood for the Dutch government are fully applicable as of 1 June 2016,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30196-321]]
ParlaMint-NL_2015-06-16-tweedekamer-31.u5	Mr. Chairman. I have a few motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that sustainable procurement policies in practice are still insufficient to achieve effective sustainable outcomes;]] [[Whereas the Secretary of State has committed to a short-term plan of action, in cooperation with industry;]] [[Whereas intensive knowledge exchange between purchasers and sustainable companies is important to achieve sustainable outcomes;]] [[calls on the government to ensure that sustainable procurement, sustainable corporate governance are closely involved in the development of market meetings, training pathways for purchasers and more ambitious procurement criteria,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the last monitor concerned sustainable procurement in 2010 in relation to central, decentralised and semi-public authorities;]] [[calls on the government to develop a benchmark for sustainable procurement, starting from the year 2014, so that municipalities, provinces, water boards, educational institutions and hospitals can gather together, allocate sufficient budget for this, and take as an example the Transparency benchmark for 500 companies,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30196-322]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30196-323]]
ParlaMint-NL_2015-06-16-tweedekamer-31.u6	For months, the Chamber has been waiting for Ecorys to investigate possible obstacles to make the fuel mix completely transparent. I think the report has been ready for months, and the cabinet response could have been there by now. The Christian Union now wants the report to come to the Chamber in the next few weeks. I shall table the next motion so that we can vote in favour of the summer recess. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that raw materials and the origin of biofuels are already reported at business level, but that this is not yet done for other fuels;]] [[Noting that consumers can only make a real choice between different fuels if there is full transparency of the fuel mix at company level as stated in the PvdA member Jan Vos' motion (33834, No. 17);]] [[calls on the Government to achieve full transparency of the fuel mix at company level by 1 January 2016,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30196-324]]
ParlaMint-NL_2015-06-16-tweedekamer-31.u7	Mr. Chairman. Sustainable shopping doesn't have to be more expensive. Some people think that, but they don't have to. It's also about the long term. If you consume less raw materials, you have a lower cost and therefore a competitive advantage. Of course, you can pass that on to your customer. Sustainability is not always more expensive. You shouldn't make things too complicated. I think it's good that the government is occasionally launching customer. Then you will also give companies a chance, but we must avoid going too far with the criteria and working too much with ticking lists. That is not a good development. It's really about the result. I have two motions on the criteria. The first one is about wood. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that timber labels must comply with international standards of umbrella organisations such as FSC and PEFC;]] [[noting that to date the Dutch government has adopted its own policy regarding the assessment of wood labels for sustainability;]] [[noting that the non-governmental organisations concerned have in addition created their own trademarks of wood;]] [[Whereas all labels, review committees and directives are not clear when they are to be complied with and a level playing field is created;]] [[calls on the Government to clarify criteria and labels in the forest and to reach a level playing field as soon as possible and to inform the Court of Justice thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Remco Dijkstra. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30196-325]]
ParlaMint-NL_2015-06-16-tweedekamer-31.u8	I'm about to file this motion, because the next motion is on the back. I am environmentally conscious and print double sided! [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government has a sustainable procurement policy;]] [[Whereas policy departments in different ministries (I and M, W and R, EZ, State and SZW) are involved in a sustainable procurement plan;]] [[calls on the government to focus on total cost of ownership in sustainable procurement policies,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Remco Dijkstra. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30196-326]]
ParlaMint-NL_2015-06-16-tweedekamer-31.u9	Apologies! I will reopen the sitting because Mrs Cegerek also wanted to table motions. I am now giving her the opportunity to do so.
ParlaMint-NL_2015-06-16-tweedekamer-31.u10	Mr. Chairman. I figured it'd be real quick! We have waited a long time for this VAO. I've got three motions, so I'm gonna start reading straight away. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the priority of sustainable procurement in municipalities and provinces is decreasing;]] [[Whereas it is very important that the public authorities set a good example;]] [[Whereas it is therefore necessary to encourage municipalities and provinces to give more priority to sustainable procurement;]] [[calls on the government to award an annual prize to the municipality and the province with the most sustainable procurement policy,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas industry can play an important role in developing new sustainable procurement strategies;]] [[noting that the Sustainable Purchasing Plan has been postponed;]] [[calls on the government to engage with industry leaders in order to improve knowledge transfer and professionalisation for sustainable procurement,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the public authorities should set a good example in the area of sustainable procurement;]] [[Whereas sustainable and circular procurement and energy use play an important role in this;]] [[calls on the government to make sustainable and circular purchases a priority in the procurement and procurement of the Empire, for example in the renovation of the Binnenhof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Cegerek. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30196-327]] [[This motion has been proposed by Mr Cegerek. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30196-328]] [[This motion has been proposed by Mr Cegerek. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30196-329]]
ParlaMint-NL_2015-06-16-tweedekamer-31.u11	I give the floor to the Secretary of State to answer the questions and to respond to the motions.
