Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-02-24-tweedekamer-2	ParlaMint-NL_2015-02-24-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 55, Session 2 (2015-02-24)	2015-02-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 55	Sitting 2015-02-24	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	GerardSchouw	Schouw, Gerard	M	1965	
ParlaMint-NL-en_2015-02-24-tweedekamer-2	ParlaMint-NL_2015-02-24-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 55, Session 2 (2015-02-24)	2015-02-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 55	Sitting 2015-02-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2015-02-24-tweedekamer-2	ParlaMint-NL_2015-02-24-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 55, Session 2 (2015-02-24)	2015-02-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 55	Sitting 2015-02-24	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	GerardSchouw	Schouw, Gerard	M	1965	
ParlaMint-NL-en_2015-02-24-tweedekamer-2	ParlaMint-NL_2015-02-24-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 55, Session 2 (2015-02-24)	2015-02-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 55	Sitting 2015-02-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2015-02-24-tweedekamer-2	ParlaMint-NL_2015-02-24-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 55, Session 2 (2015-02-24)	2015-02-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 55	Sitting 2015-02-24	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	GerardSchouw	Schouw, Gerard	M	1965	
ParlaMint-NL-en_2015-02-24-tweedekamer-2	ParlaMint-NL_2015-02-24-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 55, Session 2 (2015-02-24)	2015-02-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 55	Sitting 2015-02-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2015-02-24-tweedekamer-2	ParlaMint-NL_2015-02-24-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 55, Session 2 (2015-02-24)	2015-02-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 55	Sitting 2015-02-24	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JeroenRecourt	Recourt, Jeroen	M	1970	
ParlaMint-NL-en_2015-02-24-tweedekamer-2	ParlaMint-NL_2015-02-24-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 55, Session 2 (2015-02-24)	2015-02-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 55	Sitting 2015-02-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2015-02-24-tweedekamer-2	ParlaMint-NL_2015-02-24-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 55, Session 2 (2015-02-24)	2015-02-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 55	Sitting 2015-02-24	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2015-02-24-tweedekamer-2	ParlaMint-NL_2015-02-24-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 55, Session 2 (2015-02-24)	2015-02-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 55	Sitting 2015-02-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	RonaldPlasterk	Plasterk, Ronald	M	1957	
ParlaMint-NL-en_2015-02-24-tweedekamer-2	ParlaMint-NL_2015-02-24-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 55, Session 2 (2015-02-24)	2015-02-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 55	Sitting 2015-02-24	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	Gert-JanSegers	Segers, Gert-Jan	M	1969	
