Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-07-02-tweedekamer-19	ParlaMint-NL_2015-07-02-tweedekamer-19.u1	Report of the meeting of the Dutch Lower House, Meeting 104, Session 19 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PeterOskam	Oskam, Peter	M	1960	
ParlaMint-NL-en_2015-07-02-tweedekamer-19	ParlaMint-NL_2015-07-02-tweedekamer-19.u2	Report of the meeting of the Dutch Lower House, Meeting 104, Session 19 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	NineKooiman	Kooiman, Nine	F	1980	
ParlaMint-NL-en_2015-07-02-tweedekamer-19	ParlaMint-NL_2015-07-02-tweedekamer-19.u3	Report of the meeting of the Dutch Lower House, Meeting 104, Session 19 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	NineKooiman	Kooiman, Nine	F	1980	
ParlaMint-NL-en_2015-07-02-tweedekamer-19	ParlaMint-NL_2015-07-02-tweedekamer-19.u4	Report of the meeting of the Dutch Lower House, Meeting 104, Session 19 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	MagdaBerndsen	Berndsen, Magda	F	1950	
ParlaMint-NL-en_2015-07-02-tweedekamer-19	ParlaMint-NL_2015-07-02-tweedekamer-19.u5	Report of the meeting of the Dutch Lower House, Meeting 104, Session 19 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	Gert-JanSegers	Segers, Gert-Jan	M	1969	
ParlaMint-NL-en_2015-07-02-tweedekamer-19	ParlaMint-NL_2015-07-02-tweedekamer-19.u6	Report of the meeting of the Dutch Lower House, Meeting 104, Session 19 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	LilianHelder	Helder, Lilian	F	1973	
ParlaMint-NL-en_2015-07-02-tweedekamer-19	ParlaMint-NL_2015-07-02-tweedekamer-19.u7	Report of the meeting of the Dutch Lower House, Meeting 104, Session 19 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-19	ParlaMint-NL_2015-07-02-tweedekamer-19.u8	Report of the meeting of the Dutch Lower House, Meeting 104, Session 19 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-07-02-tweedekamer-19	ParlaMint-NL_2015-07-02-tweedekamer-19.u9	Report of the meeting of the Dutch Lower House, Meeting 104, Session 19 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-19	ParlaMint-NL_2015-07-02-tweedekamer-19.u10	Report of the meeting of the Dutch Lower House, Meeting 104, Session 19 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-07-02-tweedekamer-19	ParlaMint-NL_2015-07-02-tweedekamer-19.u11	Report of the meeting of the Dutch Lower House, Meeting 104, Session 19 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
