ParlaMint-NL_2015-04-30-tweedekamer-12.u1	I would like to welcome the Minister for Security and Justice.
ParlaMint-NL_2015-04-30-tweedekamer-12.u2	Mr. Chairman. I understand from my colleague that there has been a good debate today with the Minister of Security and Justice on the planned closure of the Sexual Abuse Report of the Roman Catholic Church on 1 May, i.e. by tomorrow. Unfortunately, I had to be present all day in the debate on That is why I could not attend the general consultation myself. There are still a few small points for me that I would like to ask this Minister about this closure. That's why I'm filing a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Communication Point on Sexual Abuse of the Roman Catholic Church will close on 1 May 2015;]] [[Whereas recognition is an important part of the process of processing victims of sexual abuse;]] [[Whereas it cannot be ruled out that there are still hidden victims who need longer time to report the sexual abuse and therefore there is still a need for victims to lodge a complaint;]] [[considers that there should continue to be a possibility for victims to be recognised;]] [[calls on the Government to ensure that victims can still start a mediation process with a self-appointed mediator and appoint an independent supervisor,]] [[and goes to the order of the day.]] [[This motion has been proposed by the Member of the Houses. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-34000-VI-82]]
ParlaMint-NL_2015-04-30-tweedekamer-12.u3	Thank you very much, Mr President.
ParlaMint-NL_2015-04-30-tweedekamer-12.u4	Thank you very much.
ParlaMint-NL_2015-04-30-tweedekamer-12.u5	Mr. Chairman. Indeed, we have had a very good debate with this Minister, who, as in his parliamentary membership, will also be working in his current position to ensure that victims of the past are actually done justice. We have every confidence in that. However, as a Chamber, we feel that it may be important to give him a little more protection as a parliament to ensure that he can continue to pay attention to whether the commitments that have been made will be complied with. To that end, we have tabled a motion for a resolution. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Sexual Abuse Communication Point will close in its current form as from 1 May a.s.;]] [[Whereas the ecclesiastical authorities are and will continue to be responsible for mitigating the intense suffering suffered by victims;]] [[Whereas the ecclesiastical authorities have made a commitment that victims can count on help and recognition even after closing the hotline and that, in distressing cases, coulance will be applied in respect of non-payment of compensation;]] [[calls on the Government, the Chamber, for the next five years, to inform each year of how the ecclesiastical authorities fulfil their commitment,]] [[and goes to the order of the day.]] [[This motion was proposed by members Van Toorenburg, Rebel, Berndsen-Jansen, Gesthuizen, Van Oosten, Voortman, Helder, Voordewind and Van der Staaij.]] [[She's getting No. kst-34000-VI-83]]
ParlaMint-NL_2015-04-30-tweedekamer-12.u6	Mr. Chairman. I'll be brief. In my view, Mrs Van Toorenburg has indicated how the Chamber wishes to support the Minister in his consultation with the Church. We welcome today's debate and the commitments. We believe it is important that the Chamber is regularly informed, and we are still waiting for the results of the planned consultation. We are satisfied with this.
ParlaMint-NL_2015-04-30-tweedekamer-12.u7	Thank you. So much for the Chamber's term. The Minister is able to comment directly on the two motions that have been tabled.
ParlaMint-NL_2015-04-30-tweedekamer-12.u8	Mr. Chairman. Let me begin by saying that today I had the opportunity to have a debate with the Chamber on a subject which has been on the House's agenda for many years, particularly because of its involvement in the suffering caused by the victims all these years. We have also established with each other that it is not possible to make good the enormous suffering and all the damage that has been suffered. Nevertheless, through the efforts of the Chamber and in consultation with my predecessor, but also in good consultation with the victims in particular, the ecclesiastical authorities have done what they could. An important role has been played by Mr Deetman, who has produced a report, has given advice and has written monitoring reports. This is without prejudice to the fact that, in a number of respects, it still does not go in a way that would be most appreciated by victims. That is what I said today, and I had an exchange of views with the Chamber. I also said that if the Chamber thinks it is important that I inform her about this in the years to come, I am prepared to take on that role. I stress that I will do so as far as my responsibility as Minister of Security and Justice extends, given the separation of church and state. I would also point out, on the one hand, that I cannot oversee a period of five years myself, but, on the other hand, that this may also be a good advance on future developments. In my view, we should also be aware that this dossier would never have been followed up if the victims' groups, the media, Mr Deetman and ultimately the Chamber, had not acted as they had done in this matter, and at the same time the ecclesiastical authorities realised that what they should have done in the past was too late. At least the ecclesiastical authorities have done their utmost to do what they have to do. I come to Mrs Gesthuizen's motion. Unlike Mrs Van Toorenburg's motion, which is also supported by Mrs Gesthuizen, I am asked in Mrs Gesthuizen's motion to take care of something that I cannot take care of, given my limited responsibility on this point. Furthermore, Mrs Gesthuizen's motion gives a very compelling direction to a route, whereas yesterday the victims' groups told me in a discussion that this route should be designed in all possible ways. It does not necessarily have to be through mediation, but it must be through mediation. I fully understand that this motion was tabled from Mrs Gesthuizen's long-standing involvement in this dossier. I also recognise in the motion the call of the VPKK in particular from yesterday's Trouw. However, this differs from the opinion of the other victim groups, from that of the national dome of victim groups and from Mea Culpa United. Given the assignment I would receive from the Chamber by means of the Van Toorenburg and others motion. I think I should discourage this motion because of the limited approach route and because I cannot implement it on the basis of my responsibility.
ParlaMint-NL_2015-04-30-tweedekamer-12.u9	One question, Mrs. Gesthuizen.
ParlaMint-NL_2015-04-30-tweedekamer-12.u10	Then let me make a question and a somewhat sneaky remark. It's a bit of a shame the Minister reads so selectively. If he read correctly, he would see that it's not about forcing the victims to start all the same mediation process. I'm interested in the possibility. Victims must start a mediation process of their choice. It is a bit of a pity that this is a political exercise on this dossier.
ParlaMint-NL_2015-04-30-tweedekamer-12.u11	I do not quite understand the emotion I am listening to in Mrs Gesthuizen's voice. The recognition element to which she refers in the motion is already established in the June motion last year. It is very clear at that point. In the debate I said that I still see this motion as an assignment to me, as Minister of Security and Justice, as my predecessor did. It is a task with regard to recognition, assistance and the possibility to continue to submit complaints to the Catholic Church. So that motion goes far beyond what Mrs Gesthuizen is proposing. The conciliation is included in that motion. I can't do the assignment I'm getting right now. I therefore have no choice but to discourage the motion, because it is not my responsibility to ensure that the ecclesiastical authorities deal with complaints in a certain way. It is much more purer to me behind the motion-Van Toorenburg c.s. I would like to ask the President-in-Office of the Council whether he is aware of the fact that the Council has not taken a decision on this matter.
