Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-06-25-tweedekamer-5	ParlaMint-NL_2015-06-25-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 101, Session 5 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-06-25-tweedekamer-5	ParlaMint-NL_2015-06-25-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 101, Session 5 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-06-25-tweedekamer-5	ParlaMint-NL_2015-06-25-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 101, Session 5 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 101	Sitting 2015-06-25	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-25-tweedekamer-5	ParlaMint-NL_2015-06-25-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 101, Session 5 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JetBussemaker	Bussemaker, Jet	F	1961	
ParlaMint-NL-en_2015-06-25-tweedekamer-5	ParlaMint-NL_2015-06-25-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 101, Session 5 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-06-25-tweedekamer-5	ParlaMint-NL_2015-06-25-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 101, Session 5 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	TjitskeSiderius	Siderius, Tjitske	F	1981	
ParlaMint-NL-en_2015-06-25-tweedekamer-5	ParlaMint-NL_2015-06-25-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 101, Session 5 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2015-06-25-tweedekamer-5	ParlaMint-NL_2015-06-25-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 101, Session 5 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 101	Sitting 2015-06-25	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-25-tweedekamer-5	ParlaMint-NL_2015-06-25-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 101, Session 5 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2015-06-25-tweedekamer-5	ParlaMint-NL_2015-06-25-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 101, Session 5 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 101	Sitting 2015-06-25	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-25-tweedekamer-5	ParlaMint-NL_2015-06-25-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 101, Session 5 (2015-06-25)	2015-06-25	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 101	Sitting 2015-06-25	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Opposition	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
