ParlaMint-NL_2015-12-16-tweedekamer-12.u1	I understand that the Secretary of State for Security and Justice will speak first.
ParlaMint-NL_2015-12-16-tweedekamer-12.u2	Mr. Chairman. The Chamber has clearly indicated that it would prefer to be able to ask more factual questions to me and Mr Van der Steur before we get to the answer by the Prime Minister, who, speaking for himself, will answer questions on political direction and political interpretation. Let me also, from my place, thank the Oosting Committee for the many hard work and the very clear report, which contains clear conclusions, which, understandably, give a firm input from your Chamber in the first term and the necessary questions, to which I will be happy to answer. My intention is to do so, in terms of my role and my involvement, in chronology, but also to reflect on it during the discussion of what actually happened, as the Chamber asked me. There were quite rightly many questions about my involvement in my capacity as a Member of Parliament. That involvement was indeed there. There was at different times. In itself, it is not unusual for there to be such involvement and contacts between directors and MPs, but I fully recognise that there are limits to that. So I won't say: it's perfectly normal that there's contact, so every contact is perfectly normal. Let me start with March 4th itself. It was said that it was quite a coincidence that you were already there. Yeah, that's the reality sometimes. I had an appointment with Minister Opstelten to update him on the campaign and the messages of the upcoming campaign weekend. That wasn't an exciting deal. I sometimes thought afterwards: I would have preferred to fly in Maastricht that day, I wouldn't have been in The Hague and I wouldn't have gotten involved either. But it's the way it is. I was there. We had that conversation. Then there was an announcement at the Ministry that Newsuur would bring news about the settlement that evening. Then the minister said, "Hey, if you're here, check it out." That didn't start immediately with a draft press release. That started with a conversation about what would come and what it was like. At some point someone comes in with a draft press release. They're being handed out and I've got one right in front of me. Afterwards, I should at least have taken a pause for thought and noted that discussing the draft press release was a step too far. That didn't happen. It happened that I got something in front of me, that I read it, and that I was immediately amazed at the fact that there was something denied that I wouldn't know why you had to deny it if you didn't know what it was about or at least what it was about. Because at that time the state of affairs that Minister Opstelten had informed the Chamber was not the amount I mentioned earlier, and I do not know what the amount is; I am sorry, I may have to accept that I will never be able to clarify it. If you tell the Chamber you don't know yourself, how can you deny someone else's money? But again, at that time I would have done much better to say: this is a real press release, this is really up to you. Perhaps I could have said: my eye falls on this, I would not do that. But "hands off," I didn't do that.
ParlaMint-NL_2015-12-16-tweedekamer-12.u3	Were you done with this part?
ParlaMint-NL_2015-12-16-tweedekamer-12.u4	This is my reflection at the moment when I have crossed a line that I am now saying: it is purer not to advise on such a press release in your role as a Member of Parliament. I don't mean to say I didn't write along. Nor can I say that, when I left there, I felt that the final press release was my responsibility or that it was as I would have done it. On two points there was a clear indication, but then I come to the content. If there are any questions about my reflection at the time, then they are in order. Makes sense.
ParlaMint-NL_2015-12-16-tweedekamer-12.u5	I think it is very important for the Secretary of State to state that he was in the wrong place and should not have been there. Does that also apply to Mr Van der Steur as far as he is concerned?
ParlaMint-NL_2015-12-16-tweedekamer-12.u6	Mr President,......................................................................................
ParlaMint-NL_2015-12-16-tweedekamer-12.u7	The Minister of Security and Justice will be speaking shortly. Then you can ask him the same question.
ParlaMint-NL_2015-12-16-tweedekamer-12.u8	Then I'm going to ask that question, because last week the Minister explained so thoroughly that it was normal. I'm very glad it's at least a completely different story now. On that day, something happened which remains very strange. It gives the impression that the amount that Nieuwsuur had finally presented was going around, and that indeed much more than you are now saying was clear that at least denying it, without or with the 4.7 million, would not be the truth. How is it that there's a MP in there who shouldn't have been sitting there? However, you sat there and took part in a press release that didn't add up. How can you explain that?
ParlaMint-NL_2015-12-16-tweedekamer-12.u9	The parts of the press release that didn't add up went out, too. Let me put it this way: I shouldn't have been there, so we might have had an even worse press release. It would have been. It wasn't up to me. That 4.7 million from the concept didn't come from the Ministry. It came from Nieuwsuur. News hours had announced at the Ministry: we come with this tonight, if you want to respond, then we can take your response with us on the broadcast. So that 4.7 million came from Newsuur. The concept reaction said that was wrong. That denied it. They say, "How can you deny it?" Do you know what it is? Or are you sure this isn't it? If you don't know that, you can't deny it. Then there was a conversation in which it was said: no, we do not know what the amount is. Mr Teeven was also present and mumbled a bit about amounts. He also mentioned 4.8 million. Then I said, "That's a lot like it." Then he said, no, that was a part plus 2,3 is 7.1. In other words, it was not. Those numbers didn't come to me with quotes from a report, just to be clear. That wasn't till Monday. At the time those numbers came to me, I could in any case very well imagine the conclusion that there were not really sufficient substantiated grounds to name a number.
ParlaMint-NL_2015-12-16-tweedekamer-12.u10	What you're saying is quite striking. You say that Mr Bitch was there. I checked the report, and the crazy part is that it says he wasn't there. Mr Teeven had a separate discussion with the Minister, together with the DG, I think. At the meeting where you were, Mr Van der Steur, a pa and a spokesperson were also present. Then, for example, I do not understand why it was not fairly included in the answers that Mr Teeven was present. In fact, you say mumble now. I do not know how Mr Bitch sees it; I understand that he is not here. You say he mumbled the amount. As a matter of fact, it's the right amount. You're doing it again. You're mucking away the fact that the truth was already on the trail that day. If you come near that, you can at least not agree with a press release that says: "The claim of Nieuwsuur that the Minister has misinformed the House of Representatives is incorrect." No, that claim was correct. That's what you heard on that day.
ParlaMint-NL_2015-12-16-tweedekamer-12.u11	Those are two different things, and maybe more. I believe that we indicated in our reply to the Chamber that Mr Teeven was present on 4 March and that he said so. He walked in and came back. That's what we indicated in there. That conversation was already going on. He returned from where he had gone, came in, started taking part in the conversation and indicated it. Of course, when the amount of 4.8 million was mentioned, I also asked: isn't that the amount? The answer to my question was: no, because there was another component. It doesn't make me happy to have to add up every time, but that's the way it is. So I asked, isn't that the same amount? That's it, except for 0.1. The answer was: no, because you have to add something to that, because the 4.8 was just the interest rate and the basic amount, so it's not. So at that moment I also asked: is that new? Then I was informed: the Chamber has already been informed that Fred Teeven had memories, shared in the light of Van Brummen's investigation, and Van Brummen has made a conclusion. Then my reaction and that of Mr Van der Steur, who will say so himself, was: put that in the press release. News hours would also tell us that Fred Teeven knew things. That has also been the subject of the press release. The fact that this discussion is being held confirms that I should have left there earlier, but I did not feel responsible for the final product. I didn't agree. I didn't think this press release was brilliant. Well, there are two things that I could test that I didn't find useful changed. At that time the latest information from Minister Opstelten to the Chamber was: I do not know any amount. So at the time that Newsuur said "it's 4.7 million" the minister said that it was 2 million, that 2 million was withdrawn again. That is what the first sentence refers to. That was also certain; there were several questions about certainty, but the two points that have changed are as I said.
