ParlaMint-NL_2015-04-14-eerstekamer-8.u1	I give the floor to the Minister of the Interior and Kingdom Relations.
ParlaMint-NL_2015-04-14-eerstekamer-8.u2	Mr. Chairman. There have been a number of fundamental and important issues raised in the first period, which I understand. I will try to provide adequate answers to that in my contribution. I would like to speak briefly about the reason for the legislative proposal before us. After that, I will go into "that will be the most important part," I think, on the underlying argument, the basis of the proposal. Mr Schouwenaar and others have asked a number of fundamental questions about this. Then I'm going to say something about the numbers. Mr De Graaf and others have asked about the intended impact on the reduction of numbers and what is the consistent line in underpinning the proposal. Finally, I will deal with a number of remaining points. First of all, I would like to point out that it was concluded in the first period that the reason for this bill was the limited budget for the AIVD. That was a reason to go through the whole budget again critically, to see whether all the posts in it could perhaps not be filled out differently, whether it was necessary and whether it all belonged there. In this context, we encountered a number of services provided for third parties which, in the government's view, were in fact operating costs attributable to the beneficiaries. Moreover, the proceeds of this measure have already been taken into account in the budget policy unchanged. The order of magnitude is up to 6 million euros. The number of security investigations is not determined by the Minister of the Interior, but by the relevant Minister of State. For the most part, that is the Minister of Security and Justice. If that number goes down, then the Minister for Security and Justice is going to try to reduce the costs, of course, and the gap that would be struck if this proposal were not to succeed. However, it is that order of magnitude. Mr De Graaf said in his first term that this is not about hundreds of millions. That's right. It's only a few million. For the record, however, I note that the entire budget of the AIVD amounts to 200 million. I am glad that it is not hundreds of millions, but that is what a few million is about as a percentage of the AIVD budget. Compared to, for example, the increase of 40 million for jihadism and the monitoring of Europe's eastern borders over the past year, the amount is indeed significant. This was the reason to take a critical look at this. We in the public sector have said that where there is a need for a security investigation elsewhere in the public sector for the process that is being carried out there, it is being passed on. This has now been established and does not need to be amended. As far as the private sector is concerned, it needs a legislative change. That is the proposal before us. Let me start with Mr Schouwenaar, but the debate has been addressed by many in the same way that the justification was rather broad-based. A number of arguments were put forward in abundance. When you put these arguments under the microscope, you have to ask yourself what their carrying capacity is. Let me start with Mr Schouwenaar's first. I quote what he quoted in his contribution as the cabinet position. To be honest, I have not been able to find it literally in the contributions of the cabinet. That's a good thing, because I don't agree. However, I do think it is precisely the pinching point. This is the view which I do not share: the government is responsible for national security, which serves as an umbrella over our country, under which companies can carry out their activities and make profits, but then they must also contribute to the burden. If that were generic, I wouldn't be in favour of that. After all, that is in fact a blank cheque to say: everyone has some safety, so if they still need money at the AIVD we can get it from a company because they all have an interest in national security. That must not be the reasoning. As far as I am concerned, the essence of the reasoning is the answer to Mr Schouwenaar's question: where is the business interest now? I will try to convince him that the business interest lies in the fact that they can only offer the product they offer, namely aviation, if it is done in a safe way. Otherwise, the government wouldn't approve of that either. Within this context, all kinds of conditions are imposed by the government. Those conditions are, for example, that people are not allowed to bring liquids in at the gate, that their luggage is searched, that they can be searched, that they go through such a gate and that staff do so. All these costs are incurred when the company actually has no choice. They are prescribed acts which must be carried out there. However, they are necessary in order to be able to market the product "air travel'. If people speak also the liberal in me, because then I try to look purely at the cost allocation, and from the Netherlands want to go to Switzerland for winter sports, they can go by car. It's up to them. Furthermore, the safety of that car is also regulated. Even then, people have to pay for it themselves. When they do so by plane, the scale at which something could go wrong with safety is such that the government demands what happens to search people who travel along, to the staff, to the crew on board, and also to the investigation that is taking place with regard to the intentions of the people who, for example, are in the cockpit behind the handlebar. All these demands will be passed on. This means that the security charge at Schiphol Airport is EUR 250 million per year. The traveller pays €12.82 per ticket for the fact that these are intrinsic costs of aviation. The point is that EUR 3 million would be added to the last part of the whole chain, namely that there is no security risk for the people who are manning it all or women. That would increase the security charge from €12.82 to €12.95 per ticket.
ParlaMint-NL_2015-04-14-eerstekamer-8.u3	One question, just for my understanding. Are the costs of patrolling at Schiphol Airport charged by the Royal Marechaussee and the police in the security charge?
ParlaMint-NL_2015-04-14-eerstekamer-8.u4	That's so far outside my wallet, I should check it out. In any case, I know that this is the case for the cost of boarding, also for the cost of checking and checking the luggage there.
ParlaMint-NL_2015-04-14-eerstekamer-8.u5	Well, that depends on who's doing it. If they are employees of the airline or of Schiphol Airport who do so on initiative, I understand that this is reflected in the ticket. I was talking here about the actions of government officials, such as police officers and the Royal Marechaussee, who operate at Schiphol Airport, who are patrolling and visible. That's government expenses. My question is whether they will be passed on in that passenger ticket or whether Schiphol or the airline will have to pay for it.
ParlaMint-NL_2015-04-14-eerstekamer-8.u6	The discussion about passing on police costs to social activities is a very broad one. Mr De Graaf referred to this in his own term. I mention the police charges at soccer games. Although there might be a rationality in calculating it, the legislator has always been very reluctant to do so. After all, you wouldn't want to give the impression that police surveillance is for sale to the person who could pay. Again, keep me for the better. As far as I'm aware, the police surveillance hasn't been paid for anywhere, not even at Schiphol.
ParlaMint-NL_2015-04-14-eerstekamer-8.u7	Finally, Mr De Graaf.
ParlaMint-NL_2015-04-14-eerstekamer-8.u8	I think what the Minister says is true on this point. I am asking because I want to know what the fundamental difference is between that state-trading, in carrying out a public task, and doing research for the purpose of giving a statement of no objection to a trust function in relation to national security.
ParlaMint-NL_2015-04-14-eerstekamer-8.u9	When it comes to an explanation of behaviour or where the Hoogovens have to incur costs in order to meet national security requirements, it is, of course, logical that these are allocated to the process as operating costs. This also makes it possible to pay purely in the market. Citizens who want to go to Switzerland from the Netherlands and do so by car will incur other costs. If they want to fly, they make costs that scale up with the number of people flying. In the end, if people choose to go by air, that is fine, that is excellent, but the full costs to be incurred must be allocated. This includes what is necessary to enable a safe flight. The great precedent is that these are also government regulations for checking baggage, searching people and supervising the whole process. Part of it is that people are sure that the people who work there do not walk around with suicidal tendencies or otherwise have wrong plans. These are attributable operating costs arising from the requirements that can and must be imposed on safety. This is also the case in many other places in Dutch society. I mentioned Hoogovens, but the nuclear power plant can also be considered. There must be no doubt about the people sitting there with their fingers by the red button. This must be monitored as closely as possible. The costs incurred by the services in this context can be charged at any time. Within aviation it is €87 per person. That is not an astronomical amount, but because 38 000 of such investigations take place every year, not all of which are cheap; there are A- and B-categories of research anyway, there are a number of millions. For a small service like the AIVD a gap in the budget would be struck if those costs were not passed on. Again, within the government we do the same. This is in fact the essence of my answer to Mr Schouwenaar. He mentioned five arguments...
ParlaMint-NL_2015-04-14-eerstekamer-8.u10	I would just like to respond to the remark that there is a gap in the budget if these costs are not passed on. I think we need to formulate it very carefully, otherwise the suggestion might be raised that if the Chamber does not accept the bill, the Chamber will be responsible for breaking a hole in the AIVD budget. The Minister cannot have based that budget on a law that has not yet been adopted. I do not think the Minister's wording is correct.
ParlaMint-NL_2015-04-14-eerstekamer-8.u11	The multi-annual budget picture is supported by a number of measures. One of these measures is to pass on these costs. This requires a legal basis. If the law at issue were to fall here, despite the fact that the budget has been adopted, even by the First Chamber, this would pose a problem in carrying out the tasks of the AIVD. Mr De Graaf said that this is not about hundreds of millions, but he forgot to say that the AIVD budget does not count hundreds of millions. That budget is only 200 million. The failure to pass on would therefore create a serious problem for the performance of the tasks of the AIVD.
