ParlaMint-NL_2015-09-29-tweedekamer-27.u1	I welcome the Minister for Social Affairs and Employment.
ParlaMint-NL_2015-09-29-tweedekamer-27.u2	Mr. Chairman. In the debate with the Minister, we discussed important issues such as the future of childcare, the new supervision and the new financing structure. My group wishes to table two motions today. The first concerns the new financing structure. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Government intends to establish a new funding structure for childcare for working parents;]] [[having noted that, in addition to the childcare allowance for working parents, there are multiple funding flows for the care of children, including through development law and educational disadvantage policies;]] [[considers that it is desirable to also examine scenarios for the new childcare funding structure that include all funding flows for childcare;]] [[calls on the Government to present several scenarios to the Chamber for the new funding structure of childcare, supported by opportunities, risks and a financial transfer, and not to make irreversible decisions before that time,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Siderius. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31322-282]]
ParlaMint-NL_2015-09-29-tweedekamer-27.u3	As of 1 January 2016, the government also intended to allow parents who let their child go to the playroom to apply for child care allowance. That date has been postponed because we are going to have a new financing structure. That's why I'm filing the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that the Government intended to give parents the opportunity to apply for childcare allowance for care in the playroom as of 1 January 2016;]] [[noting that by introducing a new childcare funding system, this possibility will in any case be postponed until 2018 and possibly even longer;]] [[having noted that from 2016 onwards, funds have been released in the budget for the extension of the child care allowance applications;]] [[calls on the Government to allow parents to apply for childcare allowance for care in the playroom as from 1 January 2016 and to establish a transitional regime for this purpose,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Siderius. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31322-283]]
ParlaMint-NL_2015-09-29-tweedekamer-27.u4	Mr. Chairman. We welcome the 290 million extra for the childcare allowance. We did have some discussion during the debate on the distribution of income. I was therefore pleased that the Minister offered, if GroenLinks had an alternative to another distribution of the 290 million, to submit this to the CPB. In fact, we believe that a different distribution might be more supportive, but might also have a better impact on the employment rate. We also discussed the basic provision of childcare services. According to GroenLinks, that is the point we should be going to. I wonder whether the new financing structure which the cabinet intends to create does not confuse the situation correctly. But that is what we are going to talk about, as well as the parent participation crèches.
ParlaMint-NL_2015-09-29-tweedekamer-27.u5	Mr. Chairman. I am not tabling any motions, but I would like to highlight a number of issues and also ask a question. Children deserve the best start in education, regardless of their origins or the neighbourhood in which they grow up. Childcare gives children the basis for that good start. That is why the Labour Party is also pleased that the Cabinet invests 290 million extra in childcare and therefore in young children. This makes child care a lot cheaper for parents. Furthermore, of course, we also welcome the other investment, the 60 million to allow toddlers to go to care at least a few days a week. That is a long-cherished wish of the Labour Party. This is another investment in equal opportunities for young children. I do have one more question about this. Can the Minister explain how the EUR 60 million will be filled in? Will this mean that all toddlers can go to the shelter? Can the Chamber be informed about this in due course?
ParlaMint-NL_2015-09-29-tweedekamer-27.u6	Do I understand that Mrs Yücel believes that these additional investments can guarantee the complete end-of-day arrangement for all young children? I find that interesting and then I know that for the sequel. Did I understand her correctly?
ParlaMint-NL_2015-09-29-tweedekamer-27.u7	That is precisely the commitment and ambition of the Labour Party. That is why I am curious to see how this is worked out and what scope it has. Hence my supplementary question to the Minister.
ParlaMint-NL_2015-09-29-tweedekamer-27.u8	Finally, Mr Van Weyenberg.
ParlaMint-NL_2015-09-29-tweedekamer-27.u9	Too bad, because my commitment would be to give all young children a right of development. For a moment, I thought Mrs. Yücel promised, but unfortunately.
ParlaMint-NL_2015-09-29-tweedekamer-27.u10	In my view, I have said that it is our ambition that all toddlers, regardless of whether or not both parents work, should be able to make use of a basic offer which will enable them to develop well. As far as I know, D66 is on that line, too.
ParlaMint-NL_2015-09-29-tweedekamer-27.u11	I would like to clarify this. It says in the budget that all toddlers will be able to go to the preschool playroom for two days. In the Throne speech this has already been reduced a bit and a different formulation has been used. I asked Mrs Yücel for this in the debate. She said loudly: all toddlers can share two days to the preschool playroom. Am I to understand that the Labour Party will return to this today?
ParlaMint-NL_2015-09-29-tweedekamer-27.u12	Mrs Siderius is completely wrong about that. Our commitment is that all toddlers can get a basic offer for a few parts of the day to make use of a facility. They can then develop and make a flying start in education. I would now ask the Minister to inform us about how this lands in the municipalities.
