ParlaMint-NL_2015-10-01-tweedekamer-9.u1	I give the floor to the Minister for Security and Justice for his first answer.
ParlaMint-NL_2015-10-01-tweedekamer-9.u2	Mr. Chairman. First of all, let me thank the Members of your Chamber for asking many, rightly and critical questions and making a large number of comments. Before I get there, I think it is right that I should first reply to the point raised by Mr Oskam directly at the beginning of the first term by your Chamber, namely whether the notice of office of the Public Prosecutor as it was sent to me would also be sent to your Chamber. I note for a moment that no request from your Chamber has ever been made to send that message of office, but if that request had been made, I would have replied that messages from the Public Prosecutor's Office are never sent to the Chamber, precisely because the Public Prosecutor's Office must be able to rely on the confidentiality of official messages and contain very confidential information by their very nature. In addition, I say that in this case there is no reason to send the notice to the Chamber, because there is no doubt as to what is in the notice of office. The Public Prosecutor's Office recognizes, as the letter also shows, that the context of what we are discussing today, the context in which I came up with my answer in Question Time, was not mentioned in the notice of office. The Public Prosecutor's Office also acknowledges that this context should have been included in the notice. In abundance, I say that the reading of everything in the letter is supported by the lawyer. That is why I will not respond to Mr Oskam's request.
ParlaMint-NL_2015-10-01-tweedekamer-9.u3	One answer triggered me, namely that no official messages are ever sent to the Chamber. I remember the Cat house fire. That's when it happened. So my question is once again for the Minister: will he give the office of the District Attorney to the Chamber for Question Time in this case, or will he make it confidential for inspection?
ParlaMint-NL_2015-10-01-tweedekamer-9.u4	I was not involved in the discussion about the Catshuisbrand, but one thing is certain: there is no discussion about what was and was not in the post. That's what the Public Prosecutor's Office is clear about in the letter. That is why it makes no sense to send that to the Chamber, apart from the bigger problem that the Public Prosecutor should never ask himself whether, if she sends a message of office to a minister, she should take into account that this message of office will ever be on the table.
ParlaMint-NL_2015-10-01-tweedekamer-9.u5	For the time being, I respect the Minister's choice. Since he himself refers to the post in the letter, we are of course free to ask questions about exactly what is in it. I assume that the Minister will respond freely.
ParlaMint-NL_2015-10-01-tweedekamer-9.u6	It sounds a little complicated in this debate, but I will always answer the questions of the Chamber, even when it comes to the post, but I will confine myself to what is already in the letter. That much more is not going on with regard to the message of office either.
ParlaMint-NL_2015-10-01-tweedekamer-9.u7	I think this is kind of crucial. The Minister says: I have been briefed on the basis of that message. We can't control that, because what's "summer"?
ParlaMint-NL_2015-10-01-tweedekamer-9.u8	I'll get back to you on that. By the way, I was not briefed by the notice of office. The ministry report tells us how it came about... no, I have to put it another way. The post is based on what the Public Prosecutor's Office knew about the photo on June 16-17, 2014. The paper says they knew about the photo. The lawyer had reported that the photo would be taken and published on 17 June. In addition, a lot of attention has been paid to the question whether these photos and their publication were violations of the media ban. That is the essence of everything that has happened before Question Time. All the information the Public Prosecutor provided me, but also the conversations on my own department, were all focused on that one essential question, which the newspapers also wrote about and what Reporter reported about: did Van der G. violate the media ban by staging the photo? In that focus, information has come to me, including by those who have informed me orally in the run-up to Question Time.
ParlaMint-NL_2015-10-01-tweedekamer-9.u9	I continue to find it difficult that in July it was already known that this broadcast would take place. That was known within the Ministry. Then there's the broadcast. Then the Minister can expect him to have this type of question, can't he? I'm going to continue to think this is very crucial. What did the Minister know at the moment he was here in the Chamber?
ParlaMint-NL_2015-10-01-tweedekamer-9.u10	I'll come back to that in a moment. I fully agree with Mrs Berndsen. All the information I received was provided... you base yourself on answering questions on the notice of office, because the Public Prosecutor is responsible for parole. The question was centered on the discussion whether publishing the photo was yes or no a violation of the media ban. That was also the question I came to the Chamber with. That was also the question that Mr Van Oosten has asked me, as he did in the debate today. That's how I came to the Chamber. On the basis of the notice of office, I gave the answer. In doing so, I indicated that, knowing what I know now, I should have done differently. I'd have two choices, but I'll come back to that later.
ParlaMint-NL_2015-10-01-tweedekamer-9.u11	There was no information in the post about the creation of the photo in consultation or even on the initiative of the Ministry?
ParlaMint-NL_2015-10-01-tweedekamer-9.u12	That's right, that's not what it said. In the meantime, the Public Prosecutor's Office has indicated, as you could have read in the letter, that he would have liked it better if that context had been included.
ParlaMint-NL_2015-10-01-tweedekamer-9.u13	Given the history, isn't it incredible that that's not in there? I take the Minister's word for it. That's the way it's supposed to be, of course. There has also been oral communication by telephone. Is it not said in any way in that phone call: it is not in the post, but knows that we have a whole history and that we are involved as initiators?
ParlaMint-NL_2015-10-01-tweedekamer-9.u14	If that had been the message, I would have replied differently in Question Time. As I wrote in the letter, I was briefly informed orally and with a limited focus on the history prior to Question Time. I have been told that in the preliminary stage we have discussed the possibility of taking a picture. I did not conclude from that that, if I answered the questions that Mr van Oosten asked me about the violation of the media ban, with the restriction on the basis of the notice of office, I would not have any information which would later prove to be very crucial. I didn't know that. That's what I blame myself for. That's what I'm saying. I blame myself for not realizing that. I have the nature and extent of these announcements... they came orally from the prosecution and from the NCTV, because they also said something about it, but then in the wider context of the media ban and all kinds of other discussions. Furthermore, someone from my department said: yes, there was talk about something... Then I said: I want that sorted out. That's exactly what I promised the Chamber. It was not clear to me at the time who was aware of it either. The only thing I knew then was that I said to Mr. Oskam that my information went so far as to... One of my questions was: were my predecessors informed about this? Then I got the message that my predecessors was just there in the debate also confusion about taking the photo was not informed. That is also clear from the facts. That is something other than that, at least Mr Opstelten, knew that there had been talk of taking a picture.
ParlaMint-NL_2015-10-01-tweedekamer-9.u15	I find it a bit tricky, because a prealabel item is given to us, yes or no? It is self-evident that we are going to have a debate on the substance of the matter. We have already asked a great many questions, and this answer once again raises many questions. I'm a little confused. Are we going to continue the debate on this or are we asking the Minister to answer all the questions asked? That seems to me more appropriate than it is now, improvisingly, to mess up the debate.
ParlaMint-NL_2015-10-01-tweedekamer-9.u16	That's an order proposal. It is difficult for me to intervene simply because I feel that this is the point of the debate. I am always in favour of giving a ruler a chance to answer all the questions that have been asked first. If you are at the microphone with so many people, then... I would just like to make a point of order: do Members wish to continue on this point or do Members really want to answer all the questions they have asked first? The latter is what Mr Segers has proposed. Mr. Oskam, you're at the microphone.
ParlaMint-NL_2015-10-01-tweedekamer-9.u17	Mr President, I am also confused. The minister says he can't give the message because it's unusual. Well, that doesn't seem right, 'cause the Catshuis fire could have done it.
ParlaMint-NL_2015-10-01-tweedekamer-9.u18	That's another point.
ParlaMint-NL_2015-10-01-tweedekamer-9.u19	Another point, indeed. The point is that the minster actually says "there's really little in it, so yes..."
ParlaMint-NL_2015-10-01-tweedekamer-9.u20	That is another point.
ParlaMint-NL_2015-10-01-tweedekamer-9.u21	I would like to talk about the post, because Mrs Berndsen...
ParlaMint-NL_2015-10-01-tweedekamer-9.u22	It is now a point of order: are we going to give the Minister the chance to continue answering the questions? Or are you saying that you want to continue with your point first and that, if other people raise something else, so be it. You do not actually agree with Mr Segers. I can see from your gesture that you disagree with this order proposal.
ParlaMint-NL_2015-10-01-tweedekamer-9.u23	My group agrees with Mr Berndsen's point of order. I do not know if that is possible now, but I would like to see a response to that.
ParlaMint-NL_2015-10-01-tweedekamer-9.u24	That was Mr Segers'.
ParlaMint-NL_2015-10-01-tweedekamer-9.u25	On the proposal to move on to the substantive debate, I would like to say that not now.
ParlaMint-NL_2015-10-01-tweedekamer-9.u26	I am also eager to ask questions, but I think it would be wiser to do it point-by-point. I think that would be better for the clarity of the debate.
ParlaMint-NL_2015-10-01-tweedekamer-9.u27	If the Minister first answers all the questions about the post, I think we are well on our way. So I would say: first, the part about the post and then the answer to all the other questions.
ParlaMint-NL_2015-10-01-tweedekamer-9.u28	Mr Oskam's point is that one cannot be separated from the other, but you say that you want to continue with the debate and that you do not therefore agree with Mr Segers' proposal of order.
ParlaMint-NL_2015-10-01-tweedekamer-9.u29	I agree, because I would like to see the issue of the post dealt with. Then I think a lot of questions have been answered. Then all the other questions will be discussed.
ParlaMint-NL_2015-10-01-tweedekamer-9.u30	Mr Dijkgraaf, give it a try.
ParlaMint-NL_2015-10-01-tweedekamer-9.u31	I'm gonna try. Maybe the minister can tell us how much time he needs and if he has blocks. If so, then we can have a more structured debate with each other. If we do not do so and say 'let the Minister speak', then I know: then we will all be back here in one or two minutes for an interruption. Maybe the Minister can make a suggestion. If we know how he organized it, we can wait and see what the minister has essentially for story.
ParlaMint-NL_2015-10-01-tweedekamer-9.u32	I got a set of cubes. The message is not part of that, because the Minister did not even mention it for nothing, even a preamble or something like that. At least he wanted to deal with that point in advance.
ParlaMint-NL_2015-10-01-tweedekamer-9.u33	I understand Mr Segers' request that we actually enable the Minister to answer all the questions we have put in the debate. I would appreciate those answers, because that is all the excitement. Let us give the Minister an opportunity to reply and then let us discuss it with each other.
ParlaMint-NL_2015-10-01-tweedekamer-9.u34	I would like to leave the direction of the answers to the Minister himself. He's about his own answers.
ParlaMint-NL_2015-10-01-tweedekamer-9.u35	I have an order proposal, as you will not be surprised, Mr President. Everyone wants the answers, but this paper is crucial. Mrs Berndsen was right to say: how can we check what is in it? The Minister says that there is really nothing in it and that we do not need to see it. However, we do want to see it. I also see what happens non-verbal. Mrs Berndsen asked that, the Minister wanted to say something about it, regrouped and continued with the formalities. We just want to know what's in it. We're not getting out, because the minister says he doesn't want to give it. You as President are the referee. It concerns Article 68 of the Constitution: the Chamber wants information. You'll just have to make a decision.
ParlaMint-NL_2015-10-01-tweedekamer-9.u36	You can screen with all kinds of articles of the Constitution, but ultimately the Chamber deals with this; and by that we mean the majority of the Chamber. That is why I propose this as an order proposal.
ParlaMint-NL_2015-10-01-tweedekamer-9.u37	That message of office is crucial. So I'd like it very, very much.
ParlaMint-NL_2015-10-01-tweedekamer-9.u38	That's clear. I would like to try to draw a conclusion, and that is not easy for me in this, I must admit. This is what I am asking the Minister. Minister, you yourself said that before all the other points you would like to deal with, you would first like to discuss the issue relating to the post. A number of members would like to see their specific questions answered, not in the context of the rest. You chose to take it out of that context. Do you want to limit the answers to these questions to the message of office and explain it later, or say that you will return to it later in your own blocks? In my view, this does justice to what a number of Members have said, namely that they want to ask a question about the post, without the answers raising all kinds of new questions about the content, to which you did not want to come back until later. I can see you looking surprised, Minister. I am trying to make chocolate something complicated, but I think this is what Mr Oskam and others have asked: first we would like to talk to the Minister about why we are not getting that message of office and about what'summer' means. Those are the two questions that the Chamber would like to discuss.
ParlaMint-NL_2015-10-01-tweedekamer-9.u39	Chairman...
ParlaMint-NL_2015-10-01-tweedekamer-9.u40	Mr President, we can do it in such a way that the Minister responds, but I really want to see it...
ParlaMint-NL_2015-10-01-tweedekamer-9.u41	Mr. Oskam, no...
ParlaMint-NL_2015-10-01-tweedekamer-9.u42	That is the right of an individual MP. I hate to play hardball, but I can ask you. You'll have to make a decision in that.
ParlaMint-NL_2015-10-01-tweedekamer-9.u43	No.
ParlaMint-NL_2015-10-01-tweedekamer-9.u44	I think it is.
ParlaMint-NL_2015-10-01-tweedekamer-9.u45	The Chamber must make a decision in that regard. If that's the question, I'll put it to the Chamber. It can't be, because you have to do it by way of an address to the Chamber. This discussion has been going on for a long time. I also see here the one who is a great instigator of the discussion on Article 68. We are not going to draw any conclusions in that regard. The Chamber asked the Minister for a letter on how to interpret that article. I have had a lot of experts advise me on this, and as I am advised and as the law says, the majority of the Chamber can ask the government to do something by means of a motion. In that sense, the Chamber is the boss and not the President. If you say that you want this message of office now and that you do not want to continue this debate, that is a point of order that I can put and to which the Chamber can respond. Within those frameworks of the law, if you want to play it hard, we can operate. I don't have many more choices.
ParlaMint-NL_2015-10-01-tweedekamer-9.u46	Can we suspend the debate for a moment?
ParlaMint-NL_2015-10-01-tweedekamer-9.u47	I think that would be wise if you'd like to have a little chat with each other about this. Then come to me and we'll do it outside the meeting.
ParlaMint-NL_2015-10-01-tweedekamer-9.u48	It was a little complicated. The Minister received an information request from the Chamber at the beginning of the first term. He has chosen to go into that orally. Then there was a debate and one of the Members asked whether it was better to start the debate and leave this point for a moment. Mr Oskam objected. I give Mr Oskam the opportunity to point his question again. What exactly do you want from the Minister?
ParlaMint-NL_2015-10-01-tweedekamer-9.u49	Mr. Bontes and I would like to have the message on paper. That is my question to the Minister and we will get an answer to it. The spokesmen have agreed that we will continue the debate.
ParlaMint-NL_2015-10-01-tweedekamer-9.u50	Fine. Is the Minister prepared to send the message to the Chamber after all?
ParlaMint-NL_2015-10-01-tweedekamer-9.u51	Mr. Chairman. I don't have that willingness. I firmly believe that the Public Prosecutor's Office can continue to communicate with the Minister in complete freedom and confidentiality by means of the notice of office. The message of office is an essential part of the information, which is ultimately the subject of this debate, between the Minister and the Public Prosecutor's Office. There is no discussion between me and the Public Prosecutor about what is and is not in this post and that something is not in it that should have been in it, which is also recognised by the Public Prosecutor's Office. If I were to put the notice on the record right now, it might help my case on its own. However, it would create the risk that, given the fact that it can be made available to the public, the Public Prosecutor's Office might consider what to say in the context of confidentiality. It is up to me as a minister not to run the risk of this information being subject to such considerations. I am not prepared to give the message of office, also because there is no reason to do so in substance.
ParlaMint-NL_2015-10-01-tweedekamer-9.u52	Thank you. I will see if Mr Oskam will respond to this, because it was his request. He'll leave it at that. I have a second request for the Minister. Could you mention the blocks in which you are going to answer in advance, so that the Members of Parliament have an idea of the structure of the meeting?
ParlaMint-NL_2015-10-01-tweedekamer-9.u53	I'd be happy to. This was the first sentence I wanted to say. The following sentence was: after a general introduction I will answer the questions in the following blocks.
ParlaMint-NL_2015-10-01-tweedekamer-9.u54	If this is the end of the matter, I would like to conclude that there is nothing in that letter of office other than what the Minister has written, namely that he has been informed about the legality of the photograph, yes or no. That's what I'm asking the Minister.
ParlaMint-NL_2015-10-01-tweedekamer-9.u55	If I say yes or no, it's not complete. I'll try to do it completely. The notice of office of the Public Prosecutor focused on 16 June and 17 June, the day on which the Public Prosecutor's Office was informed of the photograph and the date of publication of the photograph, and the question whether that publication and the notice to the Public Prosecutor's Office led to a violation of the media ban. The public prosecutor's response was that it wasn't a violation of the media ban. On the basis of that statement of office, I wrote my letter to the Chamber and replied to Mr Van Oosten's questions in Question Time.
ParlaMint-NL_2015-10-01-tweedekamer-9.u56	So that's it, period.
ParlaMint-NL_2015-10-01-tweedekamer-9.u57	That's it. The Public Prosecutor's Office notes with me that that was not good and that the context, the history should not have been missing in that post. I've asked the D.A.'s office to do that in the future. I am now having this debate on the provision of information by me to the Chamber, partly because the Public Prosecutor's Office did not write to me about this context in the report. I would first like to speak to the Chamber about all the questions that have been asked about the preparation for Question Time. Then I come to my performance during Question Time, to the conclusions and lessons for the future and to the answers to the questions. What did the rulers know at the time? What about the violation of the media ban? Is it or is it not? What did the NCTV know about the photo? Who gave orders where? How'd the interviews go in terms of security and security? Then comes the important block about trust in my department, where trust in me also belongs. Then I come to the question of whether the National Police should be returned to Home Affairs and finally to the questions about Volkert van der G's security.
ParlaMint-NL_2015-10-01-tweedekamer-9.u58	In which block will the improvement measures be addressed? Not only did I, but several colleagues also asked for it.
ParlaMint-NL_2015-10-01-tweedekamer-9.u59	Yes, I will talk about this immediately after I have talked about my performance at Question Time on 22 September. That is a good point from Mr Van Oosten. Mr President, I shall now begin with my general introduction. Volkert van der G. was sentenced to 18 years in prison for the horrific murder of politician Pim Fortuyn. That murder was not only an attack on a person, but also an attack on democracy and our rule of law. On 2 May 2014, he was released on parole. The broadcast of Brandpoint Reporter with recordings of conversations with Volkert van der G. caused a lot of turmoil and questions. In particular, it was asked whether the media ban imposed had been infringed as a result of that broadcast and the facts that became known in it. Last Tuesday the Chamber received a letter from me stating the facts about the period before the conditional release of Van der G., about the days around the making and publishing of the photo, June 16 and 17, and about the period after that. That letter is based on the investigation that I promised the Chamber during Question Time last week. The need for this study was underlined by a publication in the Volkskrant the day after Question Time. In it, Van der G's then lawyer stated that in the months before Van der G's release, there was frequent consultation between him, his officemates, the Public Prosecutor's Office, my department, the state attorney and other public authorities. As my letter shows, that's right. That has rightly raised questions about my actions during Question Time. On Sunday 20 September Volkert van der G. reported in the same broadcast that he had staged a photo on 17 June 2014. That was the photo that was published on 17 June. He also talked, among other things, about his benefit and how he would keep it. Those statements raised many questions, and especially the question whether or not he had broken the media ban by staging that photo. That same question lived with me as a result of that broadcast. That's why I asked the State's Attorney's Office to draft a notice for me as a matter of urgency. I received it on September 22nd. The D.A. concluded in that notice that the publication of a photo by Van der G. was not a violation of the media ban. The preparation of Question Time kept this focus. Everything was focused on the question: did Volkert van der G. or did he not, by staging that photo, violate the media ban? It also focused on whether the Public Prosecutor's Office has reached the correct judgment. That was also because Reclassing had by now informed the Netherlands, in response to that broadcast, that it would be a violation of the media ban. This reaction was withdrawn later. Prior to Question Time, I was also briefed orally, and in the light of this limited focus, that in the phase prior to the publication of the actual photo in De Telegraaf a possibility for a photo had already been discussed. The notice was not supplemented by the Public Prosecutor's Office, even after the prosecution had contacted the lawyer and that lawyer on September 21st and September 22nd, which I know by now that he would appreciate if all the facts would be on the table. In retrospect, both the Public Prosecutor's Office and myself conclude, it would have been better if that had happened. If the Public Prosecutor had therefore completed the notice, I could have informed the Chamber on the basis of that full notice. During Question Time I also stated that the Public Prosecutor's Office and the parole board were aware of the publication of the photo. They were informed on 16 June. Mr Van Oosten then asked me about the media ban. On the basis of the notice of office, I indicated that the Public Prosecutor's Office was aware in advance that the photo would be published. I did not comment on the Public Prosecutor's opinion that there would be no infringement of the media ban, because I had already been informed through the State Secretary and the Public Prosecutor's Office that the probation would still investigate all the statements made by Van der G. in the programme, and whether, in view of all the statements made and the actual conduct of the conditional release, he had complied with the conditions imposed on him. The probation report to the D.A.'s office on that. Now that the investigation has given me a more complete picture of the course of events, I have to conclude that it would have been wiser if I had told the Chamber that I had heard orally in conversations from a number of people that there had been talk of a photo and the possibility of a photo in a preliminary course, on which I had no further knowledge. That would have been the first possibility. I would have taken the risk of saying something to the Chamber that I didn't know anything about, as I wrote in the letter, because the nature and scope of those communications were completely unclear to me. But then I could at least have said to the Chamber: I heard something; I'm going to have it investigated because I don't know what it means, but I do think I should want to know. The second possibility is that I should have said to the Chamber: I cannot answer the questions put to me with certainty, although Mr Van Oosten's questions were answered properly in the letter of office, because I have also heard something that I cannot support or verify. Then I'd better not answer at all and find out more. Those two options were ahead. Neither is ideal. If I had not answered the questions, Mr Van Oosten would have asked me why I am not answering them. I think that question would have been justified. If I had said 'this is the answer to Mr Van Oosten's questions' and if Mr Van Oskam asked me who knew what and what it was then, I would say: yes, I have heard this and this, but I will have it figured out, because I do not know. I probably should have said that sentence. I find it truly incredibly annoying that I did not do that and did not properly assess the nature and scope of that communication. That's an error of assessment of mine. The Chamber knows that I regret this state of affairs. As a result, we are now having a debate on something that I had hoped we would not do because there is something much more important behind this discussion, namely how Mr van der G. deals with the conditions of his conditional release.
ParlaMint-NL_2015-10-01-tweedekamer-9.u60	The Minister has already gone through Question Time. I am still ahead of it in the preparation for Question Time. At some point the Minister hears that he has to go to Question Time or that he is on the list to go there, and then he thinks: I will inform you. I can't wait to see how that goes. Is that oral? Will the state's attorney's office get a call? Or is a letter or an e-mail sent? Then what does the minister ask the state's attorney's office? What should the D.A. inform him about?
ParlaMint-NL_2015-10-01-tweedekamer-9.u61	The question to the D.A. was to send an urgent notice of office on the reporting of Van der G. In general terms, something is happening, a statement is being made in a programme, and the question arises as to whether this is contrary to the media ban, because that is essential. That's what the D.A.'s been asked to do. There is no extensive consideration of the exegesis of the question. The Public Prosecutor's Office is asked to send a notice of office on the reporting of the violation of the media ban by Van der G.
ParlaMint-NL_2015-10-01-tweedekamer-9.u62	Does that happen orally or via an e-mail?
ParlaMint-NL_2015-10-01-tweedekamer-9.u63	I don't know, because I didn't do it myself. I gave the order, but I didn't do it myself, so I don't know. I can tell Mr Oskam in the second term exactly how that went.
ParlaMint-NL_2015-10-01-tweedekamer-9.u64	I am focusing on the whole period for Question Time, the run-up to Question Time. Moreover, there is still a great deal to ask about Question Time itself. We have a meeting between the attorney and people from the ministry and all kinds of services. This runs from January 2014, after which there have been briefings of directors and a photo has been published that has stirred up a lot of dust. We've had a transfer file to the minister. Focal point asks questions in July this year. Hasn't there ever been a time during that entire period that this minister has updated on this history about the contact between the ministry, all the services, the lawyers and Van der G.?
ParlaMint-NL_2015-10-01-tweedekamer-9.u65	No, in the last six months I have not had any discussions on Mr Van der G. As indicated in the letter, I should have known on 23 July this year that questions were raised by the programme. That information has remained, to my very great regret, at the level where the questions were asked. That information has not been passed on to the administration, either from the Public Prosecutor's Office or from my department, with the result that the administration has never been able to make the decision to inform me and therefore I have not been informed.
ParlaMint-NL_2015-10-01-tweedekamer-9.u66	I find it really incomprehensible, insufferable that such a sensitive dossier, which is such an important part of it, does not bring the Minister up to speed. This while the contacts between Focal Point and the Ministry were in full swing and the questions were answered by means of information. But still, when Question Time comes, aren't you gonna call everything and everyone around the table? You're gonna say, "Now I want the bottom rock on top"? Now I need to hear everything that's happened? Then this has to come up, doesn't it? There's no other way, is there?
ParlaMint-NL_2015-10-01-tweedekamer-9.u67	In a way, that's how it happened. We have already discussed this at the so-called morning meeting on Tuesday morning. Mr Oskam asked whether it had also been discussed in the ministerial staff. It was a coincidence that there was no ministerial staff on Monday, because instead a discussion had taken place in response to the General Political Reviews. I sat with the people at the table on Tuesday morning to prepare Question Time. There was no other subject at the time than the photo of 17 June. In the meantime, I had received the notice of office of the Public Prosecutor, giving a proper answer on the way in which the photograph was handled and when the public prosecutor was informed of it, namely on 16 June, according to the notice of office. I then did not or insufficiently understand the nature and scope of the comments made by a number of people who said: we have talked about a photo in the past, including in the preliminary stage. I see Mr Segers looking at me with a questioning look. That's the same look I had when I got the research report. Firstly, I was wondering why I didn't do that differently and secondly, why the information in this file didn't come up. It is an error of assessment on the part of the official concerned, but the responsibility for it cannot be that we get some sort of billing culture at the level of civil servants, which lies with the administration and ultimately with me.
ParlaMint-NL_2015-10-01-tweedekamer-9.u68	Chairman...
ParlaMint-NL_2015-10-01-tweedekamer-9.u69	I would like to move on, Mr Segers.
ParlaMint-NL_2015-10-01-tweedekamer-9.u70	Very briefly!
ParlaMint-NL_2015-10-01-tweedekamer-9.u71	Yeah, but there's a lot of people out there who want to ask questions. If I allow this to happen now, we'll be here until very late tonight. Let's keep going. If your question is still not answered, you can just come back.
