ParlaMint-NL_2015-12-17-tweedekamer-12.u1	We have only two speakers on the side of the Chamber in this VAO.
ParlaMint-NL_2015-12-17-tweedekamer-12.u2	Mr. Chairman. Allow me to make a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the Court of Justice in Luxembourg has published a judgment on Article 33 of the REACH Regulation;]] [[noting that this judgment obliges companies to report at component level instead of at product level on the presence of very serious care substances in their products;]] [[Whereas this leads to a significant increase in administrative and financial burdens on companies and does not increase safety;]] [[calls on the Government to promote an impact assessment at European level and to agree, in consultation with industry, a "period of grace" which does not enforce Article 33 and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Remco Dijkstra and Mr Agnes Mulder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26956-206]]
ParlaMint-NL_2015-12-17-tweedekamer-12.u3	Mr. Chairman. I'll file the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas adequate monitoring and enforcement is essential to ensure proper external security;]] [[Whereas inspectors have the best view of practice and can make a valuable contribution to what is and is not working well;]] [[invites the Government to examine how inspectors in charge of external security experience the inspection practice,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ulenbelt and Mr Smaling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-26956-207]]
ParlaMint-NL_2015-12-17-tweedekamer-12.u4	I have two more questions for the Secretary of State. During the general consultation, a response was given to a very thorough analysis of a former Head of the Labour Inspectorate on external security. I haven't seen that reaction yet. When's it due? My second point is also about security; it is the situation in Calais. TLN (Transport and Logistics Netherlands) called for the army to be sent to Calais for the safety of the drivers. Will the Secretary of State call on employers to stop sending drivers to Calais for safety reasons at least in the coming period?
ParlaMint-NL_2015-12-17-tweedekamer-12.u5	I don't know if that subject falls within this VAO's scope.
ParlaMint-NL_2015-12-17-tweedekamer-12.u6	It's a topical matter, Mr. President.
ParlaMint-NL_2015-12-17-tweedekamer-12.u7	It is, but I don't know if the Secretary of State will answer it. You can always try. In fact, you tried. So much for the Chamber's term. Is the Secretary of State already able to answer? She says she needs two minutes.
ParlaMint-NL_2015-12-17-tweedekamer-12.u8	Mr. Chairman. I'll try to be very brief. The motion-Remco Dijkstra/Agnes Mulder in part No. 206 I can support. That means I'd like to leave the verdict to the Chamber. I would also like to do that with the Ulenbelt/Smaling motion in part No. 207, but I have to say something about that if Mr Ulenbelt agrees. We could build on a commitment made earlier by Mrs Mansveld to the Chamber. That was in a general consultation on 30 September last. Then they asked about the inspections. How do they run? A comprehensive response may come if I may take it with me in a letter to the Chamber following the investigation that is now taking place in Chemelot. We expect that somewhere in April. Then we can also answer the question put by Mr Ulenbelt via the BRZO+: how do the inspectors work? We'll take it with us. We also need time for this; we did not shake that up today. That way we could do it. I would also like to point out that the legislation on the manner in which the inspection is carried out has just been accepted by the Upper Chamber over the last week. So I am not going to go back to that, but I think it is fine to look at how the people who work in practice experience the system from Mr Ulenbelt's question. We'll let the Chamber know in April, through the Chemelot letter. The question about Calais seems to have been raised in a consultation which the Minister had with the Chamber earlier this week. I was able to check that out. Here's to it, Mr. Chairman.
ParlaMint-NL_2015-12-17-tweedekamer-12.u9	We still do not have the opinion on the motion on item No. 207.
ParlaMint-NL_2015-12-17-tweedekamer-12.u10	Judgment Room. That's the deal.
ParlaMint-NL_2015-12-17-tweedekamer-12.u11	That's obvious. Thank you. So much for this VAO. I shall suspend until the Secretary of State for Economic Affairs, Mr Van Dam, comes forward. Then let's move on to the next topic.
