ParlaMint-NL_2015-11-18-tweedekamer-4.u1	I call Mr Verhoeven of D66. Speaking time is two minutes per group.
ParlaMint-NL_2015-11-18-tweedekamer-4.u2	Mr. Chairman. I will leave the preliminary considerations aside and start filing my motions immediately. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considering that SMEs make a huge contribution to our economy at both national and European level;]] [[Whereas the aim of the Better Regulation package of the European Commission is to eliminate unnecessary and unworkable rules;]] [[calls on the government to call for SMEs to be taken as a standard when designing new regulations,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Verhoeven, Mr Van 't Wout, Mr Agnes Mulder and Mr Van Bommel. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-22112-2022]]
ParlaMint-NL_2015-11-18-tweedekamer-4.u3	I have a brief question for Mr Verhoeven. In general, we discussed that the Better Regulation package is about improving regulation and not about abolishing or reducing regulation. That is a political choice: some rules may find business uncomfortable, but we consider it important to protect the environment or workers. In my opinion, Mr Verhoeven's recital in his motion is incorrect from the point of view of better regulation. Why did he put it that way?
ParlaMint-NL_2015-11-18-tweedekamer-4.u4	I understand Mrs Maij's point very well. In the debate I told her that I agree with her that we should not pretend that the removal of rules is just a technocratic act. Sometimes it's a political choice. That is why, in the operative part, I made a clear proposal to delete unnecessary rules. These are the rules that I gave examples of during the debate. We are not seeking to remove all kinds of rules through this motion, but better regulation also means removing unnecessary rules.
ParlaMint-NL_2015-11-18-tweedekamer-4.u5	It remains to be seen, of course, that one political group might consider rules superfluous which the other wants to preserve. Hence, the starting point of Better Regulation is that regulation is improving for everyone and not just for group X or group Y. I insist that Mr Verhoeven's consideration is a little too short.
ParlaMint-NL_2015-11-18-tweedekamer-4.u6	That could be, although going through the curve is not my style at all. I've said that to Mrs Maij before. However, I hope that the political group of the Labour Party will reconsider the possibility of deleting rules that are really useless by supporting this motion. In the Netherlands, for example, we can take a united position that small and medium-sized enterprises must be the measure of regulation and not the exception, as is the case at present. My second motion is based on the fact that, at my request, the Minister sent a note on the horizon and the way in which it was described in the European Commission package. Based on the note, I've decided to file the motion. The note confirms what I thought: if you have regulations with a certain period of time, you also have a horizon. That's kind of a circular reasoning. I also want a horizon for rules that are not clear in advance that there is an end to it. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas it is important that the European Union does not apply superfluous or outdated legislation;]] [[Whereas the way in which future EU legislation can make use of horizontal provisions indicating the maximum sustainability of legislation is still too limited in the Interinstitutional Agreement (IIA);]] [[calls on the Government to call for horizontal provisions to be incorporated into future EU legislation wherever possible in the Interinstitutional Agreement,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Verhoeven, Mr Van 't Wout and Mr Van Bommel. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-22112-2023]]
ParlaMint-NL_2015-11-18-tweedekamer-4.u7	Mr. Chairman. European regulation must be about quality and not quantity. The regulatory influence should be as transparent as possible. Hence the next motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas a lobby register ensures greater transparency and support in the European regulatory process;]] [[noting that notification of the European lobby register is currently on a voluntary basis;]] [[calls on the Government to commit itself to a mandatory lobby register for European institutions and to inform the Chamber of 1 February of progress,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas quantitative objectives are one-sidedly focusing on quantity;]] [[Whereas it is more likely that the package may be regarded as a "failure" if rigid quantitative targets are not achieved;]] [[calls on the Government to focus on qualitative objectives set by SMART in the Better Regulation package,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Klein. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-22112-2024]] [[This motion has been proposed by Mr Klein. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-22112-2025]]
ParlaMint-NL_2015-11-18-tweedekamer-4.u8	Mr. Chairman. I shall read out my motion first and then explain it. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that more and more European legislation is being developed by delegated acts;]] [[noting that the House of Representatives cannot exercise adequate control over the drafting of European delegated acts, whereas sometimes very important matters are dealt with;]] [[calls on the Government to submit a proposal to the European Council for a yellow/orange card procedure in the case of delegated acts,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Agnes Mulder. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-22112-2026]]
ParlaMint-NL_2015-11-18-tweedekamer-4.u9	A very important issue in the establishment of European rules is parliamentary control. During the AO, my colleague Pieter Omtzigt said that the number of European delegated acts has increased enormously. It is quite difficult for us as a national parliament to keep an overview of this and also to monitor it properly. A better way will therefore have to be found, so that the Lower House can properly organise its supervision. The government has now promised to make these delegated acts transparent with a database. I thank the government for this commitment. We await the proposal, including the official instructions given. The CDA believes that, in addition to that insight, national parliaments should also have the possibility to prevent this delegated legislation. In the Netherlands, we can only do this with a heavy procedure. The CDA believes that this should also be possible at European level, thanks to the yellow/orange card procedure.
ParlaMint-NL_2015-11-18-tweedekamer-4.u10	Mr. Chairman. I would like to thank Members for their comments and the motions they have tabled. It's a pretty specific subject. What we discussed in general consultation, of course, we discussed with the Commission, ahead of yesterday's General Affairs Council. In the report of the General Affairs Council, which I will send to the Chamber, I will go into more detail on the plea for a register of delegated and implementing acts. The CDA Group in particular requested this, but this was supported by other groups. So I'll come back to it in a letter. In any case, I welcome the fact that such a register will be established. In the end, it is up to the Commission to take this step. The European Parliament also calls for such a register. I'll be right back to the motion on this. I'll deal with the motions in order. First of all, I come to the Verhoeven c.s motion. in piece No. 2022 on the role of SMEs. This calls on the government to advocate that SMEs should be taken as a standard when designing new regulations. This is what I want to say. For some time now, the Netherlands has been calling for attention to the principle of "think small first." That principle is very important for this request. It means that the introduction of new laws and regulations is not standard practice for large organisations. Legislation should also be applicable to smaller organisations such as SMEs. I also agree with what has just been said in the exchange of arguments. It is not a deregulation operation, it is good regulation that can help SMEs in particular in difficult times. So it's always about political decision-making. The Netherlands welcomes the fact that the Commission has explicitly included in the proposals that this principle is applied in the design of new laws and regulations and in the evaluations. The impact assessments made in new legislation and regulations also play a role in identifying the impact of the proposals on SMEs. I'll point out a danger. There are also situations where SMEs cannot be taken as a starting point. Think of the financial sector, for example. That is what very large companies are about. Then you have to deal with regulation in a very different way. If we were to take SMEs as a starting point, we would not be able to achieve what we consider to be so important, namely proper supervision of the financial sector. SMEs are the guiding principle. If I can read the motion in such a way that SMEs are the guiding principle, but that there is a possibility of flexibility where that fits, I can see the motion as supporting policy. I therefore agree with Mr Verhoeven. He said before, "Wherever possible." If I may read the motion in such a way that we can do it wherever possible, I am in favour of it.
ParlaMint-NL_2015-11-18-tweedekamer-4.u11	I'd be fine with that. The example of the banking sector given by the Minister is a good example. This is a sector in which three or four major players, or in Europe hundreds of larger players, need to be regulated. The political choice is often that there are many more rules, but that is something else. I think the Minister's explanation is correct. We are, of course, concerned with a clear position from the Netherlands. Let SMEs be the measure where possible. That is far from the case. We all have to keep pulling that.
ParlaMint-NL_2015-11-18-tweedekamer-4.u12	We very much agree on that. Then I come to the motion for a resolution - Verhoeven c.s. in piece No. 203, on the interinstitutional agreement and horizontal provisions. I sent a letter on that. The objective is to reduce the regulatory burden. That's why the exercise started. Why wasn't a generic approach chosen? We would like to see a case-by-case approach reflected in the interinstitutional agreement. During the negotiations on the interinstitutional agreement, we will continue to work on this. Do I understand correctly, given the wording "where possible" that the motion does not call for a generic policy for the use of horizontal provisions but that this should be a kind of standard operating procedure? So we need to get it in, but we need to be wise about it. If I may read the motion in this way, I see her as a support for policy.
ParlaMint-NL_2015-11-18-tweedekamer-4.u13	Mr Verhoeven, a brief response.
ParlaMint-NL_2015-11-18-tweedekamer-4.u14	It says "where possible." I tabled the motion despite the Minister's letter, because the Minister confirms what is also in the European Commission's document. It's about the reasoning that when you have a law with a certain end, you have a horizon. That is, in my view, an empty shell, because we also want to give laws, where possible, a horizon clause if they are not automatic. However, the expression "where possible" also makes it clear that it does not always have to be done by every law, so that problems can arise again. I do advocate doing it more often, and making it possible for a law to automatically lapse after ten years if that makes sense. The Minister considered the examples I mentioned in the AO to be good examples at the time.
ParlaMint-NL_2015-11-18-tweedekamer-4.u15	I agree. You can say that we are always going to use a horizon clause, precisely to reduce the regulatory pressure. If there is to be a proposal in which that is not the case, then we must of course act on the basis of arguments. Then I come to the motion on part No. 2024 by Mr Klein, inviting the government to commit itself to a mandatory lobby register for European institutions and to inform the Chamber of 1 February of its progress. I see this motion as a policy support, because we are in favour of a mandatory lobby register. This proposal has already been included in the Commission's work programme and we are consulting with the Commission on the publication of this proposal. The government can thus also inform the Chamber of its progress at the beginning of next year. Then I come to the motion on part No. 2025 by Mr Klein, which states that quantitative objectives are one-sidedly focusing on quantity. I also see this motion as a support for policy. We are not in favour of a generic quantitative objective. We are only focusing on reduction targets in sectors with unnecessary regulatory pressure. In addition, this is linked specifically to the REFIT programme. This also applies: if you do not set goals, nothing happens, but where we do, we think about it. In that sense, I see this motion as a support for policy. Then I come to the motion on part No. 2026 tabled by Mrs Mulder. I just said something about that. I believe that we are actually thinking in the same direction in philosophy. I see this in connection with the Chamber's request for a register, which I have already mentioned. The proposal for a yellow or orange card requires a treaty change. The Dutch Government is not in favour of treaty change. So I'd like to discourage that motion.
ParlaMint-NL_2015-11-18-tweedekamer-4.u16	We will vote on the motions tabled next Tuesday.
