ParlaMint-NL_2015-09-16-tweedekamer-3.u1	I give the floor to Mr Wilders.
ParlaMint-NL_2015-09-16-tweedekamer-3.u2	Mr. Chairman. The situation with regard to everything that has to do with the asylum system that is raging about our country is deteriorating by the day. Last Thursday we were talking about some 1,800 asylum seekers per week entering the Netherlands, now that we are a few days away, the number has almost doubled: more than 3,000 asylum seekers a week enter our country. There are terrorists among them, Europe says, Eurojust says, and even the Pope says. Everyone says this is happening. We have a huge safety problem in the Netherlands. I would not want us to move that issue to another week, which is the urgency. The Netherlands is waiting for an answer, for a safe Netherlands. The Netherlands awaits an answer to that asylum tsunami, that Islamic tsunami that travels across our country. I would like to propose that the debate on the figures should be moved to next week, one percent more here and one percent less there, so that the debate on the Millions Note should be postponed to this week and now, here on the spot, today, to hold the debate on a solution to the asylum problem. Last week's debate is already out of date and the Netherlands is crying for a solution.
ParlaMint-NL_2015-09-16-tweedekamer-3.u3	You are asking for the General Reviews to be postponed and for a debate to be held today on the issue of refugees.
ParlaMint-NL_2015-09-16-tweedekamer-3.u4	The CDA Group shares the analysis of the seriousness and urgency of the problem that Mr Wilders is now raising. However, the speaking time we have for today's debate is so long that I fear that if we now hold a debate on the refugee problem with a speaking time of four or five minutes, the speaking time will be less than most people will be speaking on the subject anyway. The same applies, I suspect, to the Prime Minister's reply. As far as I am concerned, there is nothing to prevent us from discussing the important problem, the dark cloud of the refugee problem that is hanging over the APB, in detail in this debate.
ParlaMint-NL_2015-09-16-tweedekamer-3.u5	So you don't support the request.
ParlaMint-NL_2015-09-16-tweedekamer-3.u6	They are General Reviews, so each group is free to choose its own themes. We will pay a great deal of attention to the refugee problem. Mr Wilders certainly has a point, it requires attention, but as far as we are concerned it can be taken into account in the General Reviews. Therefore, no support for this request.
ParlaMint-NL_2015-09-16-tweedekamer-3.u7	The SGP also believes that it is a very important issue that we should also be able to raise very well in the context of the General Political Reviews. Therefore, no support for a separate debate.
ParlaMint-NL_2015-09-16-tweedekamer-3.u8	I see no reason why we cannot allow it to be discussed in detail in the debate today.
ParlaMint-NL_2015-09-16-tweedekamer-3.u9	It's called General Political Reviews for a reason. We're going to talk about everything and this will be an important part, at least in my contribution. I think that will apply to Mr Wilders as well. We have more time for this in this political debate than in a specific debate. If you really care about the subject, you'll talk about it in the most important debate of the year, I'd say. The VVD will do that, and so will others, I suppose. So there's no support.
ParlaMint-NL_2015-09-16-tweedekamer-3.u10	The General Reviews are about general political matters, including matters in the throne speech. It is important to discuss this issue separately. For the General Reviews, five minutes is enough, but this subject needs to be given more time. 52% of the Dutch want to keep the borders open, 46% want to keep good facilities here and we need to talk about that. We have to make sure it happens in a good way. We therefore support Mr Wilders' request.
ParlaMint-NL_2015-09-16-tweedekamer-3.u11	No support. I agree with the previous speakers. Last week we discussed it and I will also speak on behalf of my group today during the broad speaking time. However, I would like to have a debate on this next week. As far as I'm concerned, that can be planned. I would like to include the report of the JHA Council and the answers to the written questions that have been asked. Then we can deal with that together with the cabinet position.
ParlaMint-NL_2015-09-16-tweedekamer-3.u12	A request has been made by one of my colleagues for this afternoon's arrangement. You do not support Mr Wilders' request.
ParlaMint-NL_2015-09-16-tweedekamer-3.u13	Insofar as there has been no attention to the issue of refugees, there is now. Let's stop this and start the General Reviews quickly. This issue can be discussed in depth.
ParlaMint-NL_2015-09-16-tweedekamer-3.u14	We share the analysis that this is the most pressing issue. That is why we tabled a motion of censure on this subject last week. But we do think it is important to deal with this subject as quickly as possible and in the broadest sense of the word. I can do that today.
ParlaMint-NL_2015-09-16-tweedekamer-3.u15	No support. It will be discussed at length today and tomorrow. If a debate is needed next week, we certainly support it. It's still important, every day.
ParlaMint-NL_2015-09-16-tweedekamer-3.u16	That's this afternoon's request.
ParlaMint-NL_2015-09-16-tweedekamer-3.u17	It's the most important topic of the moment. That is why we should discuss it at the most important debate of the year, which is about to begin: the General Political Reviews.
ParlaMint-NL_2015-09-16-tweedekamer-3.u18	Mr Wilders, you do not have the support of the Chamber.
ParlaMint-NL_2015-09-16-tweedekamer-3.u19	No, I do not have the support. I am very sorry about that. Once again, this is not only the most important issue at the moment, but also the issue that needs to be resolved in isolation. It should not be discussed together with a hundred other themes. I see that, to my great regret, I do not have a majority in favour of this. I'm not really getting close to the majority I need for that either. We will then involve it in the debate this week. Too bad, but it's no different.
ParlaMint-NL_2015-09-16-tweedekamer-3.u20	This has put an end to this additional arrangement of work. At 10.30 a.m. we start with the General Reviews.
