ParlaMint-NL_2015-02-10-tweedekamer-25.u1	I would like to welcome the Minister of Finance.
ParlaMint-NL_2015-02-10-tweedekamer-25.u2	Mr. Chairman. European banking supervision is an important step in the framework of the European Banking Union. The aim is to ensure effective European banking supervision to prevent a repetition of the last financial crisis and to ensure that taxpayers no longer pay for saving failing banks. Good and effective supervision is therefore crucial. However, double supervision should be avoided, as the costs of supervision appear occasionally to be self-driving baking flour. At national level, a VVD amendment limits the maximum increase. At European level, you have the same risk and the VVD therefore wants to look at two issues: double supervision and supervision of ECB supervision. Double supervision leads to additional administrative burdens and unnecessary supervisory costs. The Minister states that the AFM cannot retain supervisory tasks that are explicitly and exclusively invested with the ECB under the Regulation. However, the AFM seems to retain a role in tasks, for example in licensing and driver reviews. Why is that the case? The letter of amendment includes a switch clause clarifying that the ECB is competent and DNB is not in those cases. Why is such a switching clause not included for the AFM? A memorandum or understanding between the ECB and the AFM appears to be under way. Can the Minister indicate if this is going to happen? Is the principle that the ECB has competence in the event of doubt? The VVD wants, if the ECB supervision lasts two years, to see how it develops in practice and whether there will be duplications. We would then like to have an evaluation of this. Is the Minister willing to do that? I have already said that good and effective supervision is crucial and that unnecessary supervisory costs should be avoided. In recent years, supervisory costs have tripled. DNB previously noted that the reporting burden of banks increased by around 250%. This cannot be done without administrative burdens. Is the Minister prepared to work at European level for reasonable supervisory costs, a responsible increase, but also an incentive to control costs in this respect? National Parliaments are also provided with information on ECB supervision. What's all this included? Can an annual overview of these total costs be provided? In the Netherlands, we currently have advisory costs when it comes to supervision costs. We are curious to see how this has been regulated at European level and whether it is an opportunity to use it at European level. In the case of ECB supervision, there appears to be a check hole for efficiency, effectiveness and hence quality of supervision. The VVD does not consider this desirable. In the Netherlands, the Court of Auditors has a role in this. What information and possibilities will the European Parliament and the House of Representatives have to monitor quality and efficiency? What opportunities will the European Court of Auditors have in the future? Is the Minister prepared to work for more powers of the European Court of Auditors? I'll continue with the length of the permit. As far as we are concerned, more new entrants in the banking sector are needed to increase competition. The ACM recently looked at the entry barriers and concluded that the authorisation system in the Netherlands is unnecessarily strict. The duration of the authorisation process has been examined, among other things. The Minister has therefore asked Actal to look into this. The VVD is surprised that in this bill the deadlines are being stretched and doubled. We are curious to see what the Minister thinks is useful and necessary at the moment. We are considering an amendment on that point. Why, on the contrary, a doubling of the deadlines? It's been a very long time. Why isn't the Minister waiting for the Actal investigation? Then there is a final point about the single rule book. The VVD finds it disappointing from the point of view of a level playing field and competition that there will not really be a single rule book for the banks. In the end, that must be achieved as far as we are concerned. We are curious how the ECB will monitor the headlines of national legislation, such as the Dutch remuneration policy and the unilaterally increased leverage ratio. In a letter the Minister recently informed the House of Representatives how he wanted to introduce the unilateral increase in the leverage ratio. We are curious how the ECB will maintain that letter.
ParlaMint-NL_2015-02-10-tweedekamer-25.u3	Mr. Chairman. The Netherlands, the Dutch Bank, no longer supervises the largest seven banks in this country. We have been sidelined with that. Not only DNB has been put out of play, but also the parliament and even this minister. After all, no one controls supervision. No one shall monitor the functioning of the ECB and the quality of supervision. The European Court of Auditors can only look at expenditure. We just had a hearing and then the spending was on pencils and pens. The ECB will issue a statement of no objection or a bank licence for a bank wishing to establish itself in the Netherlands. That's not up to us anymore. We're not allowed to find any of that. The ECB in Frankfurt is in charge and decides. But if things go wrong, it is the banks and thus the consumers who are allowed to pay. We have nothing to say about the seven largest banks in the Netherlands, with a balance sheet total of nearly 2,200 billion, three and a half times greater than our GDP. The PVV thinks that risky business, but the hangover will follow later. The PVV was always against this next step of European integration. Step by step, we are handing everything over to Brussels and Frankfurt. We have nothing more to say. We cannot even ask ourselves what is good for the Netherlands anymore. It has to be: what is good for Europe? Klaas Knot confirmed that image at a hearing last week. He literally said: "I am not on that ECB board for the Dutch interest, but only for the European interest." That's how it's arranged in the statutes. End of exercise: The Netherlands no longer exists. The European Union will, and must, merge into one whole, if it does not succeed, then it will. If politics fails, we do it monetaryly through the ECB or budgetaryly through the six-pack or banking supervision. The banking union is therefore a fact that has been fulfilled. Nevertheless, I have a number of questions. Why do DNB's supervisory costs not go down for the banks, now that so many tasks are being taken over by the ECB? The cost, as we see it, is only going up. The sector is going to pay almost 50 million more instead of less. Can the Minister explain this? Why is the staff of DNB not reduced? After all, there are a lot of supervisory tasks going to Frankfurt. Who controls the quality and effectiveness of supervision at the ECB? The General Court indicates that the European Court of Auditors has no access to files and the underlying decision-making. The European Court of Auditors only controls expenditure and management, but not the effectiveness of supervision. Is the Minister going to close this control hole? Finally. The Dutch banks will have to transfer 4 billion for the banking union in the next four years. Can the Minister guarantee that these costs will not be passed on to consumers and that this will not be at the expense of the already lousy lending to SMEs?
ParlaMint-NL_2015-02-10-tweedekamer-25.u4	Mr. Chairman. The advent of joint European banking supervision could be a good thing. The international nature of banks means that you have to make good agreements about supervision. We have therefore always strongly opposed the principle of home country control, where you control only from the country where the head office is located, unlike host country control. A notorious example of home country control was Icesave Landsbanke, which had a branch in the Netherlands. The Icelandic bank supervised it and the Netherlands could only stand by. Regarding the supervision of branches, when it comes to small, non-significant banks, I always find that to be a separate term, as if they do not matter........................................................................................................................................................................................ The approval is a given, unless the supervisor explicitly objects. That surprised me because this is a decline in relation to the situation in the past. Now Icesave Landsbanke would not even have to ask permission in Iceland, because that would be a given. It goes even further. The host supervisor may no longer impose conditions on the opening of a branch and cross-border provision of services. Again, I wonder what went wrong. If Icesave is going to settle here, do you want the Netherlands to be able to set conditions to protect people? What have we learned from the debacle of Icesave? The supervision of the European banking sector serves an enormous public interest. Good supervision of financial supervision is therefore vital. In the Netherlands, more than twenty years of struggle have been waged to gain insight into the books of the Nederlandsche Bank. That would not be necessary, as was said. After all, the Dutch Bank knew what he was doing. Even when everything that could go wrong in the field of financial supervision went wrong, the Dutch Bank kept the books frightfully closed. Not only did this make the work of a parliamentary committee of inquiry more difficult, but also the General Court was shut down. A year and a half ago, I congratulated the Minister when he said that he was going to sit down just as well, because it all seemed arranged with an amendment to the law on financial supervision, but now the whole story starts again. The introduction of the SPS, European banking supervision, means that our General Court of Auditors is no longer able to investigate the functioning of the supervision of the big Dutch banks. That's what the AFM states in her letter she sent to the Chamber yesterday. But the European Court of Auditors cannot do it either, writes the AFM in its letter. Surely it can't be that the possibility of monitoring just disappears in this way? I asked the Minister today for a letter on this matter. I know he's trying hard to close this control hole, but I hope this leads to more than a goal you ideally want to move towards. Does the Minister agree with me that this is an essential, tough condition under which supervision can exist? The Minister writes in the letter we have just received that there are other control mechanisms, such as reporting on the task. It is fine that a report is being produced, but that is not enough as a control mechanism. Have we learned nothing from the fact that we always let the Dutch Bank go ahead without any party to keep it sharp? The Dutch Bank would know all about it. Have we learned nothing from the credit crisis, from all the mistakes made at ABN AMRO, Icesave, DSB and SNS, the Libor affair and so on? The "believ us but on our blue eyes" era should have been put behind us by now. How does the Minister see his own role as Minister? What responsibility does he still have when it comes to banks in the Netherlands? If he has any further responsibility, doesn't that include being fully informed? In this context, I would like to know from the Minister why the letter of amendment states that the consultation with the Minister for Finance on the temporary measures to be taken has lapsed. The reason would be for the ECB to take over the supervision, but why is that provided for in a letter of amendment? And why should the ECB not go in consultation with the minister? Isn't it logical to do that? What does that say about the Minister's information position and his role? I come to the role of national parliaments. According to Article 21 of the Regulation, national parliaments of the participating Member States may, through their own procedures, request a written response to their comments or questions on the tasks performed by the ECB under this Regulation. The Minister writes that, as a national parliament, we can send reasoned comments to the ECB. That's great, but I'm mostly interested in motivated answers. After all, we can send a letter to everyone; we do not need an article in a regulation for that. Is the ECB also obliged to send a reply within a certain period of time? Can comments from a national parliament relate only to the accountability report, or can comments be made in between? If, as a national parliament, we invite a member of the Executive Board of the ECB, could the member in question refuse to do so? The role of national parliaments is small, as they have no influence, but can only be informed. In any case, let us ensure that the right to information is truly guaranteed and includes more than the right to send an invitation or a letter. The latter can always be done. Does the Minister agree with me that national parliaments have the right to explain the policy pursued at all times? I am considering tabling a motion on this point. Part of the authorisation has been postponed to the ECB. For example, the ECB may or may not issue a statement of no objection in the event of the acquisition of a bank. In this context, I would like to mention an incident which we should have learned something from. In the process of acquiring ABN AMRO, it was established at a certain point that there would indeed be a gap in order not to have to make a statement of no objection. Then came the Antonveneta Directive and the question was whether this was still possible. The question is what we have learned from that. The national central bank may prepare the declaration of no objection. Is this always supposed to happen by default? Is the statement of no objection prepared by the central bank in the country of the bank being taken over or by the central bank in the country of the bank making the acquisition? Does the Minister agree with me that the ECB should at least verify the position of the central bank in the country of the bank that is being taken over? This happened, for example, when ABN AMRO was taken over by a foreign bank. Is the advice of the national central bank to the ECB publicly available? I get the impression that this is not the case. If the advice is indeed not public, why is it? Is it already clear whether the ECB will also involve competition in the sector when assessing an application? We are pleased to receive a response from the Minister. Next, a comment on the appointment of bank directors. On the basis of the Regulation, the ECB is primarily responsible for the review of directors in significant banks. Do I understand correctly that the ECB can stop the appointment of directors and also send directors? If so, will this always be done at the request of the Dutch Bank? Can the Nederlandsche Bank also send drivers on its own? The AFM also plays a role in this. Is that double gate system still intact? Do advice on the suitability and reliability of directors always go through the Netherlands Bank, or can they also be sent directly to the ECB? As far as the leverage ratio is concerned, we are all agreed that it should be higher. The Minister has proposed 4%. It would be nice if a higher leverage ratio would indeed be decided jointly in the EU in 2018, but what if that did not happen? Then we should at least be able to decide to sit higher ourselves if we want to. Shouldn't we always be able to do that as a country at all? The cabinet says it is committed to giving this space to national governments. That's in the right direction. However, it still sounds bad: if other countries don't want to, that's okay. Can't the cabinet make that a tough condition? Otherwise, the 4% will be nothing, because then we'll go back. What role can parliaments play in this matter in the near future? Finally, on enforcement. I understand that the ECB can only impose sanctions if rules in the Capital Requirements Regulation are infringed. The Netherlands Bank may also impose a fine in the event of a breach of the rules laid down in the Capital Requirements Directive. Is it always one of the two who imposes the fine? Or could it also be that one additional imposes a fine on the other? Is it always clear in advance who imposes the fine? Finally, who is the source of income in all these cases?
ParlaMint-NL_2015-02-10-tweedekamer-25.u5	I have become curious whether Mr Merkies is for or against a banking union.
ParlaMint-NL_2015-02-10-tweedekamer-25.u6	I think we have had this discussion before and I have said: no, I am against a banking union, but a banking union is much more. This is also about "our banks saving your banks." Then it's about the whole story. This is only the part of joint supervision, and I am in favour of it. That's what I've always said.
ParlaMint-NL_2015-02-10-tweedekamer-25.u7	I ask for this because I have tabled a motion asking the government to refrain from participating in the Banking Union, which the SP was in favour of. But the SP is therefore in favour of putting down our supervision, which used to be done by DNB, in Frankfurt now, so that we actually have nothing more to say, just like with Icesave? Soon a bank X will be set up in Amsterdam, and the minister doesn't know, we don't know, nobody knows anything about it, but the ECB has approved it and says: you can sit in the Netherlands.
ParlaMint-NL_2015-02-10-tweedekamer-25.u8	Mr Van Dijck gives an example of why we are, among other things, in favour of central control, i.e. Icesave. At Icesave we had no supervision, because then the principle of home country control was applied; the supervision was in Iceland. Oh, that's difficult. Mr Van Dijck should also find that difficult. That is why we say: it is very good that this can no longer be the case and that we are now drawing up common rules for this and establishing joint supervision.
ParlaMint-NL_2015-02-10-tweedekamer-25.u9	Mr. Chairman. D66, as you all know, is a strong supporter of the European Banking Union. It is essential to break as far as possible the interlinkages between banks and governments in the euro area and in the European Union. With this implementing law, another step is taken in that operation. I have a few questions on four aspects, namely the possibilities for new players to join, the emergence of megabanks, the position of the AFM and indeed the role of the European Court of Auditors. I shall begin with the possibilities for accession. More competition in the banking sector is a spearhead of D66, as competition leads to lower prices, better services and more choice for customers. Too little competition in the banking sector makes banks too powerful. Competition can be improved in several ways. I always mention number portability and setting up a good switching service. However, it can also be done by allowing new players to join the market. Several parties indicate that the procedure for applying for a banking licence is surrounded by uncertainty and that the abiding institution of DNB deters new entrants. The ACM therefore advised last year to evaluate DNB's licensing system and Actal is currently investigating the regulatory burden when obtaining a banking license. While these investigations are ongoing and we are still waiting for the outcome, this bill doubles the time limit for assessing an application for a licence, which means that entrepreneurs will have to wait for a decision on a banking licence for a six-month period even if they are to be renewed for a year. DNB asks for this extension because the current deadline of 13 weeks is often not reached; on average it takes about four and a half months. I would like to hear from the Minister why an extension to six months would be necessary. Should we also consider whether the procedure can be more efficient and at least await the outcome of the ongoing investigation before we anchor it? Actal is delivering advice this spring if it's okay. Is this still on schedule? Can this advice be taken? My second point concerns the megabanks. We have spoken before about the scale of banks and the risks of megabanks or too big to fail banks. With the entry into force of the Banking Union, we will now address this problem not at national level but at international level. However, there may be a process of mergers and acquisitions at European level, so that we get megabanks there, but on a European scale. We've talked about this before with the Minister. The ECB is about to issue the declaration of no objection to mergers and acquisitions, and the review of the proposed mergers and acquisitions is based on the Antonveneta Directive. The Minister undertook to use an element or review criterion to ensure financial stability in the evaluation of this Directive, precisely in order to avoid the risk of megabanks. How's this going? What's been done with this so far? My third point concerns the role and position of the AFM.
ParlaMint-NL_2015-02-10-tweedekamer-25.u10	Mr Koolmees and I very much agree on the risk that if you scale up supervision, you may leave open the possibility that very large banks will be created. There must be some kind of counter-force. I wonder what Mr Koolmees is actually proposing to ensure that we do not get huge megabanks.
ParlaMint-NL_2015-02-10-tweedekamer-25.u11	We have had this debate before. Last time, I called for safeguards to be included in the Antonveneta Directive in order to prevent megabanks that are too large on a European scale to go bankrupt through mergers and acquisitions. For example, you can think of balance sheet totals or covered deposits. At the time, the Minister indicated that he saw a hook on the Antonveneta Directive. Since the ECB is about to review the declaration of no objection in the case of mergers and acquisitions to see whether it is permissible, I think it is wise to lay this down in legislation. That is above all European legislation. For example, the ECB has a hook to say: we will not allow this merger or acquisition, because then this bank will become too large.
