ParlaMint-NL_2015-04-21-eerstekamer-7.u1	I give the floor to Mr Schouw.
ParlaMint-NL_2015-04-21-eerstekamer-7.u2	Madam President. It's nice for me, as a former resident of this beautiful house, to be back in this room of reflection. I noticed this morning that this Chamber still has the core task of'reflection' in all its fibers. First of all, I would like to express my special thanks to all the spokesmen for their contribution in the first term. They were extremely interesting and interesting contributions, which carried a lot of history. They also showed very interesting things about, for example, what politics was like in Finsterwolde and how the mayor's election took place in Belgium. There are a number of outstanding issues on which the members of the Chamber have put questions to me and to the Minister. The Minister and I will do everything in our power to answer the Chamber as best we can. It is, I think, good to remind you that I started with this initiative proposal in 2012, that it was discussed in the Lower House in 2013 and that with the arrival of the Rutte II cabinet, the destitutionalisation is part of the coalition agreement. Perhaps in abundance I note that I am standing here on behalf of the House of Representatives. This means that I have to confine myself to a number of issues that many of your Members have raised about future models and that sort of thing; the Minister has written a note on this and he will discuss it with you further.
ParlaMint-NL_2015-04-21-eerstekamer-7.u3	This statement also involved Mr Schouw in the documents, namely that he is here on behalf of the House of Representatives, but in the House of Representatives he himself did not say anything about the scope of the bill, although he did not speak on behalf of the House of Representatives at the time. By the way, that is curious because most of the time the House of Representatives asks whether the proposer is prepared to defend the legislative initiative. There is never, however, any mention of 'we all think so' or anything like that.
ParlaMint-NL_2015-04-21-eerstekamer-7.u4	That's what happened this time. That's a question I've been asked. Mr De Vries knows better than anyone that the initiator will then be standing in front of him and then saying that he would be happy to do so. Then it comes here in this Chamber and I try to handle it as well as possible and to discuss it with you. This bill is about whether the manner of appointment of the mayor and the King's Commissioner should be regulated in the Constitution or in the ordinary law and is therefore not about models.
ParlaMint-NL_2015-04-21-eerstekamer-7.u5	You're not answering my question. When you dealt with the bill in the House of Representatives, you did not say what Mr Schouw intended with this bill, what was its purpose, what it came from and what it intended. And now you feel limited because you stand here on behalf of the House of Representatives, but you didn't say anything there either.
ParlaMint-NL_2015-04-21-eerstekamer-7.u6	Well, I thought I might have said something, but that was particularly about the bill that is being discussed here today. That bill is about the deconstitutionalisation of the manner of appointment of the mayor and the king's commissioner. That is the subject on the agenda. That's what I also dealt with in the Lower House. I have said something about this and many of you have said something about it today.
ParlaMint-NL_2015-04-21-eerstekamer-7.u7	I understand that Mr Schouw currently feels limited in his response, because he cannot consult the House of Representatives. Did Mr Schouw, as initiator, also feel limited in the written answer to our questions or did he always consult the House of Representatives when answering those questions? In other words, is there a difference between his position in the written procedure and his position now?
ParlaMint-NL_2015-04-21-eerstekamer-7.u8	What I keep in mind, of course, is what views exist in the House of Representatives surrounding the legislative proposal that we are discussing here. From that point of view and from the exchange of views I had with the members of the House of Representatives, I have tried to answer your questions twice as much as possible. From Mrs Van Bijsterveld's point, I understand that she did not think that was entirely satisfactory. Well, let's talk about that in a moment, but it must be clear that this is a proposal for the deconstitutionalisation of the method of appointment, nothing more and nothing less than that. A number of political groups have a preference for an arrangement of appointment by ordinary law when it comes to the way in which they are appointed. Some groups have reservations and reservations about this and wonder whether the old can't simply be preserved. In an attempt to address all questions as well and as structured as possible, I have divided the answer into four blocks. In the first block I go into the common thread that runs through the history of the appointment. I use the second block to answer all the questions that relate to the criteria governing the Constitution or ordinary law and how they can be applied to the method of appointment. In the third block, I will try to say something about topicality, although it is outside the legislative proposal that is being discussed here. What is going on in local government and what are the challenges facing it? In the fourth block, I would actually like to pass on the questions of the individual Members in the order in which they have contributed. At the end of my introduction, I would like to say that I find it extremely pleasurable that this Chamber has shown its willingness to discuss the subject in this composition. I am very pleased about that. I'll be on the first block. Not the least, Thorbecke, did the discussion start on whether the manner of appointment of the mayor and the King's Commissioner belongs in the Constitution. In my opinion, he felt that this was not the case, although there might be a dispute about it. We heard Mr De Vries on this this morning. The time I had between the first term of this Chamber and my answer was not enough to verify all this precisely, but what we do know is that Thorbecke said at that time: the legislator, who must judge and regulate all this, must not be tied to the hands of the head of local government. It is a historical fact that for 167 years people have been trying to change this at regular intervals or at least try to set it up. Everyone in this Chamber who deals with this issue or has dealt with it in the past knows that there have been several state committees that have broken their heads about the level at which this appointment should be regulated. At the end of the 19th century, the Heemskerk Committee made a renewed appeal to regulate the method of appointment in ordinary law rather than in the Constitution. However, it was decided differently. The government rejected that idea. In 1922, the Ruijs de Beerenbrouck State Commission wanted an arrangement by law for the appointment of the chairman of the council. This time the plan was supported by the government but the House of Representatives rejected it. Then, half a century of relative resignation and silence broke out, but in 1972, the Cals/Donner Committee threw a new stone into the pond and concluded that the legislation should have the possibility to opt for different solutions. The method of appointment should not therefore be established in the Constitution, but where it was expected that a wave of changes would occur, it turned out to be nothing more than a ripple on the surface, because it never happened. More recently, the conclusion of the State Committee on Dualism and Local Democracy. In 1999 it proposed not merely to deconstitutionize the method of appointment, but to add a provision in the Constitution which means that the law regulates the subject. The legislative proposal before us also follows that course. The most recent fact from the long history was the bill to deconstitutionalize that in early years zero parliament passed through. A number of your members were already involved in the proposal that was discussed in both the Lower House and the Upper House at first reading. At that time, it was also considered desirable that the ordinary legislator should be able to express its opinion on the manner in which the mayor and the king's commissioner were appointed. It was also striking at the time that it was stressed that the conclusion of the discussion on the method of appointment could also be that the current system should be maintained. Then nothing else has to happen. That bill was adopted at first reading on 19 June 2001 and on 22 January 2002 respectively by the Lower House and the Upper House. When I look at the insertion of this morning through my eye hairs, I see the same kind of discussion as it was at the time in both chambers. The second reading of course ended on 22 March 2005 in this Chamber. I'll leave that night to everyone's own memories. However, I can tell that the burden of the subject and of the discussion that took place ten years later is still on the table. I understand that and I feel that, but I also say that it may not be necessary to treat it as loaded.
ParlaMint-NL_2015-04-21-eerstekamer-7.u9	Mr Schouw goes into history. I referred to Thorbecke this morning, after studying it thoroughly. However, there is no other conclusion than that it had to do with the specific situation at the time. Thorbecke says that in so many words. Apart from that, you're gonna get that whole history. This morning, I argued that that's how you tend to compare apples with pears. The situation has changed, at least for the municipal councils from about 1960-1970, with the end of 2001-2002. Since then, the city council has full control over the appointment. He decides who is to be appointed, says the Minister. It doesn't matter whether a city council has anything to say about the appointment or whether it makes a full decision. You can call witnesses from 1922 and 1953, but is that a good comparison?
ParlaMint-NL_2015-04-21-eerstekamer-7.u10	I agree with Mr De Vries that the context has changed. Each period has its own elements. If there's a law on dualisation, it has meaning for the board. However, there is one important constant, namely whether or not the method of appointment of the mayor belongs in the Constitution. Is that a cornerstone of the Constitution, yes or no? That has been the constant in all those discussions and all those reports. I do not think Mr De Vries can deny that this is a constant discussion either. It is also here today to a great extent.
ParlaMint-NL_2015-04-21-eerstekamer-7.u11	I hear what the initiator is saying. My group needs a different approach to the issue. It would help us if Mr Schouw gave a clear answer to the following. Let's say there's a politically broad consensus on how to regulate the mayor's position under ordinary law. For example, the method of appointment is the same as in current practice. In Mr Schouw's view, what would be the fundamental or formal problem if the appointment were to remain in the Constitution?
