ParlaMint-NL_2015-03-24-eerstekamer-8.u1	I give the floor to the Foreign Minister.
ParlaMint-NL_2015-03-24-eerstekamer-8.u2	Mr. Chairman. I would like to thank Members for their input, in particular for the words of sympathy for the relatives of the two Dutch soldiers who gave their lives during their important work on the United Nations mission in Mali. Your words have also been taken from our hearts. In the break we just had, I had the opportunity to speak to four human rights defenders: one from Russia, one from Congo, one from Egypt and one from Syria. That was impressive. I spoke with a woman from Russia who dealt with the fate of killed Russian soldiers in Ukraine. I also spoke with a physician from Congo who is well-known and deals with the problem of sexual mutilation as a weapon of war. In addition, I spoke with a lady who was looking in Egypt for a way between the Muslim Brotherhood on the one hand and the military regime on the other, who is now trying to build stability at a high price. Last but not least, I spoke with a human rights defender from Syria who is very active in helping the situation in Aleppo and who is at the same time someone whose wife has been kidnapped. I say this as a start because a debate on foreign policy must always be a combination of realism and idealism. In the end we stand for the standards and values that this country knows and we also want to defend. So we must also stand up for human rights defenders. Standards and values are currently at stake in the world, and also in our own country; extremism, jihadism, increasing autocracy, sometimes a lot of screaming and little wool, increasing anti-Semitism, increasing persecution of Christians and also increasing feelings against Islam. In such a world, where standards and values are at stake, where human rights have reached a historic low, I regret to say that two weeks ago in the Human Rights Council, of which the Netherlands is now a member, it is important to analyse carefully what is going on. That is why I very much appreciate that tonight we have the opportunity to debate security with you, because idealism and realism belong together. This is a time when evil must not be underestimated, in which we must get to the wind and in which a certain realism is also important in the light of developments over the past period. You have all mentioned its elements: hybrid warfare, new power relations in the world, sectarianism. Predictability has diminished. I will say something about this in a moment, because I was asked about it. We live in a world in which not only the trends are important, but also the events, as former Prime Minister Macmillan said. We're co-led by events. In a world that changes very quickly along a number of important benchmarks, events are often unpredictable. They aren't entirely. You can prepare for them... but events often determine the policy. And that's not good, because you have to respond to events, but you will have to think about how to deal with them in a good way. Military resources are essential, but they are certainly not the only means; they are always used as part of a political strategy. There are different means. Sanctions were mentioned; you debated them today whether they are effective or not. Some people ask for sanctions against Russia, others for sanctions against Israel. Sometimes it is said politically that something is effective, sometimes that something is not effective. They are a means that can be looked at, but always as part of a political strategy of outcome. Looking at the world today, I think there are a number of characteristics that we need to keep in mind when we specifically address all the questions you have asked. Firstly, we know the world today as multipolar, with new centres of power, with the balance between the different countries not yet crystallized. So there's a struggle between the power centers. Nor is there any clear leadership. We may or may not have liked that, but at least it is not here anymore. It makes the world more uncertain. It also concerns the institutions on which we normally build our policies: the European Union, NATO, the United Nations. Those are all organisations that are in great change, because of the change in power relations. Secondly, there is another role for the state. We see in a number of countries that it has become more autocratic, that there is less room for civil society and that more is being grasped about nationalism and a policy of spheres of influence. On the other hand, there is the problem of failing states. That is almost the other extreme; states that no longer function, where the government no longer has the authority over the means of violence. The third point is that the benchmarks we normally have to deal with are still important now. We need to look closely at that. Are they effective or not? I have been asked a number of questions about the UN and the OSCE; I will return to them in a moment. What conclusions does that lead to? For the time being, to nothing, but perhaps to an approach. First of all, it must be aimed at being flexible, because events are partially unpredicted. Foreign policy must therefore be flexible. This does not mean that it should be opportunistic, nor without a strategy. Secondly, we need to prepare ourselves strategically for a number of points. You mentioned a number of them: migratory flows, a policy of spheres of influence, hybrid warfare. Not only should we think about this in a rather fundamental way, but we should actually submit plans to our parliaments. Thirdly, it may be about the return of diplomacy. In a world where there is a lot of screaming, where there is a lot of explanation, where many countries are opposed to each other and they make sharp statements 'a country is good or a country is wrong', there is also a choice to be made for traditional diplomacy. This is not about diplomacy in the backrooms but about modern diplomacy, in which countries try to find each other again in order to create new structures of cooperation in a world that is chaotic. That is a very general and abstract picture of the world in which we are now standing. There is, of course, much more to be said about it. In updating its security strategy, the government identified three important elements. Firstly, this is the enormous risk to Europe of insecurity around its borders. That is why I would like to start by answering a number of questions that mainly concern Europe's southern flank: Libya, ISIS, the Middle East peace process. If you look at the skins of Europe, it is the east side. This concerns the understandable questions about Ukraine, about Moldova, about Russia's destabilization policy. What organisations and what structures and means of power do we actually have to reduce these problems? Thirdly, you have asked a number of questions, and I would like to answer them in the conclusion on the integrated approach to internal and external security. Should that really be one policy? It also applies to a number of regions which are certainly no less important to the Dutch Government. Mr Van Kappen, for example, asked about the problem in the South China Sea. Those are not things that we are now going to declare secondary, but in that note we have focused on the differences around Europe. That's the first element. The second element is standards and values. They have a relationship with internal and external security. The third element concerns a number of issues relating to future resilience; energy dependence and so on. Let me start with the first element, namely the south flank. I start with that because a number of questioners started with that, not for a specific, logical reason; I could have started on the east side as well. We are dealing with huge transformation processes in the Middle East. There are no quick fixes for that. That is not going to solve either the Dutch Government or the governments on the ground in a short time. That's a transformation process that's complicated. We, as a Europe, have great security interests in this. We must try to find the right entry points. I shall begin with the questions that I believe Mr Kox has asked about the situation in Libya. It is directly linked to a number of questions that have been asked about European security policy and its joint action. It's best to update that by not only talking about it in abstraction, but also to see, if there's something going on, whether we can do the right thing or not. When we talk about Libya, we have to realise that the intervention that took place in 2011 was important. I think he saved a lot of lives. The fact that, in my opinion, there was not enough follow-up to this was also due to the fact that the Libyans no longer wanted an international presence. The international community has chosen to place the ownership of reconstruction with the Libyans themselves. This has led, among other things, to countless militias getting a piece of government apparatus under control. It is not so much an issue that the international community has left Libya. You can see the limitations of military intervention if it is not properly integrated into a political strategy. Libya is a country which is now in very dramatic conditions. I do not have to talk about this very long tonight, given the many questions that have been raised. There is a situation in which two parliaments are still competing, both military and political. In addition, the influence of ISIS is increasing, as is that of other groups. The South of Libya in particular is characterised by a rather anarchist situation. Unbelievably many weapons play the game of power there. That is a major risk, including for Europe. Libya is in a difficult situation. The country is highly polarized. The instability has led to an increase in smuggling, illegal migration and extremism. I myself saw in Mali the consequences of the anarchy in Libya for the destabilisation of the region of the Sahel. It is now important to see whether the two parliamentary political representations in Libya can reach a political agreement. Those odds haven't been increased in the last few days. For a moment, it seemed like it was heading in the right direction. It is done under the direction of a UN Special Representative. The aim was to ensure that, if a political agreement were to be reached, the possibility would also be opened up, for example for the EU, in this case the High Representative of the European Union, to prepare options for supporting such a government, including in the fight against ISIS and the stabilisation of its own state. This is something for which I believe the EU should formulate a strategy within its limitations and also its potential. There is a direct European interest at stake. We also need to look at how long Europe's wristhold is in this respect. The Minister of Defence can say much more about this when it comes to military resources than I do, but in preparing it not too late, because we are already on the late side, but you could work on it until there is political agreement. All kinds of options can be developed for this purpose. You can think of it theoretically. I refer to the security of such a government or a maritime strategy that has to do with combating arms smuggling. I am thinking of several other possibilities for building Libya's government. At the moment, all of this seems far away in view of the anarchist situation, but the importance of Libya and the risks to North Africa, we see that in Tunisia and the Sahel, but Italy is very close to................................................................................................................................................................................ This includes the problems of migration, asylum and foreign policy. In this respect, it is very important that, on the basis of an initiative by the Dutch Government, the Foreign Ministers, Migration and Development Cooperation meet shortly to formulate such an integrated strategy. There are a number of aspects to this. The first aspect concerns European policy for asylum seekers and foreigners coming here, either as economic migrants or as asylum seekers. The question is what is Europe's integrated policy in this context and whether there is a basis for reaching agreements within Europe. There are all kinds of discussions about this. The north says the south isn't doing enough, but the south says the north isn't doing enough. It's a lot of trouble. Secondly, it is important to clarify what is called the push and pull factors in beautiful Dutch. 'Cause there's both of them. This means that there must also be a policy on, for example, reception in the region, its funding, not just reception in the region, and the foreign policy options that I have just mentioned. This proposal comes not only from the Netherlands but also from a number of other countries. In this context, the European Commission is to present a proposal at the beginning of May. As a result, a number of questions have been asked about this element of the discussion.
ParlaMint-NL_2015-03-24-eerstekamer-8.u3	It is an area of great concern, not only for parties that sometimes leave balloons over it, but it has been worn very widely. One of our major concerns is the question of what happens to the flow of refugees across the Mediterranean. Is the policy aimed at deterring and stopping them, or is it also aimed at the humanitarian need not to leave refugees to their fate when they arrive? Is that part of the discussion?
ParlaMint-NL_2015-03-24-eerstekamer-8.u4	That is part of the discussions, and it should be. It is one of the most difficult dilemmas, because there is always a humanitarian element. People die. That's a tragedy. In all the discussions of the last few days, everyone acknowledges that. The question is, what are you gonna do about it? At that time we had a discussion about Frontex. A further question has been asked by Mr Franken. I will answer it now and then come back to the other matter. The question concerned the contribution to Frontex. In the letter of 24 March, the State Secretary of V and J explained the Dutch contribution to the Triton operation. The starting point of our contribution is: if Frontex so requests, the Netherlands is in principle prepared to consider making a greater contribution to the implementation of tasks covered by Frontex's mandate. The mandate of this agency focuses primarily on supporting Member States' border management. Triton's operational capacity should therefore fit within this objective and be based on the needs of the Agency. Soon there will be a discussion with the new Secretary of State of V and J. In that context, Mr Ganzevoort asked me also to come to the question of boats, which is the government's policy as regards the reception of refugees in the region and how much that region can handle. In this respect, there is a huge responsibility, especially for the countries in the region itself. There are currently 1.2 million refugees in Lebanon out of a population of 4 million and over 600,000 refugees in Jordan out of a population of 6.6 million. The pressure on public services, such as health care, and thus on the population, including host communities, is increasing enormously. The cabinet considers it essential that aid not only targets refugees but also host communities. I've been to Turkey recently. There are a number of good Dutch projects that encourage the reduction of the increasing pressure on facilities and the resulting tensions. However, the pressure on Lebanon should not increase much. Therefore, the Lebanese government is careful to allow new groups of refugees. A new problem, however, is that large groups of displaced persons are currently arriving on the Syrian side of the border. With regard to the problems of migration, boats, the European distribution and Frontex, the following is the case: There's actually no ideal solution if you don't deal with the criminal circuits in an integrated way. Whatever means you choose, you will then be at risk of getting a pulling movement that you do not want, but you cannot focus your policy on that element alone. That is an element that is in it, but it will have to be integrated. Hence the Netherlands' proposals to reach agreement within Europe.
ParlaMint-NL_2015-03-24-eerstekamer-8.u5	The Minister jumps from the refugees to another subject, but I have asked what the Minister thinks of Greece's likely threat to open the border with Turkey. Is that just a threat? What's behind it? What's going on?
ParlaMint-NL_2015-03-24-eerstekamer-8.u6	Of course, I find that unacceptable. Such a threat to break rules that have been agreed unilaterally and also to say that extremists or terrorists may be allowed to go through as a kind of strategy of influencing European policy is totally unacceptable to the Dutch Government. I would like to say straight away that this has not translated into any proposal from the Greek Government, for example in the European Council. Nor has it been followed by any proposal. We reject this very strongly, of course. While I am still working on the south flank, I would like to say something about the discussion on ISIS, Syria and Iraq. Let me say first of all that the Netherlands has an integrated approach to this. A number of questions have been asked. The solution will have to be found in the countries of the Middle East itself, albeit with a catalysing role of the international community and, where possible, of the United Nations. I'll come back to that. This is a role that cannot succeed without a political strategy. The military instrument is now essential. We see this, for example, in the bombing of ISIS and in the training we provide of peshmergas and special forces in the Iraqi army. However, this can never be separated from an inclusive strategy, both in Syria and Iraq. Let me first put the emphasis on Iraq and then go to Syria. When it comes to Iraq, at least there is the beginning of a political strategy. The Al-Maliki government is gone, and it's a good thing. That was an exclusive government, giving those who were expelled from the army by Paul Bremer in Iraq and then became part of the hard structure of ISIS a chance to return. In any case, Sunni tribal leaders should be given a chance to return to an inclusive government. So it is important that there is a new government. Secondly, it is important that it is given very critical support. There is a risk that, especially from the Shiite militias, there will be a policy that, if you take the territory of, for example, ISIS, this would lead to human rights violations or an exclusive new approach, leading to a functional equivalent of ISIS in the long term. What is happening there and what is the Dutch Government's policy? I mention government support, but not without conditions. We have also approached the European Union. It's not just us, it's the whole community. The European Union has come up with a very common strategy. You can say 'it's money', but I believe it is the first time in years that the European Union has deployed 1 billion to improve the situation of the administration in Iraq. That has to do with the police. It has to do with the fact that if an area is occupied, there will be work and community services. There is training in a way that is inclusive. There are projects to bring Sunni tribal leaders back into the government. There is a political story behind doing something in Iraq, together with the Kurdish state governments, which has a chance of success. Chances of success; no more, but no less. I think that we should focus on Iraq: a combination of a military strategy and a political strategy and a common European action. We are doing this together with the countries of the alliance. That is important, because it is much wider. It cannot be just a Western solution or a European solution. I thought we'd learned over the past few years that this isn't working. We cannot force peace and we cannot force democracy by military means. We can help and catalyze what is happening in the country itself. But we are aware that the situation as it is today is very unstable. This applies not only to Iraq and Syria, but also to all those neighbouring countries I have just spoken about. It is essential to contain the problem by means of substantial resources, which are now showing certain results. Syria is a lot harder. I believe that everyone can see that the political strategy is much more complicated there. There's a government there that's got a lot of blood on her hands. There's ISIS. There is limited scope for what is called the moderate opposition, if you like. So this means that the bloodshed is actually continuing. Here too, all initiatives must be taken to create opportunities for negotiation. That is why the Dutch government also supports De Mistura's initiative. That is why we have a special envoy: Nikolaos van Dam, well known in the world of Syrian experts. He also has very good contacts. That is why we are investing in regional strategy. This includes Iran, Saudi Arabia and Turkey. There is also an opportunity to speak with the Russians. It was said: fist and open hand, where is the open hand? Well, in discussions with Russia in areas not directly related to Ukraine. There too, only a political strategy, together with the military means, could work. I am not optimistic about Syria, by the way. The flow of refugees has an enormous destabilising effect, regardless of the moral problem. There is also the risk that the problem will spread even further if it is not resolved. I think all this is so essential that within Europe, with the United Nations, but also with the countries in the region, we must come to an agreement in order to reduce bloodshed. Let me say straight away that this is incredibly complicated. A number of spokesmen pointed this out. We are in a coalition of countries that you might not have chosen directly, either because of the human rights situation there, or because they may have been part of the funding sources of the same problem in the past. However, it is important to jointly shape that alliance. A number of instruments are available for this. Mr Schrijver asked me about cutting off financial flows from the Arab wave states to IS. I think this is indeed an essential point. It concerns Resolution 2195, which focuses on links between organised crime and terrorism.
ParlaMint-NL_2015-03-24-eerstekamer-8.u7	I have a question for the Foreign Minister about Russia's position in the Middle East policy. What I understood about it, but I would like to verify that with the Minister, is that the Russians are following a philosophy where they say: we also hate what is happening and are not waiting for a caliphate in our soft abdomen. However, we believe that the only countries with the military capability to control ISIS are Iran and Syria. Those are exactly the two countries that we are not very warm for. Their reasoning is: you are trying to find all kinds of moderate groups. They're barely there; you're never gonna make it. We are real politicians and focus on Iran and Syria. That's a bit of a dilemma, isn't it? I now notice that the Americans are also making overtures to talk to Assad. What is the Dutch position in that?
ParlaMint-NL_2015-03-24-eerstekamer-8.u8	That is a very good question you are asking. I wouldn't have expected that from you either. It's a dilemma, that's true. Let us get there first. It is a proxy war in that region, involving direct interests, including those of the Russian Federation. It's double in there, by the way. The view of the Dutch Government is that a peace solution can only exist if you speak to all groups in Syria. That's another thing than talking directly to President Assad. There is talk of what is so beautifully called the transition, but no one knows where that transition is going. However, I am convinced that within Syria, or at least within the region of Syria, the direction of peace can only be stored if the alevites and Christians feel safe as well as the Sunnis. That's where the dilemma lies. If I were to say 'we're going to talk to Assad tomorrow', I can assure you that the number of people recruited directly by ISIS is increasing tenfold. This demonstrates the enormous complexity of the problem. There is a feeling, following the interventions that took place in the first decades of this millennium, that Sunnis are marginalized. I very much agree with people who say: you should not change that again in a sectarian reversal to another group. The complicated thing in this situation is that you will have to try to involve everyone in making peace. This also means that alevites and others will have to be involved. There are still a large number of dilemmas as to the form and extent to which the regime itself is involved. The Netherlands is not just about that. However, I do not look at it with dark glasses, in the sense of: one way or another that is not allowed. Let me make a political point right away. I cannot imagine, as far as the Dutch Government is concerned, that there is a future government based on a peace agreement, in which Assad would still play a role. I was dealing with Mr Schrijver's questions about the financial flows from the Arab wave states to ISIS and the resolutions he referred to. Resolution 2195 focuses on links between organised crime and terrorism. In February, the UN Security Council adopted Resolution 2199 specifically aimed at countering various forms of funding to ISIS. The Netherlands acted as cosponsor. The Gulf States are important partners in the fight against terrorist financing. They are also playing an increasing role in relation to the anti-ISIS coalition, including the working group on funding. Prime Minister Rutte called on the UN Security Council to promote strict compliance with UN terrorist sanctions. I believe that the Netherlands has so far proved able to raise the issue of combating terrorist financing in contacts with the Gulf States. I've been able to do that myself recently. From various sources, the first reports come that ISIS funding is drying up, both from the oil and from the total exploitation of the local population, to put it undiplomatically. These are two elements of funding that make it more difficult for ISIS to function, but it is certainly not so far that this means that ISIS no longer has any resources. The cabinet is committed both nationally and internationally to counter this funding of ISIS. We ourselves are actively involved in the so-called Financial Action Task Force in the anti-ISIS coalition. Dutch legislation is fully in line with all international obligations in the area of preventing terrorist financing, and is in fact at the forefront of this. Of course, measures also focus on unintentional abuse of Dutch financial channels. Perhaps the measures contained in the Integrated Approach to Jihadism Action Programme are known. Since December 2013, 15 persons have been added to the national terrorist list. Their financial assets have been frozen and there is a ban on making their financial resources available. In addition, there are other measures, which are a little more detailed and I would not like to go into them now, but they are beginning to be effective. We have always said that the fight against ISIS will take a long time and can move. There's all kinds of risks. We are going to talk about the problem of hybrid warfare later, but it seems to me to be very essential to defuse funding. With the oil companies, a policy is being developed to prevent as many gaps as possible, so to speak, so that oil exports can take place that generate revenue to purchase arms or other materials.
ParlaMint-NL_2015-03-24-eerstekamer-8.u9	I would ask the Minister to respond to a letter opinion from one of his advisory committees, the Advisory Committee on People's Rights (CAVV). Following the Security Council's series of anti-terrorist resolutions, this committee stated that the term 'terrorism' is rather indeterminate. It can also lend itself to abuse. In a number of countries in the region we are discussing tonight, we see that members of the opposition are soon accused of terrorist acts. The Consultative Commission recommends that the Minister give a more specific content to the concepts of "terrorism," "terrorism" and "terrorists." What's the Minister's response?
ParlaMint-NL_2015-03-24-eerstekamer-8.u10	The cleanliness requires me to formally inform the committee, but I am very prepared to take note of a number of things. A major problem with the definition of terrorism is that anyone who is a freedom fighter for one can be regarded by the other as a terrorist. There is no uniform understanding of what "terrorism" is as a criminal offence. Because there is such controversy about it and as a result of that changing balance of power in the world, that contradiction has become even sharper. In fact, that discussion has been shut down for ten years. There's just no consensus. Terrorism is essentially a national crime with more and more international ramifications. UN Security Council Resolution 2178 points out several places that measures against foreign terrorist fighters should be in accordance with international law. This is emphasised not only in the preamble but also in several operational paragraphs. It is an important indication of the interpretation of the resolution when states implement it. At the same time, it cannot be assumed in advance that some States will try to abuse the resolution. Since there is no agreement on this definition and the discussion is still going on, we cannot, for the time being, produce results that we want to achieve. The Netherlands attaches great importance to this resolution and its obligations on criminal prosecution of foreign terrorist fighters, but also recognizes other methods of combating terrorism. That is why we are actively committed to what is called the Global Counterterrorism Forum (GCTF), a multilateral forum consisting of 15 Western and 15 non-Western states. We are trying to reach agreement. You're in difficult alliances. We are trying to confront those who are actually sympathetic to terrorism and who are using a different definition, and those who are keen to oppose it, fortunately, that a growing majority should be prevented to combat abuses of human rights. At the same time, we are trying to come up with recommendations to deal with this in the GCTF. Among other things, specific attention is paid to the reintegration and rehabilitation of convicted terrorists.
ParlaMint-NL_2015-03-24-eerstekamer-8.u11	I listen with interest to the Minister about what we are now trying to do in Iraq to reduce the breeding ground for something like Islamic State, which we have not actually done in the last ten years. I think we agree on many points on the need for these measures. What I have questions about is effectiveness. We agree that we should have the financial resources forced on us, especially from Qatar and Saudi Arabia, but can we do so? We can see and control a lot in the international money world, but can we? A second point that plays is the military equipment of Islamic State. It doesn't fall from the sky, it almost comes directly from the Iraqi army. Are we effective in combating this? How do we prevent entire groups from defecting with their equipment? A third point is to reduce the oil production of Islamic State. That's the goal, but can you actually do that? That oil was not only produced, but also sold to Turkey. In terms of effectiveness, I also have questions about the bombings. During the General Reviews, the Prime Minister said: after six months of bombing, we see how far we are. How far along are we now? My information shows that Islamic State does not sit on a football field with a big black flag and says: here we are, throw a bomb on it. No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, So the bombs fall on the Sunni people of Iraq. And that can at least be a reason to drive people in the wrong direction. We agree on most of the steps to be taken, but how does the Minister assess their effectiveness?
