ParlaMint-NL_2015-05-19-eerstekamer-9.u1	I have already welcomed the Minister for Economic Affairs.
ParlaMint-NL_2015-05-19-eerstekamer-9.u2	Mr. Chairman. I can also express this text on behalf of the Group of the Greens/European Free Alliance, which, of course, I am delighted to do. Today we are talking about the legislative proposal 34024 and the General Measure of Governance based on this proposal. The reason for this is that universal postal services have a shrinking effect, with fewer cards and letters being sent by private individuals and small business users. The starting point of the bill and the AMvB is to modernise the UPD (universal postal services), i.e. to reduce the number of mailboxes and post offices. The fact that a General Management Measure can be used to define precise requirements for these characteristics is also a necessary flexibilisation. With the AMvB, future changes can be dealt with more quickly. I'd like to summarize it as follows. As there is less mail, PostNL cannot make sufficient profit on the UPD's task. The Minister therefore proposes to halve the service in the form of the number of mailboxes and post offices. The duration of the agreement, currently set at 95%, is also part of the AMvB and can be reduced more quickly in the long term than if it continues to be incorporated into the law. It's not the first reduction in the UPD service. In recent years, the number of delivery days has been reduced on Mondays is no longer a fixed delivery day and the price of a stamp has been significantly increased. Any reduction in the service "UPD quality" is driven by a low efficiency in recent years. This raises a number of fundamental questions for the PvdA and the GroenLinks Groups. Universal postal services are, by their very nature, monopolistic. There is only one company that carries out this task and so there are specific elements to pay attention to. With a monopolist you want to check whether a fair, efficient price is being calculated. That's what the ACM does. It looks at whether the costs and revenues are properly allocated in the implementation of the UPD. This is particularly important because the company that carries out the UPD is carrying out more tasks. There should be no cross-subsidisation between the UPD and the other services, for example the parcel mail, the commercial branch of PostNL. The ACM indicated in 2003 that it is not plausible that the UPD itself exceeds a maximum of 10% return. It therefore remains within the range laid down by law. However, the question arises as to whether profits are currently being made in the UPD as such, whether those profits are below 10% and, if so, whether the Minister can indicate what they are. I would also like to ask the Minister whether the proposed halving of mailboxes and postal services is likely to lead to an increase in profits and, if so, to what level. I mean the profits specifically on the task of the UPD. I am asking these questions because this is not clear to Parliament in the light of total costs and revenues. That insight has not been given, nor is it confidential. The financial impact on the UPD of, for example, the deletion of the compulsory delivery of court letters, to which we asked in the written preparation, was also not shared. In other words, the reason for the proposals is that the UPD's business case does not guarantee a sufficient return, but we cannot take note of what that business case looks like and what the costs and revenues are. Can the Minister explain why he believes that such a lack of transparency is in line with a monopoly task such as universal postal services, which we consider to be an important public task, not only in its nature, but also in our opinion? The proposal is therefore based on the assumption that the proposed interventions will improve efficiency. We ask the Minister whether this is based on the effect of halving mailboxes and post offices on the operating result or on the cost of collecting mail. That's quite a difference. It is also important to check whether the conditions applied by the monopolist lead to the best conditions for consumers. In this case, it is not only a fair price, but also a good service that fits in with a public service. I would like to ask the Minister if the UPD service is also being tested by the ACM, because if I understand correctly, an annual report on the implementation of the UPD will be made. Is this gonna last? Is that the report on the service? We consider it very likely that less mail will be sent if there are fewer mailboxes. If, after halving the number of mailboxes, the amount of UPD mail offered is reduced again, could it be investigated whether it might be because people have to walk on to post a ticket? Do we not actually manage to reduce the number of mailboxes even further by halving them? All these questions are mainly related to the present AMvB and not so much to the question of whether the anchoring of the number of mailboxes and post offices at AMvB should or could be arranged. The AMvB is made possible by the amended text in the sixth to eighth paragraphs of Article 16 of the bill. The amended text of the present legislative proposal introduces terms on which we have asked questions, such as 'a good quality postal service' and 'a network of mailboxes and service points that meets the needs of users'. These are enshrined in Article 16 as the characteristic to which the numbers must comply. The preliminary study asked for the definitions of these terms. The answers to questions from the PvdA Group and the Christian Union Group suggest that the material standard as established in the AMvB is the interpretation of those terms. Do we understand that the Minister is proposing to make these terms flexible? If the AMvB will be modified, there are apparently other interpretations of the standards "good quality." Did we understand that correctly? Would he not consider the explicability of standards to be very appropriate for the transparent implementation of universal postal services? This bill deletes Articles 30 and 31. These articles make it possible for other companies to participate in universal postal services. These are companies that take care of the business market, the magazines and the packages: both by PostNL and Sandd. We have asked questions about this and the Minister states in the reply that these articles are no longer necessary and no longer desirable. They are no longer needed because of the service reduction, as this will create a sufficiently profitable UPD. The articles are no longer desirable, as this aspect leads to uncertainty among other postal companies that do not implement the UPD. The latter, the undesirableness for other postal companies, can be imagined, especially now that the cost structure and details of the financing of the UPD are secret. Then you just don't know what to count on. The lack of necessity at the moment is, in our view, a less strong argument. It is precisely when the reasons for the proposals are found in a declining market that thinking about future ways to cope with a further decline is not an unnecessary luxury. How does the Minister view the conclusion that it is not necessary to allow others to pay in the future? Does he think that the postal market will remain at its current level for the next ten years? During the examination of this bill in the House of Representatives, it has already been asked whether the introduction of two types of stamps would be an option in the long term. In that case, there will be a kind of first-class and second-class post. That seems to us to be further reducing the service or service to consumers. We notice that this seems to be the only possible option in the conversation; if there is less supply, then consumers should be given less service. We can also imagine that the re-introducing of Articles 30 and 31 is an option or the sending of court letters by UPD or other things. We believe that the Minister is able to look at this issue much more creatively. What views does the Minister have on measures still to be implemented if the postal market continues to shrink? People may also wonder if it is very bad if the letter service, the UPD, plays an increasingly smaller role in the mutual movement. You can also congratulate each other on Facebook, right? If you really want to trust the letter secret, don't you mind making a little more effort to get to a mailbox or post office? Well, then, price doesn't matter, does it? The Labour Party and GroenLinks think along other lines. For us, it is important that an accessible network of mailboxes and post offices remain in place, that it remains affordable to send a ticket and that you can trust that this will then be delivered on time. This should apply not only in urban areas, but also in sparsely populated areas. In our view, if the postal market were to continue to decline, it would not be reasonable to reduce the level again. I have just indicated that in the House of Representatives it has been suggested to introduce two service levels: a first class and second class post, a snail mail and a regular mail. Isn't that going to lower service for people with less money? The Minister writes that an investigation is expected at the end of this year. We are very pleased with the commitment in the reply that the investigation will also be sent to the Upper Chamber. We wonder if the price elasticity of demand is included in the price of stamps. In other words, will more mail items be sent if it is cheaper? Wouldn't introducing two stamp prices be very counterproductive? In our opinion, a further reduction in the UPD may first raise the question of whether there could be a more profitable business case, for example through a lower stamp price, more mailboxes or otherwise charging costs. If that is not possible, it may also be possible to consider a lower return. This can certainly be considered, now that the UPD company has doubled its operating profit or profit in 2014 from 147 million to 293 million. However, if there is a long-term loss on the UPD, we are also thinking of an option such as the re-introducing of Articles 30 and 31. Before considering doing so, it is really important for the States General to understand the business case or the costs and revenues of the UPD. Then it may be considered whether a further deterioration of the service is justified. We hope that the Minister will be able to give us an insight into this.
ParlaMint-NL_2015-05-19-eerstekamer-9.u3	Mr. Chairman. Fourteen days after my arrival in this Chamber in 2007 I treated the emotions rising... I'm tripping over my first sentence.
ParlaMint-NL_2015-05-19-eerstekamer-9.u4	It's gonna be okay.
ParlaMint-NL_2015-05-19-eerstekamer-9.u5	In 2007 I dealt with the emotions of increasing division of energy networks. Now, fourteen days before my resignation, it is quietly about what I call the postal network for short. I can represent the core of the present bill by paraphrasing a song by cabaret Sonneveld, blissful remembrance: "And along my father's garden path, I saw the postman go." That "go" has two meanings. I recommend this rule because we all know that the postal service of the past continues to languish through electronic mail as far as letters are concerned. But there is a generation that I believe the legislator should serve for at least another twenty years as she used to. This concerns the infrastructure network of the physical mail and the consideration of the interests of vulnerable users of the postal service and the cost-efficiency of the latter. The significant reduction in the number of post-release points or issuing letter boxes in particular, I refer to Article 16 (7), and the AMvB is rapidly bringing the basic infrastructure to a slippery slope. That's just been referred to. I propose to the Minister, considering the interests, to maintain the number of delivery letter boxes, but in two variants. Letters in red buses, for example, are quickly emptied and delivered, and for letters in blue buses, this is for example once a week. That maintains the basis of this part of the network. There may be two stamp prices attached to that, but that is not what I am concerned about. I'm talking about that part of the basic network. I can also imagine that bookshops will have a partial network function for the sale of stamps and the issue of postal items. I am concerned about the maintenance of that basic network. The government is quite rightly responsible for the infrastructure in this country. The particular feature of the current design of the postal network is that it has been allocated through the universal postal service to one commercial quasi-monopolist and that other companies cannot or cannot operate via this network. This makes the design of the postal network different from that of other infrastructure networks, such as roads, rail, water and energy. I ask the Minister to fundamentally reconsider the design of the postal network and to have a modest study carried out prior to that by creative minds at his ministry and a university; creative, because this requires thinking outside the current framework. I also ask him to inform the Chamber of that study and his review. I await the Minister's answers with interest.
ParlaMint-NL_2015-05-19-eerstekamer-9.u6	Thank you very much, Mr Reuten. We enjoyed your singing skills.
ParlaMint-NL_2015-05-19-eerstekamer-9.u7	During my previous contribution, it was difficult to put a staff underneath it, but there can be a staff underneath it.
ParlaMint-NL_2015-05-19-eerstekamer-9.u8	I give the floor to Mr Terpstra. Let's see what he can produce for vocal lyrics.
ParlaMint-NL_2015-05-19-eerstekamer-9.u9	Mr. Chairman. I liked to rap it, but I left my associated rap machine at home. For Mr Reuten, I would like to express my deep appreciation. During the debate on land-based dairy farming, he imitated a cow in a cheerful mood and in a sad mood, while he was a kind of Wim Sonneveld II today, so to speak. There's progress in his quality, so I expect a lot from him. I'm here this afternoon for about seven reasons. For the sake of time, of course, I do not mention it. We deal with the law and the associated General Measure of Governance with regard to the modernisation and flexibilisation of universal postal services. Once again, and quite frankly, I have noticed that the Minister has not answered the only question we have put in the report. I would like to offer the Minister my sincere apologies on behalf of my entire group, and, of course, on my own behalf, for the fact that I have not discovered this before. However, given the importance of this question, I would like to raise it again, albeit not before I make some general comments on the post. In particular, due to technical developments, fewer letters and cards are being sent. As a result, sales have decreased, many postmen have been made redundant and the legal position of postmen has deteriorated. The Gasthuizen/Mei Li Vos amendment adopted tries to do something about this. Former Minister Donner of SZW described the problem very well in his time, in my opinion. He reported: I've received a lot of e-mails from postmen protesting their dismissal. Realising the UPD is becoming more difficult in an increasingly smaller market. The bill modernises and makes the requirements in the UPD more flexible. The latter is done by regulating part of the requirements no longer by law, but by General Measure of Management. We can fully agree with that. Indeed, we find the relationship that this minister lays between the law and the AMvB much more purer and clearer than, for example, circus animals. For years I enjoyed a mailbox next to my house. I know from my own experience that especially in bad weather the well-being of the resident is affected very positively. Of course, that is no reason for the postal service to maintain all buses. In my opinion, there are fewer buses coming because there is less mail. Questions from the Christian Union in the report wrongly give the impression that there is less mail because there are fewer mailboxes. That's some kind of reversal of cause and effect. In the contribution of the Labour Party, I also saw a certain discussion about whether the number of buses as such was decisive for the postal service. The Minister has undertaken to study the feasibility of the VVD's Love motion about a special stamp for people with a smaller scholarship. Mail with such a seal may be delivered much slower. Although almost all Members of Parliament voted in favour of this motion, including my fellow party members, my group in the First Chamber does not think that this is a major contribution to the modernisation, flexibility and efficiency of the postal service. In my view, the debates show that many proposals from the House of Representatives lead to an increase in costs rather than a reduction in costs. This proposal could even be dangerous. The cheap stamp can reduce the brake on cost increases. We await the results of the study patiently. However, does the Minister already have the sense and time to give his opinion on my reasoning? I like to hear it. In the report we asked the Minister to comment on the statement by the largest greeting card supplier Hallmark that the definition of the cost structure in the UPD is not very clear and transparent. The same point was raised in Sandd's letter of 9 April 2015. According to this letter, the stamp has become 50% more expensive since 2011, while the price in the business market has remained the same. The UPD shall be regularly evaluated. That's what the bill says. My request to the Minister is whether he would like to pay particular attention in the coming period to the clarity and efficiency of the UPD, particularly in relation to price developments in the business market. In view of the fact that this is one of the last times that I have been allowed to appear here in plenary, I would like to thank the Minister at the end of my contribution for the pleasant cooperation over the years. We met for the first time in 1994, so I could also say that I thank him for working together over the centuries. I wish the Minister every success in the future, including, of course, the evaluation of the SPD. I await the Minister's answer to our only question with great interest and expectation.
ParlaMint-NL_2015-05-19-eerstekamer-9.u10	Mr. Chairman. I note that it is a very good time in the First Chamber, because farewell members go out of the house singing or filled with eternal thanks. However, let us decide on the subject. At first glance, the proposed amendment to the Postal Act 2009 seems to be a logical step. Less mail is offered, because there is substitution by electronic mail. In particular, this reduces the cost of the mail. It is therefore necessary to cut costs. We have a limited number of buttons for this: the rate, the number of deliveries, the number of collection points, mailboxes, locations and also the level of pay of the deliveryers, although something has been done about the latter. Continuing along this path with only the possibility of "keying" these buttons, these known parameters, inevitably means further dismantling of the public infrastructure created for mail delivery. It also means a further deterioration of this form of public service. One of the reflections to which this House is called is that we place legislative proposals in a broader context. This should bring us to the understanding that the picture I have just outlined, which also emerges from many analyses, is actually one-sided and economical. In the past, we have been looking at the development of postal services for too long for our own damage. When the PTT was independent and subsequently privatised, all attention was paid to the telephony sector. That's what the technological innovations were for. The postal service, including the network, was indeed privatised. Indeed, we have not done that part of privatising the network in the energy sector, electricity or pipes, and ultimately not in the rail sector. The liberalisation of the European postal market might have made the need for us to privatise the mail a virtue, but liberalisation did not succeed. There are still domestic markets on which old postal companies play a central role, a monopoly role. What exactly is wrong with that has never really become clear. Liberalisation as an alternative has led to increased tariffs and a reduction in quality, despite initial promises on the contrary. The logic to which we are apparently still bound is that of a privatised company operating in a market where the return is under pressure. That is why we feel obliged to adapt the universal postal service, the expression of the public significance of our postal system, i.e. to bring it down. This flexibilisation involves the release of a legal framework and the rapid response to changing situations at the General Measure of Governance. There is a drastic reduction in the number of mailboxes and service points in the future. We are talking about a half cut, as has already been indicated. In recent years there has been a broad rethink of the privatisation policy of the 1980s and 1990s. Following, among other things, the WRR, renewed attention has been paid to the safeguarding of public interests. However, this bill still breathes the old atmosphere. By removing Articles 30 and 31 from the Postal Act, the possibility of the public authorities guaranteeing public infrastructure, the network of mailboxes is blocked. The SP spokesperson just suggested that the government should guarantee the network of mailboxes. On the other hand, the position of other providers is strengthened. There's not many of them. It's mostly Sandd. This is therefore explicitly intended for further liberalisation. The fact that this will once again entail a deterioration in the quality of service and will put pressure on the quality of delivery is the social price which apparently has to be paid. Is it not time to learn lessons from the past and to see that we have put postal services in this form in the Netherlands through the liberalisation policy that has been going on in recent years, perhaps even for several decades? The public interest has once again been reduced to some technical requirements in the recitals surrounding this bill, for instance accessibility and the duration of transfers, but there is no real commitment to the public significance of a postal company.
ParlaMint-NL_2015-05-19-eerstekamer-9.u11	I think it is logical that the chairman of the Kuiper Committee should raise the problem of public services whether or not they are privatised. I also recognize many of the words in the report. Will the citizen post more letters when he knows that PostNL is a state-owned company?
