ParlaMint-NL_2015-03-11-tweedekamer-6.u1	I would like to welcome the Foreign Minister. I call Mr Taverne, on behalf of the VVD.
ParlaMint-NL_2015-03-11-tweedekamer-6.u2	Mr. Chairman. The reason we are standing here is that the VVD Group felt it important to speak today with the Foreign Minister about the proposed amendment to the European Convention for the Protection of Human Rights. In itself this may not be a world-shattering change, but nevertheless it is a change that is important enough to have a brief debate on it in the Chamber. What is in store is a change in the preamble. The VVD has traditionally been a party with a high regard for the rule of law and the rule of law and is internationalist in nature. The VVD Group considers international human rights to be of the utmost importance, including the rights enshrined in the ECHR. The VVD Group also believes that the rights in this Treaty deserve proper protection, including against erosion. For this reason, the VVD Group has been following developments on international human rights with great interest in recent years, as well as its application by the European Court for the Protection of Human Rights in Strasbourg. It should be noted that in recent years there has been an increasing degree of broad and broader interpretation of the rights enshrined in the ECHR. This is not a remarkable development in itself, but it has led to a debate in a number of countries on the importance, value of human rights and their interpretation by the European Court of Justice. This is particularly important because it may undermine the support for these important rights. In the United Kingdom, this debate is very intense, even in such a way that, two years ago, the English Government, through the English Minister for the Interior, Mrs May, indicated that, if the Court continued to make certain judgments, such as those on the right to vote for detainees, the support for the ECHR in the United Kingdom would be put under pressure. Later on, Prime Minister Cameron repeated this by saying that, if the European Court were to continue on this basis, the United Kingdom might have to consider whether it wanted to be a party to the European Treaty any longer. That is quite a lot, especially since this criticism does not come from the first. This is the oldest democracy we know, at least in the more modern era. If the criticism sounds in this way, I think that is an important reason for thinking about how we can possibly do something about it. Today we are discussing the approval law which accords with the amendment of the preamble. That preamble will include the doctrine of margin of appreciation introduced by the Court itself about 40 years ago. On that basis, the Court may take into account the circumstances in the country against which it delivers a ruling. The VVD considers it very important that this be included in the preamble because that margin of appreciation can contribute to the careful and precise consideration of national circumstances. In this way, a good verdict can follow, which is sufficiently supported by the country against which the ruling was given. On the other hand, the practice of so-called functioning erga omnes, which in short means that a ruling by the Court against England also works in practice in other countries. The Netherlands is an important example of this and wants to lead the way. If a ruling has been made against one of the Member States of the ECHR, the Netherlands shall consider whether that ruling also applies to the Netherlands in any way and whether it may already be able to do so. That speaks for the Netherlands. This shows once again how important our country and our government consider European human rights and the judgments of the Court of Justice to be. However, there is also a contradiction with what is now being proposed, at least with what is now being codified. On the one hand, the margin of appreciation to be codified wishes to emphasise once again that the Court has the freedom and scope to take account of national circumstances. On the other hand, the practice in the Netherlands, in addition to that in a number of other countries, prevents the Dutch circumstances from being taken into account if, through the "erga omnes" effect, we make a ruling by the Court against another Member State more or less applicable to our own country. Firstly, the Minister's VVD Group would like to know how he appreciates and assesses this possible contradiction, but also how the doctrine of margin of appreciation can be brought into line with the "erga omnes" effect and vice versa. Depending on the Minister's response, the VVD Group is looking forward to what could possibly be done in the Council of Europe. Finally, there is something else in the proposal before us, namely the increase in the retirement age of judges of the Court from 70 to 74 years. Now the VVD is always very much in favour of long and hard work. However, after I have read the note on the report carefully, my group has difficulty in fully understanding what exactly it is intended to do. As we understand it, this increase would be necessary because a judge appointed at the age of 65 cannot serve to the full the nine-year term of a judge of the Court. I can imagine that a practical solution would then be to appoint someone a little earlier, rather than to make room on the other side. I would like to hear a more detailed explanation from the Minister.
ParlaMint-NL_2015-03-11-tweedekamer-6.u3	Do I hear the VVD now propose that the Strasbourg rulings should no longer be binding on all 47 Member States, think of the Salduz judgment, but only make Member States binding on Member States and thus go back a few decades in the way the ECHR was designed?
ParlaMint-NL_2015-03-11-tweedekamer-6.u4	That is not what Mr Omtzig is proposing to me, but I find Mr Omtzig's suggestion and idea very interesting in itself.
ParlaMint-NL_2015-03-11-tweedekamer-6.u5	It was a question!
ParlaMint-NL_2015-03-11-tweedekamer-6.u6	Not from the point of view of wanting to go back in time, quite the contrary, but from the thought that you, when you... I repeat that there is no denying that in recent years there has been increasing criticism of the Court and of judgments of the Court. Nor can it be denied that it is serious, as I have just said, that the potential support for the judgments of the Court and, consequently, the support for the rights enshrined in the ECHR are under pressure. Hence my question to the Minister. It is difficult to precisely fill in the margin of appreciation when you then declare a ruling applicable to all Member States. At the very least, the two of them have a hard time getting together.
ParlaMint-NL_2015-03-11-tweedekamer-6.u7	I notice there's another test balloon being launched. That's not gonna fly, because that's gonna fill up the secretary's fine ass. If we had a Minister of Justice, he'd be in on it. After four years of doubt, the VVD simply accepts the direct effect of the ECHR with this input. That is, in itself, some gain.
ParlaMint-NL_2015-03-11-tweedekamer-6.u8	The appreciation of what I have just said, of course, is a matter for Mr Omtzigt. The VVD has never called into question the direct effect of statements, but considers the importance of European and international human rights to be so great that it is our expensive duty to guard against their erosion and thus to undermine their support.
ParlaMint-NL_2015-03-11-tweedekamer-6.u9	The SP also hopes that the Minister will not go along with Mr Taverne's plea, but I have a question on another point. We are concerned, among other things, about the workload of the Court and the backlogs in this Chamber, which is also happening in the Upper Chamber and in many other places. Protocol 14 tried to do something about it. That's a limited success. Now we have protocol 15, which, in addition to a number of other issues, also deals with the workload. Mr Taverne has tabled an own-initiative proposal in this Chamber, which we are going to discuss. In doing so, he wants to make it impossible for the Dutch court to review laws against international treaties, such as the ECHR. Can Mr Taverne assess the impact of this on the workload at the European Court of Human Rights?
ParlaMint-NL_2015-03-11-tweedekamer-6.u10	Now you ask me for a rather technical assessment. So I don't want to risk it entirely. I can imagine that this workload would increase, but it should also be noted that the workload has already fallen enormously. At least, a very large part of the caseload has already been removed. In order to use that ugly Dutch word, therefore, it seems possible to make an impact on effectiveness. However, I do not think that this is the most important consideration of the proposal I have made to which Mr Van Nispen refers. I would therefore not like to allow such a practical comment to stand in the way of the more fundamental point I wish to make with the legislative proposal.
ParlaMint-NL_2015-03-11-tweedekamer-6.u11	The SP can't agree with that bill at all. We are going to talk about this in detail, but this is interesting in the context of this debate. If Mr Taverne insists on his proposal that the Dutch judge should no longer judge the ECHR, among other things, you will be through your national remedies in the Netherlands very quickly. They'll be exhausted. Then people may go directly to the European Court of Human Rights, in Strasbourg. This requirement of admissibility will no longer apply, because there will be no appeal against it in the Netherlands. I will also ask the Minister this question later, but I would nevertheless like to suggest to Mr Taverne that this be taken into account.
ParlaMint-NL_2015-03-11-tweedekamer-6.u12	I understand Mr Van Nispen's point and he raises an important point in itself, but I repeat that I do not think that this should hinder the answer to the more fundamental question about the passage of international law. However, I too look forward with interest to the answer to the question which Mr Van Nispen is apparently going to put to the Minister.
ParlaMint-NL_2015-03-11-tweedekamer-6.u13	I have listened with interest to this somewhat contemplative college of Mr Taverne. There were many questions and indeed reflections, but this discussion began about four years ago, sparked by the predecessor of Mr Taverne, Mr Dijkhoff, who said at the time that a bunch of politicians were in toga in Strasbourg, that something had to be done about it, that we had to set frameworks, that this had to be contained and that, in my opinion, was the claim that the Court should be restricted. That didn't happen. It remains with a reference to something that has existed for 40 years, that margin of appreciation; that's it. I miss the VVD's conclusion about this whole process. Maybe we get to hear it in the second term, but does this mean that the VVD is now simply accepting that all the kettle music we heard four years ago has led to nothing? Or is there going to be a hard conclusion?
ParlaMint-NL_2015-03-11-tweedekamer-6.u14	The debate has certainly led to something, including the amendment of the preamble that we are discussing today. That is not without importance, because it has now been established that this margin is there. We knew that. This is particularly important because the VVD certainly hopes that this margin will be filled in more precisely, which is also important in view of the importance, I believe, shared by a large number of parties in this House, of the rights in the ECHR. I say once again that this is ultimately in the interests of human rights protection based on the ECHR. So I would now like to go with Mr Servaes if he says that it did not come out entirely. No, but Mr Servaes also knows that you'll never get what you want. The VVD Group believes that what is happening now is important. My group also believes, however, that we should once again highlight the need for this margin of appreciation to be used properly. There is already a development in this direction, but it can always be better.
ParlaMint-NL_2015-03-11-tweedekamer-6.u15	I'm still missing the conclusion, but I think I can hear him. In my opinion, Mr Taverne says: we have tried and we have not succeeded. The cabinet says very clearly: there is no mention of enlargement in any way. So Mr Taverne is satisfied with the explanation given by the cabinet?
