ParlaMint-NL_2015-10-08-tweedekamer-7.u1	I would like to welcome the Minister. He will now respond in the first term.
ParlaMint-NL_2015-10-08-tweedekamer-7.u2	Madam President. I would like to thank the Chamber for the extremely interesting first term. I imagine that my answer will be as follows. I will make a very brief introduction and then discuss eight points. Then I will answer the remaining questions per speaker in the order of the sitting. I will mention the eight topics. 1. The constellation, so everything that has to do with the Commonwealth et cetera and the cohesion in the Kingdom. 2. The interest that the various countries have to pay for their loans. Maybe that's a smaller subject. 3. The Council of State's information on administrative relations and, in particular, on the indications given. 4. The dispute settlement. 5. The current political situation in Saint Martin. 6. The Isla refinery on Curaçao. 7. The situation regarding refugees from Venezuela. 8. Caribbean Netherlands. Then I will look at what remains to be done. I'll give you a very brief introduction first. Mr Segers compared the relationship in the Kingdom with family relations. That will probably be seen as a metaphor for most of us, but it is perhaps nice to realize that this is actually the case for many people in the Caribbean Netherlands, but also in the other countries of the Kingdom. They have many relatives here, such as children, parents, cousins and cousins. Thus, one sees much more relationships than just business relations between countries and experiences it as part of the common home for that reason. Even if you see it as a metaphor, it goes well. You didn't choose each other, but you're gonna do it together. There is always some room to determine how close you are to each other or how close you are to each other. I personally believe that the six islands without the strong embedding in the Kingdom would mean a much worse life for their inhabitants. This is first and foremost the case in the area of the rule of law. Try to keep an independent judicial device going in a country with 45,000 inhabitants! This is also the case in the field of business. After all, it is useful and valuable for the establishment climate if one is part of a reliable, large and economically productive kingdom. The financial markets are, of course, price it. I also think that there are very practical economies of scale, such as the consular tasks of the embassies, defence and so on. The constellation will not be exactly the same as it is now in 25 years' time, but I think that for a set of reasons the future of the countries and the three other islands in the Kingdom is one of commonality with the Netherlands. That brings me to the first point I want to say a little bit more about: the constellation. On paper, it is very simple: four autonomous and equivalent countries which together carry out a number of tasks in a limited number of areas. As has already been discussed extensively in the first period, there is an asymmetry that, if you break it apart properly, falls apart into three asymmetries. The first is size. 98% of the inhabitants of the Kingdom live in the European Netherlands. This means that when you assume the normal principles of more or less proportional representation, organs soon consist of a lot of people from the European part of the Netherlands. I took it back just for a joke. One could say that in the National Council of Ministers there is a twenty-fivefold over-representation of ministers from some other countries. But that is of course no different. Such a ministerial council has a certain size. This is due to the fact that there is a large asymmetry in population size. The second asymmetry concerns the use of money and manpower and the taking of risks, including personal when it comes to violent situations. Wherever it says "the Kingdom" you can read: the Netherlands. If there is an addition to the police force at Sint-Maarten, it is for the most part and in fact from the Netherlands. The third asymmetry is that the four countries are in a constellation that can only be changed by consensus. The exception is that former colonies can always choose a greater distance from such a context when that is really the persistent desire of the population. This does not apply to the Netherlands. This situation is, of course, the result of history and it is also enshrined in the Charter of the United Nations. I say to Mr Fritsma that this does not mean that the Dutch people have nothing to say about what we are doing in this connection. For example, budget support for the other countries in the Kingdom has been reduced to zero in recent years. Moreover, we have every right to say to the other countries: we are doing something together, but we are also sticking to each other's laws and regulations that we have established together. In my opinion, there has been a tendency in the past to look away in the vein of 'that's the way things are'. We do not need to include ourselves in that. In recent years, we have not tried to do so from the Dutch Government either. We do it together, but we do it within the framework we have established.
ParlaMint-NL_2015-10-08-tweedekamer-7.u3	This is exactly the big pain point for the PVV: the Dutch people must not unilaterally break the current ties with the islands. The Minister acknowledges this and points out the asymmetry, but he cannot accept it. Surely the Minister should not ignore the democratic right of 17 million Dutch people, who are now simply excluded from this very important issue?
ParlaMint-NL_2015-10-08-tweedekamer-7.u4	I do not just think it should be because it has to be from the United Nations. I also endorse the underlying reasoning of the United Nations. The islands have not chosen to establish a political link with this part of Europe. That's a product of history. None of us in this Chamber is personally responsible for this, but it is the way it has happened. That brings with it responsibilities. As long as the countries appreciate it and comply with the rules in force within the Kingdom, I do think it is justified that the Netherlands should contribute to this. Once again, this does not have to be that we finance the budgets of other countries. We stopped doing that a few years ago.
ParlaMint-NL_2015-10-08-tweedekamer-7.u5	The minister says he doesn't know what the ties look like in 25 years' time, but at the same time he says he doesn't want to let go of the UN clause and the relationship. In other words, very little is happening. If you're talking about family ties, then there's a forced marriage. That's never supposed to happen, is it? A forced marriage can never be healthy, can it? Surely one of the marriage partners needs minimal control to go through with that marriage or not? That is the point of principle here.
ParlaMint-NL_2015-10-08-tweedekamer-7.u6	I was thinking more of other family relationships, like brother-sister relationships, which have never been based on a choice. Anyway, let's not go too far with that comparison. Mr Fritsma ignores the fact that not only the Netherlands can have views about the constellation, but also the other countries. In a number of other countries of the Kingdom, political parties regularly turn their heads saying: we want to become independent. So far, that has not been the dominant wish. I think that is also sensible, but I do not rule out the fact that at some point people say: everything is going our own way, for example because the interference from The Hague is not desirable. That's what happened to Suriname. I hope this doesn't happen, but it can happen. There is currently financial supervision in the other countries according to the National Financial Supervision Act. I imagine that at some point the finances will be so organized that you won't need it anymore. In this way, the involvement on each other's finances decreases. I think that would be a desirable trend. In this context, I would like to comment briefly on the commonest construction that Mr Van Raak and Mr Bosman have advocated before. It looks a lot like the construction we now have and in which we are also working together. The difference is that Article 43 will no longer exist and that each of the countries will then have the right to say, perhaps at a period of notice, that we will not interfere with this anymore. That can only be achieved if the other countries want it. I don't feel like that's the case. That is the situation at the moment. I have two further comments to make on the constitutional constellation. One comment is topical, relates to Bonaire and is part of the discussion about whether or not to distance. The Chamber knows there will be a referendum in November. Mr Van Raak rightly corrects me, outside the microphone: it is in December; I believe him immediately. In that referendum, the question is, in my own words, whether the way in which Bonaire's role in the Netherlands is to be fulfilled is desirable. We need to see what comes out of that. It could be that the answer is no. In that case, it appears that the intention is to organise a follow-up referendum on different options. That should leave the Dutch government to the island for a while. A referendum can be organised. I do like to say that of course an island always has the space to choose a greater distance within the constellation we have, but not all mixing lubrications are possible. In the current situation, Bonaire is a public body, a municipality of the Netherlands. This means that if you deduct the tax revenue from it, about €10,000 per head of the population will be invested in infrastructure, education and care. This is because departments here in the Netherlands feel responsible and because ministers are also politically responsible for what is happening there. That has its drawbacks; I call it interference from The Hague. However, it also has advantages, namely that things are happening, that expertise and resources are coming to them. I can see it all for now. We're gonna have to look into it. It is on the island, but not all combinations of all alternatives are possible. Finally, on the Caribbean Netherlands, Mrs Hachchi and Mr Segers asked whether the cabinet response to the evaluation, which will be presented by Mrs Spies on Monday, could not come six months earlier. I recorded that with my people. We think it should be possible and that we can come up with that response before the summer of 2016. If there are still financial implications, then we can include them in the Spring paper. Then that's a good thing.
ParlaMint-NL_2015-10-08-tweedekamer-7.u7	I'm happy with the latter, because I've also heard stories that it might take another year. I am therefore pleased that this has been brought forward and that we can discuss this in good time. But I also have a question about that commonwealth option. Mr Van Raak has also protected himself with this. He mentioned this to Mr Fritsma as an option for which he, together with the VVD Group, was committed. Is that a serious option for the Minister? Is the commonwealth construction subject of conversation, yes or no?
ParlaMint-NL_2015-10-08-tweedekamer-7.u8	The cabinet has taken note of this. I have noted that the desire to apply for it does not exist in the other countries. Since we also agree that such a thing should be introduced by consensus, it is not discussed at present.
ParlaMint-NL_2015-10-08-tweedekamer-7.u9	Should we simply conclude that we are putting an end to this, unless, on the other hand, the question is to talk about the commonwealth?
ParlaMint-NL_2015-10-08-tweedekamer-7.u10	Yes, but I would point out that, of course, this is not theoretical, because there are indeed large political parties who say at least before the elections that they want to follow. You never know how that goes at some point.
ParlaMint-NL_2015-10-08-tweedekamer-7.u11	I did not quite understand the Minister's assessment of 10-10-10. I asked for six months. If we want to discuss this with the Minister before the summer, I would like to propose April. Then we're talking about six months. I would like to ask a question in response to the Minister's words about how we deal with each other within the Kingdom. I immediately included his words: we must do it together within the Kingdom, not look away and keep each other sharp within the frameworks. I can only agree with that. In practice, however, I take it as follows: we are not doing anything with the requests for capacity enhancement, for example in the area of security and justice, and then we are acting after that whole period of inaction. I'd like to hear a response from the Minister.
