ParlaMint-NL_2015-02-10-eerstekamer-6.u1	I have already welcomed the Minister for Economic Affairs. I call Mrs Vos.
ParlaMint-NL_2015-02-10-eerstekamer-6.u2	Mr. Chairman. It is nice to have another debate with Minister Kamp today on the important subject of energy and everything that has to do with it. We are discussing the EU Energy Efficiency Directive. Energy saving is often the most effective way to reduce greenhouse gas emissions and save raw materials, while saving costs. So there is a huge win-win-win situation. And there is still a great deal to gain from energy saving. You can take quite a few measures that you earn back very quickly. It is called "low-hanging fruit" but also those low-hanging fruits are often not picked yet. It is therefore important that public authorities play an active role in this area, with incentives, financial roots and sticks, obligations, enforcement and information. With the European Energy Efficiency Directive, EU Member States have jointly agreed on energy savings, to which each country will have to contribute. This is an obligation which cannot be avoided, which creates clarity, inspires action and creates a level playing field. In the beginning, however, the Dutch cabinet was not at all enthusiastic about this idea of a common binding agreement in the field of energy saving. It has tried to get this directive off the table, by the way inspired by the House of Representatives. When it turned out that this resistance did not stand a chance, the Netherlands went along, and it worked for greater freedom of choice in fulfilling the obligations of the Directive. The legislation implementing this directive is now before us. The Minister states, and this is the case, that the energy agreement is the most important weapon in the implementation of the directive. The Cabinet indicates that an average of 1.5% of energy savings per year is sufficient to meet the objectives of the Directive. According to the cabinet, this amounts to 100 PJ of extra energy savings, the agreement of the energy agreement. The Minister has full confidence in successful implementation and achievement of the goals. He therefore did not consider it necessary to implement the Van Ojik motion of September 2014, adopted in the House of Representatives, which asked for additional energy saving measures. He said that he is already doing enough and that it is already happening with the energy agreement, despite the wake-up call in the 2014 National Energy Exploratory, which shows that, on the basis of the concrete measures and plans, only 60% of the energy saving target will be achieved by 2020. Where does the Minister base his optimism and until when does he give himself time to believe in a happy ending? When does the moment come when he's gonna intervene, if that's what it proves necessary? This year there will be another National Energy Exploratory. It's coming in September. If this energy exploration again warns that the 2020 target is not going to be met, and that more concrete measures are needed, will the Minister come up with an additional package? I would like a commitment from the Minister on this point. We have a number of critical questions about the implementation of the directive, first of all about energy saving in industry and in industry. The ordinary companies have to comply with the Environmental Management Act, which requires a company to take any saving measure that pays back within five years. Of course, that is a strong point in the law, but enforcement is another matter and it is grossly disappointing. I know from my own experience, when I was alderman in Amsterdam, how complicated it is. When the college announced that it was really going to maintain, local and regional business was on its back feet. We met directly before the courts because it had to be proved that there were indeed many more measures to be taken that could be recovered within five years. In short, it was quite a challenge in my period to achieve enforcement. So it is very good that the cabinet now also says through the energy agreement: we are going to make a list of recognised measures that a company can take. This will at least reduce that type of legal struggle and bureaucracy. That's an important plus. There will also be a verification of energy savings, whereby an inspector will examine, on the basis of the list of approved measures, whether a company is doing everything it can. Pilots will take place this year and an evaluation will follow. My question to the Minister is: is he prepared to make the energy saving verification system mandatory by an independent inspector? Is he also prepared to step up the pace of adoption of the approved measures? The larger companies are covered by the MEE Covenant. It is the companies that are covered by the ETS, the emissions trading system. These companies must draw up a plan for energy saving in which they indicate what they are going to do about it. If they do that properly, they get a tax advantage. Until recently, this advantage was even paid out before it was clear whether they were actually doing what was promised. Fortunately, the cabinet is now putting an end to this practice. Research has shown that 80 out of 110 companies participating in this agreement did not fully implement their energy saving programme. My group's question is, therefore, what the cabinet is going to do to ensure that compliance really gets off the ground, in addition to the correct change that you will only get the tax advantage if you have proved that you are doing what you have promised. I would like an answer from the Minister to the question of what he is going to do to ensure that the savings are made. The National Energy Exploratory (NEV) showed that savings in industry will be much slower over the next decade. The group of companies we are talking about must together generate 9 petajoule additional savings. That was agreed in the energy agreement. But what are the concrete agreements that are being made? I always hear that it is extremely difficult and that the implementation of this agreement does not really come off the ground. Does the Minister put his hand in the fire that this saving is actually going to come? After all, energy savings in industry are often still cheaper than in the built environment. So the real question is: what are we waiting for? This has to happen. The ETS is not entirely a subject of discussion, but it is, of course, a major concern. CO prices are far too low. There is a huge surplus of allowances. The incentive for saving and renewable energy is systematically undermined. If we are to achieve success in terms of savings, then something must be done about this system. What is the Cabinet going to do to bring it back to life? I have a general question about enforcement. Reports show that a genuinely good enforcement of all measures laid down in the law and agreed upon could lead to significant savings in energy saving. There is even talk of 35 petajoule. What is the cabinet going to do to really strengthen enforcement? What concrete measures will be taken? What will the government's effort be to do this? Within the energy agreement, it was also agreed that already in 2016 a significant part of the 100 petajoule must have been collected, namely 35 petajoule. Will the Minister make an assessment of the need for additional measures on the basis of this year's national energy exploration report? By the way, I was just asking about that. The point is that we know for sure that measures are being taken and that we are going to achieve that 35 petajoule agreement in 2016 anyway. On this point, I would very much like clarification from the Minister. I have a few comments and questions about the built environment. There are going to be two funds, which is very important: two funds with money to stimulate energy savings in the housing sector. There is a fund for the private owner and there is a fund for landlords in the social sector. It is a pity that little progress has been made so far. There are still few concrete results. Does the Minister agree with us that an acceleration in this area is really necessary in order to achieve substantial energy savings quickly? My group points out another point. A lot of people just want security. They want to know where they stand with their homes and what they will soon have to do. We wonder whether it is not already really necessary to introduce more regulation in this area and impose obligations on people, but, of course, in conjunction with financial incentives, support and tax benefits. GroenLinks believes that this will lead to much more damage. For example, see the whole discussion about the energy labels of the homes. This is also in the area of the Minister's colleague, Mr Blok. However, I would like to address the cabinet. In fact, the EU requires through the directive to make clear with a label where the buyer or the landlord is in need of any property that is to be sold or rented. However, the Netherlands does not introduce that obligation. All owners have received a statement in the mailbox with the label stating what the property meets, but there is a lot of criticism from all kinds of independent experts. They say: it's quite random, because there's just been a look at the year of construction and there's no further look at what's already happened in that house. In short, what people get in their mailbox is actually a very unclear paper for them. The question is whether the cabinet should not really comply with that directive and make it mandatory that when you sell your property, you deliver your label to the latest state of affairs. The same applies to rentals. The label should also be established by an independent institution, which does so on the basis of the state of the property. I'm just taking a little trip to Groningen. I think a lot of heat and therefore gas can be saved in our Dutch homes. Then we are really going to help the Groningen instead of just six months, as the Minister promised. Gas demand will have to fall enormously in the Netherlands. We can do that, and it is very unfortunate that we do not have these opportunities. CE Delft produced an extremely interesting report on behalf of the Top Consortium for Knowledge and Innovation in the built environment in October 2014, which outlines various transition scenarios until 2030, including a transition scenario for the built environment. This report shows that with a substantial investment of EUR 2.3 billion per year, an enormous amount of energy can be saved every year. Interestingly, this boost also leads to a huge gross employment effect of 24,000 working years on average, an improvement in trade by an average of 1.7% and an improvement in gross national product by an average of 0.7% per year, or EUR 4.3 billion. It is also expected to save EUR 20 billion in energy imports during this period. These are figures where you think: this is so interesting that the cabinet should pick this up. Does this not mean that we need to tighten up our entire energy saving programme considerably? I would like to hear a response from the Minister to this report and ask him whether this is not a reason to substantially strengthen the energy saving policy in the built environment. What about the additional measures for energy saving in traffic? What concrete new measures does the government envisage under the Energy Agreement and the Energy Efficiency Agreements? Finally, I would like to ask the Minister about some of the effects of our energy taxation system. As long as we're talking about that real energy transition, there's something weird in the system as it is now. In my group's view, a number of parties are hardly encouraged to make the most of energy saving. I would like to mention an example of which I heard the other day. It is strange that IKEA, a large chain in the Netherlands, which belongs to the large consumers, pays hardly any energy tax on the highest disc and in any case pays much less than the Dutch competitors. Those competitors are often the smaller furniture stores and retail chains. In my opinion, IKEA has an unfair competitive advantage in the Netherlands because he happens to be a very large chain that allows large consumer advantage. It is no longer a question of saving energy or not. In advance, the smaller shops are already lagging behind compared to IKEA. That's a crazy situation, isn't it? I'd like to hear the Minister's opinion on that. Isn't this reason, alongside many other examples, to take a very fundamental look at the energy tax system and to look at how we can achieve fair incentives that really lead to energy savings for everyone? In short, there is still a world to be won in terms of energy saving. If there is anything to be gained, it is here, in relation to the environment, employment and major cost savings. It makes us less dependent on gas and oil from abroad. In addition, we can also meet the Groningen people. I ask the cabinet to increase its ambitions, but I would also like to wait for the Minister's answers.
ParlaMint-NL_2015-02-10-eerstekamer-6.u3	Mr. Chairman. We are discussing today in this house the amendment of the EU Energy Efficiency Directive Implementation Act, the 1998 Electricity Act and the Gas Act and the Heat Act. Before going into the legislative proposal, I would like to make some reflections on environmental issues and energy supply. The world's population is increasing rapidly and in line with this also the energy needs. Alternatives or so-called "sustainable energy sources" have been promoted and heavily subsidised for years. The costs for society are enormous. As a result, our competitive position is increasingly at stake. In addition, energy costs for citizens and society will continue to increase. The question on which the belief in renewable energy is based can no longer be discussed in reasonable terms. Politicians, the environmental lobbies and the massively subsidised environmental industry have dug into irresistible positions. Some critical capacity of these stakeholders with regard to their own views on the feasibility of increasing the share of renewable energy in total energy needs is lacking. Criticism or questioning on this subject is silenced or swept under the table from a moral superiority attitude, with sometimes very questionable arguments. An example of this is the Nobel Prize winner and economist Paul Kruger, who says that anyone who denies global warming must be punished for this in the afterlife. The Observer columnist Nick Cohen says about climate critics that they are aligned with Holocaust connoisseurs. In this climate, the environmental church is not open to reason and is no longer open to fossil energy sources that can or cannot help to control the energy supply problems in the future. Shell top man Van Beurden recently noted that new energy sources such as wind and solar have taken 30 years to cover less than 1% of the energy needs. In his view, fossil fuel production should continue to grow because the share of alternative energy sources is far from being able to meet global and increasing energy needs. If the climate lobby continues to persist in its current, almost religious fanaticism in terms of sustainability and wind and solar energy, the burden will increase astronomically. The sad thing about all this is that the efforts we are making, particularly locally in the Netherlands, but also in Europe, are not achieving anything in terms of reducing CO emissions. CO and other substances do not stop at our land border. The debate on environmental issues must and can only be conducted and resolved in a global, international context. Otherwise, all attempts to save energy and reduce pollution are without effect. We can think in the Netherlands that we are on the right track. We often feel very good about this too, because look at us in the field of environmental problems, but in relation to the global problem, what we are doing locally in terms of reducing environmental taxes is quite pointless. Following this brief consideration, I would like to make a few comments on the legislative proposal before us. We all know that this has not led to a debate in the Lower House. However, a number of political groups, including the PVV Group, have felt that they should devote a number of words to this. The present legislative proposal is aimed at implementing a European Energy Efficiency Directive. The aim of the Directive is to achieve 20% energy savings on energy consumption by 2020 compared to its use in 2010. When reading the EU Directive, the large number of mandatory provisions immediately stands out. Member States are required to renovate 3% of central government buildings annually and to make them more energy efficient. Brussels obliges us each year to achieve 1.5% energy efficiency for end-users. In particular, the Directive requires large companies to carry out an energy audit every four years. And so on and so on. The PVV recognises the importance of energy efficiency and energy saving, as long as this is done on a voluntary basis and without government pressure. Energy savings should be fun instead of just expensive and mandatory. As a result of the implementation of the EU directive, we are being put at a cost in the Netherlands, creating another costly bureaucratic layer, and Brussels is also taking away a piece of Dutch sovereignty on this issue. My group therefore concludes that the EU directive on energy efficiency is unnecessary, too expensive and too binding. It will therefore vote against this bill.
ParlaMint-NL_2015-02-10-eerstekamer-6.u4	Mr. Chairman. As has just been recalled, the present legislative proposal is intended to implement a European directive in our Dutch legislation. The aim of the directive has also been mentioned: 20% savings in energy consumption by 2020. Energy saving is an important part of making our energy supply more sustainable. That goal and the road to it are very important for the PvdA Group and are warmly shared. In fact, it is so important for my group that the energy savings envisaged are really achieved that my group is happy to discuss the implementation of the measures with the Minister today. The recent situation in Groningen gives all the more reason to work on the sustainability of energy production, to switch to renewable energy production and at the same time to achieve savings in energy use and thus to reduce gas abstraction in the long term. In order to implement the Directive, not all parts require a legislative amendment. For example, Article 8 of the Directive contains obligations in the field of energy audits. These serve to provide information on current energy use and to identify cost-effective savings. So that's different from what Mr Van Beek just said. It is really intended that this saving will pay off in the long term. These energy audits should help large companies, SMEs and households to effectively implement the recommendations. Some steps have already been taken to implement the energy audits. There have been agreements. Information is provided through matters such as the energy label, Mrs Vos, has asked if this is going to work out perfectly well. In order to fully implement the Directive, we read on page 6 of the explanatory memorandum, a number of additional rules are included in the Environmental Action Decision. That's what got us thinking in the preliminary investigation. Article 2.15 of the Environmental Action Decision already requires all energy-saving measures to be taken with a payback period of five years or less. So the PvdA group asked how many violations have been detected on this point. We had a strong impression that the competent authorities did not give priority to monitoring compliance with this obligation. From her role as former alderman, Mrs Vos has also indicated what the competent authorities sometimes come up against. The reply we received on 31 October indicated that the government did not have any figures available. I would now like to ask the Minister whether it is now known whether one or more offences have been detected by the competent authority. We know that the Empire is not the competent authority here. We also ask what the Minister thinks about the enforcement of compulsory energy audits. Could they still be promoted? Ultimately, the promotion of cost-effective energy saving measures will help to achieve real compliance with the obligation, i.e. real enforcement: not only to set rules, but also to monitor them. Is the Minister prepared to agree to report on this aspect of implementation in the planned review of the Energy Agreement in 2016? So I am talking about enforcement, about cost-effective energy saving measures. On behalf of the PvdA Group, I would like to ask a few more questions about the study on the potential for the application of high-efficiency cogeneration and efficient district heating, which results from Article 14 of the Directive. The explanatory memorandum states that this study is carried out by the government and relevant interbranch organisations and is ready by 31 December 2015 at the latest. I would like to ask the Minister, on behalf of the PvdA Group, whether it is possible to include in that study that the replacement of gas networks seems to mean that gas is used as the main source of heating for the first 40 to 50 years after the replacement. If you're gonna build a new gas grid like that, you're gonna want to use it, too. These gas networks have been jointly paid by us, socialised. That is not the case with heat grids. Eventually, we want houses heated. Heat grids are an alternative. A switch from gas to heat has a number of financial consequences for the business case. According to the PvdA Group, the Groningen earthquakes make it appropriate to involve more than just financial considerations in a choice between gas and heat for heating buildings. In the text I prepared last week, I had the question of whether the Minister agrees with us that it is about more things than just money. We have seen this morning that the decision to at least withdraw less gas until 1 July really shows that the government is making more things than just financial; a compliment on our part. Perhaps the Minister can tell us how he looks at this in the slightly longer term.
ParlaMint-NL_2015-02-10-eerstekamer-6.u5	I also took note of that appointment. Mrs King is now explaining it nicely, but does she think it is a genuinely content-based measure? Or is that just very useful for six months to keep everyone politically out of the wind and then look further, where perhaps the VVD and the PvdA are completely apart again when it comes to the gas drilling in Groningen? That is what I hear cynics say in the comments this morning.
ParlaMint-NL_2015-02-10-eerstekamer-6.u6	I don't intend to look very cynical at it. Last week I introduced myself to ask whether the government wanted to include other considerations than finance in the decision on gas withdrawal. I now see that this is indeed the case. Mr Van Boxtel's question seems to imply that it is simply a political consideration and that they will be doing things differently in six months' time. I don't think so. I have faith in the government. I think I would like to hear the Minister's reaction that this is a signal that the government is also using a system other than gas for heating houses and that you are also taking other considerations than money into account. I am actually very hopeful about it and I hope that Mr Van Boxtel will do the same.
ParlaMint-NL_2015-02-10-eerstekamer-6.u7	Do I understand correctly from Mrs King that in fact she expects that six months will not last for six months, but that there should actually be a longer, permanent low-gas withdrawal?
ParlaMint-NL_2015-02-10-eerstekamer-6.u8	The PvdA Group in the First Chamber sees that the withdrawal of gas now has such negative consequences that we really need to think about alternatives. Urban heating and heating networks can be an alternative. Of course, you have to be able to build it. For that, the financial business case is very important, but it's not just about money. That is exactly what we are trying to bring forward here. The decision that the government has now taken gives us a great deal of hope for the future.
ParlaMint-NL_2015-02-10-eerstekamer-6.u9	In fact, I hear Mrs Koning say that in the future there must be permanent, structural reduction in gas from the soil of Groningen and that this is also possible. Is my observation correct?
ParlaMint-NL_2015-02-10-eerstekamer-6.u10	Houses should be able to be heated. I think this step may be continued, but I think the Minister can say more about it than I can. Houses need heating. Heat grids are really a serious alternative, but you have to be able to build them. Mr. Chairman. This legislative proposal is designed to implement Directive 2012/27/EU on energy efficiency. On two parts of the directive, namely the enforcement of energy audits, in fact the implementation of energy saving measures and the study and work on district heating, I have put a few questions to the Minister on behalf of the PvdA Group. We are now waiting for an answer with interest.
ParlaMint-NL_2015-02-10-eerstekamer-6.u11	Mr. Chairman. The Minister writes in the explanatory memorandum to this legislative proposal implementing the Directive: "The objective of the Directive is to achieve the European target of 20% energy savings on energy consumption by 2020 compared to consumption by 2010." When I first read that, still naive, I was not aware of the cryptic content of that sentence and I thought we were going to reduce energy consumption by 20%. No, unfortunately that is not the case. It merely means, in short, that the increase in energy consumption must fall short of economic growth. I fear that the planet and our children's children will not make it, unless we continue to stagger in constant economic stagnation or do it soon with large-scale circular forms of energy generation. Relevant is that large-scale investment in circular energy generation can partly pull us out of the growth tagnation swamp. But, yes, that requires wisdom and courage. I would like to hear the Minister's views on this later. In the meantime, I do not hesitate to reinforce the critical questions raised by the previous speakers, sometimes by repeating them. Part of this energy discussion is conducted in terms of petajoules. I've just been told by colleague Elzinga that 1 joule is the energy it takes to lift an apple a meter. A petajoule is the energy equivalent of lifting 1000 trillion apples. Then we know what we're talking about. Shortly after the Committee for Economic Affairs submitted a further preliminary report on this bill, the first National Energy Exploratory (NEV) published by the ECN, the PBL and the CBS appeared in early October 2014. Many of my questions have been answered in the meantime, but I am not happy with that knowledge. The rapporteurs proposed, among other things, that: Firstly, with average economic growth just above 1%, energy consumption will change between -6% and +4% by 2020. Secondly, "The Dutch objective under the European Energy Efficiency Directive is unlikely to be met in defined policies. If the envisaged policy is also taken into account, the objective is expected to be within reach." Thirdly: "The goal of the Energy Agreement of 100 petajoules additional savings by 2020 will not be achieved with the now well-known measures in both policy variants." Fourthly, in the case of renewable (or circular) energy, if the planned policy were to be implemented, its share would be 12.4% in 2020, within a range of 10.5% to 13.0%. On this point, the rapporteurs state: "The Dutch renewable energy target agreed at European level (14% in 2020) is outside the ranges mentioned." So here too, the goal is not achieved. I ask the Minister to endorse these four forecasts. If this is the case, I ask what the government will do about it at what time. If this is not the case, I would ask him, firstly, what kind of counter-information does he have that the rapporteurs do not have and, secondly, whether he shares this information with the rapporteurs, where appropriate. Thirdly, if he has shared this information with the rapporteurs, I ask him what their reply was and where we can find the reply from the rapporteurs. I would also ask the Minister to say that he suspects that the objectives of the directive could be barely met, or that the government believes that it is taking an active action in this area with a view to our children's children. Wouldn't it be pervasive to maintain very broad positive margins? To conclude this section, I have one more point that is connected with it. The NEV calculates in terms of objective realisation for the years 2020 and 2030. To our request for information on annual savings targets to be achieved, the further reply on the then newly released NEV states: "The NEV did not look at savings rates, but only at the cumulative target expressed in petajoules. There are therefore no figures as to the percentages to be achieved in the coming years in order to achieve the cumulative objective of the Directive." My group asks the Minister to formulate annual targets and to inform the Chambers annually about their implementation. I know that a mid-term review is foreseen in 2016, but I would ask the Minister to have a more continuous report, given the interests involved, so that timely adjustment is possible. I now turn briefly to the nature of the bill. As mentioned above, the explanatory statement states: "The objective of the Directive is to achieve the European target of 20% energy savings on energy consumption by 2020 compared to consumption in 2010'. Nevertheless, the legislative proposal is limited to matters such as recording energy consumption and administrative requirements relating, inter alia, to billing information and energy cost estimates. Of course registration is important to know whether or not the goals are being achieved. Can I see that the legislative proposal is essentially or even entirely limited to this? If so, why is the stated objective and the political instruments not included in the legislative proposal? What does this mean, according to the Minister, for the hardness of the Dutch parliamentary control of his policy in this matter? Finally, I would like to comment on the entry into force of the legislative proposal. The government will understand that, following the debacle with the WNT reduction ceiling Act adopted on 22 December, the Chamber will now pay close attention to the provisions on the entry into force of legislative proposals. In this case, in the preliminary report on Article V, my group asked which articles or parts of them the government intends to bring into force later than immediately after the First Chamber has accepted the bill. The government replied in its reply of 1 September 2014: "Not all implementing legislation based on this bill is expected to be ready at the time the bill enters into force. Some provisions on the design of energy invoices and the establishment of consumption and cost statements for energy users will therefore enter into force at a later date." This is supposed to be big business, but not big money. However, I would like to know whether, five months later, those implementing rules are ready and, if not, why not. I would like to point out that the directive of 25 October 2012 dates back to this directive. That was over three years and three months ago. The directive should have been implemented eight months ago, on 5 June 2014. If the government does not comply with the rules, how can it expect, for example, that in this case the signatories of the energy agreement are bound by them? I'd like the Minister's comment on some of this. I'd like to await the Minister's answer.
