ParlaMint-NL_2015-11-18-tweedekamer-5.u1	I would like to welcome the Foreign Minister.
ParlaMint-NL_2015-11-18-tweedekamer-5.u2	Madam President. Last Friday's terrorist attacks in Paris fill the SP with horror, anger, sorrow and determination. Our thoughts are primarily on the victims and their families, on the injured and on anyone directly or indirectly involved. It is important for the whole of the Netherlands to have thought about this and to continue to think about it. These attacks show two things very clearly. Firstly, the fact that we are very vulnerable in our open and free society. The balance between security on the one hand and openness and freedom on the other will have to be reviewed by these attacks. Secondly, these attacks show that terrorist groups have the intention and capacity to commit attacks in and against the West. And not only against the West, because Russia, Turkey and Lebanon were also faced with terrorist attacks very recently. We also express our condolences to the victims. Cooperation, European and global, against terror is necessary. The attacks in Paris call for national and international action. Tomorrow, the debate between the group chairmen and the government will focus on national action. I would like to ask the Foreign Minister today to address international policy, starting with the European aspects. I have three questions. Firstly, what is the significance of calling in the assistance clause of Article 42 of the Treaty of the European Union? Can this commitment also mean that the Netherlands is supposed to go along with the bombing in Syria? That impression was given a little bit yesterday by the Secretary of Defense. Secondly, what are the consequences of the use of the term "war" in international law, including by the Prime Minister? In the Netherlands, this can have an impact on the detection of people engaged in terrorism. Internationally, it may have consequences for the security of Dutch military targets. Thirdly, how will the registration and identification of refugees at the external border of the European Union be improved? Yesterday, in his letter, the cabinet recognised that jihadists can come with the flow of refugees into the European Union. The SP has doubts as to whether a bomb rain in an IS controlled area will reduce the risk of attacks in Europe. The logic makes the opposite fear: sympathizers of IS could find a motive for terrorist actions here. There are also analysts and connoisseurs of IS who say that extra Western military engagement in Syria and Iraq is desired by IS precisely because it increases the breeding ground and recruitment base for terror. Can the Minister respond to this? However, the call to repay the attacks in Paris by military force against IS is perfectly understandable. At the same time, considerations of military action must remain guiding. The question must be what is effective. More than one year after the launch of the military intervention led by the United States in Iraq and later in Syria, Islamic State hardly seems to be seriously affected. IS is lord and master in half Syria and in a third part of Iraq. What does this say about the effect of Western military action? What does this say about the future of both countries? Is it true to speak of the countries of Iraq and Syria, or is there de facto a division and new borders? Shouldn't international action be based on that? Military action has helped to ensure that the flow of refugees has not decreased over the past year, but increased. Quite a few refugees in Iraqi Kurdistan, from Syria, have fled Western bombs, not IS. Conversely, the flow of jihadists towards IS area has also increased. These unintended effects should make us think. What is the reaction of the Dutch Government to this? Military action has not brought any closer to a political solution to the war in Syria and Iraq. Rather, there seems to be a hardening of the contradictions between the warring parties. We also continue to deal with so-called allies in the fight in Iraq and Syria, which is a public secret that they support jihadists and radical organisations. Think Saudi Arabia and Turkey. The latter started a military campaign against the Islamic State at the end of July, but in practice this turned out to be mainly military action against the PKK, while Kurdish fighters played an important role in preventing mass slaughter in Sinjar and Kobani. How does the Minister see this double play of Turkey? Is Turkey, our ally in NATO, being called upon to do so? The SP continues to emphasise the importance of blocking IS's income. An important source of income is oil exports, whose revenues are still very large. It's $50 million a month, it's said. How is that possible? The oil is mostly exported through Turkey and is also, again via Turkey, imported by IS material to maintain the production of oil. Isn't this coalition's priority against IS? Is there finally success in cutting off the funding flows leading to ISIS? My next point concerns the miserable human rights situation in Saudi Arabia.
ParlaMint-NL_2015-11-18-tweedekamer-5.u3	I feel like there's a block off. I would like to ask Mr Van Bommel a question. He rightly points to a number of problems, setbacks and challenges in the fight against ISIS, but he does not really mention what has been achieved: the emergence of ISIS, especially in Iraq. I am thinking in particular of the Kurdish region. The SP was against the actions in Iraq. Can Mr Van Bommel give his reflection on what would have happened if the Netherlands and other countries had not assisted the Kurds last year?
ParlaMint-NL_2015-11-18-tweedekamer-5.u4	Mr Servaes knows that the hallmark of every history is that it conceals its alternate course. So we will never know how things could have gone differently if, for example, more pressure had been put on Baghdad to achieve a policy, in which there was also room for the Sunnis in Iraq, in my opinion, the central problem in Iraq, where there was also good cooperation with the Kurds in Baghdad. I call money flows, but I also call security. I wish we could have known. Then we could have really made a choice. However, we cannot know that.
ParlaMint-NL_2015-11-18-tweedekamer-5.u5	That's the stage before it. We agree that before ISIS came up, it was wrong in Iraq and that President Maliki's policy was not good at the time, but the fact is that ISIS has arrived. I was standing next to the Kurds on the front line a month ago. They told me that without the support from the air, with their limited military capabilities they could never have stopped ISIS and could never have recovered territory. I know Mr Van Bommel as a good friend of the Kurds. Does he share that analysis of the Kurds themselves?
ParlaMint-NL_2015-11-18-tweedekamer-5.u6	Under those circumstances, if you look at it at the time, I share that analysis. However, Mr Servaes should not immediately be satisfied with just that answer, because I would like to say immediately that the solution is not there, unless we realise, not so much from an international point of view, but from a moment on, that Iraq no longer exists and that the country needs to be divided up. That is why I asked that question about the division. We will then divide the country into three parts and say: the government in Baghdad is no longer responsible for the security of northern Iraq, where the Kurds live, but that part will become an international protectorate, for example under the protection of the Americans, Baghdad is then about central Iraq and yet others will be given responsibility for another part in Iraq. After all, that is what should have happened. Then we are going to make another map of Iraq, and thus assign other powers and responsibilities. I asked the government to respond to that. I think that is where the problem lies in Iraq. The question is: who has the right to say what it is and who has the responsibility for safety? My second point concerns the miserable human rights situation in Saudi Arabia. Saudi Arabia is an important ally of the West, including in the fight against Islamic State. It mentions a memorandum of understanding, an agreement, between the Netherlands and Saudi Arabia. What does this say? Is there any mention of human rights in Saudi Arabia? The SP has serious doubts about the good relations between the Netherlands and Saudi Arabia. This country also sponsors groups that fight in Syria. Is Saudi Arabia then addressed by the Netherlands? Is the Netherlands protesting against the unfair trials and judgments against human rights activists in Saudi Arabia? Does the Minister share my view that Saudi Arabia is using anti-terrorism legislation to silence critics? The Chamber adopted my motion calling on the government to ask the Saudi authorities for the release of the blogger Raif Badawi, who had previously been sentenced to 1,000 canings. Has this motion been carried out? Finally, can the Minister comment on the Dutch commitment to improving the position of women in Saudi Arabia? Then there are developments in Israel and Palestine. The SP is deeply concerned about the violence perpetrated by Palestinian children and Israeli citizens. It's important to focus on de-escalation. What will the Netherlands do in this regard? Last week, the European Union decided to publish the directives on labelling products from illegal settlements. This will end the deception of consumers by preventing products from the settlements from being sold as "made in Israel." How are these directives implemented in practice? The European Union is considering concrete ways of making the dividing line between Israel and the occupied Palestinian territories clearer. Recent developments in Amsterdam are therefore interesting. There it has been decided to cooperate with Ramallah and Tel Aviv, with a number of reservations, for example that Amsterdam will not have any export or direct or indirect financial relations with illegal settlements in the Palestinian area. Another condition is to ensure that projects entered into do not involve indirect cooperation with the Israeli army or the Ministry of Defence. Does the Minister see any point in this in order to clarify the dividing line between Israel and occupied Palestinian territory at national level? Then I come to another theme: the American drone war. This program, in which alleged terrorists are killed by attacks on unarmed aircraft, was always surrounded by secrecy. That's over now. Presumption that drones are very inaccurate and that civilian victims are being muffled away has now been confirmed in the so-called Drone Papers; the American documents that have recently been leaked. In this Drone Papers is even referred to an operation involving 90% of the killed individuals, people who were not wanted to kill. It wasn't the people people were looking for. But 90% can no longer be called collateral damage. Does the Minister share the concerns of the SP that the use of drones is inaccurate and that they cause many civilian casualties? Is the Minister prepared to ask his American colleagues for clarification on the information contained in the Drone Papers and to call for transparency? The leaked documents also show that the Americans often use allies' intelligence in drone attacks. Can the Minister exclude that Dutch intelligence leads to an American deployment of drones, anywhere in the world, where the risk of civilian casualties is enormous? I'm coming to Ukraine. The SP has always been critical of the role of the West in the escalation of violence in Ukraine and the rising tensions with Russia. More than 8,000 people have already died during the war in Ukraine, including the deaths of the fatal MH17 flight. The relationship between the West and Russia is becoming more and more similar to that of the 1980s, the time of the Cold War. That's very worrying. Can the Minister indicate what efforts are being made by the Netherlands to de-escalate this conflict? The SP has strongly criticised the association agreement between the European Union and Ukraine. We saw how developments surrounding this issue contributed to a spiral of polarisation and ultimately violence in Ukraine. After all, it was the initial refusal of then President Yanukovych to sign this association agreement that triggered a series of events. These events eventually led to the civil war in which the country is now in the middle and for which no lasting solution is yet in sight. Does the Minister agree with me that the Association Agreement has contributed to instability and polarisation in Ukraine? Some are already advocating a division of Ukraine. What is the Minister's position on such proposals? Over and over again, this Minister has said that the Treaty is not a portal for EU membership. European politicians say otherwise. Stefan Füle said last year, when he was still EU Commissioner for Enlargement, that Ukraine should eventually become a full member. Herman van Rompuy, then President of the European Council, and then President Barroso indicated that they saw the future of Ukraine in the European Union. Can the Minister comment on this? The SP finds these statements very disturbing. That is why we look forward to the referendum on this treaty on 6 April next year.
ParlaMint-NL_2015-11-18-tweedekamer-5.u7	Do I hear the SP Group now defending former dictator Yanukovych who sent riot police and military on his own demonstration population in Kiev?
ParlaMint-NL_2015-11-18-tweedekamer-5.u8	No.
ParlaMint-NL_2015-11-18-tweedekamer-5.u9	That's a bit like it, isn't it? I have to say that the SP Group is saying here that it was actually a good policy of Yanukovych not to follow the will of the Ukrainian people to approach Europe from the point of view of development, freedom of expression and so on.
ParlaMint-NL_2015-11-18-tweedekamer-5.u10	I was allowed to be an election observer for the OSCE in the elections where Yanukovych was elected President. According to the OSCE, these elections were free and fair. The President of Ukraine was undoubtedly a corrupt boss of the country, just as most politicians, unfortunately, are corrupted in Ukraine. That's a big problem. For that we will have to find a solution. It did belong to his powers to do what he did. There is a division in Ukraine about the orientation east or west, whether it is the membership of NATO, which NATO has decided on, or the association with Russia or the European Union. The population was and has been strongly condemned for this. Then I can imagine that at such a moment you would take a step back and not opt for an association with one or the other. Yanukovych's orientation towards the east has contributed to the struggle and still being waged in Ukraine.
ParlaMint-NL_2015-11-18-tweedekamer-5.u11	Ukraine is indeed a corrupt country. At the Transparency International Index it is far below a lot of African countries that are already not very high-ranking. It is therefore extremely important for Dutch exporters to be able to recoup their investments. They can do that especially if they have a little legal certainty. That is precisely what the association agreement provides for, because 80% of that treaty is about matters relating to export credit insurance, with the way to make your money back in a fair way; the fact that you do not have to pay bribes and when that happens, you can also appeal to someone. What do you say to those Dutch truck drivers, to those Dutch companies that export, to those Dutch investors who are the second investor in Ukraine worldwide? What do you say to them if you take away that treaty, that last piece of certainty they have?
ParlaMint-NL_2015-11-18-tweedekamer-5.u12	We spoke to these truck drivers recently. They are not waiting for this association agreement, because they expect their jobs to come on the road, just as they did in the case of countries that have joined the European Union, such as Poland and other countries. That may be a very real fear because we will see that offices will be opened in Ukraine by Dutch transporters who say they have a branch there and that they will be able to take care of the Dutch-Ukraine transport under conditions of employment from Ukraine. So why don't you talk to those drivers yourself? We did that. These people are not waiting for this association agreement. What we fear is that because of this increased trade and all these freedoms in the association agreement, corruption will also enter the Netherlands and Europe through that trade.
ParlaMint-NL_2015-11-18-tweedekamer-5.u13	Dutch transport companies have been leading Europe for years because they have always resisted and overcome new developments, including internationalisation, including new markets. So these Dutch truck drivers benefit from the fact that their companies can continue to make money, including in new countries such as Ukraine. I repeat my question to Mr Van Bommel. What do Dutch companies that invest in them? We're the second investor in it if they're left without any protection, which you take away from them by pulling this treaty out of them?
ParlaMint-NL_2015-11-18-tweedekamer-5.u14	Of course, the answer is already in the question. The Netherlands is already a huge investor without that association agreement. So should we conclude that association agreement in order to maintain that position? That is not the case. We must, however, have the certainty that we have retained, in the legal field and in what we can keep out of the door. I challenge Mr Ten Broeke: are you really going to talk to those truck drivers, because they are not waiting for the association agreement with Ukraine. I'd like to do the same with you. Then we'll talk at Vos in Oss, where jobs have been completely demolished.
ParlaMint-NL_2015-11-18-tweedekamer-5.u15	At Bolk in Almelo.
ParlaMint-NL_2015-11-18-tweedekamer-5.u16	That's where we're gonna talk. I would like to go on road tour with Mr Ten Broeke to talk there.
ParlaMint-NL_2015-11-18-tweedekamer-5.u17	I understand that Mr Servaes is going with us.
ParlaMint-NL_2015-11-18-tweedekamer-5.u18	Then there is something positive coming out of this interruption. Mr. Servaes can come if he wants.
ParlaMint-NL_2015-11-18-tweedekamer-5.u19	Then I'm very happy. Oss is my own hometown, so I'll take you to Vos in Oss. Actually, I think that's best. I actually wanted to go back to the more fundamental question. What Mr Van Bommel is doing now is once again creating the illusion that all kinds of other forces have made Ukraine decide what it has decided. He mentions the European Union's portal, which would be in it. He calls it the removal of the president. Two specific questions. Where does the association agreement say that there would be an EU portal? Who decided this president couldn't stay in office after what happened?
ParlaMint-NL_2015-11-18-tweedekamer-5.u20	I have used the term "foreportal" because the Dutch Government has always stressed that this treaty would not be a portal. Of course, it's not in the Treaty either. It is about where European leaders express their intentions and what the perception is in Ukraine itself. That's what politics matters. You don't have to run away from that. Pretending that there is nothing going on towards EU membership is closing your eyes to the facts.
ParlaMint-NL_2015-11-18-tweedekamer-5.u21	I do not know whether Mr Van Bommel used the word 'illegal' about the removal of the President, but he did give that impression, talking about perceptions. I asked who had decided.
ParlaMint-NL_2015-11-18-tweedekamer-5.u22	It was decided by Parliament. I didn't call that illegal. I said that Yanukovych's decision not to sign the treaty was a legitimate decision of the President of Ukraine. I think we are talking about two different things. Parliament finally agreed, not initially, to the departure of Yanukovych. I fully acknowledge that, I'm sure.
ParlaMint-NL_2015-11-18-tweedekamer-5.u23	Then what is Mr Van Bommel's point? He admits that there is nothing in the treaty about a portal at all. He is talking about a statement by European leaders, but I do not believe that there are any conclusions from a European Council or from whatever that is. Then all we have left is a perception. That's a little weak, to be honest. And the president's deposition has been done by parliament. Mr Van Bommel himself is a Member of Parliament. If we no longer see our government, for example, because it is shooting at unarmed demonstrators, we have every right to call our government to order or to send it home. What is Mr Van Bommel's point?
ParlaMint-NL_2015-11-18-tweedekamer-5.u24	I didn't dispute the latter. I repeat that. I did not dispute that at that time this was the right of Ukraine's parliament. I'm looking at our own responsibility. I note that the association agreement between the EU and Ukraine has set up the population, which was already divided about orientation, further against each other and that this division, which should not be stirred up, has eventually led to a civil war in Ukraine. That's what I'm establishing. I can see that.
ParlaMint-NL_2015-11-18-tweedekamer-5.u25	The SGP also did not read the association agreement and did not assess it as a portal to a subsequent phase, but independently on its own merits, on the basis of what is in the text. Has Mr Van Bommel himself found in the text of the Treaty any indications that it would make it easier to enforce effective accession to the EU?
