ParlaMint-NL_2015-09-29-eerstekamer-8.u1	I have already welcomed the Minister of Health, Welfare and Sport to the First Chamber.
ParlaMint-NL_2015-09-29-eerstekamer-8.u2	Mr. Chairman. As you said, today we are dealing with bill No. 32402 which deals with rules to promote the quality of care and the treatment of complaints and disputes in healthcare, the Wkkgz. The members of the CDA Group welcome the government's desire to focus on improving the quality of care and to ensure good, safe, timely, accessible and affordable care for all clients, as well as the cabinet's commitment to greater coherence and efficiency. Members also support the desire to make care more customer-oriented. Of course, the CDA Group attaches great importance to ensuring the rights of clients and a proper complaint and dispute procedure. The members therefore support the Minister's intention to improve the quality of care and the handling of complaints and disputes. The legislative proposal has been a difficult one. The law is a continuation of the previously submitted bill of law on Client Rights in Care (Wcz), which aims to merge the rights and obligations of the client and the healthcare provider into one new legal regime. This bill raised so many questions that it stopped in the Lower House. In April 2013, the Minister submitted the third letter of amendment limiting the original bill to only the quality, complaints and disputes elements. Since July 2013 it has been in the Upper House for treatment. In the case of an offer, the text was so complicated and unclear that the Chamber asked for a new full explanation. The Minister stated that the rewriting of a new explanatory statement after the end of the examination in the Lower House was no longer possible, since the articles were subject to exchange of documents, including the Acts, during the parliamentary procedure. According to the Minister, the creation of a new text could be accompanied by 'falsification'. Where the Ministry with so many officials can offer the explanatory notes only as an accumulation, institutions, individual care providers and patients are deemed to understand and implement this bundling of hundreds of pages of texts, commentary comments effortlessly. There has rarely been a legislative proposal in which the Council of State has so explicitly asked fundamental questions about the cause and the necessity. The Council is convinced that client rights in the Netherlands are legally well secured and sees no need for this far-reaching review. The Council is in favour of making better use of the available instruments. We rarely saw a bill on which we were sent so many fundamental concerns from so many organizations, on so many points. Institutions, individual care providers, patient organisations and their national domes raise serious objections in the design and elaboration of the bill. In fact, there are only positive-critical signals from consumer and customer organisations, although they also consider that the law needs to be amended because of the unclear definitions, because of the uncertainty that remains with this legislative proposal about the right of complaint in the municipal domain and the chain care, because of the unclearness to which complaint should be submitted and to which dispute body a complaint may eventually be brought or should be brought. After all, it is always possible for different healthcare providers to be associated with different dispute bodies. Those are quite fundamental things. It is too easy to say that caregivers and organisations who express objections are afraid of cold water. The resistance is not in unwillingness to work more patient-oriented or to improve the functioning of the complaint law. It is not a question of misunderstanding, as the Minister would suggest. The field I mean, among other things, the university medical centers, the Dutch Association of Hospitals, the Association of Disabled People, the KNMG, the Order of Medical Specialists, the Association of insurers, the National Family Medical Association and all other primary organizations, from dentists and dental hygienists to obstetricians, from physiotherapists to psychologists have read the bill and see what it will mean for them in practice. They are supported in this vision by the Council of State and Actal. The Minister has a different view of reality. Mrs (CDA): We rarely saw a law on which there is a difference of vision between the minister and the field on so many fundamental points. Let me mention three points, although there are more. First of all, the rule pressure. The minister hardly expects an increase in regulatory pressure, but the field fears serious increase and also Actal. Actal writes that not all elements of control pressure have yet been taken into account in the latest calculations of the Ministry of the Interior or Sira. Actal raises questions about the proportionality of the legislative proposal for the first line of action, which is given the same bureaucratic obligations as large institutions and raises questions about the proportionality of implementation obligations. Actal even suggested reconsidering the bill. Mr. Chairman. As you said, today we are dealing with bill No. 32402 which deals with rules to promote the quality of care and the treatment of complaints and disputes in healthcare, the Wkkgz. The members of the CDA Group welcome the government's desire to focus on improving the quality of care and to ensure good, safe, timely, accessible and affordable care for all clients, as well as the cabinet's commitment to greater coherence and efficiency. Members also support the desire to make care more customer-oriented. Of course, the CDA Group attaches great importance to ensuring the rights of clients and a proper complaint and dispute procedure. The members therefore support the Minister's intention to improve the quality of care and the handling of complaints and disputes. The legislative proposal has been a difficult one. The law is a continuation of the previously submitted bill of law on Client Rights in Care (Wcz), which aims to merge the rights and obligations of the client and the healthcare provider into one new legal regime. This bill raised so many questions that it stopped in the Lower House. In April 2013, the Minister submitted the third letter of amendment limiting the original bill to only the quality, complaints and disputes elements. Since July 2013 it has been in the Upper House for treatment. In the case of an offer, the text was so complicated and unclear that the Chamber asked for a new full explanation. The Minister stated that the rewriting of a new explanatory statement after the end of the examination in the Lower House was no longer possible, since the articles were subject to exchange of documents, including the Acts, during the parliamentary procedure. According to the Minister, the creation of a new text could be accompanied by 'falsification'. Where the Ministry with so many officials can offer the explanatory notes only as an accumulation, institutions, individual care providers and patients are deemed to understand and implement this bundling of hundreds of pages of texts, commentary comments effortlessly. There has rarely been a legislative proposal in which the Council of State has so explicitly asked fundamental questions about the cause and the necessity. The Council is convinced that client rights in the Netherlands are legally well secured and sees no need for this far-reaching review. The Council is in favour of making better use of the available instruments. We rarely saw a bill on which we were sent so many fundamental concerns from so many organizations, on so many points. Institutions, individual care providers, patient organisations and their national domes raise serious objections in the design and elaboration of the bill. In fact, there are only positive-critical signals from consumer and customer organisations, although they also consider that the law needs to be amended because of the unclear definitions, because of the uncertainty that remains with this legislative proposal about the right of complaint in the municipal domain and the chain care, because of the unclearness to which complaint should be submitted and to which dispute body a complaint may eventually be brought or should be brought. After all, it is always possible for different healthcare providers to be associated with different dispute bodies. Those are quite fundamental things. It is too easy to say that caregivers and organisations who express objections are afraid of cold water. The resistance is not in unwillingness to work more patient-oriented or to improve the functioning of the complaint law. It is not a question of misunderstanding, as the Minister would suggest. The field I mean, among other things, the University Medical Centers, the Dutch Association of Hospitals, the Association of Disabled People, the KNMG, the Order of Medical Specialists, the Association of insurers, the National Family Medical Association and all other primary organizations, from dentists and dental hygienists to obstetricians, from physiotherapists to psychologists, the field has read the bill and sees what it will mean for them in practice. They are supported in this vision by the Council of State and Actal. The Minister has a different view of reality. We rarely saw a law on which there is a difference of vision between the minister and the field on so many fundamental points. Let me mention three points, although there are more. First of all, the rule pressure. The minister hardly expects an increase in regulatory pressure, the field fears serious increase and also Actal. Actal writes that not all elements of control pressure have yet been taken into account in the latest calculations of the Ministry of the Interior or Sira. Actal raises questions about the proportionality of the legislative proposal for the first line of action, which is given the same bureaucratic obligations as large institutions and raises questions about the proportionality of implementation obligations. Actal even suggested reconsidering the bill.
ParlaMint-NL_2015-09-29-eerstekamer-8.u3	Mr. Chairman. I have a question. Mrs Martens mentions a large number of gremia from the field who have sent letters of concern and questions. It does not mention the other gremia which have expressed support in letters. I'm thinking about the Consumer Union. I won't go into all that gremia any further, but there are quite a few of them. For the sake of balance, it might be good to take note of that. If you look at what the objections are about, they relate, among other things, to the framing of the law. However, if the law does not frame one point, it is the freedom to opt for a dispute committee and to set it up, for example with regional general practitioners. I think what Mrs Martens says is somewhat contradictory. On the one hand, it pays a great deal of attention to those who feel framed, but on the other, it objects to those points on which the law offers freedom.
ParlaMint-NL_2015-09-29-eerstekamer-8.u4	I will come back to a number of issues relating to freedom, but it is true that consumer and client organisations are advocating this law. That is what I said, although these organisations also criticize the way the law works and what it says. These organisations are convinced that their position will be improved.
ParlaMint-NL_2015-09-29-eerstekamer-8.u5	There are a large number of them, but Mrs Martens does not mention them all. For the sake of balance, it might be good to say that.
ParlaMint-NL_2015-09-29-eerstekamer-8.u6	That's fine. Then I come to the second point, the Disputes Committee. The dispute committees in the Wkkgz have the task of giving a binding opinion on complaints and claims. Both the field and the Council of State warn about the consequences of the linking of both, which also require quite different expertises. They fear legalisation and the promotion of a claim culture. The field fears medicalisation and believes that the Wkkgz leads to defensive medicine, with the high risk that the costs for health care will increase further. If, after a failed mediation, you immediately arrive at a dispute body that has to judge both the complaint and the claim, you are more likely to prescribe things to prevent complaints and claims. Can the Minister state again whether clients should submit the complaint and claim at the same time or whether they can wait for the binding opinion on the complaint? If the complaint is well founded, can they still ask the Disputes Commission for a binding opinion on the claim? The bill only mentions the procedure for the appointment of arbitration committees. There is nothing arranged about composition, expertise, independence, quality etc. From the world of the Disputes Committees, fear of wild growth and price displacement sounds. They would like to see good conditions laid down, particularly with regard to the organisation's establishment and professionalism. I'd like a response from the Minister. Have we understood correctly to the Minister that the resolution of disputes is not entrusted exclusively to the SGC? The third point, the deadlines. The Wkkgz reduces the time limit within which a complaint must have been dealt with to 6 weeks. In the eyes of many, this period is not always feasible, especially in holiday periods and in complex cases. Departure is allowed in consultation. However, this leads to additional consultation and bureaucracy by and for the caregivers and the client is disappointed in his expectations of the deadline, while there are hardly any complaints about deadlines and clients usually consider careful treatment more important than the deadline. There have been three written questions about this bill. The members of the CDA Group thank the Minister for her comments. Unfortunately, this does not entirely reassure Members. The field sees problems, the minister doesn't. Looks like a well-nothing discussion. Such a discussion is not very fruitful here. However, it underlines the concerns about the drafting of the law. We would like to hear from the Minister again what arguments she would like to convince the critics. There is already a right of complaint, which also works satisfactorily in many cases, albeit not everywhere. The fact that there are relatively few cases before a dispute panel or judge shows that, as the Council of State also writes, the current Act, the Wklcz, offers sufficient opportunity to resolve complaints properly. The Minister also notes that the handling of complaints by many healthcare providers is already working well. Complaint handling in primary care has been evaluated as well as sufficient by healthcare professionals and patients even in 2013. Can the Minister explain why she is opting for a new law, with new definitions, new procedures and new obligations, for only a limited part of the healthcare sector, and with a great deal of burden increases, including for those who already work well? Why does it not follow the advice of the Council of State and the IGZ to make better use of the existing instruments, especially since the Minister wants to encourage low-level informal mediation procedures?
ParlaMint-NL_2015-09-29-eerstekamer-8.u7	Mr. Chairman. Here, too, for balance. Is Mrs Martens aware that there are evaluations of the already existing Quality Act healthcare institutions, including by ZonMw, where the law has been negatively evaluated? Those who complained felt that the complaints were not being handled properly and that it took too long. There were doubts about the impartiality and independence of complaints committees. There are also those evaluations, in addition to those mentioned by Mrs Martens.
ParlaMint-NL_2015-09-29-eerstekamer-8.u8	I told you, things aren't going well. I have summarized that a little bit less, but there are places where it is indeed not going well. That does not alter the fact that there are many places, as the Minister also writes, where things are going well. It is now a question of whether the existing instruments, the legal instruments, provide sufficient targets for improvement, or whether, given what is not going well, there is every reason for radical change, with new definitions, new procedures and new obligations for a limited part of the healthcare sector.
ParlaMint-NL_2015-09-29-eerstekamer-8.u9	This line of thinking occurred about 12 years ago around the evaluations of that time. I mentioned the SunMw evaluation. Those were negative assessments of the current law. That is precisely why we are now putting in place a legislative amendment.
ParlaMint-NL_2015-09-29-eerstekamer-8.u10	This change of law started in 2008. However, this does not alter the fact that, in 2015, the Minister himself notes that a lot is going well. Something happened between 2008 and now.
ParlaMint-NL_2015-09-29-eerstekamer-8.u11	That's right, but when you look at the evaluations, you see that it's going particularly well in those places where work is already being done in the way proposed in the present law, the way everyone has to work.
