ParlaMint-NL_2015-09-22-eerstekamer-9.u1	I give the floor to the Secretary of State for Infrastructure and the Environment.
ParlaMint-NL_2015-09-22-eerstekamer-9.u2	Mr. Chairman. I am here very rarely; despite my broad portfolio I do not regularly enter the First Chamber. So it is my honor and pleasure to be here again. Today we are talking about the legislative proposal to implement the Recast Directive, which we call the Recast Directive in the department and in the popular sense the Recast. This Directive further elaborates and strengthens the rules on market forces on rail. The House has a great deal of interest in this matter. I'm happy about that. Mr Kuiper already referred to the investigation into privatisation and independence with the title 'Connecting?'. I think this investigation is still fresh in memory. Although market forces on the railways have often been debated, I am aware that I have never done so here. There has been no mention of it in this Chamber recently. The treatment of the implementation of the Recast is a good reason to talk about it. Before I go into the content of the legislative proposal, I would first like to outline a general picture of market forces in the Netherlands and give my vision. I'm gonna go into about six points. Where are we now with the market organization? How does this relate to long-term rail policy? How does the track record relate to the Disconnected Report? From the First Chamber? How does the Recast Directive fit into all of this? I also refer to the usage fee on which a number of spokesmen have asked a question. I would like to conclude with the Fourth Track package, because it is very topical. I had another conversation with the Commissioner last Thursday. I would like to take this Chamber into account, because it has explicitly asked whether we will have any room for manoeuvre. With a future view of that question, I'm gonna close. I don't think I need to tell this Chamber anything about where we came from with the trail. That has already been discussed, also in the report Disconnected? So I'm moving on fast. However, at the end of the 1980s and in the 1990s, thinking of liberalisation and privatisation as a sign of a modern government had a direct impact on the current market organization. Times when the market organisation was looked at more critically have also had an impact on this dossier. Both currents are often present at the same time. One group calls for liberalisation and the other for more public intervention and regulation. A year and a half ago I had a debate in the House of Representatives on the organization. There were two streams on display. To me, to this day, it is a continuous optimization between these extremes. I would like to mention three quotes from this Chamber's report on privatisation, which I have just quoted, with the first one: 'However, privatisations and autonomy soon appear to raise new administrative questions. Links between government and privatised services are becoming more looser, while new connections between services and citizens are emerging." The report also expresses the following: "It is not always clear what role Parliament plays in situations where control is given over. However, both chambers want to continue to steer developments, with the result that decisions sometimes take a erratic course." And: "Characteristic of the decision-making process is that at every subsequent stage, Parliament is making corrections to the "uncomplete" decision-making process in an earlier stage." During the time I have been working on this dossier, I come across all these characteristics and some of the conclusions and observations from the Chamber report. Where are we now with the market organization? The main thrust of the market organisation on the railways is as follows: There is one railway infrastructure provider in the Netherlands, ProRail. The shares of this infrastructure manager are held by the State. My ministry fulfills the shareholdership. ProRail is at the same time controlled by my ministry through the management concession. There is one carrier on the main rail network: the Dutch Railways. The shares are invested with the State and with the Ministry of Finance as shareholder. The NS is controlled by my ministry through the transport concession for the main rail network and the HSL. For the period 2015-2025, the transport concession was awarded directly to the NS and the management concession to ProRail. Local authorities are responsible for regional rail transport through regional concessions. These concessions are awarded in competition. I have expressed my view on the railways and the market organisation in the Long Term Track Agenda. Moreover, I am talking to the local authorities to see if we can better coordinate some of the elements of the concessions, for example for cooperation. You may ask yourself whether you should not align certain forms of reporting. If, for example, I am asked what is happening in the Netherlands with regard to social security on the track, I ask the NS. But that question is, of course, at least as relevant to the local authorities. So I am talking to the local authorities to see if we can standardise articles to ensure that we are unambiguous. The main line of my vision in the 2014 Long Term Track Agenda is that we need to move towards a "network Netherlands." This must be a network in which the interests of all the different parties are subservient to those of travellers and shippers. This means that there must be a good mix of connections throughout public transport. It is no longer traveling from station to station: people travel door to door. With the Long Term Track Agenda, the government provides clarity on the design of the rail sector. In this way, the parties can focus on a better journey for the traveller. The Dutch Railways are carriers on the main rail network and should focus on that transport. The main rail network remains intact until the end of the new NS concession on 1 January 2025, with the exception of the two Limburg lines that have since been tendered by the province. As I said, the regional carriers operate the regional railway lines. Several passenger transport operators may operate on international connections. There is no change in the market organisation in the long term Track Agenda. This was deliberately chosen on the basis of different analyses. We've actually had all the possibilities analyzed. We have more or less released a strength-weakness analysis on it and looked at what could be an advantage and a disadvantage of that choice. Eventually, we decided to leave it the way it is. I'm gonna go into that a little bit more deeply. Otherwise, we would end up in a structural discussion that would cause a great deal of unrest to the staff. In whatever way it would happen, it would mean for ProRail that the organization should be split up. I can explain that briefly. The capacity allocation of ProRail should be independent. If ProRail and the NS were to be brought back together, the capacity allocation would not remain there; it should be removed. At the moment we make another movement and ProRail, for example, would be put in the Ministry, where the inspection has now been put in place, the question is how independence towards the inspection is secured. We did a great deal of that analysis then, and we said: we leave it as it is, but we think that a number of looming errors need to be removed. That's what we're doing right now. This is not always flexible, but it is very important that we ensure that the organisations work together optimally, that we prepare them for the future, including the Fourth Railway Package, and that we ensure that other passenger transport operators, freighters and public authorities are involved in the cooperation. Boring the cooperation and the question of how ProRail and the NS should go into the future, I have laid down in the management and transport concession. We have said that the objectives of these two concessions, unlike the old concessions, can only be similar. ProRail cannot pursue other goals than the Dutch Railways. Those targets must be similar. The traveller, the shipper, the freighter must stand on one. In the concessions, therefore, we have designed as many incentives as possible in the same way. Mr Flierman asked about the direction. This cooperation is in line with the fact that the NS and ProRail are controlled by the same ruler.
ParlaMint-NL_2015-09-22-eerstekamer-9.u3	Thank you to the Secretary of State for the clear statement on where she stands. I'm going back a bit to the concession to the NS until 2025. The Secretary of State says that until then we will have this order with the NS as the rider on the main grid. Now, of course, the point is that in this directive and later in the Fourth Railway Package too, I know that the Secretary of State is going to talk about this later. The pressure is to fully open the track and also allow competition on our main grid. In my view, that would have disastrous consequences. If you're going to cut up that main grid into pieces, from the thought of that Fourth Track package of multiple riders, it's all gonna cause connection problems and even more communication problems. So we really shouldn't do that in the Netherlands. The Secretary of State says it'll stay that way until 2025. But how does it deal with this pressure from Europe, which is nevertheless consistent in its approach to further liberalisation?
ParlaMint-NL_2015-09-22-eerstekamer-9.u4	Mr Kuiper has tempted me to go into the Fourth Railway Package already. He's asking me the key question. The Recast Directive is a closed whole. The influence is going to come with the Fourth Track Package. Instead of sketching the future, I shall do so right now, because that is best in line with the question. The implementation of this directive is independent of the Fourth Railway Package. Mr Kuiper, you asked whether the adoption of the legislative proposal still leaves room for the Netherlands to prepare for the Fourth Spoor Package. The answer to that is yes. The Recast Directive does not contain any new requirements in terms of rail organisation compared to what is already covered by the Railway Act. The European Commission aims to fully open market forces. This is not covered by this directive, but the Fourth Railway Package is about opening up the rail market. The implementation of this Recast Directive does not hinder the Dutch commitment in the negotiations on the Fourth Railway Package. As you know, the Netherlands is not in favour of further opening up the national rail market. The negotiations are really in full swing as we speak, because we are busy trying to see if we can talk about a proposal in the Transport Council at European level on 8 October. I have been very active in this, because it was important to me that it was not the means of tendering that were chosen as an objective, but that the quality of the rail network should be the goal for the Netherlands and for the whole of Europe. I went out with two yellow cards under my arm, one of which was handed out by you, particularly because of subsidiarity. The Dutch commitment is that we want to make our own choices. So we want to be able to choose between tendering and direct award. That is the case now in the Netherlands, because the regional lines are being tendered, the main rail network has been awarded directly, and I would like to stress that transport on the main rail network should remain possible. In doing so, it is based on benefits in the form of concessions. It now seems that we have the support of other countries. That's not a race yet; we're really in the last few days to see if we can get that proposal done. This would mean that, if you take quality and the traveller as the starting point, direct award should remain possible, but it should be checked whether that actually produces the quality that you would suspect from a direct award. For example, I said to France: imagine that Paris will be divided into six pieces and then tendered. They hadn't thought about it. When I look at the outskirts of town and think that we should cut it up, I don't know how you look at it, then I start to get the goosebumps, because then the question is whether you can still offer that quality.
ParlaMint-NL_2015-09-22-eerstekamer-9.u5	I look at it just as much as you do, Madam Secretary of State, because it is indeed interesting and important in cutting up the pressure on the Dutch version of the comparison with Paris. That would indeed lead to all kinds of problems here, I agree with you. So you say that if we vote today or next week in favour of this bill, it will not stand in your way if you have to negotiate under the Fourth Railway Package? I would, of course, like to believe you, but I am only hearing this from you now, when this legislative amendment and the directive are, of course, completely breathed from the paradigm of the open market on the European track. So again, how is it that you are not standing in the way of the negotiations on the Fourth Railway Package?
ParlaMint-NL_2015-09-22-eerstekamer-9.u6	I have already been tempted by Mr Kuiper to bring forward the end. I'll be right back to the Recast Directive. I am now going through my speech in a different order. If you will allow me to conclude my speech in part, I think I will come to his answer. If that's not the case, I'd like to hear it.
ParlaMint-NL_2015-09-22-eerstekamer-9.u7	I would like to go back to the last part of the Secretary of State's speech on the internal organisation of the management of the rail network. She said in so many words that it is very good that the management concession for ProRail and the transport concession for the NS are dealt with at the same ministry and by the same govern ment because the interests coincide. This is perhaps the case as far as passenger transport on the main network is concerned, but we are also dealing at least with international transport, freight transport and regional transport, all of which are of great importance to this country. ProRail also has a responsibility, but that responsibility of ProRail is not necessarily in line with the interests of the NS. My question focused precisely on those aspects of transport and on the modalities that transport providers can also use independently and carefully when it comes to responsibility for the various concessions. Is it wise that they should be with one ruler? So I would like to hear from the Secretary of State how she deals with those potentially conflicting interests.
ParlaMint-NL_2015-09-22-eerstekamer-9.u8	I do not see any conflicting interests in that. For example, when it comes to the allocation of capacity, we have tried to make a huge impact on freight transport. The freight was arranged via Keyrail. We have lifted that and put it in ProRail to make better considerations. In addition, we have looked at how freight transport is now organised. You must imagine that slots were being spent on freight transport but not followed, because that freighter suddenly had some transport at another time, so in the middle of the day there were train roads empty. We have put this in ProRail in order to be able to switch much better between passenger transport and freight transport, because the goal is not only to get better on rail but also more. For more, you need a balanced distribution when assigning those train paths. Regional carriers must also be treated non-discriminatoryly. The capacity allocation at ProRail should be independent. How that capacity is distributed and how it is handled in the field must be equal. This is guaranteed, but the cooperation between the NS and ProRail must also be optimised in the interests of the traveller. Now, as I said, the concessions were not similar. They're heading for the same targets. ProRail and the NS simply need to work much closer together on the main rail network and ensure that cooperation also benefits the traveller. The capacity distribution in which goods and passengers meet shall be set out in a timetable each year. Anyone can submit their train paths. What matters to me is that there is also room for the dedicated Betuweline to fill in slots at the last minute. This capacity allocation takes place at ProRail. The moment I can manage both organizations through the concessions, I can also bring them together.
ParlaMint-NL_2015-09-22-eerstekamer-9.u9	Let's talk about capacity allocation. The Secretary of State previously stated that the organisational component that does this should be able to operate independently and that it should not be incorporated within the Ministry. What about the Chinese walls, the separation between the part of ProRail that divides the capacity and the rest? If I understand the Secretary of State correctly, she says that the interests are in synchronised with maintenance and so on and that she wants to steer them, but that she should stay away from the distribution of capacity, quite frankly.
ParlaMint-NL_2015-09-22-eerstekamer-9.u10	Capacity allocation shall be independent. There's also traffic control. It's supposed to make sure it all goes well. At the moment when there are problems, traffic management has to solve them. There has been a kind of crisis center for several years where all freighters, ProRail and the NS are together when something happens, for example in a collision with a person. Then there can also be equal switching. I would also like to draw attention to maintenance and investment. I'm steering those cases in the context of my grant-giving role. I also want to make these issues work better, because it has occurred that ProRail and the NS had conflicting interests in this regard. For example, the NS wanted to drive a bit faster and have a double track for that, while ProRail indicated that this cost money and wondered if that one minute was worth it. In order to stay out of these discussions, I've committed myself to an investment committee. That committee will be set up in the very near future, because it has now been set up. When it comes to large investments, in fact subsidies for large investments, the independent committee is going to look at whether the investment decision was properly made. An analysis is taking place so that, before I agree with the investment, a group of experts has looked at it.
ParlaMint-NL_2015-09-22-eerstekamer-9.u11	Very briefly, Mr Flierman, because I would like to give the Secretary of State the opportunity to make her speech.
