ParlaMint-NL_2015-03-10-eerstekamer-3.u1	I would like to welcome the Minister for Housing and National Service to the Upper House.
ParlaMint-NL_2015-03-10-eerstekamer-3.u2	Mr. Chairman. In the nineteenth century, the rise of industry in the Netherlands led to a mass migration of the rural population to the cities and this led to a huge housing problem. The liberal nineteenth-century government did not feel responsible for this. As a result, the first housing associations were initiatives of the good bourgeoisie and of the diaconies of churches that could no longer see the terrible conditions under which people lived. Around 1900 Dutch politics and the administrative elite had become convinced of the need for a more active socio-economic government policy. With the Housing Act of 1901, the government tried to regulate the housing market through the housing associations. Housing institutions were now able to count on financial support from the government, provided that they were subject to its supervision. After that, the growth of the housing stock and thus the growth of the housing associations took a huge turn. With state aid, corporations built thousands of homes a year. The government increasingly defined all facets of corporate policy: building style, rental prices and housing distribution. There was hardly any room for informal input through cooperative models. The voluntary directors and residents lost their influence on the housing work. In 1989 the then Secretary of State for Housing Enneus Heerma decided to self-destruct housing. The subsidy tap was turned off. The idea was that the cost of the social rent had to be paid largely by the construction and sale of expensive properties that the corporations had to develop. That made corporations creative in looking for opportunities to finance the social rent. Many corporations have captured this great freedom well and with integrity. Unfortunately, there were also shoulders that could not bear the wealth, which led to large, unspeakable abuses that were going to determine the image, resulting in a parliamentary survey. Why this sketch? To indicate the wave movement. Moreover, you need to know your past in order to be able to work constructively on the future. The world didn't start today. So we can learn from history. The present revision law and novelle have come a long way. This Chamber can be discussed with the knowledge of the recommendations of the parliamentary committee of inquiry, and so it should be. The members of the CDA Group thank the Minister for the detailed answers to the questions put. As a result, our input can focus on five areas: residential vision, housing sales, housing sales to finance restructuring in the non-DAEB branch, Europe and the theory versus practice. This law and novelle creates a system for the corporation sector in which the relationship with a particular area or municipality is central and in which residents can talk again. We appreciate that from this revision law. The rules are strict. Because of the abuses that determined the image, that is understandable, but we should not go back to the last century, when the government was everything. That is why we welcome the fact that, although supervision is more stringent, we are satisfied that it has been regulated by an authoritative authority. As far as we're concerned, he might have liked a little more remotely, but you can't have everything. The municipality is given a more explicit role and if you do not come out as a municipality and corporation, then there is always the minister as a dispute-solver in the back. However, if the municipality does not have a residential vision, it cannot rely on the minister as a dispute settlement and the corporations do not have to comply with the obligation to contribute to municipal policy in the area of housing through performance agreements in reasonable terms. With a view of living or whatever you want to call it, it's not about the letter, but about the spirit, the municipality has the opportunity to map out things like population building, housing stock and future housing needs, so you don't only know how many homes you need, but above all what kind of homes you'll need, whether it's rent or space for sale, for young or old, for families or for singles. With a residential vision, you let citizens talk about your municipal housing policy. On the basis of this housing vision, the municipality makes performance agreements with corporations according to the reform law. The government does not want to impose a municipal housing vision with this bill. According to the government, it fits in with the autonomy of the municipality that it itself determines how it defines its housing policy. However, the government shares the view of the CDA group that the housing vision should be a test for performance agreements between municipality and corporation. This revision law must be about the ultimate goal: to build homes for the people who need it because, given their income, they are dependent on it. The target group is mixed. Knowing who you're building for therefore seems essential to the CDA group and you can get that up in that residential vision. After all, nobody has anything to build for empty space. You could say that the vision of living is the foundation on which you literally build your future. Why, then, is the Minister's refusal and in all honesty also of his predecessors to anchor this foundation in the law? We know that the First Chamber has no right of amendment, but we ask the Minister if he is prepared to promote, in consultation with the VNG, that a housing vision be drawn up by the municipalities and to keep his finger on the pulse. Again, I don't care what it's called; it's about the ultimate goal, capturing what you need for the future. If this does not lead to the desired result, namely performance agreements between municipalities and corporations, then we ask the Minister whether he is prepared to make the housing vision compulsory after the review provided for in the law. With regard to debt securities, the House of Representatives has adopted the amendment tabled by Mr Knops (33966, No. 55) adopted. The amendment in question provides that in the case of restructuring projects where the land is already owned by the corporation, a market test should not be carried out on any non-DAEB elements of the new project to be built. Other requirements, such as efficiency requirements, are rightly in full force. The Minister is right to reply to the written question as to whether this exception should also apply to lease payments: land under lease is not own land. However, we also know that an important part of the restructuring plans for corporations and municipalities in cities such as Amsterdam, Rotterdam, The Hague, Utrecht and Maastricht are located on land leases. In the case of land leases, the municipal government continues to influence the building and use of land leases for a length of days. This gives the government more certainty about the new destination and is therefore an additional argument not to carry out a market test in the case of restructuring on debt-to-equity and to have the debt-to-equity treated as if it were its own land. Moreover, a housing corporation cannot be forced to sell the lease right to a market participant. So what's the point of that "market test"? In the view of the CDA Group, a lot of unnecessary red tape can be avoided by equalising own land and land use. The Minister now has the opportunity to take this back into the AMvB, after it has been removed from the first version of the concept of the AMvB. We would like to hear from the Minister either a positive response or a justification for the difference in treatment between own land and land use. Then we are talking about the arguments that emerged from the consultation round of the concept of AMvB, which has abandoned the equal treatment of property and property ownership. Clear profit from Enneus Heerma's policy was that because of the greater freedoms of housing corporations in many places in the Netherlands, wonderful initiatives could emerge from mixed neighbourhoods, that the viability became a shared problem and that, instead of building Vinex neighbourhoods, there was more listening to what future residents wanted. Citizen center, you could say. The CDA Group would not want to take a step backwards on this issue, but it is afraid of that. A feature of restructuring is that it is not only about housing improvement, but often also about district improvement. This often requires more than a group of social housing units. The market generally picks up only projects that are profitable, and that is understandable. With this law, several will soon have to be paid out of the sale of own property from 2012, minus WSW-stored financing and limited to the annual profit. According to the CDA group, this gives a perverse incentive. In conjunction with the landlord's tax, which the Minister also believes can be paid out of the sale of housing or the increase in rents, this incentive can lead to corporations no longer being able to satisfy what they are in nature to do, namely social housing, or that, by not being able to sell, we will be able to fall back into the problem of impoverished neighbourhoods. The CDA Group does not consider either to be a pleasant idea. Unfortunately, the landlord's tax in this Chamber is passed until the evaluation. We also pointed out the dangers mentioned above. We think we should take a look at how we should do this. We have also pointed out the dangers in the treatment of the landlord's tax. With the proposed financing of restructuring that does not fall within the SGEI sector, you run the risk of only strengthening this problem. We therefore ask the Minister once again why he prefers this strict method of financing to the so-called own resources policy which now, in accordance with European rules, is used to finance the restructuring in question. We will involve the debate and the Minister's replies in a motion which may be tabled in the second term. At the end of the month, the First Chamber received a letter from Aedes. A number of things have already been taken into account in this input. However, it was also mentioned that the tightening of supervision could create the impression that public influence extends to construction contracts, which may have an impact on the contracting of European or non-European goods. In view of the fact that the Minister knows the letter in question, we would like to hear a response from the Minister to the problem raised and the solution put forward. In Europe's view, rules on overcompensation should be laid down. Aedes argues that the "one size fits all" formula for overcompensation contains errors, says rather little about the actual benefit achieved and rewards inefficient business operations. Could it mean that a corporation that manages to reduce its operating expenses by working efficiently will soon be punished for good policy, while a corporation that does not do so will not have to pay back anything in the same case? I'd like a response from the Minister. We can think of everything in theory, but that doesn't mean that reality joins in. The proposal lays down that corporations must withdraw in the area where they have the most housing. I would like to mention some of the consequences of this. It would mean that Amersfoort would lose the two corporations with which it realizes its housing assignment, namely De Alliance and Portaal, because they are in other municipalities, in other areas more heavily in the numbers. Amersfoort in trouble. I would like to mention one more example, thanks to Aedes' body leaf. If housing company in the head of Noord-Holland would limit itself to the northern part, then there is no corporation anymore active in parts of the Waterland region. The other way around, that's the same thing. If region Purmerend became the core area, then the north has a problem, as it is the only social landlord there in large parts. In our view, this cannot be the intention. We now know the possibilities of identifying housing market regions and the role of municipalities in them. But that takes time, and it cannot be the case that the legislator, or the legislation, is going to work in such a way that the housing of people in not insignificant parts of our country is going to fall apart. We ask the Minister whether he recognizes this problem and, if so, what he is going to do about it or what practical solution he can provide. The CDA Group is not opposed to revising the housing policy. She appreciates the increased input of citizens and tenants positively. We support measures to try to make abuses such as those that have occurred impossible as far as possible with the knowledge of today. However, we do not want to shoot into a cramp, we do not want to throw away the baby with the bath water. At the time of Enneus Heerma, the subsidies received by the corporations have already been abolished. They had to earn the money themselves to realize the social housing task. This law makes it harder to earn and increases the burden. In fact, you go back a bit in time in that respect, but without a subsidy and without a pay model. Article 22 (2) of the Constitution states: "Promoting sufficient housing is the subject of public concern'. In our view, we have the housing corporations for that. For the CDA Group, it is the task of housing corporations to build homes for the people who need them. That is their core task, but then we have to consider whether we can do that adequately with this law and make it impossible or unnecessarily difficult for corporations to do so by means of a theoretical straitjacket. Sometimes the practice is more uncomfortable than the theory. Hence our questions to the Minister. We are waiting with interest for the answer.
ParlaMint-NL_2015-03-10-eerstekamer-3.u3	The VVD Group has welcomed the legislative proposal for a revision of the institutions and the novelle. During the written preparation we asked some questions. We thank the Minister for his prompt and nevertheless good response. It is not unusual for us to ask ourselves every legislative proposal: is there a problem? And if so, does this bill contribute to solving the problem? My group would like to answer these two questions in the affirmative. Yeah, there's a problem. The people's housing is not enough. There is too much freedom and too little democracy. For a people's party for freedom and democracy, there is a problem. But also for all those people and agencies involved in the corporations, tenants and house seekers. The Minister has dealt with the problem, with consistency. He comes to terms with Aedes and the European Commission. He's also dealt with the problem by communicating. He has spoken a great deal with supporters of his plans and with opponents. Thanks to the commitment of everyone, the bill was accepted unanimously. That is very special, because it is a comprehensive and complicated problem. In parallel with the draft law, the parliamentary committee of inquiry on housing corporations carried out its work. The Committee of Inquiry has received a great deal of appreciation. My group agrees with that appreciation. Two years of research, a thorough report and a unanimous opinion. The opinion of the Committee of Inquiry and this legislative proposal are largely similar. However, on two points they were very different from each other. On the issue of external supervision, the committee proposes a ZBO (self-employed administrative body) housing authority. The bill represents an inspection under the responsibility of the Minister. By amendment of D66, the Lower House has opted for an authority housing corporations without the status of an independent administrative body. The second point concerns the question: may only SGEIs or corporations continue to do non-DAEBs? I assume, Madam President, that the term SGEIs does not need to be spoken in full each time and that I can use the abbreviation.
ParlaMint-NL_2015-03-10-eerstekamer-3.u4	If you'd like to explain, that's enough.
ParlaMint-NL_2015-03-10-eerstekamer-3.u5	SGEIs represent services of general economic interest. So say the regulated sector, social housing and above that border the free sector. For Mr Duivetteijn too, the light is now shining, I see. Thank you, Madam President, for giving me the opportunity to transfer some knowledge. The Lower House has opted for a limited non-DAEB. My group agrees with these two choices as they are now part of the legislative proposal. The Group of the European People's Party (Christian Democrats) and European Democrats supports this proposal. It is a good answer to a serious problem. The proposed measures are necessary. There was a lot wrong and the whole sector wants to know what it's up to now. We therefore support the objectives of the legislative proposal. I'll give them a quick word. - to use the assets of corporations for social housing for people on low incomes; - reduce the risks to power, - setting clear targets in the regulated sector and in the free sector; - no market disturbance, - meet the European Commission's requirement that state aid be limited to housing for income up to €39,000. The proposed measures are also feasible. They will often ask for a new approach and new procedures. It can't be like it used to be. There are a number of things that can't be done at all. Or, as someone said, "Everything else must be changed so that it can remain the same in the end." The proposed measures are legitimate in the opinion of the VVD Group. The Minister followed the opinion of the Council of State and the measures were discussed in detail with the European Commission. The bill is not only necessary, enforceable and legitimate, it is also innovative. It makes room for the housing cooperative. This is an innovation to which Mr Duivetteijn has contributed a great deal. We hope that this cooperative will meet a need. Clarity is urgently needed for the sector. We can no longer wait to see if any improvements are possible. It is important that we now lay down the rules that have been lacking for so long. Of course, we are not uncritical. On some points, I would like to raise some questions and comments and I would ask the Minister to respond. This concerns the SGEI points - non-DAEB, the viability, the role of the municipalities, the position of the tenants and the culture of the corporations. I shall begin with the distinction between SGEIs - non-DAEB. The parliamentary committee of inquiry on housing corporations has invented a slogan: 'Non-DAEB: do not'. It's easy to remember, effective and attractive because of its simplicity. "Non-DAEB: do not" means that there is only SGEI left for the corporations. This clearly has advantages such as simpler rules, no market distortion in the free sector and fewer risks to social capital. But only SGEIs also have two major disadvantages. Rejecting non-DAEB possession of the corporations takes a lot of time and it will lead to huge losses. In addition, allowing non-DAEBs to no longer create an obstacle to urban renewal in those urban renewal areas where the market is failing.
ParlaMint-NL_2015-03-10-eerstekamer-3.u6	The legislative proposal solves this dilemma by setting SGEIs as a rule and non-DAEB as an exception; continuation of existing non-DAEBs and non-DAEBs in urban renewal. However, a number of keys must be performed on the latter: - Is non-DAEB necessary? This is established in the performance agreements between the municipality and the corporation; - Is the market absent? The municipality carries out this market test; - is the non-DAEB investment financially sound and profitable? WSW and the regulators are checking this out. In this way, it remains possible for the administratively separate corporation to invest in non-DAEBs in restructuring areas. As an objection, the sector mentions that this process is too complicated. On the other hand, however, the administrative separation was introduced precisely at the request of the sector. This gives more risks and therefore more rules are needed to reduce the risk. Moreover, corporations have the alternative to legal division. He knows a lot less rules. An amendment by SGP, CU, CDA and PvdA has been added which allows for an exception for smaller corporations. In total, these smaller corporations are only required to separate income and expenses if they do at least less than 5% non-DAEB and have a balance sheet total of less than EUR 30 million. So anything remains possible, but with fewer risks than before. The conclusion of my group is therefore that 'Non-DAEB: do not' is in theory the best solution, but in practical terms the regulation of the bill is preferable. A lot has gone wrong under the heading of viability and social property, as the report of the Committee of Inquiry shows. It is therefore a good thing that this is further regulated in the legislative proposal and in the AMvB. This is mainly done in the form of positive and negative lists of activities that are or are not permitted. My group can imagine that there will be new wishes over time. These are then included in the performance agreements and this could then lead to an increase in the requirements of the AMvB. My group wonders whether it would not be desirable to include an external border in the law in order to avoid an unbridled extension of the AMvB; a definition or a definition. This is all the more true because the concept of viability is also used in other laws. I appreciate the Minister's willingness to respond to this. The legislative proposal focuses on existing tasks of the municipalities, housing vision and performance agreements. In addition, it includes a contract for new tasks for the municipality, namely checking the compliance with performance agreements, the market test and the formation of residential regions. From a democratic point of view, my group wholeheartedly agrees with this. The municipality has an overall picture of all relevant interests, much more than the corporation has. From a financial point of view, my group sees a risk here, namely that the municipality will strive for provision at the expense of the corporation. The corporation has the money and ambition and will therefore want to meet the municipal wishes. It is fine that provision will be made, but the question is whether they should be paid by tenants or by taxpayers. The Committee of Inquiry recommends strengthening the position of tenants in order to increase the legitimacy of the system and as a counterweight to the corporation. A sympathetic proposal, with which my group agrees. My group also considers it desirable to look not only at the sitting tenants, but also at the position of future tenants, the house seekers. Now "dwelling seeker" is a broad term. There are people for whom moving is a wish but not a necessity. But there are also people for whom a house is not a wish but on the contrary need, the urgents and the active seekers who accept a offered home immediately. That's the group I'm talking about. Sitting tenants have a particular interest in maintenance and energy saving. They have less interest in rent increases, in new buildings and in countering skews. The other way around, house-seekers have an interest in new construction and countering skews. There is a conflict of interest here. In addition, house seekers are not organized, like tenants. Nor does my group share the view that housing seekers are represented by the municipalities. People looking for housing live or stay in various municipalities, they are not always registered as a house seeker with those municipalities and they are not all known to the Tl either. In this conflict of interests, my group believes that it should give higher priority to house seekers than to sitting tenants, because sitting tenants are in a relatively better housing situation than looking for housing. Residents live in, have to travel for a long time, can no longer pay housing costs, or have another urgency. For this reason, my group believes that ownership of tenants is desirable in principle, but that should not be at the expense of those seeking housing. That is why we have difficulty with a right of consent for tenants, for example in the case of rental policies, in the case of purchase and sales policies, and in the case of new construction plans of the corporation. Meepraten, yes; co-decide, no. More generally, we are wondering how the interests of house seekers can be better served, on top of existing policies. We appreciate the existing policy, but we wonder if it can be done even better, especially when we hear that municipalities now want to build their own homes. On this point, too, I would like a response from the Minister. Finally, culture. Let me begin by saying what we do not mean by culture. Everything I would like to put into structure is not part of culture. Structure is then: powers, tasks, organisational structure, procedures, measures, etc. I call culture the attitude with which it is worked, the basic attitude or mentality. Corporations could include some elements such as the fact that the corporation works for people from the lower income groups; the fact that a lot of confidence has been lost in the sector and much needs to be recovered; the fact that there is work with social capital, not own money, but money from others; the fact that there is work with property worth a lot. That requires extra discipline. It is only to avoid misunderstanding that I mention these points; it is not a final definition. The draft law takes a lot of measures. In addition, the stacking of rule by line has been avoided. The principle of 'quis customer custodes' is well applied. But has culture changed, too? There are reasons to doubt that. Aedes and individual corporate directors have stressed that all kinds of positive forms of housing and building would be difficult, if not impossible. Of course, advocacy is permitted. There's an oration pro domo to be expected from Aedes. But it doesn't sound like the words of someone who claims to have learned his lesson. Even during the discussion of this bill in the House of Representatives, there was again talk in the publicity about the salaries of directors. Research shows that 73% of corporations focus on the real estate market and 27% on the target group. 17% of the corporations did not participate in Aedes' benchmark. It is all legal, but it is not the self-limitation that we think we can expect from a social housing corporation. It is extremely difficult to change culture. This calls for indirect measures in the context of the structure. Perhaps I should mention two suggestions, without giving the pretence an adequate solution. First of all, to increase public access. Much is already public, but more can be made public, active and passive; maximum. The WOB in the semi-public sector. It could, above all, work preventively. Thorbecke said it: "Nothing works as purifying as the light of public access." Secondly, a register for Commissioners. An interesting start has been made in Rotterdam. It's just two suggestions, but maybe there are more. Is the Minister prepared to look into that? It's easier said than done, but we need to make sure that we don't get back to business as usual, because that would be unforgivable for all those people who depend on the social rental sector.
ParlaMint-NL_2015-03-10-eerstekamer-3.u7	Mr. Chairman. Today we are talking about a significant legislative package, in which a multitude of measures are taken, which are partly further developed by AMvB. Both legislative proposals that we are discussing today, jointly and as a unit, have been discussed in detail in the House of Representatives, and the novelle has also been substantially amended there. I will not attempt in this debate to discuss all the discussions that have taken place, or to deal with all the parts of the legislative proposals. I am happy to note that the various parties have different concerns, so perhaps we will all be able to cover the whole bill. Although the legislative proposals focus on the regulation of the admitted institutions for housing, the housing corporations, I do not go into the background of the law and all the effects that the law will have on the corporations, but I particularly look at the effects from the point of view of the supply and affordability of housing for tenants who rely on cheap rental homes, the purpose of social housing policy. I deal with the role of the municipalities, the appropriateness test, the rent policy and affordability in relation to sustainability and energy saving. Although they are important elements of the law, I will not go into in detail the strengthening of the position of tenants, the regionalisation and supervision of housing corporations, the co-operation of housing and the separation of SGEI/non-DAEB activities. Fortunately, we have already dealt with this abbreviation, so fortunately I do not have to mention it again. In particular, with regard to tenant participation and the maintenance of a limited possibility that housing corporations can work alongside housing for social functions and livingability in the neighbourhoods, significant improvements have been made to the legislative proposal by amending the House of Representatives. At the end of my story, I will discuss the exemption from the market test on land owned by land versus land leased by land. But as I said, I'll start with affordability. Where an important objective of this legislative proposal is to ensure that housing corporations focus more on their core tasks than before, ensuring a sufficient amount of affordable housing for those who are dependent on it, it is not, of course, intended that the legislative proposal should have the anticipated or unforeseen effect of jeopardising that affordability. But there is that risk, both in terms of the size of the social core stock and in terms of rents. Both in this legislative proposal and in previous legislative proposals, where questions were asked about maintaining the stock of affordable rental homes, the Minister refers to the performance agreements that municipalities can make with housing corporations on the core stock. The present legislative proposal further strengthens the role of the municipality. The municipal housing vision is given an important role and also gives the municipalities more opportunities to influence the activities of housing corporations. On the question of what happens if municipalities do not establish a housing vision, the Minister says that it is in the interests of the municipalities to do so and that they will. On the question of what happens if performance agreements are not made, the Minister replied that the municipality can submit a dispute to the minister if a corporation does not want to participate in the design of the social housing contract. These answers seem to assume that municipalities themselves will and will always do the right thing. A very good starting point in itself, but the question is whether it can be done without a correction mechanism at all. In most municipalities, the discussion about the desired stock of social housing is based not only on the number of people seeking housing, but to a large extent colored by party political beliefs, where the question of who one wants to live in priority housing plays an important role. This may mean that housing people with lower incomes and thereby maintaining an adequate core stock of social housing in some municipalities may be compromised. Does the Minister recognize this? And if so, what possibilities does he have to intervene? I am pleased that my colleague from the CDA cited Article 22 of the Constitution, because taking care of that nuclear stock is also a responsibility of the government. Would it be an option if not only municipalities, but also housing corporations or tenant representatives could submit a dispute concerning performance agreements or their absence to the Minister? Monitoring alone does not seem sufficient to prevent municipalities from giving insufficient priority to housing people with the lowest incomes. I'm not saying that municipalities will or will do this, but if they do it, it will take more than monitoring. We assume that when evaluating the law the role of the municipalities is carefully considered: do they take up their responsibilities; do they set up a living vision and do they make performance agreements? And do these visions and agreements result in the core stock of social rental in the municipality being set at a level appropriate to the share of residential seekers within the primary target group? I would like a commitment from the Minister that this will be the subject of evaluation, and that he will come forward with proposals for appropriate measures when it appears that municipalities remain too passive or meet a substantial number of municipalities too low in core stocks. I'm coming to the appropriate allocation. My group supports the principle of appropriate allocation. It is important that tenants in the primary target group are offered a truly affordable home and not a home that is still a social rental house in name, but for many people in fact already priceless. We therefore share the principle that people in the primary target group should be offered a house below the capping limit. However, the question is whether the design of this point of departure in the law and in the AMvB is not so gross and inflexible that the undesirable side effects will outweigh the positive effects of the measure.
ParlaMint-NL_2015-03-10-eerstekamer-3.u8	Mrs De Boer, I have a question for you: you say that the municipalities will probably not forsake, but you would like to hear from the Minister what kind of mechanism he has, other than monitoring, if municipalities do. What I am struggling with a little bit, and I already had that when my colleague from the CDA, Mrs De Vries, was speaking, is that at the moment we are going to decentralise something, because we think that there should be something more to the local government, you notice in this house that immediately there is another tendency to ask what we can do centrally. In any case, you just skip over the province. I always wonder where that came from. You give something away we do that in all kinds of areas, for example at the Wmo..................................................................................................................................................................................................................................................... That is, in advance, distrust of how things will turn out.
ParlaMint-NL_2015-03-10-eerstekamer-3.u9	There is a need in advance to ensure the fundamental rights of citizens. I'm struggling with that myself. So I'm in favour of giving the municipalities an important role. However, the government has a system of responsibility, precisely for guaranteeing the fundamental rights of its citizens. How do you shape that as a government? Monitoring is part of that, but the question is whether that is enough. That is why I ask the Minister to explicitly involve this in this evaluation and to see whether municipalities take responsibility and whether the overall nuclear stock is sufficiently established. If it all works out fine, I'm fine with it, but it's something we need to think about. We cannot say: it is now with the municipalities, so it will go well. I'd like to assume trust, but I do think you should think about how as a state government you properly fulfill that system responsibility. I had come to the appropriateness test and the question whether its design is not too inflexible. In particular, housing corporations call on the undesirable side effects of the requirement that 95% of those seeking housing from the primary target group should be offered housing below the capping limit in three years' time. For example, Aedes points out that a uniform national regime makes it impossible to make agreements and provide tailor-made services at regional level, whereas the availability of cheap rental homes and the possibility of allocating them to certain income groups varies considerably between regions depending on the situation in the housing market. Aedes also argues that in many municipalities there are simply too few houses with rents below the capping limit to meet demand from the primary target group; there is a mismatch. According to the housing corporations, there are two ways to deal with this mismatch when it is no longer allowed to allocate more expensive rental homes to those seeking housing from the primary target group: either the target group has to wait a little longer for an affordable home, or the housing corporations rent more homes below the capping limit. This will then have to be done by offering more expensive housing cheaper, because within three years a corporation will not be able to build a significant amount of cheap housing. However, housing corporations have to take advantage of this: they receive less rent income, while the landlord's tax they have to pay remains based on the higher value of the property. There is a good chance that the housing corporations will compensate for the rent of more expensive houses for a price below the capping limit by renting out really cheap houses that are now under the maximum reasonable rental price more expensive, right below the capping limit. This in turn may mean that, in contrast to savings on the rental surcharge paid above the capping limit, much higher rent allowance expenditure is placed below the capping limit, which does not leave much of the objective of the adequacy test contributing to the reduction of the cost of the rental payment. That's not supposed to happen, is it? Does the Minister not think that with a mandatory national standard of 95%, he puts housing corporations in municipalities where there is now a mismatch in an impossible position? Why didn't he choose a lower percentage in the AMvB, with more room for local customization? Doesn't that fit much better with the spirit of this bill, where local agreements between municipalities, housing corporations and tenants prevail? Why is local customization being put first when it comes to determining the core stock, but not when it comes to allocating it appropriately? These two subjects are inseparable from each other, aren't they? Is the Minister prepared to include a lower percentage in the AMvB, with the remark that other percentages can be agreed in local performance agreements? If he is not prepared to do so, how should housing corporations resolve the dilemma he considers? Should they increase the waiting lists, or should they rent houses below the price? Or does the Minister see any other solutions? Could a temporary rent discount on the basis of income be helpful here? And if corporations are gonna rent out more expensive properties below the capping limit, how are they gonna pay for that? Does the Minister recognise the risk that they will rent cheaper apartments more expensive to compensate, with all the consequences for the rent surcharge? It is to be expected that the strict requirements for appropriate allocation will also put a brake on investment in improving the energy efficiency of social housing. After all, if the rent is to remain below the capping limit, these investments will not quickly be profitable. The adequacy requirements may not only result in investments not being made in sustainability, but also in tenants paying more, on balance, to a rent below the capping limit plus energy costs than they would pay for a slightly higher rent with much lower energy costs. This cannot be the intention either, I would ask the Minister, partly in view of the energy agreement, which was also signed by Aedes. Does the Minister see the possibility of adjusting the rules for the appropriate allocation in such a way that investment in sustainability and energy saving continues to pay, for example, by looking not only at the bare rent, but in one way or another at the total burden of living?
ParlaMint-NL_2015-03-10-eerstekamer-3.u10	I very much agree with you that appropriateness is a serious problem and that it is also increasingly due to a large number of causes. Now we were just discussing whether matters should be settled locally or not. The performance agreement is of course a great success, but here we are talking about the, I would almost say, primary task of the corporations. Isn't it the main reason for their existence to help lower income groups get affordable homes? It is not obvious to look at the Empire for a solution. I also have the feeling that there are many more solutions that the two Aedes have put forward.
ParlaMint-NL_2015-03-10-eerstekamer-3.u11	I totally agree with that. And that is why I ask the Minister why he puts that percentage at 95 nationwide. That is very inflexible and that makes local customization impossible. Just because of these local performance agreements you can see what the offer of affordable rentals is in your own municipality and whether you can get that 95% there. If you can make it, there's no problem. If there is a problem, you can see how to make the most appropriate allocation locally. Moreover, you can look much better at the investments in energy saving locally.
