ParlaMint-NL_2015-10-15-tweedekamer-14.u1	The Minister is now moving on to his last block: the future-proof energy supply.
ParlaMint-NL_2015-10-15-tweedekamer-14.u2	Mr. Chairman. As I have announced, I will first discuss a few different topics. Then I will talk about renewable energy, energy saving, energy innovation and heat and mining, i.e. heat and gas extraction. Then I will go over the things that I have left behind here and there in connection with the introduction of the spokesmen, including a question from Mr Verhoeven on the Dutch Venture Initiative, one of the funds we are working on to improve the financing of business. Finally, I would like to say a few words about the amendments. I'll start with the future energy supply. Maybe first a general remark. Before lunch, we talked about economic growth and everything related to it. In order to sustain this economic growth for the future, it is essential that we have a reliable and affordable energy supply. Reliable and affordable is not enough nowadays; it must also be sustainable. We have agreed on this: by 2050 there must be a fully sustainable energy system in the Netherlands. For lunchtime I also gave some information about the strength of the Dutch economy and the state of the Dutch economy. It might be good to put forward a single point about the reliability and affordability of the Dutch energy supply. Our reliability is actually unique in the world. The reliability of our electricity supply is 99.99%. The reliability of our gas supply is 99.99%. If a company wants to settle somewhere in the world and it comes in a country like the Netherlands, where the crucial energy supply has such a degree of reliability, it is understandable that it has considered this as an important location factor. However, it is also good to know that we can also be satisfied with its affordability, especially that of our electricity. Let me compare the price of electricity in the Netherlands, including taxes, with its price in our neighbour Germany. Households in the Netherlands pay lower prices than those in Germany. SMEs pay lower prices here than in Germany. The industry as a whole pays less than in Germany. Germany is only cheaper for energy-intensive companies, so there is a difference. That difference's gonna go away. Currently, it is estimated that the price difference on wholesale electricity between 2013, i.e. two years ago, and 2023, over eight years, will decrease from €14 to €2 per MWh. So we are already cheaper for the vast majority of the market and for energy-intensive companies we will be almost at the same level as Germany by then. So we have a very reliable, secure supply of electricity and gas in the Netherlands, and it is also good here with its affordability. Mr Bosman expressed his concern. He said that according to the information he has, we may already have an electricity shortage by the year 2019. He was wondering how we're gonna catch that. According to TenneT's report, in 2022, three years after Mr Bosman said, we still have a power surplus for electricity of 1.3 gigawatts. A surplus of 1.3 gigawatts in 2022 is a lot, but we also have a gas production capacity of 6.2 gigawatts in the mothballs, i.e. preserved. 2.5 gigawatts of which can be used immediately. So even if something would go wrong with what we have available, it's all modern, by the way, there's something else modern that can be used quickly. In addition, we have 8.7 gigawatts of interconnection capacity with Germany and Belgium. So we also have a very large plus. You can also look at the Netherlands in the Northwest European context. In doing so, we work together with a number of other countries in a so-called pentalateral forum. That's where we looked at our part of Europe. The security of supply is also good in that regard until 2022. There is a focus on Belgium and France. Both countries may depend partly on neighbouring countries, i.e. France, Belgium, Germany and Spain, for their security of supply during the winter periods. For Belgium, this is mainly about Germany and the Netherlands, because France is less on the agenda. In that way, in the larger context and on our own strength, we have it well for each other. Then the sustainability. I told you, it has to be reliable, affordable and sustainable. For me, sustainability of energy supply is one of the key elements of the policy. I am well aware that this is a crucial task for me, particularly from the coalition agreement. Following its elaboration in the Energy Agreement, I am convinced that by 2020 we must have 14% renewable energy in the Netherlands and that I must make my contribution to achieving this. By 2023, that should be 16%. I'm really focused in my policy on getting that done. I'm about to go into 14% and 16%. From the National Energy Exploratory we can see that as a result of the transformation from fossil to renewable energy we are currently experiencing, the number of jobs in this sector in the Netherlands is growing rapidly. Last week, we had a discussion about the job losses that Eneco and DELTA said would arise as a result of what is happening in the fossil energy world and of the rules in the Law independent grid management. According to both companies, between 1 500 and 2,000 jobs would be lost. I do not know if that is the case, but I do know that the transformation we are going through leads to jobs disappearing in fossil energy. These are added to renewable energy: this year, next year and the following year on balance, 15,000 jobs per year and 80,000 net jobs in the period up to 2020. So that's a big side effect of this transition. If you look at what is happening on certain parts of the fossil energy supply, I also think it would be good if you also see the overall picture of what is coming back to extra employment in this sector, especially in Zeeland, Groningen and the Rotterdam area. Mr Vos also spoke about the 15,000 jobs. So we are talking about 15,000 jobs per year until 2017 and then in a slightly lower number, until we reach 80,000 jobs by 2020. The energy supply in the Netherlands is not all without problems. There are, of course, major challenges. I mainly have them in Groningen, which we have often talked about. We will discuss it again at the end of the year if we look at what is still possible in the future in a responsible way and what needs to be done around it. We have already had a number of intensive discussions on this subject. We'll have it again by the end of the year. I will go into the issue of energy saving in a moment, because that is also an important part. If you want to make it more sustainable, energy saving is crucial. For this purpose, the energy agreement also includes objectives. I shall go into this in more detail. I shall begin with the objectives of 14% and 16%. I have already said that these are crucial to me. I've got to make sure they're made, and I'm sure I'm going to do the same. Mrs Van Tongeren wondered how I would base myself on achieving this 14% renewable energy target by 2020. We came from 4% renewable energy. I think we'll be at 6% by the beginning of next year. That's one and a half times as much. The National Energy Exploratory says we're at 12.4% by 2020. So that's three times as much. I myself have three and a half times the target for 2020. So that's 14%. By the year 2023, it must be four times that, 16%. National energy exploration says we're gonna make it 16%. If what is now in motion, implemented and realized, and we think that is possible, then it becomes 16.1%. The National Energy Exploratory also includes 12.4% for 2020. This means that the objective will not be achieved. There is no choice at all for me, I will achieve the objective. First of all, I've looked at exactly where the bottleneck is. That bottleneck is largely windy on land. We have an ambition to have 6000 megawatts of electricity production wind on land by 2020. According to the National Energy Exploratory, we've reached 5,100 megawatts. So that's not enough. That extra wind-on-land capacity is part of the Empire. These are projects larger than 100 megawatts. That's where I'm on course. I'm gonna do it. The capacity is also part of the province. Those are the smaller projects. There is a risk that there will be delays. However, we are still in the year 2015 and we are talking about the year 2020. I talked to the provinces about that. We've visualized where the problems are. We've agreed that we're both gonna make sure we solve those problems. Some of this can be done by the provinces and some of it must be done by ministries. We're both gonna do our part to make sure we get it done. Secondly, the scheme for local energy production, whereby people in a neighbourhood, in a village or in a few villages together produce electricity together. They will receive a 7.5 cent discount on the energy tax. In consultation with the field, we decided to raise that discount to 9 cents. This has already been incorporated into the budget. We expect 175 new projects to emerge from this in the coming years. They will also contribute significantly to the capacity we have in 2020. Thirdly, together with my colleague Secretary of State Dijksma, I will set up a public-private innovation programme for monofertilisation. This will contribute not only to the management of the agricultural entrepreneurs concerned, but also to sustainability. I'm also going to deepen our experience of geothermal energy. We're already doing a lot about geothermals, but we're going to see how we can further stimulate it, in whatever form, also for ultra-deep geothermals. We're going to involve the greenhouse horticulture industry. This should clarify the possibilities for this in 2016. That is why I am going to implement it, so that it can also contribute to the situation in 2020. I will also bring the SDE+ commitments, which I made last year to 3.5 billion and the year before that to 3.5 billion, to 8 billion for the coming year. In this way, there will also be a lot of additional capacity available. By doing all these things, I am convinced that we are going to achieve the rate of 14 by 2020.
ParlaMint-NL_2015-10-15-tweedekamer-14.u3	That the Minister has that conviction, I know, and that graces him. It's also what he agreed to in Europe. But is there a bill underneath that? I'm just gonna get one out. Solar energy accounts for 0.008% of total energy consumption in the Netherlands. I am very much in favour of doubling, quadrupling all these local energy corporations, but with this example the Minister will not make any progress. With which it may be possible, my colleague Linda Voortman's motion, which was adopted ten minutes ago, calls on the government to come up with an additional package of measures to ensure that energy savings in the built environment are respected. This motion might give the Minister the opportunity to take major steps with energy savings in the built environment. Does the Minister see possibilities? I know that the motion has only just been adopted, so I understand if there is no precise answer, but that could lead to a large volume.
ParlaMint-NL_2015-10-15-tweedekamer-14.u4	Mrs Van Tongeren, with this interruption, gives me the opportunity to take another important measure. I will return to energy saving separately later. We need to look at all the possibilities for this. What we can use responsibly will certainly have to be done. What I have not mentioned yet, but which will make an important contribution to that 14%, is a separate subsidy scheme for small heat options: solar boilers, heat pumps and biomass boilers from individuals and companies. We have half a billion available for this up to 2020. We are already going to spend 70 million of this for the first year. I have the expectation that this alone will be good for 0.8 percentage points of additional renewable energy. That comes with the 12.4% and the 0.8%. Then we have that extra 900 MW wind on land. I have already said that next year we are going to make a commitment of 8 billion. Of course, there is a lot to be said about this. I call the monofertilisation, the geothermal, plus the local energy production, where Mrs Van Tongeren has often said positive things. All that together is good for that 14%. If Mrs Van Tongeren wants an indication of the various options in tenths of a percentage, I will send them to the Chamber.
ParlaMint-NL_2015-10-15-tweedekamer-14.u5	Mrs Van Tongeren would very much like that. In Europe, we have to comply with the system of the European calculation method. Does the Minister agree with me?
ParlaMint-NL_2015-10-15-tweedekamer-14.u6	Yes, I agree with Mrs Van Tongeren, but not with this European calculation method. Calculation methods are beautiful, but it's about the amount of renewable electricity we produce. That's all that matters to me. If there is a European calculation method that indicates that there is a windmill x, while everyone knows from practice, including ECN and PBL, that there is more coming out, then I create my own problem by taking over a wrong method. ECN and PBL also say in the National Energy Exploratory what the real production is. They also used this last year in the NEV 2014. I'm already in enough trouble and I'm not going to unnecessarily create a new problem. I'm just holding on to the actual electricity production. The CBS has told me that Eurostat will advocate changing this European calculation method. In the meantime, I'm sticking to reality. I come to the target for 2023, which we are going to achieve. It is 16.1% renewable energy, mainly generated by the large contribution of wind to the sea. I am very grateful to the Chamber for the speed with which it has acted in dealing with the various laws. Last week, the STROOM Act was passed by the Chamber, so that this law can also be dealt with in time in the Upper Chamber. This also means that tenders for windmills more than 12 miles off the coast of Borsele in Zeeland can get out in time. It means that next year and the following year we can start with the first two of five large wind farms at sea. The fact that all this can be done is partly due to the Court's desire to deal with the necessary legislation at a rapid pace. I would like to say once again that I am very grateful to the Chamber for that. I will contact the First Chamber to try to get the treatment of the law STROOM on the agenda and to deal with it in good time.
ParlaMint-NL_2015-10-15-tweedekamer-14.u7	If the Minister is in contact with the First Chamber and is using his influence there, is he prepared to use that influence to deal with the amendment on the reversal of the burden of proof in Groningen, an amendment which was adopted by this Chamber in April and which has now been provided with information by the Council of State and the corresponding law? I would very much appreciate it if the Minister would use his influence to do so.
ParlaMint-NL_2015-10-15-tweedekamer-14.u8	This remark by Mr Vos does not show great impatience, because this has been dragging on for some time. The request for information has been with the Council of State for a long time. I therefore understand very well why he wants it to be dealt with quickly, now that the information is available. The House of Representatives has, however, amended a law that dealt with something quite different. I have asked for information on this matter. It is now in the Upper House, but at the same time there is also a regular bill dealt with by the Lower House. That bill is about... I am wrong: that bill has not yet been dealt with by the House of Representatives. I sent that regular bill to the House of Representatives and the Council of State will give its opinion on it very soon. I can well imagine that people in the First Chamber think: "We are getting an opinion from the Council of State on a regular bill. There's information on that amended bill. It is important for us to look at this in conjunction." I'm not gonna send for that. I think it's up to the First Chamber to decide. I want things to go smoothly, but I can understand why the First Chamber wants to look at it in conjunction. I'll leave it to her to decide how she intends to implement it. I should also like to express my reservations towards the House of Representatives on the way in which legislative proposals are dealt with.
ParlaMint-NL_2015-10-15-tweedekamer-14.u9	Carefulness and speed are concepts that you always have to put in the right perspective. That is one of our tasks, and I understand why the Minister sees it that way. The Minister said that the information is now in the Upper Chamber. Did I get that correctly?
ParlaMint-NL_2015-10-15-tweedekamer-14.u10	No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, Where exactly is it? Is it in the first room? I ask that of my staff and they tell me that it is not yet in the First Chamber.
ParlaMint-NL_2015-10-15-tweedekamer-14.u11	That information is still with the Minister. I would ask him to send that information to the First and Second Chambers as soon as possible, to the First Chamber for examination and to the Second Chamber for notification.
