ParlaMint-NL_2015-10-14-tweedekamer-5.u1	I can see the minister at the microphone. He's ready to give his first-term response.
ParlaMint-NL_2015-10-14-tweedekamer-5.u2	Mr. Chairman. I think it is right that I should make a number of comments on the issue of refugees and the situation in the Netherlands and then on cooperation on this issue in Europe and cooperation with the partners on the fringes of Europe. I am going to pass on the questions that have been put in the Chamber. I will talk in particular about the agreements within last Monday's coalition, which we are now working on. Then, if the President so permits, Secretary of State Dijkhoff will continue to discuss the reception arrangements with the Chamber and Minister Asscher of Social Affairs will continue to address all questions relating to integration. I don't see anyone objecting to this. Yes, for a moment I thought Mr. Pechtold looked at me with a look of "we're not gonna do that" but I misinterpreted him. I will continue along the line that has just been outlined. I shall begin with a number of comments that have been made on the domestic political situation and how we deal with the increased influx. I do so in the light of the fact that we have to establish together that this influx is indeed increasing and has already increased. Since the end of August, early September, the number of people involved is at least considerably higher than in the previous period. That has everything to do with the situation in the region. In Syria many people have been fleeing inland for a long time, but also for some time people have been fleeing from Syria to the countries around Syria, namely Jordan, Lebanon and Turkey. One of the triggers of increased migration seems to be the fact that there were food supply problems in the reception camps in those neighbouring countries, especially in Lebanon but also in Turkey. We discussed this matter last time. We then discussed the need to invest extra in the world food programme. The Netherlands and other European countries are also doing this to reduce the immediate need to leave the refugee camps for Europe in the coming months, during the winter. In addition, there is a great deal of pressure on the region. Against this background, we are seeing the numbers increase. The question has been asked from several quarters whether we could not have seen this coming. This also applies, of course, to what the international organisations have said. I had the opportunity to have a wide-ranging discussion with the former Prime Minister of Portugal, now High Commissioner for Refugees, at the United Nations General Assembly in New York. I refer further to the IOM. I note that they also did not send out any signals that the amount of asylum influx would be this large. The question can then be asked as to whether we should maintain some kind of spare capacity for this. This seems very difficult to me. If you were to say that you're keeping 20,000 houses empty in case the asylum influx increases, I don't expect there to be support for that. If you were to say that azc's that are no longer needed remain open because you do not know whether the influx of asylum will increase again in the long term, there will be no support for that either. So this is a difficult issue. The COA has always had a buffer capacity. However, it would have been both financially and socially unacceptable to have chosen to keep shelters in reserve when these beds are not used by anyone. It is therefore a difficult issue: how to deal more structurally with the increasing influx of asylum in relation to the capacity issue. In this particular case, the graph of the influx takes the form of a hockey stick from the end of August. There's a nod in that graph and then there's a rapidly rising line. We have not been able to provide this picture.
ParlaMint-NL_2015-10-14-tweedekamer-5.u3	In the first three sentences, the Prime Minister quickly ignored the reception in the region. Is he gonna come back to that separately?
ParlaMint-NL_2015-10-14-tweedekamer-5.u4	Yes, of course, when I come to speak about Europe, I come to the region in detail. I start with the Netherlands, because there was Friday consultation with provinces and municipalities and last Monday in the coalition. This is also the focus of today's debate, and that is why I thought it would be a good idea to start with that. The scarcity of the housing market and the increased pressure on it, but also due to the scarcity of reception capacity for the short term, make it inevitable that we are working on sober facilities. It is now illusory that people who now have a status simply flow from the asylum-seekers' centre to a rental house. This means that we are working towards semi-permanent housing in public buildings, for example, to solve this problem in the slightly longer term. This also includes an adapted assistance arrangement providing a number of elements in kind. There is still something in between, namely the municipal self-care arrangements that we now need for the short term in order to reduce the pressure on the COA. We are talking about some 10,000 places that we want to realize quickly. This also applies to licence holders. I say that they receive the same weekly money as a resident of an azc, i.e. €45 food money and €12 for personal care. The idea is that this could take about six months. It may be extended, but it is in principle for six months because a municipality should then be able to provide that shelter. We know that it is difficult, so in the meantime we are working on the semi-permanent facilities which also show assistance. This means that there are three steps for a status holder. The first is: undesirable in the azc, because it holds a place that is intended for an asylum seeker who does not yet have a status. Then the most logical route would be: from the asylum seekers centre to a municipal self-care arrangement. This means that the person is staying outside the azc, but is still subject to the financial regime of the azc in the sense that the weekly allowance corresponds to that of a resident of an azc. Health care schemes are also applicable. The municipality gets €100 per person per week. That amount is intended to pay rent, maintenance and equipment. After that, the idea is that they flow into semi-permanent facilities. We still have to look at it all in detail and it will also have to be customised, but it may be that several people are going to use one residential facility. Then elements such as the cost-sharing standard come into view. In addition, the municipality may decide to provide the health insurance scheme in kind. It seems from that postulate that there is no need to pay rent or care allowance. Mr Samsom and Mr Zijlstra reported that as well. That's phase three. The status holder thus stays in the azc with a status "unwelcome," then goes to an intermediate supply via the municipal self-care arrangements and flows to semi-permanent shelters after six months.
ParlaMint-NL_2015-10-14-tweedekamer-5.u5	The Prime Minister says a lot of things. Let's get one thing by the head. He says there's not enough room for housing. We're gonna need some real estate soon. They could be semi-permanent homes or whatever you call them. There is simply a serious shortage of accommodation, not only for status holders who are now in an asylum-seekers' centre, but also for many people who have been on the waiting list for a long time. 10,000 homes don't solve that problem. Is the Prime Minister prepared to agree with the Chamber on stopping the sale of social housing? Now that happens with more than 10,000 homes. If you stop that, you'll have one less problem. Will the Prime Minister also ensure that corporations are given the space to invest? That could also give a huge relief. And is he prepared to raise that 10,000 to at least 100,000, as suggested by the Labour Party? That way you can really fix something.
ParlaMint-NL_2015-10-14-tweedekamer-5.u6	Assistance in kind, the freeing up of charges for e.g. rent surcharges, the saving of assistance from the cost sharing standard, which affects directly to the municipality and the charging of a rental amount, create opportunities for the municipality to consider together with corporations how to invest in order to arrive at this semi-permanent housing. This Friday there will be consultation with the corporations. Colleagues Dijkhoff and Blok then talk to the corporations to bring these things together. I think that is wise, because in that context you can see these issues well and ensure a good investment climate.
ParlaMint-NL_2015-10-14-tweedekamer-5.u7	The Prime Minister's got a lot on his mind. There is a huge housing shortage, especially in social housing. There are a number of reasons for this. One is that more than 10,000 rentals are sold. A second reason is that housing corporations have to pay the annual rental tax of 1.75 billion, which is a huge attack on their investment capacity. There are still several reasons, but the fact is that there are huge housing shortages. Not only to house status holders, many municipalities are already in trouble, but also to solve the huge waiting lists for people who want a social home. If we are going to try to solve the problems in practical terms, the Prime Minister must agree with me that we must get everything out of the closet. I therefore ask you once again: is the Prime Minister prepared to argue that the sale of social housing should be stopped and that the corporations should be given more room to invest by converting all or part of the landlord's tax into an investment obligation?
ParlaMint-NL_2015-10-14-tweedekamer-5.u8	It is my belief that the speed with which you can achieve semi-permanent housing is rapidly decreasing, if you call into question all the arrangements that have been made in the rental market over the past year. I realize this is a paradox. However, it will lead to a lot of navel stares and coverage problems, both in government and in corporations. I think this is unwise. In my view, we should now use the atmosphere that has arisen and the sense of urgency in municipalities, provinces and corporations to ensure that maximum use is made of the possibilities, especially now that we also have some financial resources available from the municipalities to invest. These are apartments that are also open to people who are on the waiting list for a social rental house; let's be clear about that. They can therefore also benefit from this.
ParlaMint-NL_2015-10-14-tweedekamer-5.u9	If that is the deal, then 10,000 homes are even less than the number of status holders currently in an asylum-seekers' centre, because that is 14,000.
ParlaMint-NL_2015-10-14-tweedekamer-5.u10	It's not 10,000. You're confusing things.
ParlaMint-NL_2015-10-14-tweedekamer-5.u11	The letter states that 10,000 homes are now being built. There is a huge shortage of affordable rental homes, and not only for the status holders whose numbers will only increase in the coming period and the group will only grow, but especially for all those people who are now at home watching this debate and who are waiting seven, eight, nine or ten years for a rental house. All we get from the Prime Minister is we're gonna sell rentals and dug up corporate investment space. So these people are just being abandoned. Why don't you join us? Why don't you take care of it and hang out with us? So not only to build temporary homes, but to give the corporations the space to build, so that all Dutch people on the waiting list finally get a smoother turn.
