Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-03-10-tweedekamer-3	ParlaMint-NL_2015-03-10-tweedekamer-3.u1	Report of the meeting of the Dutch Lower House, Meeting 61, Session 3 (2015-03-10)	2015-03-10	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 61	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2015-03-10-tweedekamer-3	ParlaMint-NL_2015-03-10-tweedekamer-3.u2	Report of the meeting of the Dutch Lower House, Meeting 61, Session 3 (2015-03-10)	2015-03-10	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 61	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2015-03-10-tweedekamer-3	ParlaMint-NL_2015-03-10-tweedekamer-3.u3	Report of the meeting of the Dutch Lower House, Meeting 61, Session 3 (2015-03-10)	2015-03-10	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 61	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2015-03-10-tweedekamer-3	ParlaMint-NL_2015-03-10-tweedekamer-3.u4	Report of the meeting of the Dutch Lower House, Meeting 61, Session 3 (2015-03-10)	2015-03-10	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 61	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2015-03-10-tweedekamer-3	ParlaMint-NL_2015-03-10-tweedekamer-3.u5	Report of the meeting of the Dutch Lower House, Meeting 61, Session 3 (2015-03-10)	2015-03-10	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 61	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2015-03-10-tweedekamer-3	ParlaMint-NL_2015-03-10-tweedekamer-3.u6	Report of the meeting of the Dutch Lower House, Meeting 61, Session 3 (2015-03-10)	2015-03-10	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 61	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2015-03-10-tweedekamer-3	ParlaMint-NL_2015-03-10-tweedekamer-3.u7	Report of the meeting of the Dutch Lower House, Meeting 61, Session 3 (2015-03-10)	2015-03-10	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 61	Sitting 2015-03-10	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	GerardSchouw	Schouw, Gerard	M	1965	
ParlaMint-NL-en_2015-03-10-tweedekamer-3	ParlaMint-NL_2015-03-10-tweedekamer-3.u8	Report of the meeting of the Dutch Lower House, Meeting 61, Session 3 (2015-03-10)	2015-03-10	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 61	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2015-03-10-tweedekamer-3	ParlaMint-NL_2015-03-10-tweedekamer-3.u9	Report of the meeting of the Dutch Lower House, Meeting 61, Session 3 (2015-03-10)	2015-03-10	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 61	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	Klein	Fractie Klein	Opposition	-	GerKlein	Klein, Ger	M	-	
ParlaMint-NL-en_2015-03-10-tweedekamer-3	ParlaMint-NL_2015-03-10-tweedekamer-3.u10	Report of the meeting of the Dutch Lower House, Meeting 61, Session 3 (2015-03-10)	2015-03-10	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 61	Sitting 2015-03-10	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2015-03-10-tweedekamer-3	ParlaMint-NL_2015-03-10-tweedekamer-3.u11	Report of the meeting of the Dutch Lower House, Meeting 61, Session 3 (2015-03-10)	2015-03-10	Lower house	Meeting of the 28th Tweede Kamer	Session 3	Meeting 61	Sitting 2015-03-10	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
