Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-06-30-tweedekamer-5	ParlaMint-NL_2015-06-30-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2015-06-30)	2015-06-30	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2015-06-30	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2015-06-30-tweedekamer-5	ParlaMint-NL_2015-06-30-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2015-06-30)	2015-06-30	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2015-06-30	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
ParlaMint-NL-en_2015-06-30-tweedekamer-5	ParlaMint-NL_2015-06-30-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2015-06-30)	2015-06-30	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2015-06-30	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2015-06-30-tweedekamer-5	ParlaMint-NL_2015-06-30-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2015-06-30)	2015-06-30	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2015-06-30	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
ParlaMint-NL-en_2015-06-30-tweedekamer-5	ParlaMint-NL_2015-06-30-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2015-06-30)	2015-06-30	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2015-06-30	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2015-06-30-tweedekamer-5	ParlaMint-NL_2015-06-30-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2015-06-30)	2015-06-30	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2015-06-30	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
ParlaMint-NL-en_2015-06-30-tweedekamer-5	ParlaMint-NL_2015-06-30-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2015-06-30)	2015-06-30	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2015-06-30	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2015-06-30-tweedekamer-5	ParlaMint-NL_2015-06-30-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2015-06-30)	2015-06-30	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2015-06-30	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2015-06-30-tweedekamer-5	ParlaMint-NL_2015-06-30-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2015-06-30)	2015-06-30	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2015-06-30	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
ParlaMint-NL-en_2015-06-30-tweedekamer-5	ParlaMint-NL_2015-06-30-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2015-06-30)	2015-06-30	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2015-06-30	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	LindaVoortman	Voortman, Linda	F	1979	
ParlaMint-NL-en_2015-06-30-tweedekamer-5	ParlaMint-NL_2015-06-30-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 102, Session 5 (2015-06-30)	2015-06-30	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 102	Sitting 2015-06-30	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LodewijkAsscher	Asscher, Lodewijk	M	1974	
