ParlaMint-NL_2015-01-20-tweedekamer-19.u1	I welcome the Secretary of State for Economic Affairs in our midst.
ParlaMint-NL_2015-01-20-tweedekamer-19.u2	Mr. Chairman. A monkey sandwich usually sells well; that goes well. A horse sandwich doesn't sell well at all, if you're honest about it. That's why there's massive fraud. Bullet steak turned out to be horse steak, beef balls were full of pony residue and croquettes and frikadels hanging from horse chips, without the croquettes salesman having to mention that. As with the consumption of actually all animals, there is a major problem with the consumption of horses. In fact, feeding horses to humans poses a major risk to public health. You don't know where the racehorses and sportshorses come from, but you do know that there's a good chance they've been given drugs you don't want in your bloodstream, let alone in your daughter's bloodstream of 6. In addition to the public health aspect, there has been serious abuse, the way horses are kept and transported, they have to be in auctions and they have to sit in trucks for hours before they arrive at the slaughterhouse. The animals are imported into Europe from Mexico, Uruguay, Argentina, the United States or Canada. In fact, the European audit bodies must check whether the conditions comply with European rules, but that is not so consistent. Thanks to a Dutch animal protection organisation, Eyes on Animals, it has come to light how terrible it is. Everyone in politics in The Hague actually agrees on that; fortunately, just once. Minister Schippers even said: I have looked at the images, and they are horrible, horrible to look at. Anyone with a bit of a heart for animals gets sick of that and we share that directly, she said on behalf of the cabinet. The Animal Party welcomes this, but we do wonder what the government is going to do to put an end to the sale of these seriously abused animals in Europe. Of course, it cannot be that we like Jumbo and Albert Heijn say: we are shocked but then do nothing. There are some rules. Abattoirs must comply with European standards, but they are therefore not complied with. As far as the Party for Animals is concerned, the measure is full. We want a Dutch and European ban on imports of all horse meat from the countries mentioned and other countries. I'd like to hear from the Secretary of State if she agrees with us. Does she agree that the standards we set here should also apply to imports of producers outside the EU? The same applies to the slaughter, transport and use of the Secretary of State for this purpose. If the Secretary of State is committed to a European import ban, I would also like to ask her what she is doing in the meantime for the Netherlands. The Party for Animals would like all the horse meat to go out of the Dutch shelves. If the Secretary of State does not do so, at least we want a clear warning on the packaging of products that may contain traces of the dangerous phenylbutazone. I would like to hear from the Secretary of State the promise that imports of this type of meat from heavily abused animals will cease. The conversion of horse meat to beef and other products must really be over. I want her to stand up for her commitment to raising animal welfare to the standard at European level as well.
ParlaMint-NL_2015-01-20-tweedekamer-19.u3	Mr. Chairman. Soon we'll be back here again. Then it's about the news that commercial food laboratories are overlooking horse meat. We are also going to talk again about a report by the Research Council for Security on the risks. As far as I am concerned, we are bringing these debates together, but that is a suggestion for the authors. I'm restricting myself today to the March broadcast of Radar last year. As far as I am concerned, the subject of the debate is the monitoring and the situation in slaughterhouses for horses in countries outside the European Union. My CDA colleague in the European Parliament Esther de Lange presented a comprehensive report in the European Parliament as food fraud rapporteur in 2013. The report mentioned, among other things, the large differences between countries in the control and enforcement and the non-binding nature of cross-border cooperation and data exchange. The CDA considered that supervision should be more risk-oriented. We see this coming back in the progress report of the NVWA of July. Whether the European Food and Veterinary Office, the FVO, is also risk-oriented is difficult to assess. In the Minister's letter of 15 July last year, I read that the Secretary of State will inform the FVO and the European Commission about the problem. We have a few questions about that. Does it mean the animal welfare problem that would exist in these countries? What is the current state of affairs? I wonder whether, given the possible fraud involving horse meat, the FVO controls more risk-oriented outside the EU. Have the controls been intensified? Is there a plan of action to improve the functioning of the FVO? If there is no such plan of action, does the Secretary of State intend to argue to the Commission? Mr President, I made it in two minutes.
ParlaMint-NL_2015-01-20-tweedekamer-19.u4	Mr. Chairman. In July we received a letter from the Secretary of State containing an overview of the findings of the EU Food and Veterinary Office. Six inspections over the last five years have revealed the necessary abuses. We find six inspections in the last five years a little thin. Uruguay promised to improve the fixing of slaughter horses, but the abuses go beyond that, of course. Will the Secretary of State please inform us what's going on? We don't understand the findings of the Food and Veterinary Office very well. The FVO does not come to check whether it has been refurbished. Why is it that exports aren't shut down until they're proven to be better? The report on Mexico is more recent. On this basis, it has been concluded that the meat should not enter the EU, because it cannot be verified where it comes from and what substances are in the meat. However, that meat will end up in the shelves of the Albert Heijn. Think of horse smoke that is consumed raw. I'm worried about that. I ask the Secretary of State to ask the EU Food and Veterinary Office to revisit this matter and to step up its action: do not promise and get away with it. The traceability of the meat should be improved. My colleagues have already mentioned this. Whether you buy the Albert Heijn or the C1000 horse smoke meat or order a bitterball in the pub from Beckers, you don't know what kind of horse meat is in it. However, that is what we want to know. I don't understand these supermarkets. The Secretary of State is going to talk to them soon about the kilo-bulls and maybe it's good to see what they want with them. If, in Argentina or Uruguay, they have to have the Dutch or European control over their own regulations and compliance with European regulations, and there is always a problem, supermarkets have to scratch behind their ears and think that the meat from South America may not end up in the Dutch shelves. Would the Secretary of State wish to make a commitment in Brussels to the correct indication of the origin of the meat on the labels of the products? In this way, as consumers, we can choose whether or not to eat them.
ParlaMint-NL_2015-01-20-tweedekamer-19.u5	Fortunately, Mrs Dikkers came to the end with an explanation of how she wants to deal with the origin of meat. I was afraid that every bitterball we eat in the pub would have to be flagged with information on the origin of the meat. I would like a response from Mrs Dikkers. That's not supposed to happen, is it?
ParlaMint-NL_2015-01-20-tweedekamer-19.u6	There's a flag like that all the time on the bitterball. I don't know where Mrs. Lodder buys the bitterballs, but when you get them in the pub, there's a flag on it. I really want us to just make it traceable and that if you order bitterballs here on the Square at your drink, you can ask: gosh, what kind of meat is in it and where does that come from? I'd like that very much.
ParlaMint-NL_2015-01-20-tweedekamer-19.u7	Mrs Dikkers makes a wonderful plea, but let us focus on the feasibility. I hope, however, that Mrs Dikkers agrees with me that it is impossible for an individual entrepreneur to shape the traceability of meat or other products in this way. Let us talk about the serious issues that we can actually do something about.
ParlaMint-NL_2015-01-20-tweedekamer-19.u8	I would not call the Albert Heijn an individual entrepreneur. It's a big player. So is Becker's croquettes. These farms are perfectly capable of tracking where the meat comes from. They also know where they bought it. I therefore believe that this could simply be on the label.
ParlaMint-NL_2015-01-20-tweedekamer-19.u9	I actually think it's a good proposal from the VVD. I've been brooding a little bit on that myself. I see a bowl like that in front of me with all kinds of snacks. In one there's a little stick that says "this was a pony" and in the other it says "this was a chick." Actually, I think it's a good idea. That's what we're gonna think about. My question to Mrs Dikkers is the following.
ParlaMint-NL_2015-01-20-tweedekamer-19.u10	I'm afraid the motions already.
ParlaMint-NL_2015-01-20-tweedekamer-19.u11	It's still raging in my head, but at least I have vivid images on my retina. My question to Mrs Dikkers is the following. I have heard her voice of justified criticism and serious concern, and I would like to thank her for that on the control of European standards for meat from outside Europe. It's five checks in six years or six in five years or something. She's not satisfied with that. I wonder whether the Labour Party will be on our side if we say that we should at least have a moratorium on imports of these meat products until we can ensure that European requirements are in any case met and that our standards also apply to imports.
