Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u1	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u2	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MaritMaij	Maij, Marit	F	1972	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u3	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BasvantWout	van 't Wout, Bas	M	1979	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u4	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u5	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u6	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u7	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u8	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u9	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	PieterOmtzigt	Omtzigt, Pieter	M	1974	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u10	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u11	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u12	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u13	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BasvantWout	van 't Wout, Bas	M	1979	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u14	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u15	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u16	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Regular	notMP	Minister	PvdA	Partij van de Arbeid	Coalition	Centre-left	BertKoenders	Koenders, Bert	M	1958	
ParlaMint-NL-en_2015-09-24-tweedekamer-9	ParlaMint-NL_2015-09-24-tweedekamer-9.u17	Report of the meeting of the Dutch Lower House, Meeting 6, Session 9 (2015-09-24)	2015-09-24	Lower house	Meeting of the 28th Tweede Kamer	Session 9	Meeting 6	Sitting 2015-09-24	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
