Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-15-tweedekamer-2	ParlaMint-NL_2015-12-15-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 37, Session 2 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	LilianHelder	Helder, Lilian	F	1973	
ParlaMint-NL-en_2015-12-15-tweedekamer-2	ParlaMint-NL_2015-12-15-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 37, Session 2 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-15-tweedekamer-2	ParlaMint-NL_2015-12-15-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 37, Session 2 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	LilianHelder	Helder, Lilian	F	1973	
ParlaMint-NL-en_2015-12-15-tweedekamer-2	ParlaMint-NL_2015-12-15-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 37, Session 2 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-15-tweedekamer-2	ParlaMint-NL_2015-12-15-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 37, Session 2 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	LilianHelder	Helder, Lilian	F	1973	
ParlaMint-NL-en_2015-12-15-tweedekamer-2	ParlaMint-NL_2015-12-15-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 37, Session 2 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-15-tweedekamer-2	ParlaMint-NL_2015-12-15-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 37, Session 2 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FoortvanOosten	van Oosten, Foort	M	1977	
ParlaMint-NL-en_2015-12-15-tweedekamer-2	ParlaMint-NL_2015-12-15-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 37, Session 2 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-15-tweedekamer-2	ParlaMint-NL_2015-12-15-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 37, Session 2 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	JudithSwinkels	Swinkels, Judith	F	1961	
ParlaMint-NL-en_2015-12-15-tweedekamer-2	ParlaMint-NL_2015-12-15-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 37, Session 2 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 37	Sitting 2015-12-15	-	Reference	English	Regular	notMP	Minister	-	-	-	-	ArdvanderSteur	van der Steur, Ard	M	1969	
ParlaMint-NL-en_2015-12-15-tweedekamer-2	ParlaMint-NL_2015-12-15-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 37, Session 2 (2015-12-15)	2015-12-15	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 37	Sitting 2015-12-15	-	Reference	English	Chairperson	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
