Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-03-24-tweedekamer-2	ParlaMint-NL_2015-03-24-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LeaBouwmeester	Bouwmeester, Lea	F	1979	
ParlaMint-NL-en_2015-03-24-tweedekamer-2	ParlaMint-NL_2015-03-24-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-03-24-tweedekamer-2	ParlaMint-NL_2015-03-24-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LeaBouwmeester	Bouwmeester, Lea	F	1979	
ParlaMint-NL-en_2015-03-24-tweedekamer-2	ParlaMint-NL_2015-03-24-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-03-24-tweedekamer-2	ParlaMint-NL_2015-03-24-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LeaBouwmeester	Bouwmeester, Lea	F	1979	
ParlaMint-NL-en_2015-03-24-tweedekamer-2	ParlaMint-NL_2015-03-24-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-03-24-tweedekamer-2	ParlaMint-NL_2015-03-24-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LeaBouwmeester	Bouwmeester, Lea	F	1979	
ParlaMint-NL-en_2015-03-24-tweedekamer-2	ParlaMint-NL_2015-03-24-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-03-24-tweedekamer-2	ParlaMint-NL_2015-03-24-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RenskeLeijten	Leijten, Renske	F	1979	
ParlaMint-NL-en_2015-03-24-tweedekamer-2	ParlaMint-NL_2015-03-24-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	MartinvanRijn	van Rijn, Martin	M	1956	
ParlaMint-NL-en_2015-03-24-tweedekamer-2	ParlaMint-NL_2015-03-24-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 66, Session 2 (2015-03-24)	2015-03-24	Lower house	Meeting of the 28th Tweede Kamer	Session 2	Meeting 66	Sitting 2015-03-24	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	HankeBruinsSlot	Bruins Slot, Hanke	F	1977	
