ParlaMint-NL_2015-04-28-eerstekamer-6.u1	I would like to welcome the Secretary of State for Economic Affairs to the First Chamber.
ParlaMint-NL_2015-04-28-eerstekamer-6.u2	Mr. Chairman. As a representative of an opposition party, I actually have only three questions at the moment, which basically amount to whether the government agrees with me. Further on in my speech I will motivate, with which I agree. During the last debate on this matter on 17 March last, I believe that too many things have been confused, as the Secretary of State has repeatedly pointed out. I am referring in particular to phosphate production and soil binding. When reporting on the course of events in our group it was noted that it was perhaps a result of too many spokesmen coming from Amsterdam, a region where the problem of land-based growth in dairy farming is most likely to be less. Since I myself come from a similar region, namely Utrecht, I would like to start with a summary of the problem as I see it, with the question to the Secretary of State whether my story is correct. As prosperity in the world is increasing, the demand for dairy products has increased. In this light, it would be strange for Europe to continue to limit milk production. This will help to eliminate the milk quota system as from 1 April 2015. A number of real agricultural countries, such as Ireland and the Netherlands, see additional opportunities for growth and exports, but of course within the Nitrates Directive and manure legislation. The proposal before us is designed to make this possible. Hence the name responsible growth. The law as such doesn't say anything about ground-boundity. The latter should be settled at AMvB. That is what the debate is about this afternoon. Question one is, is my story true? In the debates so far we, as CDA, have been working in both chambers on the definition of the concept of land, the problem-solving regime for entrepreneurs who had already spent money before the scheme was finally known and the idea of recycling. Not letting the AMvB continue at the moment means that dairy farmers are currently able to expand their livestock within environmental rules, but without soil-boundness. My second identical question to the Secretary of State is whether this is true. If the answer is affirmative, I would like to hear who might be interested in not letting the AMvB continue. I also refer to the joint letter from LTO and Nature and Environment. I see it as well as both actors in the sector. Who has an interest at the moment in the non-land-based expansion of livestock? We await the answers of the Secretary of State to our rather simple questions with great interest.
ParlaMint-NL_2015-04-28-eerstekamer-6.u3	Mr. Chairman. Today we are dealing with an AMVB which will have a major impact on the development of dairy farming in the Netherlands. Will dairy farming remain ground-bound, will the cow stay in the pasture, will the scale-up and industrialisation be stopped? I would like to start with a few comments on the context in which my group, GroenLinks, assesses this AMVB. The dairy farming was until not so long ago a kind of light point in Dutch intensive livestock farming. Cows in pasture, animal welfare properly in order, less damage to nature and the environment than industrial pig and chicken farming, few megast. Unfortunately, that image is changing rapidly, especially in the last two years. Since it is clear that the milk quota is going to disappear, a unfortunate mistake by the EU and the Netherlands, dairy farmers have already begun to expand their dairy herd considerably in 2013. And that's why they had to pay a lot of fines because they exceeded their quota, so be it. I was a guest at a conference of the Dutch Dairy Organisation a few months ago and heard that this behaviour was even welcomed. After all, that was evidence of good entrepreneurship. Because the Dutch dairy farming must conquer the world, up to and including the cheese on the pizzas in China. Growing what you can grow, that's like the motto. Where should all that extra milk and cheese go, the Rabobank also wondered in 2013. And is it not more sensible and socially desirable to focus on more sustainable production at lower costs than on increasing milk production, more more, against large investments and debts to the bank? My group is not happy about this picture. Unfortunately, dairy farming is causing increasing environmental damage due to too much phosphate, too high ammonia emissions, greenhouse gas emissions, damage to nature and the disappearance of meadow birds due to overly intensive management. The cow slowly disappears from the meadow and especially on the large intensive farms cows are mainly inside. We do not comply with Europe's environmental standards and will have some respite as long as we do not make it crazy. Therefore, there is a phosphate ceiling and we have limits to the quantities of manure/phosphate that may be landed per hectare through the Fertilisers Act. With the abolition of milk quotas, precisely in the light of these developments, a fundamental step has been taken in the wrong direction. Anyway, that's an irreversible step for the time being. Despite all these negative effects, the number of cows continues to grow; the Secretary of State itself expects a growth of 20%. For example, a recent study by the Centre for Agriculture and the Environment (CLM) shows a significant growth, especially from very large companies. In Brabant, where there is already enough intensive livestock farming and scavenging, the number of megasthals in dairy farming grows from 38 in 2013 to 143 in 2015. That's more than a triple. By the way, they are authorised companies for 2015. So that growth is coming. In Gelderland, the number of megasthals grows from 30 in 2013 to 66 in 2015. It is precisely these large farms that almost always set the cows up, have too little land to get rid of their manure and take a large part of their food far away, such as soya from South America. The idea of closed-loop farms has little to do with this development; it is going exactly the wrong way. That is why we look extremely critically at this law and the AMvB that is before us. The dairy farming law in force on 1 January, with a view to the expiry of milk quotas, regulates the production of extra phosphate due to the additional cows within cross-compliance conditions, the Secretary of State wrote to our Chamber on 9 March last. If a dairy farm produces more phosphate in a calendar year than in the reference year 2013, the additional phosphates should be placed on the land belonging to the holding, or processed as a whole, or a combination of both possibilities. Fortunately, Parliament has forced that a dairy farm should never only process those extra phosphates, but that a farm should always have sufficient land to dispose of at least part of the phosphates. In other words, groundless growth must not be allowed, growth must always be partly ground bound. Unfortunately, the dairy law, which entered into force on 1 January, did not provide the legal basis for land-relatedness and the degree of land-relatedness. 'Cause that's the key question, of course. When do you call growth ground-bound and what part of growth should be linked to extra land? That is what we are discussing today in the discussion of this AMvB. With the AMvB, the Secretary of State prescribes that the growth should be partly land-based, unless within his own farm there is sufficient land for more dairy cows. The members of the Group of the Greens/European Free Alliance think that the content of this amendment is insufficient. They also have a major problem with regulating the foundation of ground bonding in an AMvB. This is supposed to have a legal basis. The House adopted Mr Reuten's motion for a resolution in December when the Milk Cattle Act was discussed. The Court has thus stated that the content of the AMvB should be incorporated into the law itself and asked the State Secretary to take this forward with speed, so I read the document at the same time as the route for the AMvB. First, I have a number of questions about the content of the AMvB and then I come back to the question of its transposition into a legislative proposal. Companies with a phosphate surplus of less than 20 kilos per hectare may grow without additional land. If that surplus is between 20 and 50 kilos, farms have to buy additional land for only a quarter of their additional dairy cows or use land in a structural way. In the case of a surplus of more than 50 kilos per hectare, farms need to buy or use additional land for half of the number of additional cows. There is no limit: there is no maximum quantity of surplus per hectare. So companies can grow and intensify enormously, and only half of that growth will have to have additional land. We do not call this land-based growth. It is precisely the group of large companies that causes a large increase in phosphate production and usually keeps the cows in stables. Even if they expand with a few hundred dairy cows, in extreme cases up to more than 500 or 1,000, they only need to use half of the number of cows extra land. In summary, dairy farms can still grow 50% to 100% without land. We're very disappointed with the AMvB. Although the measure inhibits unbridled groundless growth and regulates for the most intensive and large-scale companies that they should have land for at least half of growth, it certainly does not look like the nice picture of land-based growth that the Secretary of State told us about. We do not think that meadowgang plays any role in this AMvB and will continue to run backwards. My group still has a number of questions about the content. Why does the Secretary of State opt for the reference year 2014 and not 2013 as it does in the Fertilisers Act? After all, it was precisely in 2013 that the growth spurt was deployed and dairy farmers deliberately exceeded their milk quotas. This behavior is now rewarded, at least for all growth in 2013. Is the Secretary of State prepared to set the reference year for 2013? Dairy farming is approaching the phosphate ceiling of 84.9 million kilos. Recent figures from the CBS show that phosphate production already increased to 82.4 million kilos in 2014. That's only 2 million kilos below the phosphate ceiling. Rabobank warns that we will quickly go through that ceiling, which also jeopardises the conditions under which Europe is granting a derogation to the Netherlands. Will the Secretary of State urgently prepare a system of cow rights which can enter immediately as soon as the phosphate ceiling is reached? Will it promise that this system will enter into force overnight as soon as the ceiling is reached? Will it report to the Chamber on a monthly basis, for example, on the increase in manure, so that it is immediately clear when the phosphate ceiling is in sight and reached and there can be a direct limit to growth with cow rights?
ParlaMint-NL_2015-04-28-eerstekamer-6.u4	For the record, Mrs Vos is now calling for animal rights for dairy farming. Does it want to replace the land-based nature of dairy farming?
ParlaMint-NL_2015-04-28-eerstekamer-6.u5	No, I don't. My appeal to the Secretary of State is to prepare this, and I'm not saying that we have to do this already. My group would like to see that done. If it turns out that in the coming year we will not succeed enough to remain below the phosphate ceiling, then the system of cow rights should be able to enter into force immediately.
ParlaMint-NL_2015-04-28-eerstekamer-6.u6	I heard Mrs Vos say this before, but my question was whether animal rights, dairy rights should replace land-based dairy farming or that they should be put on top of it.
ParlaMint-NL_2015-04-28-eerstekamer-6.u7	I believe that this is an additional measure to the agreements on land-based growth. If we do not manage to get below the phosphate ceiling with the regulations that we are now introducing for soil-based growth, then there will need to be an additional measure. As far as my group is concerned, these are animal rights.
ParlaMint-NL_2015-04-28-eerstekamer-6.u8	I got that right. As a result, two systems, which are not rooted on the same basis, are interlocked in dairy farming.
ParlaMint-NL_2015-04-28-eerstekamer-6.u9	I think that at that point you should look very closely at how to coordinate these systems properly, but I absolutely believe that we need the cow rights as a lock on the door and that they should be able to enter immediately as soon as we reach the phosphate ceiling.
ParlaMint-NL_2015-04-28-eerstekamer-6.u10	Wouldn't it have been much easier to be against ground-boundness and directly for animal rights?
ParlaMint-NL_2015-04-28-eerstekamer-6.u11	The proposal now before us is a proposal for ground-boundness. That, too, brings things quite far in the right direction, but I would argue in favour of a lock on the door that can enter immediately when we cross the ceiling. Unfortunately, that's a pretty big chance. Mr. Chairman. I ask the Secretary of State to set up the system of cow rights in such a way that the land-based farms, we often talk about farms with less than 20 kilos of phosphate surplus per hectare, which are the last ones to skim their cow rights, and we start with the most intensive farms with a high phosphate surplus and many cows per hectare, where they are the first to surrender their cow rights. We would find it unfair if the smaller and less intensive farms were affected just as hard by a measure like the reduction of cow rights as the really large farms, which are largely responsible for the strong growth. Will the Secretary of State at least ensure that the legal title of the land that can count for the determination of the phosphate surplus is not extended and that the manure law is not amended to this effect? Does the Secretary of State intend to regulate land-boundness in relation to grazing by requiring, among other things, that there is sufficient land near the stable, the farm for the entire dairy herd? Does it intend to give a legal basis to its commitment to a pasture of at least 80% of cows in this way? Does the Secretary of State intend to tighten up the standards of soil density and work towards a situation where there is sufficient land within 20 kilometres of the farm, so that all feed can be grown on that land and the manure can be disposed of on it? Does she ultimately want to get to that situation? Those were some questions about the contents of the AMvB. That brings me to the legal basis. My group attaches great importance to the legal basis for ground-boundness, as I have just said. My group thinks it is wrong that more and more empty legislation is being dealt with here; we were just discussing it with the Secretary of State. My group thinks that this legislation is really too lean. The really fundamental cores, the basic concepts must be regulated in legislation. This will also enable Parliament to have full parliamentary scrutiny and decision-making. My group therefore calls on the Secretary of State to convert this AMvB into a law as a matter of urgency, so that it can enter into force on 1 January 2016. In fact, it is asking her to implement Mr Reuten's motion, which has been adopted with broad support. My group has been surprised that the Secretary of State, in his written reply to the House of Representatives, has taken a rather laconical attitude towards that motion. My group is also surprised that the Secretary of State has informed the House of Representatives that she is simply not going to make it to 1 January. Among other things, it raises the issue of the referendum law, which will enter into force on 1 July and will allow this law to be subject to a referendum. That would, according to the Secretary of State, take eight weeks extra time. Article 12 of the referendum law allows the law to enter into force immediately, while the deadline of eight weeks before the referendum has yet to be completed. That is, of course, an exception clause, but these possibilities are indeed contained in the referendum law. In any case, my group is not convinced that it is really not going to work and thinks that the Secretary of State says too easily that it is not going to work and that it is impossible. She asked her to make every effort to bring this law into force on 1 January. She also asked the Secretary of State for a commitment on this point. I'll come to a conclusion. My group is extremely critical of this AMvB. Ground-boundness is not sufficiently secured. I explained this criticism in detail and asked the Secretary of State to fill in and ensure much more closely the ground-boundness, also in relation to sufficient pasture. I have put a number of specific questions to that effect and I await the answer with great interest. In addition, we consider it necessary that this AMvB be transposed as soon as possible into a law that can enter into force on 1 January 2016. This transposition into legislation is a crucial point for my group. On this point, too, I await with extraordinary interest the reply of the Secretary of State.
