ParlaMint-NL_2015-11-04-tweedekamer-7.u1	The applicant for this VAO is Mrs Vermeij of the Labour Party. I'll give her the floor first.
ParlaMint-NL_2015-11-04-tweedekamer-7.u2	Mr. Chairman. I have two motions, but we have discussed many issues in the Labour Market AO. It was, of course, an important AO, because it was about employment. We have discussed, for example, the postal parcel delivery companies, which the Labour Party would all like to see in permanent service. Another topic was the lifting and sailing of the UWV. It was not so much about the large delays in the UWV, about which a debate was requested yesterday. We have talked about the problems people face when they are dealing with the UWV and about the effort it takes to get in touch with the UWV, even if people have taken quite a few initiatives themselves. Since this is in a hurry, I shall table the next motion on this matter. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the employment services are largely digitally eliminated by the UWV;]] [[noting that the UWV currently has personal contact with a job seeker after three months of unemployment;]] [[Whereas jobseekers need personal attention during the period of unemployment and often have specific questions;]] [[Whereas tailor-made contact between a job seeker and the UWV can lead to faster entry into the labour market, especially as jobseekers often have ideas themselves and take initiatives;]] [[calls on the government to come forward with a plan on how the UWV can be more humanised and effectively support job seekers,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Vermeij. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29544-656]]
ParlaMint-NL_2015-11-04-tweedekamer-7.u3	Then there's the second motion. I must say that this is an issue which concerns us all. We are going to talk about it in detail in the Chamber and I think we want to put our hands on it Chamber-wide. It concerns the long-term unemployment of people over 50 years of age. This is a major problem in the Netherlands and employers seemingly have great prejudices about this group of workers. We would all like to see a change in that. I shall table the motion with Mr Krol, who has been working on this for quite some time and who has convinced me of his position. I'm just telling you the truth. I hope we can convince the rest of the Chamber as well. The motion reads as follows: [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the risk of long-term unemployment among older workers is almost twice as high as the average;]] [[noting that long-term unemployment among workers over 50 years of age is not a cyclical problem but a structural problem;]] [[whereas it is socially unacceptable and economically irresponsible to leave older jobseekers on the sidelines of the labour market for a long time;]] [[Whereas the labour market culture vis-à-vis job-seekers is poor over 50 and there are many negative opinions and perceptions in many employers against hiring workers over 50 years of age;]] [[Whereas an external figurehead against older people's unemployment can play a binding role between, for example, job seekers, employers and government and can also refute negative perceptions with facts and, for example, highlights good examples of small and large employers who have adopted 50+;]] [[calls on the Government, as soon as possible, to seek and establish a figurehead, an ambassador on this issue,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Vermeij and Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29544-657]]
ParlaMint-NL_2015-11-04-tweedekamer-7.u4	Mr. Chairman. I am replacing my colleague, Mr Voortman, and I will confine myself entirely to reading out two, apparently brilliant motions. I understand that Mr Van Weyenberg has doubts about this qualification, but that is why I said 'it seems'. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas several parties in the House of Representatives have expressed their support for a shorter working week and are looking for ways to encourage this;]] [[Whereas the Cabinet has asked the Economic and Social Council (SER) to investigate "Working and living in the future" in which it investigates the way in which people are given the maximum opportunities to properly combine work and (man-made) care tasks;]] [[Whereas the ESC will advise on various aspects of the interface between work and care and that shorter work can play an important role in this;]] [[calls on the government to ask the ESC to include a shorter working week and ways of encouraging it in the opinion "Working and living in the future,"]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the government is pursuing the policy of paying at least the minimum statutory minimum wage for all employees of the government;]] [[noting that the Minister of SZW is unable to indicate whether the purchase of goods or services, such as through temporary or payroll or posting structures, does not include youth wages;]] [[Whereas, therefore, it is possible that, on behalf of the government, young people may earn less than the statutory minimum wage against their own policies;]] [[Whereas this could also lead to the undesirable situation that young people, through a flex contract for a lower salary than the statutory minimum wage, work for the government;]] [[Whereas, therefore, the undesirable situation here may be that flex workers are much cheaper than employees for the government and may lead to false structures;]] [[calls on the Government to ensure that, in purchasing services by the Government, workers always earn the minimum statutory minimum wage and to include in the public procurement conditions that the contractor pays all employees over 18 years minimum the statutory minimum wage, and to inform the Chamber of the budgetary treatment of SZW,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Klaver and Mr Vermeij. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29544-658]] [[This motion has been proposed by Mr Klaver. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29544-659]]
ParlaMint-NL_2015-11-04-tweedekamer-7.u5	Mr. Chairman. The Minister quite rightly wants to make a big point of combating bogus self-employment in the Netherlands. During the general consultations, almost all parties discussed "maintain, maintain, maintain." On that point, I would like to lend a hand to the Minister. That's why the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas, on the basis of the Working Conditions Act, the Labour Inspectorate checks whether the contractor is responsible for the working conditions of the contractor;]] [[Whereas the contraaing authority is responsible for the working conditions when the contraaor works under direct authority;]] [[Whereas the fight against false self-employment is considered to be of great importance by the Government;]] [[calls on the Government, when establishing an authority relationship by the Labour Inspectorate, to have this notified without delay by the Labour Inspectorate to the Tax Administration so that it can establish the employment relationship,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Ulenbelt. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29544-660]]
ParlaMint-NL_2015-11-04-tweedekamer-7.u6	In preparing this motion I discovered that there was a covenant between the Tax Administration and the Labour Inspectorate about cooperation on minimum wage and some other things. The covenant ended in 2012. This can be found both in the covenant itself and on the website of the Tax Administration. If that agreement had to be revived for the implementation of this motion, I think it would be a good thing to implement it.
ParlaMint-NL_2015-11-04-tweedekamer-7.u7	Mr. Chairman. I have a motion and a question. During the debate, I asked the Minister on several occasions how much money had been put forward for the latest trans-sectoral plans. So I am not asking the Minister how many of them are being approved, because that process is still going on. But how much money has been requested now? If that is less than the available budget, we know that there is money left that we can use for other things. The Minister has not been able to answer this question in the AO and may not want to answer it either. He said to look in the basement of the ministry. We've been a few weeks. So can the Minister tell us today how much it is? If he can't, can he inform the Chamber about that? I've considered filing a motion at this point, but a motion to request information would be a low point. So I simply ask the Minister and hope for a benevolent answer. I do have another motion. This is somewhat in line with Mrs Vermeij's contribution to the unemployment and labour market position of older jobseekers. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that unemployed elderly people find it difficult to return to work;]] [[Whereas policies implemented by the public authorities and the social partners are still not achieving sufficient results;]] [[calls on the Government to send a proposal to the Chamber for the budgetary treatment of SZW with additional actions to improve the employment opportunities of older jobseekers,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Weyenberg and Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29544-661]]
ParlaMint-NL_2015-11-04-tweedekamer-7.u8	These can be many actions, both in the social partners and in the context of mediation at the UWV, or in order to facilitate retraining in the WW, which my group has been advocating for some time.
ParlaMint-NL_2015-11-04-tweedekamer-7.u9	Mr. Chairman. The urgency of a strong fight against older people's unemployment and the support of job seekers remains high. Mr Vermeij has just tabled a motion on my behalf to appoint an ambassador to address, in particular, the negative image of older jobseekers and workers. The motion by Mr Van Weyenberg, aimed at increasing the employment opportunities of the older job seeker, was also warmly endorsed by me. I would like to supplement these initiatives myself with the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the employment of older jobseekers is relatively difficult due to negative perceptions;]] [[Whereas research shows that this is often caused by lack of training and that training contributes to the motivation of older people;]] [[calls on the government, itself, to set a good example and, in a "example pilot," to focus more on the training and adoption of older people and the sustainable use of older workers through training;]] [[calls on the Government to communicate the results of this pilot to companies and institutions and to inform the Court thereof,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29544-662]]
ParlaMint-NL_2015-11-04-tweedekamer-7.u10	Finally, I have a motion for support in the back of the minister to work on bringing back the human measure at the UWV, a wish that lives broadly happy clients of the UWV and the UWV itself. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas the UWV is perceived by many as an impenetrable digital bastion;]] [[whereas the UWV itself also finds it frustrating that more personal contact with clients is not possible;]] [[Whereas this will help to reduce the chances of an early return to work for jobseekers;]] [[calls on the Government to put forward a concrete proposal before the budgetary procedure SZW, which will allow a substantial increase in personal contact and guidance in finding work,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Krol. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29544-663]]
ParlaMint-NL_2015-11-04-tweedekamer-7.u11	Mr. Chairman. I have two motions. The first is intended to make it easier for employees and flex workers to retrain to another sector. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that:]] [[employees and flex workers who wish to take up education are often able to make use of the R&D fund of their sector;]] [[workers and flex workers unable to access R&D funds now have too few funded training opportunities;]] [[Whereas:]] [[agreed in the Social Agreement that R & D funds will be more cross-sectoral cooperation to enable cross-sectoral training;]] [[this takes time, which means that there are groups of workers and flex workers who are not able to use training;]] [[precisely those groups that need it;]] [[calls on the Government to examine the possibility of making training vouchers available to workers and flex workers wishing to move from one sector to another in order to enable them to take up training in the other sector,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Anne Mulder and Mr Vermeij. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29544-664]]
