ParlaMint-NL_2015-05-26-eerstekamer-11.u1	Minister Asscher, I invite you to begin your speech.
ParlaMint-NL_2015-05-26-eerstekamer-11.u2	Mr. Chairman. It is a great pleasure for me to be able to discuss with the Chamber the Law's approach to bogus constructions. I would like to thank the House very much for the invitation to do so at such short notice and for the fact that it is a subject for plenary debate today. The core of the legislative proposal is that employees are given more opportunities to receive the wages they are entitled to. It has rightly been stated on all sides that a law in itself will never solve all the problems and that therefore much more must be done than the introduction of this law alone. The examination of the proposal provides a good opportunity to address the cabinet's ambitions for a broader approach to bogus constructions. In the social agreement in 2013, we agreed not only to look at labour law, the relationship between firm and flex and the right of dismissal, but also to tackle bogus structures. The reason was and is the increasing number of signals from the Inspection SZW and from collective bargaining practitioners about abuses in which all kinds of constructions led to underpayment. With the social partners, intensive discussions have been held on how to tackle bogus structures and the measures that can be taken against them, such as the introduction of chain liability for wages. The cabinet's commitment to dealing with bogus constructions includes much more than this new law. It is also about increased commitment to enforcement, better cooperation between public and private enforcers, agreements and cooperation with other Member States in the European Union and information. More is needed both at national and European level. That is why we are committed to a review of the WML. At the time, when the WML was being discussed everywhere, and also here, it was announced that this revision would be necessary, partly on the initiative of several members of this Chamber. The European debate on, for example, the Detaching Directive, the Enforcement Directive to be implemented in the Netherlands and the approach to bogus self-employment, which has been raised here by various groups, are a high priority for the cabinet. After answering a number of questions on this proposal, I will briefly mention them. The bill's approach to bogus constructions includes measures to counter underpayment and better enforce it. Firstly, these are measures to improve the enforcement of existing legal standards by the inspection. Payment of the statutory minimum wage can be maintained because requirements are imposed on the pay slip. Employers are obliged to pay the minimum wage. This makes it easy to determine whether or not payments are made and whether employees are given full access to the statutory minimum wage. The rules on set-off and retention, the prohibitions, also serve this purpose. Secondly, the legislative proposal contains measures to improve the compliance and enforcement of the collective agreement by private enforcers. The bill provides collective bargaining tools to prevent periods without a general binding declaration. This is important because the collective agreement cannot be maintained without such an agreement. With the chain liability for pay, there is an incentive to better comply with collective agreements and to address non-compliance. Thirdly, the draft law contains tools for public-private cooperation in enforcement. For example, the Inspection SZW will be able to pass on suspicions of non-compliance with the collective agreement to private collective bargaining officers. Existing inspection data may soon be included in the collective agreement compliance investigation which the inspection can carry out at the request of collective bargaining parties. With all these measures, the legislative proposal facilitates public and private enforcement of working conditions and public-private cooperation to that end. In addition to effectiveness, capacity is of course important. I've been able to provide additional resources temporarily, up to 35 fte's. The inspection has therefore had a special team for two years to deal with bogus constructions. In the latest progress report, which I sent to the Chamber in February, I reported on the results from that additional capacity. At that time, 76 investigations had been carried out into bogus structures and 27 requests from collective bargaining parties for collective compliance investigations to support private enforcement. I will give you the more recent figures that Mr Backer asked me for in the first term. GroenLinks asked if there were any possibilities to improve the further effectiveness and deployment of the inspectors.
ParlaMint-NL_2015-05-26-eerstekamer-11.u3	The Minister talks about a temporary reinforcement of enforcement by 35 FTEs. Can he answer the question of why this is temporary, how long this temporaryity lasts and what will happen afterwards?
ParlaMint-NL_2015-05-26-eerstekamer-11.u4	At that time, until 2017, resources were found for the reinforcement, precisely to give an incentive to the approach to false constructions. It will not surprise Mrs Strik that I expect that we will need this additional capacity afterward. Then, in the period when we were actually making extra cuts, extra money was found for 35 fte's and therefore some more inspectors. They now show that their work is very worthwhile. Then we have to look again at how we deal with the resources. I am convinced that this should remain a priority in the coming years. Mrs Strik also asked for opportunities to further improve effectiveness and commitment. That's very important. It is not just about absolute capacity in the total number of inspection workers, but also about how we deploy them. Just this year, we will continue to inspect information-driven and risk-oriented, thereby increasing the chances of getting to grips with abuses. This includes modern means of information and good arrangements for exchange, including with other state inspections and other enforcement services. As a result, we can leave the honest, bona fide entrepreneur much more alone and increase the chance of catching others. In this context, it is important that we continue to improve cooperation and the exchange of information with a number of other Member States. We have made bilateral agreements with Bulgaria, Romania and Poland, which we are now stepping up further. That makes it easier for our inspection to maintain. By adapting legislation and regulations so that better enforcement can be achieved, we are also increasing the effectiveness of the inspection. The use of criminal law is used as an ultimatum remedium. This means that it is always considered whether it has added value to other instruments, and whether application is possible. Through proper consultation with the Public Prosecutor's Office, you can sometimes send out a very powerful signal through the use of criminal law. However, it is not always the most effective choice. However, it is one of the things that we have in mind to achieve more with existing capacity. GroenLinks and D66 asked whether you should better enforce the existing laws rather than present this proposal now. The tone of Mr. Backer's introduction also raised this question: there are many good intentions, but first just implement the old law. I think it should be both. I think you need serious enforcement to deal with this problem and an inspection with teeth that does its job in a good and modern way. However, I believe that this issue also calls for a review of existing legislation. That's exactly what we did. That has led to this proposal. Additional attention is required for dummy constructions, because you can see that there are parties that are using and designing increasingly complex constructions. It is also necessary because the inspection of the existing legal framework is encountering fairly serious enforcement problems. This applies, for example, to the set-off. A number of inspection cases have been referred back by the judge and, on the basis of the current legislation, have ended up on the shelf, whereas we actually believe that the companies concerned, contrary to the intention of the law, did not pay the minimum wage through all kinds of set-offs. Both must therefore: adequate and modern enforcement, but also consider how the law can be improved. That's what this law's gonna do. The prohibition of deductions and netting makes it easier to establish, and also to prove to the court, whether the minimum wage has been paid or not. The mandatory specification of pay slip expenses and mandatory overnight payments serve the same purpose. I mentioned in my introduction the private enforcement, which can get signals from the inspection. It is all crucial, but that does not alter the self-righteous remark that the existing laws must also be enforced adequately and properly. D66 asked about the state of play regarding the number of inspections in the field of labour market fraud. The numbers have just been released. In 2014, the inspection carried out 5,054 inspections in the field of labour market fraud, with an enforcement rate of 18,6. In the annual plan for this year, the number of inspections to be carried out under the Foreign Labour Act, the WML and the WAADI has been set at 4,000 cases with a bandwidth of up to 5,000. This means that these things are often more complex and larger, precisely because we are tackling them risk-oriented, but we do think we can achieve a very strong number of things in this year. I sent the annual inspection report to the Chamber last week on 18 May, to be precise.
ParlaMint-NL_2015-05-26-eerstekamer-11.u5	The Minister needs to help me. How am I supposed to interpret that 18.6%?
ParlaMint-NL_2015-05-26-eerstekamer-11.u6	It concerns the number of inspections that have led to forms of enforcement. That could be a case, a fine or a warning. One in five inspections led to this. As that percentage increases, you can say that the inspection becomes more effective. 100% is not good either, because then you have the feeling that you miss a lot. The aim is to achieve an optimum level, and we must also realise that there is and will continue to be an arms race in part. One of the key elements of the first-term debate is the chain liability for wages. There has of course also been a lot of discussion about this in discussions with social partners and with the House of Representatives. The measure aims in particular at preventing underpayment in procurement chains. Workers will be given more opportunities to receive, in the event of underpayment, the wage to which they are entitled. This underlines the responsibility of clients for the correct compliance with working conditions in their chain. That responsibility is also obvious, because the work is done for clients. The bill, more specifically the risk of being held liable for underpayment, encourages clients to actively address that responsibility. Therefore, the legislative proposal in the explanatory memorandum also provides tools for clients. It is described how you can prevent underpayment in the chain. That is the preventive effect I referred to in the written procedure. That's exactly what the Cabinet wants. We want clients, with this law in hand, to ask themselves: have we arranged it properly, do we do enough, are our chains and our contracts organised so that people get paid what they are entitled to? Several sectors are already preparing for the opportunities offered by chain liability. This therefore encourages private agreements on working conditions to be respected and workers to receive the wage in force. The VVD and the Labour Party asked about the applicability of chain liability to the transport sector. If, in the transport sector, the client uses contract contracts or employment, the employee may use chain liability in similar ways as in other sectors. The usual forms of employment contract are eligible for this. The chain liability for wages is aimed at correct pay to employees and does not see the introduction of additional liability for carriers or those who transport or have them transported. For the time being, therefore, it has not been possible to allow liability to apply to transport or expedition agreements. In addition, we see that the complexity of situations in which the transport or shipping agreement is used consciously plays a role. Complicating factor is that an employee on a truck, ship, train or plane often carries out work for several principals at the same time. For example, a truck often contains loads from several clients. In a payment period of one month, for example, the employee often drives for a large number of clients. This leads to a multitude of chains, so it would go too far at the moment to hold every client liable. The advantage of these chains is that the employee is not dependent on one or a few clients for his income and less sensitive to downward price pressure. This reduces the risk of underpayment in such situations. The SP has asked whether the chain liability should not be more applicable than just on pay. It is not excluded in advance that we will do so in the future. We are now introducing chain liability for wages for the categories indicated here. We must allow practice to do its job. However, it is not excluded that the chain liability will be extended in the future. We are going to look at this, of course, as I also agreed under this law.
ParlaMint-NL_2015-05-26-eerstekamer-11.u7	Can the Minister indicate what would be the reason for extending this chain liability, whether there will be reports or an evaluation to the Chambers and what period of time this will take place?
ParlaMint-NL_2015-05-26-eerstekamer-11.u8	It is agreed to evaluate the law fairly quickly, even after a period of three years if I am not mistaken. Maybe someone can nod? Yeah, there's nodding. After three years, the law is already under review. In particular, you will see how the practice has developed and whether the objectives pursued by the cabinet in this legislative proposal have been achieved. You will therefore consider whether the assumptions underlying the choices we have now made have proved to be valid in relation to chain liability under the Expedition Agreement. At a time when there is still a major problem, the cabinet could consider extending chain liability. At present, we are making a conscious choice for the agreements which are mainly used for labour. We think we can achieve great added value. You should not rule out that it will be extended in the future, but I really think that is a subject for evaluation. I think you should be careful to add intermediate neck-over-head categories. Such a law should, in practice, be given an opportunity to prove its added value and achieve its intended effects.
ParlaMint-NL_2015-05-26-eerstekamer-11.u9	Does "expand" mean extending it to other types of agreements?
ParlaMint-NL_2015-05-26-eerstekamer-11.u10	Yes.
ParlaMint-NL_2015-05-26-eerstekamer-11.u11	He doesn't mean extending it to elements other than pay, for example?
