ParlaMint-NL_2015-09-03-tweedekamer-10.u1	I would like to welcome the Minister for Economic Affairs.
ParlaMint-NL_2015-09-03-tweedekamer-10.u2	Mr. Chairman. I'll file the following motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the subsidy for indirect and mostly coal-fired power stations exceeds the cost of the 15% low-value biomass;]] [[calls on the Government to monitor the oversubsidisation of low-value biomass and to inform the Court thereof,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that energy saving in heavy industry is the cheapest way to reduce greenhouse gas emissions;]] [[noting that the framework for one-to-one agreements with companies, according to ECN, is insufficient to take necessary steps towards sustainability;]] [[noting that the Minister wants to ensure that heavy industry takes all savings measures with a payback period of five years or less;]] [[calls on the Government to inform the Chamber of the extent to which companies belonging to the heavy industry have implemented energy savings measures with a payback period of five years or less;]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas there is no room for gas extraction in nature reserves;]] [[having noted that the Terschelling-Noord gas field search authorisation expires on 9 September 2015;]] [[having noted that the House of Representatives included in the legislative amendment of the Mining Act (34041) that when assessing applications for detection and extraction, account should be taken of adverse effects on the environment, damage caused by soil movement, safety and public health;]] [[calls on the Government to suspend the search permit for the Terschelling-Noord gas field until it can be re-assessed under the amended Mining Act,]] [[and goes to the order of the day.]] [[This motion was proposed by members Van Tongeren and Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-190]] [[This motion was proposed by members Van Tongeren and Van Veldhoven. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-191]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-192]]
ParlaMint-NL_2015-09-03-tweedekamer-10.u3	I see I've read more quickly than was strictly necessary.
ParlaMint-NL_2015-09-03-tweedekamer-10.u4	Thank you very much for that.
ParlaMint-NL_2015-09-03-tweedekamer-10.u5	Mr. Chairman. I hope I'm just as fast. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Calls on the Government to launch the comprehensive review of the Energy Agreement in the first half of 2016 so that the review can be sent to the Chamber in the summer of 2016 and can be included in the 2017 budget,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[whereas energy cooperatives are very frustrated with the postcode rose scheme and few permits have been issued by the Tax Administration;]] [[Whereas the energy transition needs support and bottom-up projects provide support for the transition to a sustainable energy supply;]] [[calls on the Government to include a separate scheme for energy cooperatives Sun PV in the SDE+ scheme 2016 as it exists for wind-on-sea projects,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to examine the possibility of treatment of waste water from oil and gas applications;]] [[and not to resume the injection of waste water into Twente before that examination is completed,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Agnes Mulder and Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-193]] [[This motion was tabled by Mr Agnes Mulder and Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-194]] [[This motion was tabled by Mr Agnes Mulder and Mr Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-195]]
ParlaMint-NL_2015-09-03-tweedekamer-10.u6	In addition to these motions, I have a few more questions. The CDA Group considers energy savings by companies to be important. The framework for business-specific arrangements would not be so concrete in terms of financing arrangements and financing assistance for investments. We would like to hear how the Minister intends to make this more concrete, so that companies that want to work on this can do so in a good way. In a previous debate we discussed with the Minister the budget reserve for renewable energy, which will now be used for other purposes. In that debate, the Minister said that this money does not come from contributions from households, i.e. from the old MEP and SDE scheme, and has not been released. Is it possible to put these different flows of money that enter the budget reserve back out of it and, if it is right, come back there, on paper for us?
ParlaMint-NL_2015-09-03-tweedekamer-10.u7	Mr. Chairman. This debate is from before the recess and we now have this VAO. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that the sustainability criteria for the by- and mostly wood pellets in coal-fired power stations will also apply to industrial applications for the production of steam;]] [[noting that coal-fired power plants are to use renewable wood pellets certified at area level between 2021 and 2023, while industry will only have to meet this condition by 2026;]] [[Whereas there should be a level playing field for the energy sector and industry, since they source wood pellets from the same world market;]] [[calls on the government to align the seed path for wood pellets certified at area level for biosteam industrial production with that for the energy sector,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-196]]
ParlaMint-NL_2015-09-03-tweedekamer-10.u8	In the last week, we have debated wood pellets with Mrs Mansveld. We'd rather reuse them first, before they might eventually be co-fired. Does the Christian Union endorse this vision? I would also like to know whether Mrs Dik is prepared to wait until it is clear how the industry will continue to deal with this, which must be reflected in the discussion with Mrs Mansveld.
ParlaMint-NL_2015-09-03-tweedekamer-10.u9	I am sorry I could not be present at that debate. In any case, I do not think that the burning and co-incineration of biomass is something that should be number one in the energy transition. I am therefore very reluctant to do so. Let me look first at the report of that meeting and, in that light, see what else I will do with this motion. I cannot see that now because I could not be present at the debate. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the energy transition needs acceleration and that innovative experiments under the current AMvB Experiments under the Electricity Act, future STROOM, can help speed up this process;]] [[Whereas the already limited target group of associations of owners and cooperatives may have been given too short a preparation period to meet the deadline of 11 September 2015 for the first tranche of experiments;]] [[noting that the first evaluation of the experiments will only take place in four years while the transition is in full swing in the area of decentralised renewable energy and demand management concepts;]] [[Calls on the Government to generously add the unused space in the 2015 experiments to the number of experiments to be determined for 2016,]] [[and goes to the order of the day.]] [[This motion has been tabled by Mr Dik-Faber. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-197]]
ParlaMint-NL_2015-09-03-tweedekamer-10.u10	Mr. Chairman. The Netherlands is undergoing a fascinating development, moving from fossil fuels to renewable energy. Where previous Cabinets commissioned the construction of coal power stations, this cabinet provides for the construction of offshore wind farms, land wind farms and schemes that allow citizens to generate more solar energy together and individually. It is important for our future that we emit less CO and create independent, sustainable energy supplies. There are also concerns. An oil company wants to drill at Terschelling. The Wadden Sea is a beautiful nature reserve and our Wadden Islands are the pearls, not only from the North Netherlands, but from all of our country. That is why we are tabling the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[having regard to the application for a Tulip Oil d.d. extraction permit, 11 November 2014;]] [[Considering the wide-ranging and conflicting interests of the environment, nature and local support of the municipality and province involved in a decision on the extraction authorisation;]] [[having regard to the deliberations and the arguments and positions expressed by the parties;]] [[expresses its opposition to the extraction of natural gas at Terschelling,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Jan Vos and Ouwehand. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31239-198]]
ParlaMint-NL_2015-09-03-tweedekamer-10.u11	I can imagine that Mr Vos is concerned about the vulnerable nature reserve of the Wadden Sea. He's talking about "at Terschelling." How far does "at Terschelling" go?
ParlaMint-NL_2015-09-03-tweedekamer-10.u12	This is a plan to drill something north of Terschelling. I'm not really inclined to meet with you right now within how many nautical miles can or cannot be drilled. We said we don't want this project. That is because we want to get rid of fossil fuels and coal power stations, as they were built in the past under previous cabinet offices in the Netherlands. Let's make that cover. It's very important. At the moment, it is being carried out by this minister.
ParlaMint-NL_2015-09-03-tweedekamer-10.u13	I am glad that the Labour Party is stepping up its ambitions. I hope that will also be seen in the votes on the motions and the supplementary measures with which the cabinet comes. But how am I supposed to see the motion? Is it not a matter of principle and is it only directed against this project? Or is it about the Terschelling area? Then it makes sense to ask how broad I need to see that.
ParlaMint-NL_2015-09-03-tweedekamer-10.u14	This motion is about this request and the fuss that has arisen about it. The general issues are of course dealt with in the Mining Act, but the points I mentioned, such as local support and attention to the environment and nature, have recently been discussed extensively with each other in an amendment to the Mining Act. The Labour Party, together with a number of other parties, then tabled an amendment to make these factors more important. They will therefore also have to be weighed more heavily in future applications. Otherwise we will not do justice to the amended Mining Act.
ParlaMint-NL_2015-09-03-tweedekamer-10.u15	I have a question about the evaluation of the energy agreement. It's scheduled for next year. In the debate, we said that it would be good if it were brought forward. The Minister wanted to do it by the end of 2016. The CDA group wanted it very much earlier in the year. However, I do not want to upset the Minister either. That is why we are giving him the opportunity to send the evaluation to the Chamber about the middle of next year. This means that we can still involve the measures in the 2017 budget. I know that this spokesperson of the PvdA Group has a green heart. I wonder if he will support this proposal, also knowing what he said in committee on this subject.
