ParlaMint-NL_2015-02-25-tweedekamer-3.u1	I would like to welcome the Minister and the Secretary of State for Education, Culture and Science.
ParlaMint-NL_2015-02-25-tweedekamer-3.u2	Mr. Chairman. I have two motions and a question following the general discussion on transitions vmbo-mbo. The question is about the fact that there is great annoyance about the fact that schools that let students drain, so let them go to a lower level, are punished by the inspection. This has a perverse effect, because this does not mean that schools take any risks with students. There is a motion by Mr Ypma (33157, part No. 37) from March 2013, in which students receiving the benefit of the doubt are excluded from the efficiency calculation in case of drainage. Is that motion actually being carried out or not? In yesterday's Volkskrant, a school director indicated that he would get a minor from the inspection if he lets students drain.
ParlaMint-NL_2015-02-25-tweedekamer-3.u3	Mr Van Meenen, your question must be brief, because this is a VAO.
ParlaMint-NL_2015-02-25-tweedekamer-3.u4	I feel that Mr Van Dijk is already engaged in the next debate. Is this about vmbo-mbo?
ParlaMint-NL_2015-02-25-tweedekamer-3.u5	You bet.
ParlaMint-NL_2015-02-25-tweedekamer-3.u6	Are we talking about a school director in the MBO complaining about this?
ParlaMint-NL_2015-02-25-tweedekamer-3.u7	No, we are talking about a school director in secondary education; read yesterday's Volkskrant and read in particular the report of the general consultation on VMBO transitions, in which I refer to this point. This is the negative incentive for schools in the country which offer pupils opportunities to get to a higher level, for example, the HAVO, but which are punished for doing so. In other words, I am asking how the Ypma motion (33157, part No. 37) is being carried out.
ParlaMint-NL_2015-02-25-tweedekamer-3.u8	Proceed with your motions.
ParlaMint-NL_2015-02-25-tweedekamer-3.u9	Yes, thank you. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Considers that a diploma should provide access to further education without barriers;]] [[noting that the VO-Council's "admission code" requires an average vmbo examination rate of 6.8, which reduces the thresholdless access;]] [[calls on the Government to remove the requirement for an average examination rate of 6.8, so that a thresholdless access from vmbo-t to havo is achieved,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas "non-educable" or "non-educable" young people following an alternative learning route are not paid from the education budget but are covered by the Participation Act;]] [[noting that funding by municipalities in the context of reintegration is too limited to support these vulnerable young people;]] [[calls on the Government to:]] [[make it clear what the consequences are if vulnerable MBOs are covered by the Participation Act;]] [[come forward with proposals to mitigate the negative consequences;]] [[to enter into consultations with the UNG to this end,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30079-54]] [[This motion has been proposed by Mr Jasper van Dijk. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30079-55]]
ParlaMint-NL_2015-02-25-tweedekamer-3.u10	Mr. Chairman. During the AO I asked for attention for the program VMBO On Stage. Recently I welcomed the five thousandth participant of this program at VMBO On Stage in Breda. Today there is a VMBO On Stage in Doetinchem. I would like many more children in VMBO to be introduced to business in this way and that this really becomes part of their career orientation policy. I made a small treat for all the members and staff present today, made by a former participant of VMBO On Stage, who is now chocolateier by profession. I suppose all those present can appreciate that. These delicacies will be available in the walkways. In order to underline all this, I shall table the next motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that career orientation (LOB) is becoming an integral part of the vocational examination programmes in VMBO;]] [[Whereas it is very important for industry as a future employer to have a role in LOB;]] [[believes that the VMBO On Stage programme is a very sound and good way for VMB students to get in touch with regional business;]] [[calls on the government to include the project "VMBO On Stage" as a programme in the LOB sample material, so that more schools come into contact with it and this project can be rolled out in several regions,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Straus, Mr Jadnansing, Mr Van Meenen and Mr Rog. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-30079-56]]
ParlaMint-NL_2015-02-25-tweedekamer-3.u11	Mr President, first I respond to Mr Jasper van Dijk's motion on item No. 55, which is about "uneducated" or "uneducated" young people. In his motion, Mr Van Dijk asked to make it clear what the consequences would be if mbo-scholiers were covered by the Participation Act. As far as I am concerned, this motion is really superfluous. In general terms, I have already said that there is a group of some 30,000 vulnerable young people. We are trying to do everything we can to keep these young people in school for as long as possible. Furthermore, if they have problems with school, we try to guide them to the labour market as well as possible. That's what we do with a professional degree. Moreover, I would like to add that this is simply a starting qualification. The VNG also gave the impression that it would not be a start-up qualification and that this might mean that these young people would still come to the municipalities. There's no ground for that. These are young people who have problems with learning but can obtain a vocational qualification based on their professional skills. Furthermore, the question is whether the schools will receive sufficient funding to give these young people a place in the schools. Yes, they get that kind of funding, because the entrance training on the MBO is for a reason thresholdless. I therefore do not intend to set new thresholds for this. Anyone who does not yet have a VMBO diploma, or who does not yet have a VMBO diploma, can go to entrance training. Young people who do have a VMBO degree go to MBO-2 level. There they can possibly obtain this diploma if the rest is found to be too high. A student without completed pre-training can therefore never be prevented at the gate. In the entrance course there is plenty of space for customization and extra guidance. Entrance training is also provided with additional resources for this purpose. It is only after two years that a student has to find another solution, if it turns out that he really can't do it, so if he is "not teachable." Otherwise, it is for those who are not schoolable and, for example, make a pot of it in school. For each student in the entrance training course, there is a study progress interview after four months, possibly followed by a binding study advice. In practice, I see that this is very necessary to keep young people in the loop, so that they know that they have to do something for the opportunities they get. A clear part of the whole plan on vulnerable young people is that MBO schools work much more closely with the municipalities and with care institutions. This can be done, for example, by increasing school social work in the institutions, for which decentralisation offers all the opportunities. We work intensively with the RMC regions, which are the municipalities. The chances of a student being covered by the Participation Act will be smaller than at present, precisely because we are doing much more to keep students in school much longer. We do nothing but consult with the municipalities in the RMC regions. See my recent letters on early school leaving and vulnerable young people. I therefore consider this motion superfluous. Mr Van Dijk spoke explicitly in the AO about the dissipation in the MBO. I know that the Chamber will have a much longer debate with the Secretary of State, in which this will probably come back. But this is mainly about the relationship between primary and secondary education. In the MBO there is no drop-off to the entrance courses. Because a student with a VMBO diploma simply doesn't have access to entrance training. It's got to go to the MBO-2. That is important, because the entrance training really is a place for anyone who does not have a completed VMBO course, so that that training really is the basis. If students or students want to learn something, it is good that they go to the MBO-2. The outage in mbo-2, -3 and -4 is included in the supervisory framework. With the quality agreements we make now, we want to reward the schools that realize that value and see what's in a student. This is indeed a complex process, which should not lead to perverse incentives. In every policy instrument, we must continue to focus on this in order to see how we ensure that it does not have any undesirable effects. So I'm keeping a sharp eye on that, which doesn't mean that I want to reward schools for the quality they give students, because they contribute to getting the best out of every student.
ParlaMint-NL_2015-02-25-tweedekamer-3.u12	Mr. Chairman. Mr Van Dijk asked a question about the Ypma motion. That motion is being carried out. I think I will come back to that in a little more detail later, but the idea was that, if a school advice is adjusted upwards after a higher Cito and a student thus gets the benefit of the doubt to start at a higher level, any drop-off will not come to the conto of the vo-school. That's the line we're using. The inspection looks at the initial advice in terms of the underlying returns and therefore does not look at the up-to-the-top advice. In this way the motion will be implemented.
ParlaMint-NL_2015-02-25-tweedekamer-3.u13	Mr Van Dijk for a brief question.
ParlaMint-NL_2015-02-25-tweedekamer-3.u14	Just to be clear: the school director who was quoted yesterday in the Volkskrant and said: if a student leaves me, I get a little bit of an inspection, he has seen it all wrong. At least he doesn't operate according to the rules of the Secretary of State. Did I get that correctly? If so, then it is very good to communicate this with the schools.
ParlaMint-NL_2015-02-25-tweedekamer-3.u15	I do not know if this VAO lends itself to going into this extensively now. In a subsequent debate, we are really going downhill on this point. As far as the underbuilding efficiency is concerned, of course, we are looking at whether there will be up- or down-flowing. However, this never happens for an individual pupil. So one student who comes in with a mavo/havo advice and finally sits on the mavo for three years does not lead to the conclusion that that school is weak. The school does have a problem if all students with, for example, a mixed Mavo/Havo advice end up on the Mavo, while colleagues continue to be able to take all these students to the Havo. I hope you agree with me that we have a problem with a school if it does not succeed in getting students to the level we all expected in advance.
ParlaMint-NL_2015-02-25-tweedekamer-3.u16	I suggest that you continue with your speech.
ParlaMint-NL_2015-02-25-tweedekamer-3.u17	The Jasper van Dijk motion in part No. 54 is about the thresholdless access to the Havo. I'd like to discourage that motion for two reasons. First of all, I think we really need to see if we want to get to a thresholdless access to the HAVO, because we see that students with a VMBO degree are not always successful in the HAVO. That is also one of the reasons why an admission code was drawn up not by us at the time, but by the schools themselves. Furthermore, I do not think the motion is timely. We agreed, just at the request of the Chamber, Mr Klaver, to have that code evaluated by education. I expect that evaluation within two, three months. Then we can talk about this in Parliament. I think that's a better time to talk about that.
ParlaMint-NL_2015-02-25-tweedekamer-3.u18	I also saw Mr Klaver's motion. That's a fine motion, but it's from over a year ago. I'm gonna take a look at the chairman right now. How long can you hold a motion? I thought three to six months. So this motion has already lapsed. I think this is an important point and that is why this motion has been tabled so that the Secretary of State is particularly alert.
ParlaMint-NL_2015-02-25-tweedekamer-3.u19	A motion can be held for a very long time if you announce every three months that you want it. If that doesn't happen, the motion will lapse.
ParlaMint-NL_2015-02-25-tweedekamer-3.u20	If this is meant to keep the pressure on that process and if the motion is held, then I fully agree, but if the motion is put to the vote, I would advise against it. Finally, I would like to make the judgment on the Straus et al motion. in piece No. Leave 56 to the Chamber. We have prepared a first hand delivery for vmbo schools to indicate exactly what can be included in the orientation. If this motion is adopted, I can imagine that the update, the 'hand-off 2.0', will include the VMBO On Stage project, because I, like Mrs Straus, am very excited about that.
ParlaMint-NL_2015-02-25-tweedekamer-3.u21	We will vote next Tuesday on the motions tabled.
