Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-12-09-tweedekamer-13	ParlaMint-NL_2015-12-09-tweedekamer-13.u1	Report of the meeting of the Dutch Lower House, Meeting 35, Session 13 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	Gert-JanSegers	Segers, Gert-Jan	M	1969	
ParlaMint-NL-en_2015-12-09-tweedekamer-13	ParlaMint-NL_2015-12-09-tweedekamer-13.u2	Report of the meeting of the Dutch Lower House, Meeting 35, Session 13 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	MP	notMinister	Bontes/Van Klaveren	Groep Bontes/Van Klaveren	Opposition	Right to far-right	LouisBontes	Bontes, Louis	M	1956	
ParlaMint-NL-en_2015-12-09-tweedekamer-13	ParlaMint-NL_2015-12-09-tweedekamer-13.u3	Report of the meeting of the Dutch Lower House, Meeting 35, Session 13 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	Gert-JanSegers	Segers, Gert-Jan	M	1969	
ParlaMint-NL-en_2015-12-09-tweedekamer-13	ParlaMint-NL_2015-12-09-tweedekamer-13.u4	Report of the meeting of the Dutch Lower House, Meeting 35, Session 13 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 35	Sitting 2015-12-09	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-12-09-tweedekamer-13	ParlaMint-NL_2015-12-09-tweedekamer-13.u5	Report of the meeting of the Dutch Lower House, Meeting 35, Session 13 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	EmileRoemer	Roemer, Emile	M	1962	
ParlaMint-NL-en_2015-12-09-tweedekamer-13	ParlaMint-NL_2015-12-09-tweedekamer-13.u6	Report of the meeting of the Dutch Lower House, Meeting 35, Session 13 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	LilianHelder	Helder, Lilian	F	1973	
ParlaMint-NL-en_2015-12-09-tweedekamer-13	ParlaMint-NL_2015-12-09-tweedekamer-13.u7	Report of the meeting of the Dutch Lower House, Meeting 35, Session 13 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	JesseKlaver	Klaver, Jesse	M	1986	
ParlaMint-NL-en_2015-12-09-tweedekamer-13	ParlaMint-NL_2015-12-09-tweedekamer-13.u8	Report of the meeting of the Dutch Lower House, Meeting 35, Session 13 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	AhmedMarcouch	Marcouch, Ahmed	M	1969	
ParlaMint-NL-en_2015-12-09-tweedekamer-13	ParlaMint-NL_2015-12-09-tweedekamer-13.u9	Report of the meeting of the Dutch Lower House, Meeting 35, Session 13 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	notMP	notMinister	Klein	Fractie Klein	Opposition	-	GerKlein	Klein, Ger	M	-	
ParlaMint-NL-en_2015-12-09-tweedekamer-13	ParlaMint-NL_2015-12-09-tweedekamer-13.u10	Report of the meeting of the Dutch Lower House, Meeting 35, Session 13 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	Opposition	Right	KeesvanderStaaij	van der Staaij, Kees	M	1968	
ParlaMint-NL-en_2015-12-09-tweedekamer-13	ParlaMint-NL_2015-12-09-tweedekamer-13.u11	Report of the meeting of the Dutch Lower House, Meeting 35, Session 13 (2015-12-09)	2015-12-09	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 35	Sitting 2015-12-09	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	FoortvanOosten	van Oosten, Foort	M	1977	
