ParlaMint-NL_2015-03-31-tweedekamer-16.u1	Mrs van Veldhoven has the floor for a point of order.
ParlaMint-NL_2015-03-31-tweedekamer-16.u2	Mr. Chairman. We have the impression that it might be a good idea to make only the contribution of the Chamber this evening in the first term. Many detailed questions are likely to be asked, which may then be partly answered in writing. If those answers are received, the Secretary of State may explain them orally in the second period in the follow-up to this debate, at another time. I hope that this will be supported by colleagues.
ParlaMint-NL_2015-03-31-tweedekamer-16.u3	I'm looking at the members. There's a nod in agreement. So tonight we're only doing the first term on the side of the Chamber. You've all signed up for quite a few minutes. I know that this is a matter of legislation and that no speaking time has actually been fixed for it, but I would ask you to stick to the speaking time for which you have registered as much as possible. I shall be the first to give the floor to Mrs Van Veldhoven of D66.
ParlaMint-NL_2015-03-31-tweedekamer-16.u4	Mr. Chairman. If you travel by train, you want it as fast, as cheap, as reliable and as comfortable as possible. Who owns that train, which logo is on it and which hat the driver wears, the traveller doesn't care much. D66 believes that rail competition can provide that faster, cheaper, more reliable and more comfortable train journey. Competition keeps everyone sharp, including the NS. On routes where other carriers can offer a better product, they should also be able to do so. That is all in favour of the traveller and that is what it is all about. This competition must be fair, open and transparent. That's another challenge. The track is not an ordinary market. Market parties such as Veolia, Arriva, Syntus and Connexxion have to compete with a state-owned company that has been running on most of our tracks for over 175 years, namely the NS. From this unique position, the NS has information and assets that other market participants depend on, such as stations, station facilities, passenger information and passenger statistics. It is therefore a particular market, in which parties depend on a competitor, for example for crucial information in procurement. That therefore requires very clear rules. It calls for transparency and it calls for a very good, strong market master. We have often spoken with the Secretary of State on this subject, for example last year, when I tabled a motion with the CDA, together with a colleague of Mr Van Helvert, Mr De Rouwe, for a quick scan of the Authority's Consumer & Market on procurement in Limburg. This should assess whether there was a level playing field. Unfortunately, this motion didn't make it. Now, a year later, there is still an ACM advice. It concludes that there was no level playing field. This report from the ACM is now under the judge. The Secretary of State has therefore rightly said that she cannot say much about it now. I assume she, like D66, is very curious about the judge's ruling, but we will not go into this case now, since it is now before the judge. However, the appeal by the NS raises a different question. To what extent does the NS accept the ACM as market leader? In its response to the aforementioned motion, the State Secretary said that a fair playing field in decentralised procurement is a matter for local authorities. Today we are talking about a legislative proposal to ensure a fairer playing field, including for decentralised procurement. What role does the Secretary of State see for himself in these decentralised calls for tenders? What role does she have? What role does the ACM play? What should the local authorities themselves take care of? The legislative proposal we are discussing today represents progress on a number of points. The ACM is given a stronger position, in which it monitors, inter alia, the network statement, the fee for the minimum access package and access to services and services. The ACM can also do a pre-test, a so-called ex-ante test, on the method of allocating costs. But do we remove all the bottlenecks? Were the current problems surrounding the invitation to tender in Limburg prevented if these rules had already been applied? I doubt that. For example, I read in the explanatory memorandum that the ACM supervises the station portfolio and that it has sufficient powers to act with the implementation of the directives. But what exactly does that mean? Is that a guarantee that it always goes well, for example with the system of fines or the training or not in the provision of information? The case of Limburg has, I think, served as an illustration for all of us. The Secretary of State states that the ACM already has the possibility to impose a penalty charge. But in Limburg the NS would have delayed delivery for so long that the burden under penalty was no longer worth the effort. Does the Secretary of State see this problem as well? And how is she going to prevent this in the future? Furthermore, I read that the cabinet is not in favour of more ex ante surveillance. The ACM itself states that more ex ante surveillance is needed to make the rail market fairer. The ACM even calls a complaint scheme or ex-post supervision ineffective for the purpose of supervision. Ineffective! And that is our supervisor, who describes this as ineffective. In 2013, therefore, it advocated a much broader competence for ex ante surveillance, including for price regulation of services and services. I must say that I do not see in the government's documents any good, substantive argument for why it has not opted for ex ante surveillance in many other areas, such as the station portfolio. I would therefore like to receive a response from the Secretary of State. I know that amendments have been tabled on this subject and will be happy to take a positive look at it. The foreign position of the NS in the market and the question of how good competition can occur are also visible in business mobility cards. Employees of companies can use different forms of mobility with such a map; from the train and bus, but sometimes also from a taxi or a rental car. Everyone understands that the train is an essential part of such a mobility card. Most of the Dutch network is in the hands of the NS by direct award. But the NS has its own product, the NS-Business Card; we probably all have it. This allows the traveller to use the same combination of train, bus, taxi and so on. Market providers of business mobility cards therefore compete with the Business Card, but they do depend on the NS for a very important part of the product they offer. In order to make its own card more attractive, the NS can apply reduced rates for itself and increase prices for other market providers. For example, the NS can make the other mobility cards more expensive, or even so unattractive that their providers decide to pull the plug. When that happens, the NS has new customers for its own Business Card, based on rights it has through a direct award of the main rail network. When we look at the situation in the market, we are afraid that this is exactly what is going to happen. Nor does the Secretary of State deny in her letter that discounts for business card providers are being completely reduced. Of course, this isn't fair and D66 thinks this is undesirable.
ParlaMint-NL_2015-03-31-tweedekamer-16.u5	I have a small point of order. In a few weeks' time, the Passenger Transport Act will be on the table here. This includes the Business Card. I wholeheartedly agree with Mrs Van Veldhoven and support her plea. But I would like to add this, because I will not discuss it in my speech later because we are going to talk about it.
ParlaMint-NL_2015-03-31-tweedekamer-16.u6	This implementation is about competitiveness. I thought it was important to include this topical issue. As we have just agreed, the Secretary of State will reply in writing. We can of course involve it in the next examination of that bill, but I thought it was an important illustration to show that it does not only concern, for example, the case-Limburg and that we constantly run into these kinds of points. But, of course, it is important for Mrs De Boer to have stressed this. Mr. Chairman. The Secretary of State says: well, it's just a matter of two private providers, so I don't really have much to do with it anymore. Of course, that's only half the truth. The NS can do this because of its position on the main rail network, and that is what the Secretary of State is about. The direct award given to the NS by the Secretary of State is, of course, the key to this story. As far as D66 is concerned, the Secretary of State cannot remain on her hands. We therefore ask the Secretary of State: does it consider it desirable that the NS can potentially raise the rates so that it actually price providers of other mobility cards from the market in favour of its own Business Card? Is there not unfair competition? Is it prepared to look at a solution to this problem, for example in the form of a wholesale price charged by the NS for both its own Business Card provider and other market participants? In this way, you ensure that everyone can use the service provided by the government under the same conditions, namely the train on the main rail network, and you have the guarantee that there will be no indirect cross-subsidisation of the public service, driving on the main rail network, and the private service, the NS-Business Card. I still have some questions about the bill itself. On some points, we are also considering tabling amendments. We will also look at ideas for amendments that already exist with other parties so that we do not have too many things side by side. First of all, I come to the charges linked to the minimum access package, such as the charges for lack of capacity and environmental charges to keep trains quieter and cleaner. We have read that the Court is still receiving an effect of these charges, but when can we expect them? What are the Secretary of State's ambitions in this respect? Is it also a question of quieter freight trains and does it apply to foreign freighters? Who determines the level of these charges? Are they also tested and, if so, by whom? Is it true that the directive states that these charges must be assessed in terms of market capacity, efficiency, transparency and non-discrimination? Then why did these points disappear from the bill? Would it not be good to include those points in it so that we all know what these charges will be tested for? Or are those points in an AMvB? The Minister states in Article 62 (5) that further rules will be laid down on the costs to be allocated and the method of allocating the costs for the minimum access package. What further rules are these? I come to the topics of consultation and disputes. Article 68a (6) of the Bill states that the ACM must also consult users of freight and passenger transport services. That's great, but how do we make sure it's more than just consulting? Can the advice of the representatives and the reaction of the ACM, for example, be sent to the Chamber? The D66 Group also raised questions about the dispute settlement procedure in the report. We are not reassured on this point, because the answer says that the expectation is that NS and ProRail will provide for this. However, it would be nice if the Secretary of State gave us something more than an expectation, namely insurance, because what if the NS and ProRail didn't provide for that? There are a number of times when there are rules on access to services and the provision of services. However, these are rather essential points such as the provision by operators to the infrastructure manager of information on access to their services or services, the "use it, or lose it" principle and the keeping of separate accounts. There must be rules on this. Why, then, has a wording with "can" been chosen? The Directive also includes incentives to keep the price of the minimum access package as low as possible. In the directive, yes, but is it true that this is not reflected in the legislative proposal before us and if so, why not? The station portfolio is published one year in advance. A complaint procedure may be initiated after publication of any objections. There's a year for that. A year sounds quite large for a complaint procedure, but the situation in Limburg shows that this takes quite a lot of time. My question to the Secretary of State is therefore: what if the complaint procedure is not completed within that year? Will the station portfolio of the previous year remain valid until agreement is reached or will we find ourselves in a different situation? This bill adds additional tasks for the ACM. In previous correspondence between the Ministry and the ACM it is stated that any additional resources are only dealt with in the implementing legislation, but it is of course good to ask the Secretary of State if she already has an idea of this. It is, of course, not desirable that we adopt legislation now if it turns out that the ACM does not have the capacity to implement it properly. Speaking of implementation, when can we expect the various AMvBs, the General Management Measures in which some of the agreements still have to be laid down? Is the ACM also involved in the development of this or could it at least be asked for advice? The bill seems to be a good step forward towards a fairer and more transparent market, but you only know what the pudding tastes like when you taste it. In short, a lot depends on the execution. I hope that the Secretary of State will also stand for a fair market and that she will do everything in her power to offer the traveller the best train journey. I'll get to a few more details. The Secretary of State wrote in the note following the report that there could be an exception to the band of charges where there are several operators. This concerns fees for access to services and the provision of services. But what is "multiple service providers"? Is two then enough and can you really speak of such competition in two that supervision is no longer necessary at all? Or should you make that subject to the existence of real competition? The same letter also talks about the possibility of transporting domestic passengers on an international train service, which may lead to economic imbalances as long as this does not result. We have also talked about this before. A threshold of 10 million has been set, which we can all remember from the discussion on the Fyra. My question to the Secretary of State is where the 10 million came from. Was it tested by the ACM? Does that result from the directive or why is that threshold of 10 million set in another way?
ParlaMint-NL_2015-03-31-tweedekamer-16.u7	Mrs Van Veldhoven has asked quite a lot of questions and I am also curious to hear the answers to them, but I do not hear any questions about the concerns that might be associated with this legislative proposal. I mention the point that we are on our way to a track where the laws are no longer at the service of the traveller, but above all of lawyers and lawyers, and that later mainly carriers, together with the ACM and the governments, will bring each other to justice and fight their conflict there. My question to Mrs Van Veldhoven is whether she is not concerned about this either.
ParlaMint-NL_2015-03-31-tweedekamer-16.u8	I believe that I have started my input and ended it with what is at stake, namely that we offer the traveller the best possible service at the best possible price with as much comfort as possible. That's what D66 is all about. Then it is important that you build in the right incentives for that. One of these incentives is competition. Therefore, a strong market master is also very important. That's what we're doing with this bill. All this is done at the service of the travellers, because that is what it has to be about.
ParlaMint-NL_2015-03-31-tweedekamer-16.u9	It should be at the service of the traveller, but looking at this bill and the way it is worked out, we have to conclude that if the parties disagree, they will have to fight it before the courts, as we read in the written reply of the Secretary of State. So we're gonna get a huge legalization of the track. Transporters are gonna sue each other, they're gonna sue ProRail, and they're gonna sue governments. My question to Mrs Van Veldhoven is therefore whether we should not go behind the traveller rather than behind lawyers and lawyers.
ParlaMint-NL_2015-03-31-tweedekamer-16.u10	Mr Bashir sketches a contradiction that I do not quite see. I think we're in this room together for the sake of the traveller. Clear rules are important to ensure that travellers are able to work in their interests. For example, I asked: if no agreement is reached, how do we ensure that we do not fall into a black hole? That could be a moment when the traveller might notice something. It is important to me that we ensure that the train services continue to be good and comfortable for the traveller. I would like to hear in the SP contribution where the specific concerns of that group lie, because I do not understand the point that Mr Bashir is trying to illustrate very well. In my view, we work together for the traveller and this bill does not undermine that. In Mr Bashir's contribution, I would like to hear where his concerns lie.
ParlaMint-NL_2015-03-31-tweedekamer-16.u11	The bill we are discussing today concerns the implementation of a European directive to take steps towards a European rail and rail network. What's the vision of D66 now? Mrs Van Veldhoven talks about competition, a fair market, transparency and so on. That sounds good in itself, but does D66 also take into account that there might not be a place for the Dutch Railways in such a model? Would she mind if the Dutch Railways went under European competition and if we were dependent on the Deutsche Bahn or the French railways?
