Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-11-17-tweedekamer-19	ParlaMint-NL_2015-11-17-tweedekamer-19.u1	Report of the meeting of the Dutch Lower House, Meeting 25, Session 19 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 25	Sitting 2015-11-17	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-17-tweedekamer-19	ParlaMint-NL_2015-11-17-tweedekamer-19.u2	Report of the meeting of the Dutch Lower House, Meeting 25, Session 19 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-11-17-tweedekamer-19	ParlaMint-NL_2015-11-17-tweedekamer-19.u3	Report of the meeting of the Dutch Lower House, Meeting 25, Session 19 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2015-11-17-tweedekamer-19	ParlaMint-NL_2015-11-17-tweedekamer-19.u4	Report of the meeting of the Dutch Lower House, Meeting 25, Session 19 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MichielvanVeen	van Veen, Michiel	M	1971	
ParlaMint-NL-en_2015-11-17-tweedekamer-19	ParlaMint-NL_2015-11-17-tweedekamer-19.u5	Report of the meeting of the Dutch Lower House, Meeting 25, Session 19 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-11-17-tweedekamer-19	ParlaMint-NL_2015-11-17-tweedekamer-19.u6	Report of the meeting of the Dutch Lower House, Meeting 25, Session 19 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
ParlaMint-NL-en_2015-11-17-tweedekamer-19	ParlaMint-NL_2015-11-17-tweedekamer-19.u7	Report of the meeting of the Dutch Lower House, Meeting 25, Session 19 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-11-17-tweedekamer-19	ParlaMint-NL_2015-11-17-tweedekamer-19.u8	Report of the meeting of the Dutch Lower House, Meeting 25, Session 19 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 25	Sitting 2015-11-17	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-11-17-tweedekamer-19	ParlaMint-NL_2015-11-17-tweedekamer-19.u9	Report of the meeting of the Dutch Lower House, Meeting 25, Session 19 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
ParlaMint-NL-en_2015-11-17-tweedekamer-19	ParlaMint-NL_2015-11-17-tweedekamer-19.u10	Report of the meeting of the Dutch Lower House, Meeting 25, Session 19 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	KeesVerhoeven	Verhoeven, Kees	M	1976	
ParlaMint-NL-en_2015-11-17-tweedekamer-19	ParlaMint-NL_2015-11-17-tweedekamer-19.u11	Report of the meeting of the Dutch Lower House, Meeting 25, Session 19 (2015-11-17)	2015-11-17	Lower house	Meeting of the 28th Tweede Kamer	Session 19	Meeting 25	Sitting 2015-11-17	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	HenkKamp	Kamp, Henk	M	1952	
