ParlaMint-NL_2015-12-17-tweedekamer-11.u1	We have six speakers from the Chamber and the first is Mr Van Helvert from the CDA group.
ParlaMint-NL_2015-12-17-tweedekamer-11.u2	Mr. Chairman. First, I have a question about the cameras at stations. We have heard that the tender had failed or had at least withdrawn and we are concerned about the date on which these cameras will be hung. The Chamber wanted this in a very broad sense and wanted it to be put behind it in a hurry. We have seen that closing the gates is difficult. It's about conductors getting beat up. We just don't want to. People should not touch that and everything we can do about it must speed it up. So our question is whether the date is at risk and how it is possible that something like this will go wrong again. I have two motions on another subject. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas both ProRail and L and M are not available;]] [[noting that it did not carry out necessary maintenance work or investments which were planned and desired;]] [[calls on the Government to ensure that available rail and infrastructure budgets are used in time for the purpose for which they are reserved,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the Secretary of State for l and M has different roles vis-à-vis ProRail, such as shareholder, grantor, supervisor and concession provider;]] [[noting that the role of shareholder could be better performed by another minister because of the spread of roles and the proper functioning of the market;]] [[calls on the Government, pros and cons of repositioning the shareholdership with another minister, and to inform the Court thereof promptly,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van Helvert. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29984-643]] [[This motion was tabled by Mr Van Helvert. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29984-644]]
ParlaMint-NL_2015-12-17-tweedekamer-11.u3	Mr. Chairman. I have one question and one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas train passengers will be confronted with overcrowded trains in the coming months, rising to a shortage of around 5,000 seats;]] [[Whereas it is possible to hire replacement equipment in Germany;]] [[calls on the Government to examine, together with the Dutch Railways, the possibilities for combating rail passengers, e.g. renting German or other foreign equipment, and to inform the Chamber of Commerce in mid-January 2016,]] [[and goes to the order of the day.]] [[This motion has been proposed by the member Van Tongeren. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29984-645]]
ParlaMint-NL_2015-12-17-tweedekamer-11.u4	My question concerns the following. I've heard that there are plans to reduce the first class in the trains. This, of course, immediately reduces the attractiveness of first-class subscriptions. People put down some extra money just to be in rush hour and work in the first class. If those spaces are reduced, this means that first-class passengers may be pushed into the car fairly quickly. We don't really want that either. Is that correct and, if so, what does the Secretary of State think of that? Isn't it a much better solution to rent that extra equipment?
ParlaMint-NL_2015-12-17-tweedekamer-11.u5	Mr Hoogland of the Labour Party waived his speaking time.
ParlaMint-NL_2015-12-17-tweedekamer-11.u6	Mr. Chairman. I have one motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that ProRail has insufficient insight into the state of maintenance of the rail infrastructure;]] [[Considering that for good track maintenance and the proper conclusion of PGO contracts, it is essential that ProRail has sufficient insight into the current state of maintenance;]] [[calls on the government to ensure that ProRail maps the state of maintenance and informs the House of Representatives before the summer of 2016,]] [[and goes to the order of the day.]] [[This motion has been proposed by Mr Smaling. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29984-646]]
ParlaMint-NL_2015-12-17-tweedekamer-11.u7	A small other point that occurred in the debate was this. The President-in-Office is a busy man. He needs to rebuild Groningen. We have not discussed this in detail, but I would like to ask the Secretary of State whether it is appropriate that the person concerned should continue to hold this position, given all that remains to be done in Groningen and the history of ProRail.
ParlaMint-NL_2015-12-17-tweedekamer-11.u8	Mr. Chairman. I have a motion on ProRail. I understand GroenLinks has just filed two motions on the NS. I think that's a little out of order. We have agreed to table motions, because your colleagues will not refuse to do so, but I think this is the final debate on ProRail today. We are tabling the next motion for a resolution. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas railway safety is served by a database containing the current state of maintenance of the track;]] [[having noted that the Chicken Commission already advised in 2011 to set up such a database and that the ILT recommends that the creation of the database be completed faster than planned;]] [[noting that this database will not be completed until the end of 2017;]] [[considers that this project is becoming more transparent and results are achieved more quickly when the project is being refurbished;]] [[calls on the government to share the project database into sub-projects and to inform the House of Representatives;]] [[calls on the government, in consultation with ProRail on speeding up the rail data project, to complete the whole project earlier than the end of 2017 and to inform the Chamber thereof,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr De Boer and Mr Hoogland. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29984-647]]
ParlaMint-NL_2015-12-17-tweedekamer-11.u9	Mr President, the time of the previous speaker is still running.
ParlaMint-NL_2015-12-17-tweedekamer-11.u10	We'll put you right to zero.
ParlaMint-NL_2015-12-17-tweedekamer-11.u11	The first motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[noting that ProRail is a financial mess;]] [[Considering that the President of the Supervisory Board wrote to the Chamber on 25 September 2015 that the image of ProRail is "overwhelmed and gives an incorrect picture of the current situation";]] [[having regard to the opinion of the Economic and Social Committee and the opinion of the Committee on Economic and Monetary Affairs and Industrial Policy,]] [[noting that the State Secretary for Infrastructure and the Environment has stated that the culture of ProRail needs to be changed;]] [[calls on the Government, ProRail's incumbent Supervisory Board, today to dishonorably dismiss for dysfunction without payment of bonuses and departure premiums,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Graus and Mr Madlener. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-29984-648]]
