Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-06-16-tweedekamer-5	ParlaMint-NL_2015-06-16-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	SietseFritsma	Fritsma, Sietse	M	1972	
ParlaMint-NL-en_2015-06-16-tweedekamer-5	ParlaMint-NL_2015-06-16-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2015-06-16-tweedekamer-5	ParlaMint-NL_2015-06-16-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	SietseFritsma	Fritsma, Sietse	M	1972	
ParlaMint-NL-en_2015-06-16-tweedekamer-5	ParlaMint-NL_2015-06-16-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2015-06-16-tweedekamer-5	ParlaMint-NL_2015-06-16-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 96	Sitting 2015-06-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-16-tweedekamer-5	ParlaMint-NL_2015-06-16-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	SietseFritsma	Fritsma, Sietse	M	1972	
ParlaMint-NL-en_2015-06-16-tweedekamer-5	ParlaMint-NL_2015-06-16-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 96	Sitting 2015-06-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-16-tweedekamer-5	ParlaMint-NL_2015-06-16-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	SietseFritsma	Fritsma, Sietse	M	1972	
ParlaMint-NL-en_2015-06-16-tweedekamer-5	ParlaMint-NL_2015-06-16-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 96	Sitting 2015-06-16	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-06-16-tweedekamer-5	ParlaMint-NL_2015-06-16-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2015-06-16-tweedekamer-5	ParlaMint-NL_2015-06-16-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2015-06-16)	2015-06-16	Lower house	Meeting of the 28th Tweede Kamer	Session 5	Meeting 96	Sitting 2015-06-16	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Opposition	Centre-right	JoëlVoordewind	Voordewind, Joël	M	1965	
