Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-09-09-tweedekamer-8	ParlaMint-NL_2015-09-09-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 110, Session 8 (2015-09-09)	2015-09-09	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 110	Sitting 2015-09-09	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-09-tweedekamer-8	ParlaMint-NL_2015-09-09-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 110, Session 8 (2015-09-09)	2015-09-09	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 110	Sitting 2015-09-09	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	JacoGeurts	Geurts, Jaco	M	1970	
ParlaMint-NL-en_2015-09-09-tweedekamer-8	ParlaMint-NL_2015-09-09-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 110, Session 8 (2015-09-09)	2015-09-09	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 110	Sitting 2015-09-09	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	WassilaHachchi	Hachchi, Wassila	F	1980	
ParlaMint-NL-en_2015-09-09-tweedekamer-8	ParlaMint-NL_2015-09-09-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 110, Session 8 (2015-09-09)	2015-09-09	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 110	Sitting 2015-09-09	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LutzJacobi	Jacobi, Lutz	F	1955	
ParlaMint-NL-en_2015-09-09-tweedekamer-8	ParlaMint-NL_2015-09-09-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 110, Session 8 (2015-09-09)	2015-09-09	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 110	Sitting 2015-09-09	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-09-09-tweedekamer-8	ParlaMint-NL_2015-09-09-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 110, Session 8 (2015-09-09)	2015-09-09	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 110	Sitting 2015-09-09	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LutzJacobi	Jacobi, Lutz	F	1955	
ParlaMint-NL-en_2015-09-09-tweedekamer-8	ParlaMint-NL_2015-09-09-tweedekamer-8.u7	Report of the meeting of the Dutch Lower House, Meeting 110, Session 8 (2015-09-09)	2015-09-09	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 110	Sitting 2015-09-09	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MelanieHenriëtteSchultzvanHaegen-MaasGeesteranus	Schultz van Haegen-Maas Geesteranus, Melanie Henriëtte	F	1970	
ParlaMint-NL-en_2015-09-09-tweedekamer-8	ParlaMint-NL_2015-09-09-tweedekamer-8.u8	Report of the meeting of the Dutch Lower House, Meeting 110, Session 8 (2015-09-09)	2015-09-09	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 110	Sitting 2015-09-09	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LutzJacobi	Jacobi, Lutz	F	1955	
ParlaMint-NL-en_2015-09-09-tweedekamer-8	ParlaMint-NL_2015-09-09-tweedekamer-8.u9	Report of the meeting of the Dutch Lower House, Meeting 110, Session 8 (2015-09-09)	2015-09-09	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 110	Sitting 2015-09-09	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MelanieHenriëtteSchultzvanHaegen-MaasGeesteranus	Schultz van Haegen-Maas Geesteranus, Melanie Henriëtte	F	1970	
ParlaMint-NL-en_2015-09-09-tweedekamer-8	ParlaMint-NL_2015-09-09-tweedekamer-8.u10	Report of the meeting of the Dutch Lower House, Meeting 110, Session 8 (2015-09-09)	2015-09-09	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 110	Sitting 2015-09-09	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	LutzJacobi	Jacobi, Lutz	F	1955	
ParlaMint-NL-en_2015-09-09-tweedekamer-8	ParlaMint-NL_2015-09-09-tweedekamer-8.u11	Report of the meeting of the Dutch Lower House, Meeting 110, Session 8 (2015-09-09)	2015-09-09	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 110	Sitting 2015-09-09	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MelanieHenriëtteSchultzvanHaegen-MaasGeesteranus	Schultz van Haegen-Maas Geesteranus, Melanie Henriëtte	F	1970	
ParlaMint-NL-en_2015-09-09-tweedekamer-8	ParlaMint-NL_2015-09-09-tweedekamer-8.u12	Report of the meeting of the Dutch Lower House, Meeting 110, Session 8 (2015-09-09)	2015-09-09	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 110	Sitting 2015-09-09	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Opposition	Centre	WassilaHachchi	Hachchi, Wassila	F	1980	
ParlaMint-NL-en_2015-09-09-tweedekamer-8	ParlaMint-NL_2015-09-09-tweedekamer-8.u13	Report of the meeting of the Dutch Lower House, Meeting 110, Session 8 (2015-09-09)	2015-09-09	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 110	Sitting 2015-09-09	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MelanieHenriëtteSchultzvanHaegen-MaasGeesteranus	Schultz van Haegen-Maas Geesteranus, Melanie Henriëtte	F	1970	
ParlaMint-NL-en_2015-09-09-tweedekamer-8	ParlaMint-NL_2015-09-09-tweedekamer-8.u14	Report of the meeting of the Dutch Lower House, Meeting 110, Session 8 (2015-09-09)	2015-09-09	Lower house	Meeting of the 28th Tweede Kamer	Session 8	Meeting 110	Sitting 2015-09-09	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
