ParlaMint-NL_2015-11-17-tweedekamer-23.u1	I would like to welcome the Minister for the Interior and Kingdom Relations.
ParlaMint-NL_2015-11-17-tweedekamer-23.u2	Mr. Chairman. Europe is in mourning. Last Friday in Paris innocent people were attacked by unscrupulous barbarians. Many dead, many wounded are the result. There are also victims from our country. The attacks lead to fear and uncertainty everywhere. The soccer game Germany-Netherlands was just cancelled. They are attacks on our democracy, attacks on our freedom, attacks on our civilisation. We have no choice but to resist these attacks and win the battle. This Minister has an important role to play as politically responsible for the AIVD. The opposition has successfully reversed the cuts in the AIVD and helped to make new investments possible. Let us agree today that money does not matter, that our security is always a priority. Then the Minister can count on our support. The attacks in Paris do not seem to be incidents, but deliberate actions by international networks of organized jihadists. Good cooperation between secret services is essential to prevent such attacks. Politics seems to have penetrated this awareness in all countries, but I do not think that this is practice in all secret services either. Can the Minister assure us that recent threats will also lead to changes in secret services in Europe, that sufficient sharing and sharing of information is becoming standard everywhere, that tracking and disrupting potential attackers is not frustrated by cultural differences between secret services? Our country is also vulnerable to radicalised loners and to jihadist networks. I have asked the cabinet many times to map these networks and to indicate which Salafist organizations in our country may be involved in secretly preaching and organizing violence. I'll ask the Minister again. Is he prepared to draw up and publish a list of such organisations? It seems that at least some of the terrorists in Paris were in the picture with the secret services, the police or the ggz. More and more extremists are returning from the Middle East. Some pose a direct threat and can be dealt with directly. Others also seem to return ideologically and pose no more danger. We just don't know about another group. It's impossible to prosecute them, but irresponsible to let them go. We can force confused persons to be treated preventively if they pose a danger to themselves and others. I ask the Minister whether he is prepared to investigate whether this group of returners can be deradicalized preventively. Mayors, aldermen, council members and civil servants, too, are increasingly confronted with aggression. Discussions on the reception of refugees have increased this threat. Can we agree here that if people with a public function need our help and protection, so do they, and here too, money does not matter? In a very different area, too, the local authorities are calling the alarm bells. Home care, youth care, the fight against poverty, helping people to work, it can't be done anymore. Some aldermen have an emergency fund with which they can still take blows, but most municipalities are tearing down their reserves, if they already have one. The only answer the minister has for municipalities that are facing financial difficulties thanks to government policy is: you have to scale up, then you have to redeploy. While the minister is well aware that redefining does not generate money, but municipalities only cost money in the first few years. I would like special attention to be paid tonight to the so-called scaling-up discount. The government's policy of forcing municipalities to increase to 100,000 inhabitants is off the table, but the cuts that the minister had made and which in the long run amounts to EUR 1 billion are still in the books. Of course you can't. I therefore ask the Minister to remove this ridiculous austerity. Otherwise, I am considering tabling a motion on this matter. In general, it is very good that things are organised close to people, but precisely because municipalities are given so many new tasks, local democracy is under pressure. At present, there are more than 500 superlocal partnerships. They form a new, opaque layer of government, where local directors make many compromises about the care and support of their own residents, compromises that these local directors then have to defend in their own city council, which can usually no longer change the same agreements. Then local democracy becomes a farce. Then the people's representative becomes a public official who goes through the papers one more time. Once again, the Minister's solution, which is to redefine it, is not a solution, not a solution to the financial problems, but not a solution to the democratic deficit. Local government must be a political translation of the local community. The size of this community is different; The Hague is different from Hilvarenbeek. But that community needs to be represented. This cannot be done in municipalities that are getting bigger and bigger. Now some municipalities already have dozens of cores. Then there's just no more local democracy. I know a lot of people want to be active in their village or city to solve concrete problems, but they don't want to spend night-to-night pointless paperwork on matters that they don't have anything to say about. Local government is increasingly becoming an implementing organisation of national policy; I mentioned all the care tasks and social security. The same applies to the reception of refugees. Many citizens but also many local politicians feel attacked when plans are announced from above for the reception of large groups of refugees. If it is necessary, and if it is possible, small-scale provision must be made, which has already been cut so much, and refugees must be distributed fairly. But above all, people must be able to have a say. Their concerns must be taken seriously. How is the minister going to help these municipalities with these difficult problems? What makes local government particularly vulnerable is the threat of organised crime. Dubious figures from the building world, the financial sector and the drug world can have great interests in certain decisions that are being taken or are not being taken. How does the Minister explain the increase in mafia practices in our democracy? Can he assure us that every threat will be reported and that action will be taken on each declaration? Another thing: in 2010, this Chamber adopted the Roemernorm. No more than 10% of all personnel costs may be spent on expensive consultants. Six ministries aren't gonna do it. The Minister's Ministry does not meet this requirement either, which amounts to almost 25%. What additional measures will this Minister take to ensure that next year all ministries, including the Ministry of the Interior, are under the Roemer norm? Finally, I would like to ask the Minister the following. We are now going to have a new European referendum. In April, citizens will again be given the opportunity to make their voice heard. Can the Minister promise that there will be enough money to organise this referendum fairly and properly? I've asked before. Today, the Minister sent a letter saying something in the vein of: yes, but, I am still in consultation, perhaps the municipalities will have to set up fewer polling stations, and it can all be a bit more economical. No, it needs to be organized properly. Can the Minister also promise that the cabinet will take the outcome of this referendum seriously? How is he going to weigh up the outcome of this referendum?
ParlaMint-NL_2015-11-17-tweedekamer-23.u3	Mr. Chairman. The attacks in Paris last Friday shocked us all: a brutal and cowardly attack on innocent people who did nothing more than enjoy our freedom, the freedom to visit a concert, the freedom to catch a terrace or the freedom to go to a sports game. We will continue to stand up together for our freedom and defend this freedom with each other. Unfortunately, we cannot rule out attacks such as those in Paris, but we must do everything we can to prevent them. This week we are having a separate debate on this, yet I would like to address the issue of the deployment of the security services. Last Saturday, our Prime Minister indicated in his press conference that the services were prepared for their task, that they have the resources needed and that there is constant monitoring of whether this is still the case. The cabinet confirmed this in a letter today. Therefore, I do not need to ask the Minister for a re-confirmation. However, I would like to give it to continue to monitor closely whether more effort is needed. If the security situation so requires, it must be possible to deliver. I therefore ask the Minister on behalf of the VVD Group: if this situation arises and there is a need for more budget, will there be more budget? I also ask the Minister whether the exchange of information between services at home and abroad has already improved. We discussed this earlier and the Minister made a commitment at the request of the VVD. What is the state of play now? If the exchange of information has improved, what has changed? We will have to do what is necessary without living in fear. In addition to the fact that fear is a bad counselor, it is precisely at the heart of our society that we can live without fear in freedom.
ParlaMint-NL_2015-11-17-tweedekamer-23.u4	We recently asked the Minister if he could promise that if the Chamber asked for an analysis of the budgets of the AIVD by the General Court, this would also happen. The Minister replied: "if the Chamber so wishes"; it was a somewhat vague answer from the cabinet. Can I get that promise from Mr Veldman today? It may be unusual for Members of Parliament to ask each other for a commitment, but can we do so today? Can we get the commitment from the VVD Group that if we want the Court of Auditors to look at the budget of the AIVD, the Court of Auditors can do so?
ParlaMint-NL_2015-11-17-tweedekamer-23.u5	I can promise Mrs Van Toorenburg that if the cabinet says that more money is needed, there will be more money. We must not be reluctant when it comes to security. If we need more money, we need more money. To date, I have understood from the cabinet earlier that of the minister and last Saturday, our Prime Minister, who said that the services can do their job, that they are prepared to do what they have to do and that they come out with the resources that are now available.
ParlaMint-NL_2015-11-17-tweedekamer-23.u6	I understand this reaction. I think there is a great deal of reason for that. However, we read that there is a need for extra vigilance; the Minister's letter clearly states that there may be a need for tasks at the AIVD. Can Mr Veldman say that if the moment comes........ I am well aware that I am speaking in terms of words...... that we seriously doubt whether the AIVD will be able to handle its tasks, will not put the VVD in the sand, but will then agree that we should ask the independent Court of Auditors: look at this, are we mistaken, or should we have money?
ParlaMint-NL_2015-11-17-tweedekamer-23.u7	When I read the cabinet letter today and when I look at the press conference of our Prime Minister last Saturday, my impression is that the cabinet is working in a good and serious way to keep our country safe and secure. I have that confidence. If the situation arises that additional resources should be added, because additional actions are needed where financial provision is not made, then this should be possible. The VVD Group says that if extra money is needed, then we should not make a problem of that with each other and then we should settle it with each other, because the VVD stands for that security. I will put that question to the Minister again today. If necessary, report it, then come back to the Chamber and make sure that there is a budget; the VVD will express its support for it.
ParlaMint-NL_2015-11-17-tweedekamer-23.u8	The VVD just indicated that the security services are in order. How does the VVD rhymes with the fact that the AIVD had to borrow people from the police in the past year because he was unable to follow jihad suspects?
ParlaMint-NL_2015-11-17-tweedekamer-23.u9	I think this is a very detailed question. I cannot answer that question and I do not think that Mr Van Klaveren can either, because we are neither concerned with the personnel policy of our security services. How they deal with their people and where they get people is not up to me. It is up to me to ask whether the services can do what they have to do. I have the impression this is possible. That was said by the Prime Minister last Saturday, and the cabinet confirmed that in a letter today. If more needs to be done, more needs to be done. I'll ask the Minister to confirm that.
ParlaMint-NL_2015-11-17-tweedekamer-23.u10	That is, of course, an absurd reaction from the VVD. It has nothing to do with being detailed in questions. How does the VVD rhyme with the fact that it is stated here that the AIVD is in order and has enough manpower with the fact that the same AIVD had to borrow people from the police last year? As far as I and my group are concerned, this means that the AIVD needs a lot more money to hire many more people. Otherwise, you don't have to borrow people from the police.
ParlaMint-NL_2015-11-17-tweedekamer-23.u11	Again, I am not dealing with the personnel policy of our security services. Where they need expertise, it is up to the management of the various security services to implement it. We should not want to do that here, because we have no idea and no idea. We must agree here that if there is to be more money, as happened this year, we will arrange it with each other. I think we can find each other in that. If at any time, tomorrow, next week, next month or next year, this Minister indicates that money will have to be added, we can say to each other: that is what we are delivering.
