ParlaMint-NL_2015-09-09-tweedekamer-7.u1	I would like to welcome the Minister for Education, Culture and Science.
ParlaMint-NL_2015-09-09-tweedekamer-7.u2	Mr. Chairman. Small and medium-sized enterprises are the driving force behind the economy, which is what politicians call from left to right. Today, as politicians, we can live up to those words. Today, we are debating the threat of the use of scanning, an invitation to tender that could lead to specialist SMEs being deliberately forced out of the market by the public authorities, which would become even bigger. The plans could lead to the tax administration's employees performing these scanning tasks. Don't they have anything better to do at the IRS? I would like to hear from the Minister whether other options have been considered as part of the relocation of staff. The VVD has always fought for the interests of SMEs and its staff. My group has done everything in its power to reverse this tendering process and to issue an orderly tender. The Minister indicated that the implementation of the motion would delay the digitisation of the National Archives and that implementation would entail a lot of additional costs. Can the Minister indicate how much delay and how much cost it would be? The VVD finds it very disappointing that the Minister has rejected the motion on this subject. According to the Minister, governments are free to decide whether activities for the benefit of their own public organisation are outsourced to third parties or carried out under their own management. If this were true, why does the Minister reject a request from the House of Representatives to reverse the tendering plans? A large majority of 101 votes supported the motion. I'd like to hear a response from the Minister. The Procurement Act allows entrepreneurs to participate in public procurement. This is a major asset in which we have appointed the Commission of Procurement Experts as a guarantee for tenderers in order to prevent legal proceedings. That is a committee with teeth, because according to the words of the then Minister of EZ, it would be very strange for the government to ignore a statement from this committee.
ParlaMint-NL_2015-09-09-tweedekamer-7.u3	As a member of this Chamber, I am of course very much in favour of motions being carried out. It is true, however, that if a motion affects standing policy that the cabinet implements, if that motion does not fit in with policy or if the cabinet considers that the policy is formulated differently, then the cabinet can ultimately ignore such a motion. I would remind Mr Ziengs that it was his VVD Minister Gerrit Zalm who laughed at a motion from the Chamber. It's not that unusual.
ParlaMint-NL_2015-09-09-tweedekamer-7.u4	It is particularly remarkable that Mr Vos says that it is apparently a matter of standing policy. As I have just said and will specify, we have not passed the Procurement Act for nothing. It says that we want to give entrepreneurs the opportunity to participate in public procurement. If this is a public contract, then I will return to my explanation of vote, then this should simply be outsourced. That's the policy.
ParlaMint-NL_2015-09-09-tweedekamer-7.u5	The State can do things on its own or outsource them. Mr Ziengs knows that too, and this has been mentioned extensively in the Minister's documents. It is not necessarily the case that, as Mr Ziengs suggests, everything in the market is doing better than the government can do.
ParlaMint-NL_2015-09-09-tweedekamer-7.u6	And the question is?
ParlaMint-NL_2015-09-09-tweedekamer-7.u7	Does Mr Zieng agree with me that it would be better if the mail would just be delivered on Monday, as was the case when the mail was still a state-owned company?
ParlaMint-NL_2015-09-09-tweedekamer-7.u8	I do not understand what the answer to the question of whether the mail should be delivered on Mondays or on Fridays is. We are having a debate here about scanning, about entrepreneurs who do not get a fair chance to participate in a tender. That's the subject we're talking about. I am happy to answer questions about that.
ParlaMint-NL_2015-09-09-tweedekamer-7.u9	We supported the motion of the VVD. We are very curious to see what the Minister's response to the VVD will be satisfied with today.
ParlaMint-NL_2015-09-09-tweedekamer-7.u10	We want entrepreneurs to have a fair opportunity to participate in a tender. My commitment to the Minister would be to withdraw the tender and to issue a tender, as we asked for in the motion at the time.
ParlaMint-NL_2015-09-09-tweedekamer-7.u11	What happens if she doesn't?
