ParlaMint-NL_2015-02-26-tweedekamer-10.u1	I would like to welcome the Minister for Social Affairs and Employment.
ParlaMint-NL_2015-02-26-tweedekamer-10.u2	Mr. Chairman. I have two motions. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the fees charged by municipalities for the initial inspection of entry into the National Register for Childcare and Preschool Playrooms vary greatly;]] [[calls on the Government, in consultation with the sector and municipalities, to set a maximum rate for the levying of fees by municipalities for the costs of admission to the National Register for Childcare and Pre-school Playrooms and to inform the Chamber before 1 September,]] [[and goes to the order of the day.]] [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the large-scale fraud in childcare payments caused by De Pearl parents is linked to recovery of the large-scale childcare payments;]] [[whereas there is currently a FIOD investigation into this fraud case;]] [[calls on the Government to suspend the recovery of the childcare allowance by the Tax Administration until the results of the FIOD investigation are known,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Ulenbelt and Mr Siderius. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31322-270]] [[This motion was tabled by Mr Ulenbelt and Mr Siderius. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31322-271]]
ParlaMint-NL_2015-02-26-tweedekamer-10.u3	Mr. Chairman. I have two points. The first is that after we had this general discussion I was pleased to read in the newspaper that today the PvdA Group is also in favour of investing in young children. I found that a welcome adjustment in the line, as until then motions of the SP and D66 on that subject were always voted away by the PvdA. So I didn't want to leave that out here. The second is that I have a motion. It is a motion which has been wrongly rejected by a certain group in the vote, so I shall now retable it and hope that this time it will be able to count on a majority. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[calls on the Government to monitor the development of the number of parent committees and inform the Court of Justice of the situation of parents and children's playrooms on an annual basis following the entry into force of the Act,]] [[and goes to the order of the day.]] [[This motion has been proposed by Members Van Weyenberg and Pieter Heerma. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-31322-272]]
ParlaMint-NL_2015-02-26-tweedekamer-10.u4	Mr. Chairman. With regard to the motion in part No. 270 I have promised Mr Mulder of the VVD that I will discuss this with the VNG. I don't want to go any further. This motion goes on, so I'd like to dissuade it. With regard to the motion in part No. I have indicated in the debate that all matters will be dealt with individually. This means that we are looking very closely at which parents are dealing with recovery. I do not think it is necessary to suspend recovery in a general sense. Nor do I think it would be desirable to cycle through it in this way. So I'm also dissuading that motion. The motion in part No. 272, Mr Van Weyenberg's motion, sounds familiar to me. I left the judgement to the Chamber earlier.
ParlaMint-NL_2015-02-26-tweedekamer-10.u5	Mr Heerma has another question, Minister.
ParlaMint-NL_2015-02-26-tweedekamer-10.u6	I have a question about the assessment of the second motion, the motion on the case around De Pearl. Since the general consultation, there has been news about it. The Secretary of State for Finance has sent a short letter in which he makes a very explicit reference to the possibility of a victim scheme. I have written questions on this matter as well. In my view, there is reason to believe that, on the basis of the reports alone, there is more to this than has been assumed so far. In fact, this is also referred to in the letter sent by the Secretary of State for Finance two weeks ago. Can the Minister, following the SP motion, promise that this issue will be clarified in the very near future? If it is simply clear very quickly, it could theoretically be that this motion will not be put to the vote. In my view, there is reason to believe that there is more to this than what has been communicated so far.
ParlaMint-NL_2015-02-26-tweedekamer-10.u7	The latter is true; there is a lot going on here. This is a pretty tough case. Mr Ulenbelt also stressed this when we talked about this a few weeks ago. I reject the motion because I would not like to go into the jurisdiction of the Tax Administration in this way. I think Mr Heerma's suggestion is constructive. So let me promise that I will speed up the answer to the questions on this subject. Those questions must be answered as quickly as possible. In any case, that is a more substantial response to the case in the direction of the Chamber. In this way, the motion could perhaps now be held until after those answers have appeared.
ParlaMint-NL_2015-02-26-tweedekamer-10.u8	When will they appear? Will that happen in a week or two weeks or six months? Can the Minister give an indication of this?
ParlaMint-NL_2015-02-26-tweedekamer-10.u9	Of course, it will not last six months. I find this complicated. It's about the IRS. That's what my colleague is about. I can't get much further than "as soon as possible."
ParlaMint-NL_2015-02-26-tweedekamer-10.u10	I'm holding the motion, Mr. Chairman.
ParlaMint-NL_2015-02-26-tweedekamer-10.u11	At the request of Mr Ulenbelt, I propose his motion (3132), No. 271). That is what is decided.
ParlaMint-NL_2015-02-26-tweedekamer-10.u12	On the motion by Mr Van Weyenberg and Mr Heerma, on item No. 272, I have a déjà vu. I've already left the verdict on that motion to the Chamber. I intend to carry out that motion even if it was not adopted, which seems to have happened. Now that this motion is being put to the vote again, I stand by leaving it to the Chamber to decide.
ParlaMint-NL_2015-02-26-tweedekamer-10.u13	We shall be voting on the motions for resolutions tabled next Tuesday.
