ParlaMint-NL_2015-06-30-eerstekamer-10.u1	I give the floor to the Secretary of State for Security and Justice.
ParlaMint-NL_2015-06-30-eerstekamer-10.u2	Mr. Chairman. I am pleased to be able to speak with you today about this bill, the treaty. I thank the Chamber for the great speed with which it has been made possible, in full awareness that I also thanked you this morning for the discussion of another bill and I hope that I will be able to thank you again for it next week. It is clear that this treaty provides for the possibility for Norway to transfer prisoners to the Netherlands, to Veenhuizen and Hoograven. We help each other with that. The Norwegians have a lack of cells. We have a surplus in capacity at the moment, so we can help each other. That is not a new business model, I answer Mrs Strik immediately. I don't think we're gonna do this more often and start exporting. It's a real possibility. Mrs Wezel has already asked whether we are so smart or if someone else thought of this. This is not something I would think of if we had to build cells to make this possible, but because we have a surplus that is being phased out and in which we are dealing with staff that we also allow it to keep its job a little longer, this is a good method. It has now happened on two occasions. I do not intend to retain cells in the future or include margins in the surpluses or the estimates in order to be for the benefit of other countries. Mrs. Strik asked if this is about the merchant and the reverend. I think this is social responsibility in this context, but we are not going to take on the farmer and do this very comprehensively.
ParlaMint-NL_2015-06-30-eerstekamer-10.u3	I think that is the answer to my most important question. I got that impression a little bit because it also mentions that negotiations have been conducted with or that Germany and Switzerland have been sunk. Can the Secretary of State say whether this took place in the same context with regard to the same capacity? Is this off or is this still on the table?
ParlaMint-NL_2015-06-30-eerstekamer-10.u4	I understand that my predecessor has spoken about this in informal contacts with Germany and Switzerland and that this has not led to formal negotiations or formal talks. I can assure Mrs Strik that during the last 100 days the Secretary of State responsible has not spoken to colleagues, colleagues or ministers from other countries about this. We still have a margin, so if there is an occasional report, we can consider it. However, we are not actively looking for it now. In the two examples mentioned, no conversations continued either. Nor do I think that Mrs Strik did not mention a country, so I am not talking about that. There are no other countries with which we are currently talking.
ParlaMint-NL_2015-06-30-eerstekamer-10.u5	Does this mean that the pace of the phasing-out that was planned will simply continue?
ParlaMint-NL_2015-06-30-eerstekamer-10.u6	Yeah, the master plan is going through. Mr Markuszower of the PVV Group has asked questions about the number of Dutch people who have been sentenced to a custodial sentence, but who are not serving.
ParlaMint-NL_2015-06-30-eerstekamer-10.u7	I would like the answer to the question as to who took the initiative in the talks with Germany and Switzerland.
ParlaMint-NL_2015-06-30-eerstekamer-10.u8	With Germany and Switzerland, my predecessor from the Netherlands discussed the option in informal talks. However, no initiative has been launched by either of them to formally address this issue.
ParlaMint-NL_2015-06-30-eerstekamer-10.u9	Someone invited someone, didn't they?
ParlaMint-NL_2015-06-30-eerstekamer-10.u10	There are regular calls. For example, I see all my colleagues and colleagues from the minister, at least the Germans, at the JHA Council every month. In the contacts that exist, this possibility has been addressed. We are also often asked about it. During the period when it was first mentioned, my Belgian colleague was very interested and wanted to know how we did it and why.
ParlaMint-NL_2015-06-30-eerstekamer-10.u11	The Secretary of State doesn't have meetings with Switzerland every month, does he?
ParlaMint-NL_2015-06-30-eerstekamer-10.u12	No, I certainly didn't, but that kind of conversation has covered it with my knowledge. However, it has never been followed up.
ParlaMint-NL_2015-06-30-eerstekamer-10.u13	I would like to answer my question as to who took the initiative for the discussion, for example for the discussion with Switzerland.
ParlaMint-NL_2015-06-30-eerstekamer-10.u14	I had understood the question as: who took the initiative to discuss this issue? That has been my predecessor in office. I do not, however, have the courage to take the initiative from our point of view. The PVV asked about the number of outstanding custodial sentences. On 1 May 2015, the case concerned 12,059 cases. It is important to know how this number has been built up. About 10,000 cases, the vast majority of them concern persons with an unknown or foreign address. Often it is also a very short net penalty. They are not people who are waiting at home in the Netherlands and have to go to jail for years. For those 10,000 cases, the vast majority of them, active targeted detection is not possible. If someone is staying abroad, we are also dependent on the cooperation of the country where the person is staying. That country needs to be involved in the search. In many cases, the low level of punishment is a reason for such a country not to use capacity. As far as people residing in the Netherlands are concerned, there is active detection. Those people are also being arrested for serving their sentence. We also have no shortage of cells to serve those people because of the treaty with Norway.
ParlaMint-NL_2015-06-30-eerstekamer-10.u15	Does the State Secretary say that if you are abroad and you still have to serve a sentence, there is a guarantee that you will never be arrested by the Dutch police and that the Ministry of the State Secretary is not a priority to actively track down those people through, for example, a special investigation service?
ParlaMint-NL_2015-06-30-eerstekamer-10.u16	No, I didn't say that. Of course, the chance of being caught by a Dutch agent abroad is relatively small, but we are very active in countries when we know where someone is. We then ask for cooperation with such a country to get the person transferred. It is often an important factor in the weighting of the country in question or its own capacity to bet on it. That is the other way around. I think, without a doubt, that, even if someone has to serve three days, he or she has to serve that number of days. In practice, however, in the case of short-term penalties of this kind, cooperation by the country we are asking for cooperation is not seen as a priority.
ParlaMint-NL_2015-06-30-eerstekamer-10.u17	Thanks for the answer. I counted 2,000 convicted criminals in the Netherlands who are not in prison, but should be in prison.
ParlaMint-NL_2015-06-30-eerstekamer-10.u18	Those people are registered. There's a BOLO going on, but there's a work stash. We try to get rid of them, because these people have to serve their time. More and more people are also arrested to serve their sentence. Our commitment is to prevent execution. In recent years, we have also seen a reduction in the number of cases which, for this reason, are subject to a limitation. The first effects of the measures in question are thus already evident. Part of this is, among other things, that the procedure between the CJIB and the police has been tightened up and that the execution tasks have been secured by the police base teams. We are also reaping more and more benefits from strengthening the position of the IAC, the information and advice centre for the execution chain. This type of measure leads us to see the first effects when it comes to executing still outstanding penalties.
ParlaMint-NL_2015-06-30-eerstekamer-10.u19	To refine my first term. The Secretary of State says that there is a positive line, but in the first term I asked what was going on in 2013 and 2014. The Secretary of State just mentioned the number for 2015, namely 12.059, but I can't even distil up or down a line.
ParlaMint-NL_2015-06-30-eerstekamer-10.u20	Parliament will soon receive the annual report. It includes the update of these kinds of figures. I don't have the numbers ready right now. Perhaps I can provide that information in the second term. In any case, this shows that fewer cases are dropped by statute of limitations. Those are the first effects, but I'm not saying we're already here. We only see the first effects. That is usually the sign that more effects will occur. Mr Markuszower does not think it is a good signal for the rule of law and trust in criminal justice that people who should serve their sentence do not do so. The principle is that the convict is serving his sentence. If there's a kink in the cable in that respect, that's not good. A sentence must be imposed as soon as possible. That is also the approach of the cabinet, the police and the D.A.'s office. There is indeed room for improvement. I agree with Mr Markuszower. We're working on that, too. Mr Markuszower also linked the Hoekstra Committee. I refer in this respect to the debate tomorrow in the House of Representatives with the Minister responsible.
ParlaMint-NL_2015-06-30-eerstekamer-10.u21	How many cells are there now, as we speak, over? How many cells are available for Dutch prisoners now?
ParlaMint-NL_2015-06-30-eerstekamer-10.u22	There's hundreds of them. The arrival of Norwegian detainees is not an obstacle to the execution of sentences for anyone.
ParlaMint-NL_2015-06-30-eerstekamer-10.u23	If there are hundreds of them and there are still 2 000 criminals to be caught in the Netherlands, and 10 000 more abroad, we have a potential cell shortage, don't we? Or am I not counting correctly?
