Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2015-07-02-tweedekamer-13	ParlaMint-NL_2015-07-02-tweedekamer-13.u1	Report of the meeting of the Dutch Lower House, Meeting 104, Session 13 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-13	ParlaMint-NL_2015-07-02-tweedekamer-13.u2	Report of the meeting of the Dutch Lower House, Meeting 104, Session 13 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2015-07-02-tweedekamer-13	ParlaMint-NL_2015-07-02-tweedekamer-13.u3	Report of the meeting of the Dutch Lower House, Meeting 104, Session 13 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-13	ParlaMint-NL_2015-07-02-tweedekamer-13.u4	Report of the meeting of the Dutch Lower House, Meeting 104, Session 13 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2015-07-02-tweedekamer-13	ParlaMint-NL_2015-07-02-tweedekamer-13.u5	Report of the meeting of the Dutch Lower House, Meeting 104, Session 13 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-13	ParlaMint-NL_2015-07-02-tweedekamer-13.u6	Report of the meeting of the Dutch Lower House, Meeting 104, Session 13 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	SP	Socialistische Partij	Opposition	Left	SadetKarabulut	Karabulut, Sadet	F	1975	
ParlaMint-NL-en_2015-07-02-tweedekamer-13	ParlaMint-NL_2015-07-02-tweedekamer-13.u7	Report of the meeting of the Dutch Lower House, Meeting 104, Session 13 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
ParlaMint-NL-en_2015-07-02-tweedekamer-13	ParlaMint-NL_2015-07-02-tweedekamer-13.u8	Report of the meeting of the Dutch Lower House, Meeting 104, Session 13 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	CU	ChristenUnie	Opposition	Centre-right	CarolaSchouten	Schouten, Carola	F	1977	
ParlaMint-NL-en_2015-07-02-tweedekamer-13	ParlaMint-NL_2015-07-02-tweedekamer-13.u9	Report of the meeting of the Dutch Lower House, Meeting 104, Session 13 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	Coalition	Centre-left	JohnKerstens	Kerstens, John	M	1965	
ParlaMint-NL-en_2015-07-02-tweedekamer-13	ParlaMint-NL_2015-07-02-tweedekamer-13.u10	Report of the meeting of the Dutch Lower House, Meeting 104, Session 13 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 104	Sitting 2015-07-02	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnoushkaSchut-Welkzijn	Schut-Welkzijn, Anoushka	F	1969	
ParlaMint-NL-en_2015-07-02-tweedekamer-13	ParlaMint-NL_2015-07-02-tweedekamer-13.u11	Report of the meeting of the Dutch Lower House, Meeting 104, Session 13 (2015-07-02)	2015-07-02	Lower house	Meeting of the 28th Tweede Kamer	Session 13	Meeting 104	Sitting 2015-07-02	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnouchkavanMiltenburg	van Miltenburg, Anouchka	F	1967	
